Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,License_info,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Ultipa,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",Graph DBMS,,"Score,0.24,Rank,#329,Overall,#32,Graph DBMS",www.ultipa.com,,Ultipa,2019.0,,commercial,,no,,,,,,,,,RESTful HTTP API,"C++,Go,Java,JavaScript (Node.js),Python",,,,,,,,,,,,
NEventStore,A persistence agnostic Event Store for .NET,Event Store,,"Score,0.24,Rank,#330,Overall,#2,Event Stores",neventstore.org,,,2011.0,,Open Source,MIT-License,no,,,,,,,,,,,,,,,,,,,,,,
RaptorDB,,Document store,,"Score,0.24,Rank,#331,Overall,#46,Document stores",github.com/mgholam/RaptorDB-Document,,,,,Open Source,Apache Version 2,no,,,,,,,,,,,,,,,,,,,,,,
Alibaba Cloud Table Store,"A fully managed,Wide Column Store,for large quantities of semi-structured data with real-time access",Wide column store,,"Score,0.24,Rank,#332,Overall,#12,Wide column stores",www.alibabacloud.com/product/table-store,,Alibaba,2016.0,,commercial,,yes,,,,schema-free,,,,no,HTTP API,"Java,Python",,,,,no,Immediate Consistency,no,Atomic single-row operations,yes,yes,no,
BrightstarDB,,RDF store,,"Score,0.23,Rank,#333,Overall,#19,RDF stores",brightstardb.com,,,2012.0,,Open Source,,no,,,,,,,,,,,,,,,,,,,,,,
Bangdb,"Converged and high performance database for device data, events, time series, document and graph","Document store,Graph DBMS,Time Series DBMS",,"Score,0.23,Rank,#334,Overall,#47,Document stores,#33,Graph DBMS,#31,Time Series DBMS",bangdb.com,,"Sachin Sinha, BangDB",2012.0,,Open Source,BSD 3,no,,,,schema-free,,,,SQL like support with command line tool,"Proprietary protocol,RESTful HTTP API","C,C#,C++,Java,Python",,,,,no,"Tunable consistency, set CAP knob accordingly",no,ACID,"yes, optimistic concurrency control","yes, implements WAL (Write ahead log) as well","yes, run db with in-memory only mode",
HyperLevelDB,"A fork of Google's,LevelDB",Key-value store,,"Score,0.22,Rank,#335,Overall,#49,Key-value stores",github.com/rescrv/HyperLevelDB,,,2010.0,,Open Source,,no,,,,,,,,,,,,,,,,,,,,,,
Sparksee,,Graph DBMS,,"Score,0.22,Rank,#336,Overall,#34,Graph DBMS",sparsity-technologies.com/#sparksee,,,2008.0,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
Eloquera,,Object oriented DBMS,,"Score,0.22,Rank,#337,Overall,#17,Object oriented DBMS",www.nuget.org/packages/EloqueraDB,,,2008.0,,commercial,free licenses,no,,,,,,,,,,,,,,,,,,,,,,
Siaqodb,,Object oriented DBMS,,"Score,0.22,Rank,#338,Overall,#18,Object oriented DBMS",www.siaqodb.com,,,,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
H2GIS,"Spatial extension of,H2",Spatial DBMS,,"Score,0.21,Rank,#339,Overall,#5,Spatial DBMS",www.h2gis.org,,CNRS,2013.0,,Open Source,LGPL 3.0,no,,,,yes,,,,yes,,Java,,,,,no,Immediate Consistency,yes,ACID,"yes, multi-version concurrency control (MVCC)",yes,yes,
Acebase,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",Document store,,"Score,0.21,Rank,#340,Overall,#48,Document stores",github.com/appy-one/acebase,,,2018.0,,Open Source,MIT License,no,,,,,,,,,,,,,,,,,,,,,,
AntDB,"A scalable, multi-tenant, MPP-architectured,RDBMS,for OLTP and OLAP operations, highly compatible with,Oracle",Relational DBMS,,"Score,0.21,Rank,#341,Overall,#146,Relational DBMS",www.asiainfo.com/en_us/product_aisware_antdb_detail.html,,,,,commercial,"community version available at,github.com/ADBSQL/AntDB",no,,,,,,,,,,,,,,,,,,,,,,
Manticore Search,"Multi-storage database for search, including full-text search.",Search engine,,"Score,0.21,Rank,#342,Overall,#24,Search engines",manticoresearch.com,,,2017.0,,Open Source,GPL version 2,no,,,"FreeBSD,Linux,macOS,Windows",,,,,,,,,,,,,,,,,,,
Exorbyte,,Search engine,,"Score,0.21,Rank,#343,Overall,#25,Search engines",www.exorbyte.com,,,2000.0,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
LedisDB,,Key-value store,,"Score,0.20,Rank,#344,Overall,#50,Key-value stores",ledisdb.io,,,2014.0,,Open Source,MIT-License,no,,,,,,,,,,,,,,,,,,,,,,
BigObject,Analytic DBMS for real-time computations and queries,Relational DBMS,,"Score,0.20,Rank,#345,Overall,#147,Relational DBMS",bigobject.io,,,2015.0,,commercial,free community edition available,no,,,"Linux,OS X,Windows",,,,,,,,,,,,,,,,,,,
Blueflood,"Scalable TimeSeries DBMS based on,Cassandra",Time Series DBMS,,"Score,0.20,Rank,#345,Overall,#32,Time Series DBMS",blueflood.io,,,2013.0,,Open Source,Apache 2.0,no,,,"Linux,OS X",,,,,,,,,,,,,,,,,,,
WhiteDB,,Document store,,"Score,0.20,Rank,#345,Overall,#49,Document stores",whitedb.org,,,2008.0,,Open Source,GPL V3,no,,,,,,,,,,,,,,,,,,,,,,
Linter,RDBMS for high security requirements,Relational DBMS,,"Score,0.20,Rank,#348,Overall,#148,Relational DBMS",linter.ru/en,,,1990.0,,commercial,,no,,,"AIX,Android,BSD,HP Open VMS,iOS,Linux,OS X,VxWorks,Windows",,,,,,,,,,,,,,,,,,,
Immudb,An open source immutable (append-only) database with cryptographic verification which makes it tamper-resistant and fully auditable.,Key-value store,,"Score,0.20,Rank,#349,Overall,#51,Key-value stores","github.com/codenotary/immudb,www.codenotary.com/technologies/immudb",,,2020.0,,Open Source,Apache Version 2.0,no,,,"BSD,Linux,macOS,Solaris,Windows,z/OS",,,,,,,,,,,,,,,,,,,
TerarkDB,"A,key-value store,forked from,RocksDB,with advanced compression algorithms. It can be used standalone or as a storage engine for,MySQL,and,MongoDB",Key-value store,,"Score,0.20,Rank,#350,Overall,#52,Key-value stores",github.com/Terark/terarkdb,,,2016.0,,commercial,restricted open source version available,no,,,,,,,,,,,,,,,,,,,,,,
Quasardb,"Distributed, high-performance timeseries database",Time Series DBMS,,"Score,0.19,Rank,#351,Overall,#33,Time Series DBMS",quasardb.net,,,2009.0,,commercial,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",no,,,"BSD,Linux,OS X,Windows",,,,,,,,,,,,,,,,,,,
Hawkular Metrics,"Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on,Cassandra,.",Time Series DBMS,,"Score,0.19,Rank,#352,Overall,#34,Time Series DBMS",www.hawkular.org,,,2014.0,,Open Source,Apache 2.0,no,,,"Linux,OS X,Windows",,,,,,,,,,,,,,,,,,,
JethroData,SQL Query Engine for Hadoop,Relational DBMS,,"Score,0.19,Rank,#353,Overall,#149,Relational DBMS",jethro.io,,,2013.0,,commercial,,no,,,,,,,,,,,,,,,,,,,,,,
VelocityDB,A .NET Object Database that can be embedded/distributed and extended to a graph data model (VelocityGraph),"Graph DBMS,Object oriented DBMS",,"Score,0.19,Rank,#353,Overall,#35,Graph DBMS,#19,Object oriented DBMS",velocitydb.com,,,2011.0,,commercial,,no,,,Any that supports .NET,,,,,,,,,,,,,,,,,,,
XTDB,A general purpose database with bitemporal SQL and Datalog and graph queries,Document store,,"Score,0.18,Rank,#355,Overall,#50,Document stores","github.com/xtdb/xtdb,xtdb.com",,,2019.0,,Open Source,MIT License,no,,,"All OS with a Java 8 (and higher) VM,Linux",,,,,,,,,,,,,,,,,,,
Dragonfly,"A drop-in,Redis,replacement that scales vertically to support millions of operations per second and terabyte sized workloads, all on a single instance",Key-value store,,"Score,0.18,Rank,#356,Overall,#53,Key-value stores","dragonflydb.io,github.com/dragonflydb/dragonfly",,,2023.0,,Open Source,BSL 1.1,no,,,Linux,,,,,,,,,,,,,,,,,,,
GreptimeDB,"An open source,Time Series DBMS,built for increased scalability, high performance and efficiency",Time Series DBMS,,"Score,0.18,Rank,#357,Overall,#35,Time Series DBMS",greptime.com,,,2022.0,,Open Source,Apache Version 2.0,no,,,"Docker,Linux,macOS",,,,,,,,,,,,,,,,,,,
Kyoto Tycoon,,Key-value store,,"Score,0.18,Rank,#358,Overall,#54,Key-value stores",dbmx.net//kyototycoon,,,2009.0,,Open Source,GPL,no,,,,,,,,,,,,,,,,,,,,,,
ActorDB,"A distributed, consistent,RDBMS",Relational DBMS,,"Score,0.17,Rank,#359,Overall,#150,Relational DBMS",www.actordb.com,,,2014.0,,Open Source,Mozilla Public License 2.0,no,,,,,,,,,,,,,,,,,,,,,,
OrigoDB,A fully ACID in-memory object graph database,"Document store,Object oriented DBMS",,"Score,0.17,Rank,#360,Overall,#51,Document stores,#20,Object oriented DBMS",origodb.com,,,2009.0,,Open Source,,no,,,"Linux,Windows",,,,,,,,,,,,,,,,,,,
ToroDB,"A MongoDB-compatible JSON document store, built on top of PostgreSQL",Document store,,"Score,0.17,Rank,#361,Overall,#52,Document stores",www.torodb.com,www.torodb.com/stampede/docs,8Kdata,2016.0,,Open Source,AGPL-V3,no,,Java,All OS with a Java 7 VM,schema-free,yes,no,,,,,,no,Sharding,Source-replica replication,,,no,no,yes,yes,,Access rights for users and roles
SenseiDB,,Document store,,"Score,0.17,Rank,#362,Overall,#53,Document stores",senseidb.github.io/sensei,senseidb.github.io/sensei/overview.html,,2010.0,,Open Source,Apache Version 2,no,,,,,,,,,,,,,,,,,,,,,,
SiriDB,"Open Source,Time Series DBMS",Time Series DBMS,,"Score,0.17,Rank,#362,Overall,#36,Time Series DBMS",siridb.com,docs.siridb.com,Cesbit,2017.0,,Open Source,MIT License,no,,C,Linux,yes,yes,no,yes,no,HTTP API,"C,C++,Go,Python",no,no,Sharding,yes,no,,no,no,yes,yes,yes,simple rights management via user accounts
NosDB,"Scalable JSON based,document store,for .NET",Document store,,"Score,0.17,Rank,#364,Overall,#54,Document stores",www.alachisoft.com/nosdb,www.alachisoft.com/resources/docs/#nosdb,Alachisoft,2016.0,,Open Source,Professional and Enterprise Versions available,no,,,,,,,,,,,,,,,,,,,,,,
Alibaba Cloud TSDB,"A stable, reliable, and cost-effective online high-performance time series database service",Time Series DBMS,,"Score,0.17,Rank,#365,Overall,#37,Time Series DBMS",www.alibabacloud.com/product/hitsdb,www.alibabacloud.com/help/doc-detail/55652.htm,Alibaba,,,commercial,,yes,,,hosted,schema-free,Numeric data and Strings,no,no,no,HTTP REST,Java,no,no,,,no,,no,no,yes,yes,no,Access managed on TSDB instance level
