Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,License_info,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Oracle,"Widely used,RDBMS",Relational DBMS,"Document store,Graph DBMS,RDF store,Spatial DBMS","Score,1228.28,Rank,#1,Overall,#1,Relational DBMS",www.oracle.com/database,docs.oracle.com/en/database,Oracle,1980.0,"21c, January 2021",commercial,restricted free version is available,no,,C and C++,"AIX,HP-UX,Linux,OS X,Solaris,Windows,z/OS",yes,yes,yes,yes,yes,"JDBC,ODBC,ODP.NET,Oracle Call Interface (OCI)","C,C#,C++,Clojure,Cobol,Delphi,Eiffel,Erlang,Fortran,Groovy,Haskell,Java,JavaScript,Lisp,Objective C,OCaml,Perl,PHP,Python,R,Ruby,Scala,Tcl,Visual Basic",PL/SQL,yes,"Sharding, horizontal partitioning","Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
MySQL,"Widely used open source,RDBMS",Relational DBMS,"Document store,Spatial DBMS","Score,1157.78,Rank,#2,Overall,#2,Relational DBMS",www.mysql.com,dev.mysql.com/doc,Oracle,1995.0,"8.0.32, January 2023",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no,"ScaleGrid for MySQL,: Fully managed MySQL hosting On-Premises and on a wide variety of cloud providers. Easily deploy, monitor, provision, and scale your deployments in the cloud.,PlanetScale,: Deploy a fully managed database with the reliability of MySQL and the scale of open source Vitess with PlanetScale today. Predictably scale, increase workflow velocity, and deploy features with zero downtime.",C and C++,"FreeBSD,Linux,OS X,Solaris,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC,Proprietary native API","Ada,C,C#,C++,D,Delphi,Eiffel,Erlang,Haskell,Java,JavaScript (Node.js),Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl",yes,yes,"horizontal partitioning, sharding with MySQL Cluster or MySQL Fabric","Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,Users with fine-grained authorization concept
Microsoft SQL Server,Microsofts flagship relational DBMS,Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,918.52,Rank,#3,Overall,#3,Relational DBMS",www.microsoft.com/en-us/sql-server,docs.microsoft.com/en-US/sql/sql-server,Microsoft,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no,,C++,"Linux,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC,OLE DB,Tabular Data Stream (TDS)","C#,C++,Delphi,Go,Java,JavaScript (Node.js),PHP,Python,R,Ruby,Visual Basic","Transact SQL, .NET languages, R, Python and (with SQL Server 2019) Java",yes,tables can be distributed across several files (horizontal partitioning); sharding through federation,"yes, but depending on the SQL-Server Edition",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
PostgreSQL,"Widely used open source,RDBMS",Relational DBMS,"Document store,Spatial DBMS","Score,608.41,Rank,#4,Overall,#4,Relational DBMS",www.postgresql.org,www.postgresql.org/docs,PostgreSQL Global Development Group,1989.0,"15.2, February 2023",Open Source,BSD,no,"ScaleGrid for PostgreSQL,: Fully managed PostgreSQL DBaaS hosting On-Premises and on clouds such as AWS, Azure, GCP and DigitalOcean with no vendor lock-in. Leverage any extension and get SSH access.,Aiven for PostgreSQL,: Fully managed and hosted PostgreSQL® with 70+ extensions and orchestration tooling included.",C,"FreeBSD,HP-UX,Linux,NetBSD,OpenBSD,OS X,Solaris,Unix,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,native C library,ODBC,streaming API for large objects",".Net,C,C++,Delphi,Java,JavaScript (Node.js),Perl,PHP,Python,Tcl",user defined functions,yes,"partitioning by range, list and (since PostgreSQL 11) by hash",Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
MongoDB,One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,Document store,"Spatial DBMS,Search engine,Time Series DBMS","Score,441.90,Rank,#5,Overall,#1,Document stores",www.mongodb.com,docs.mongodb.com/manual,"MongoDB, Inc",2009.0,"6.0.1, August 2022",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no,"ScaleGrid for MongoDB Database,: Fully managed hosting for MongoDB Database on a wide variety of cloud providers and On-Premises. Automate your management, scaling and backups through one centralized platform.",C++,"Linux,OS X,Solaris,Windows",schema-free,yes,,yes,Read-only SQL queries via the MongoDB Connector for BI,proprietary protocol using JSON,"Actionscript,C,C#,C++,Clojure,ColdFusion,D,Dart,Delphi,Erlang,Go,Groovy,Haskell,Java,JavaScript,Lisp,Lua,MatLab,Perl,PHP,PowerShell,Prolog,Python,R,Ruby,Rust,Scala,Smalltalk,Swift",JavaScript,yes,Sharding,"Multi-Source deployments with MongoDB Atlas Global Clusters,Source-replica replication",yes,"Eventual Consistency,Immediate Consistency",no,Multi-document ACID Transactions with snapshot isolation,yes,yes,yes,Access rights for users and roles
Redis,"Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",Key-value store,"Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS","Score,173.55,Rank,#6,Overall,#1,Key-value stores","redis.com,redis.io","docs.redis.com/latest/index.html,redis.io/documentation","Redis project core team, inspired by Salvatore Sanfilippo",2009.0,"7.0.10, March 2023",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no,"ScaleGrid Hosting for Redis,: Fully managed hosting for Redis on a wide variety of cloud providers and On-Premises. Get advanced monitoring and automate your management through one centralized platform.,Aiven for Redis,: Fully managed in-memory key-value store, for all your caching and speedy lookup needs.,Redis Enterprise Cloud,: Instantly scale and pay only for the resources you need - on any cloud - AWS, Azure or Google Cloud.",C,"BSD,Linux,OS X,Windows",schema-free,partial,no,yes,no,proprietary protocol,"C,C#,C++,Clojure,Crystal,D,Dart,Elixir,Erlang,Fancy,Go,Haskell,Haxe,Java,JavaScript (Node.js),Lisp,Lua,MatLab,Objective-C,OCaml,Pascal,Perl,PHP,Prolog,Pure Data,Python,R,Rebol,Ruby,Rust,Scala,Scheme,Smalltalk,Swift,Tcl,Visual Basic","Lua; Redis Functions coming in Redis 7 (,slides,and,Github,)","publish/subscribe channels provide some trigger functionality;,RedisGears",Sharding,"Multi-source replication,Source-replica replication","through,RedisGears","Eventual Consistency,Causal consistency can be enabled in Active-Active databases,Strong consistency with,Redis Raft,Strong eventual consistency with Active-Active",no,Atomic execution of command blocks and scripts and optimistic locking,yes,yes,yes,"Access Control Lists (ACLs):,redis.io/topics/acl,LDAP,and,Role-Based Access Control,(RBAC) for Redis Enterprise,Mutual TLS authentication:,redis.io/topics/encryption,Password-based authentication"
IBM Db2,"Common in IBM host environments, 2 different versions for host and Windows/Linux",Relational DBMS,"Document store,RDF store,Spatial DBMS","Score,145.49,Rank,#7,Overall,#5,Relational DBMS",www.ibm.com/analytics/db2,www.ibm.com/support/knowledgecenter/SSEPGG,IBM,1983.0,"12.1, October 2016",commercial,free version is available,no,,C and C++,"AIX,HP-UX,Linux,Solaris,Windows,z/OS",yes,yes,,yes,yes,"ADO.NET,JDBC,JSON style queries,ODBC,XQuery","C,C#,C++,Cobol,Delphi,Fortran,Java,Perl,PHP,Python,Ruby,Visual Basic",yes,yes,Sharding,yes,no,,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
Elasticsearch,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",Search engine,"Document store,Spatial DBMS","Score,141.08,Rank,#8,Overall,#1,Search engines",www.elastic.co/elasticsearch,www.elastic.co/guide/en/elasticsearch/reference/current/index.html,Elastic,2010.0,"8.6, January 2023",Open Source,Elastic License,no,,Java,All OS with a Java VM,schema-free,yes,no,yes,SQL-like query language,"Java API,RESTful HTTP/JSON API",".Net,Groovy,Community Contributed Clients,Java,JavaScript,Perl,PHP,Python,Ruby",yes,yes,Sharding,yes,ES-Hadoop Connector,Eventual Consistency,no,no,yes,yes,"Memcached,and,Redis,integration",
SQLite,"Widely used embeddable, in-process,RDBMS",Relational DBMS,,"Score,134.54,Rank,#9,Overall,#6,Relational DBMS",www.sqlite.org,www.sqlite.org/docs.html,Dwayne Richard Hipp,2000.0,"3.41.1  (10 March 2023), March 2023",Open Source,Public Domain,no,,C,server-less,yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC","Actionscript,Ada,Basic,C,C#,C++,D,Delphi,Forth,Fortran,Haskell,Java,JavaScript,Lisp,Lua,MatLab,Objective-C,OCaml,Perl,PHP,PL/SQL,Python,R,Ruby,Scala,Scheme,Smalltalk,Tcl",no,yes,none,none,no,,yes,ACID,yes,yes,yes,no
Microsoft Access,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,Relational DBMS,,"Score,131.37,Rank,#10,Overall,#7,Relational DBMS",www.microsoft.com/en-us/microsoft-365/access,developer.microsoft.com/en-us/access,Microsoft,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no,,C++,Windows,yes,yes,,yes,yes,"ADO.NET,DAO,ODBC,OLE DB","C,C#,C++,Delphi,Java (JDBC-ODBC),VBA,Visual Basic.NET",yes,yes,none,none,no,,yes,ACID,yes,yes,,no
Cassandra,Wide-column store based on ideas of BigTable and DynamoDB,Wide column store,,"Score,111.81,Rank,#11,Overall,#1,Wide column stores",cassandra.apache.org,cassandra.apache.org/doc/latest,Apache Software Foundation,2008.0,"4.1.0, December 2022",Open Source,Apache version 2,no,"Aiven for Apache Cassandra,: Fully managed, open source NoSQL database specifically designed to be highly available, performant, and scalable.,Astra DB,: Multi-cloud DBaaS built on Apache Cassandra.",Java,"BSD,Linux,OS X,Windows",schema-free,yes,no,restricted,"SQL-like SELECT, DML and DDL statements (CQL)","Proprietary protocol,Thrift","C#,C++,Clojure,Erlang,Go,Haskell,Java,JavaScript,Perl,PHP,Python,Ruby,Scala",no,yes,Sharding,selectable replication factor,yes,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,no,Access rights for users can be defined per object
Snowflake,Cloud-based data warehousing service for structured and semi-structured data,Relational DBMS,,"Score,111.12,Rank,#12,Overall,#8,Relational DBMS",www.snowflake.com,docs.snowflake.net/manuals/index.html,Snowflake Computing Inc.,2014.0,,commercial,,yes,,,hosted,yes,yes,yes,,yes,"CLI Client,JDBC,ODBC","JavaScript (Node.js),Python",user defined functions,no,yes,yes,no,Immediate Consistency,yes,ACID,yes,yes,no,"Users with fine-grained authorization concept, user roles and pluggable authentication"
MariaDB,"MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,95.93,Rank,#13,Overall,#9,Relational DBMS","mariadb.com,mariadb.org",mariadb.com/kb/en/library,"MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",2009.0,"10.10.3, February 2023",Open Source,"GPL version 2, commercial enterprise subscription available",no,"SkySQL (The Ultimate MariaDB Cloud),: The first and only DBaaS to bring the full power of MariaDB Platform to the cloud, combining powerful enterprise features and world-class support with unrivaled ease of use and groundbreaking innovation.",C and C++,"FreeBSD,Linux,Solaris,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC,Proprietary native API","Ada,C,C#,C++,D,Eiffel,Erlang,Go,Haskell,Java,JavaScript (Node.js),Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl",yes,yes,several options for horizontal partitioning and Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Splunk,Analytics Platform for Big Data,Search engine,,"Score,85.44,Rank,#14,Overall,#2,Search engines",www.splunk.com,docs.splunk.com/Documentation/Splunk,Splunk Inc.,2003.0,,commercial,Limited free edition and free developer edition available,no,,,"Linux,OS X,Solaris,Windows",yes,yes,yes,yes,no,HTTP REST,"C#,Java,JavaScript,PHP,Python,Ruby",yes,yes,Sharding,Multi-source replication,yes,Eventual Consistency,no,no,yes,yes,no,Access rights for users and roles
Microsoft Azure SQL Database,"Database as a Service offering with high compatibility to,Microsoft SQL Server",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,79.06,Rank,#15,Overall,#10,Relational DBMS",azure.microsoft.com/en-us/services/sql-database,docs.microsoft.com/en-us/azure/azure-sql,Microsoft,2010.0,V12,commercial,,yes,,C++,hosted,yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC",".Net,C#,Java,JavaScript (Node.js),PHP,Python,Ruby",Transact SQL,yes,,"yes, with always 3 replicas available",no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
Amazon DynamoDB,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud","Document store,Key-value store",,"Score,77.45,Rank,#16,Overall,#2,Document stores,#2,Key-value stores",aws.amazon.com/dynamodb,docs.aws.amazon.com/dynamodb,Amazon,2012.0,,commercial,free tier for a limited amount of database operations,yes,,,hosted,schema-free,yes,,yes,no,RESTful HTTP API,".Net,ColdFusion,Erlang,Groovy,Java,JavaScript,Perl,PHP,Python,Ruby",no,yes,Sharding,yes,no,"Eventual Consistency,Immediate Consistency",no,ACID,yes,yes,,Access rights for users and roles can be defined via the AWS Identity and Access Management (IAM)
Hive,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",Relational DBMS,,"Score,71.65,Rank,#17,Overall,#11,Relational DBMS",hive.apache.org,cwiki.apache.org/confluence/display/Hive/Home,Apache Software Foundation,2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no,,Java,All OS with a Java VM,yes,yes,,yes,SQL-like DML and DDL statements,"JDBC,ODBC,Thrift","C++,Java,PHP,Python",yes,no,Sharding,selectable replication factor,yes,Eventual Consistency,no,no,yes,yes,,"Access rights for users, groups and roles"
Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),Relational DBMS,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS","Score,61.59,Rank,#18,Overall,#12,Relational DBMS",www.teradata.com,docs.teradata.com,Teradata,1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no,,,"hosted,Linux",yes,yes,yes,yes,yes,".NET Client API,HTTP REST,JDBC,JMS Adapter,ODBC,OLE DB","C,C++,Cobol,Java (JDBC-ODBC),Perl,PL/1,Python,R,Ruby",yes,yes,Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,"Document store,Relational DBMS",,"Score,60.97,Rank,#19,Overall,#3,Document stores,#13,Relational DBMS",databricks.com,databricks.com/documentation,Databricks,2013.0,,Open Source,,yes,,,hosted,"Flexible Schema (defined schema, partial schema, schema free)",,yes,yes,with Databricks SQL,"JDBC,ODBC,RESTful HTTP API","Python,R,Scala",user defined functions and aggregates,,,yes,,Immediate Consistency,,ACID,yes,yes,no,
Google BigQuery,Large scale data warehouse service with append-only tables,Relational DBMS,,"Score,53.32,Rank,#20,Overall,#14,Relational DBMS",cloud.google.com/bigquery,cloud.google.com/bigquery/docs,Google,2010.0,,commercial,,yes,,,hosted,yes,yes,no,no,yes,RESTful HTTP/JSON API,".Net,Java,JavaScript,Objective-C,PHP,Python,Ruby",user defined functions,no,none,,no,Immediate Consistency,no,no,yes,yes,no,"Access privileges (owner, writer, reader) on dataset, table or view level"
Neo4j,"Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",Graph DBMS,,"Score,51.60,Rank,#21,Overall,#1,Graph DBMS",neo4j.com,neo4j.com/docs,"Neo4j, Inc.",2007.0,,Open Source,"GPL version3, commercial licenses available",no,"Neo4j Aura,: Neo4j’s fully managed cloud service: The zero-admin, always-on graph database for cloud developers.",,"Linux,OS X,Solaris,Windows",schema-free and schema-optional,yes,,yes,no,"Bolt protocol,Cypher query language,Java API,Neo4j-OGM,RESTful HTTP API,Spring Data Neo4j,TinkerPop 3",".Net,Clojure,Elixir,Go,Groovy,Haskell,Java,JavaScript,Perl,PHP,Python,Ruby,Scala",yes,yes,yes using Neo4j Fabric,,no,"Causal and Eventual Consistency configurable in Causal Cluster setup,Immediate Consistency in stand-alone mode",yes,ACID,yes,yes,,"Users, roles and permissions. Pluggable authentication with supported standards (LDAP, Active Directory, Kerberos)"
SAP HANA,"In-memory, column based data store. Available as appliance or cloud service",Relational DBMS,,"Score,51.08,Rank,#22,Overall,#15,Relational DBMS",www.sap.com/products/hana.html,help.sap.com/hana,SAP,2010.0,,commercial,,no,,,Appliance or cloud-service,yes,yes,no,yes,yes,"JDBC,ODBC",,"SQLScript, R",yes,yes,,no,Immediate Consistency,yes,ACID,yes,yes,yes,yes
FileMaker,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",Relational DBMS,,"Score,50.00,Rank,#23,Overall,#16,Relational DBMS",www.claris.com/filemaker,www.claris.com/resources/documentation,FileMaker,1983.0,,commercial,,no,,,"iOS,Linux,OS X,Windows",yes,yes,yes,yes,yes,"Filemaker WebDirect,JDBC,ODBC",PHP,yes,yes,none,,no,,yes,no,yes,yes,,simple rights management via user accounts and connection to external directory services
Solr,"A widely used distributed, scalable,search engine,based on,Apache Lucene",Search engine,,"Score,48.22,Rank,#24,Overall,#3,Search engines",lucene.apache.org/solr,lucene.apache.org/solr/resources.html,Apache Software Foundation,2006.0,,Open Source,Apache Version 2,no,,,All OS with a Java VM,yes,yes,yes,yes,Solr Parallel SQL Interface,"Java API,RESTful HTTP/JSON API",".Net,Erlang,Java,JavaScript,any language that supports sockets and either XML or JSON,Perl,PHP,Python,Ruby,Scala",Java plugins,yes,Sharding,,"spark-solr:,github.com/lucidworks/spark-solr,and streaming expressions to reduce",Eventual Consistency,no,optimistic locking,yes,yes,yes,yes
SAP Adaptive Server,"The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",Relational DBMS,,"Score,42.87,Rank,#25,Overall,#17,Relational DBMS",www.sap.com/products/sybase-ase.html,help.sap.com/viewer/product/SAP_ASE,"SAP, Sybase",1987.0,,commercial,,no,,,"AIX,HP-UX,Linux,Solaris,Unix,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC,OLE DB,Tabular Data Stream (TDS)","C,C++,Cobol,Java,Java,Perl,PHP,Python",Java and Transact-SQL,yes,horizontal partitioning,,no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
HBase,Wide-column store based on Apache Hadoop and on concepts of BigTable,Wide column store,,"Score,37.79,Rank,#26,Overall,#2,Wide column stores",hbase.apache.org,hbase.apache.org,Apache Software Foundation,2008.0,,Open Source,Apache version 2,no,,,"Linux,Unix,Windows","schema-free, schema definition possible","options to bring your own types, AVRO",no,no,no,"Java API,RESTful HTTP API,Thrift","C,C#,C++,Groovy,Java,PHP,Python,Scala",yes,yes,Sharding,,yes,Immediate Consistency or Eventual Consistency,no,Single row ACID (across millions of columns),yes,yes,yes,"Access Control Lists (ACL) for RBAC, integration with Apache Ranger for RBAC & ABAC"
Microsoft Azure Cosmos DB,"Globally distributed, horizontally scalable, multi-model database service","Document store,Graph DBMS,Key-value store,Wide column store",,"Score,35.08,Rank,#27,Overall,#4,Document stores,#2,Graph DBMS,#3,Key-value stores,#3,Wide column stores",azure.microsoft.com/services/cosmos-db,docs.microsoft.com/azure/cosmos-db,Microsoft,2014.0,,commercial,,yes,,,hosted,schema-free,yes,,yes,SQL-like query language,"DocumentDB API,Graph API (Gremlin),MongoDB API,RESTful HTTP API,Table API",".Net,C#,Java,JavaScript,JavaScript (Node.js),MongoDB client drivers written for various programming languages,Python",JavaScript,JavaScript,Sharding,,with Hadoop integration,"Bounded Staleness,Consistent Prefix,Eventual Consistency,Immediate Consistency,Session Consistency",no,Multi-item ACID transactions with snapshot isolation within a partition,yes,yes,,Access rights can be defined down to the item level
PostGIS,"Spatial extension of,PostgreSQL",Spatial DBMS,,"Score,29.41,Rank,#28,Overall,#1,Spatial DBMS",postgis.net,postgis.net/documentation,,2005.0,,Open Source,GPL v2.0,no,,,,yes,yes,yes,yes,yes,,,user defined functions,yes,yes,,no,Immediate Consistency,yes,ACID,yes,yes,no,yes
InfluxDB,"DBMS for storing time series, events and metrics",Time Series DBMS,,"Score,28.59,Rank,#29,Overall,#1,Time Series DBMS",www.influxdata.com/products/influxdb-overview,docs.influxdata.com/influxdb,,2013.0,,Open Source,MIT-License; commercial enterprise version available,no,,,"Linux,OS X",schema-free,Numeric data and Strings,no,no,SQL-like query language,"HTTP API,JSON over UDP",".Net,Clojure,Erlang,Go,Haskell,Java,JavaScript,JavaScript (Node.js),Lisp,Perl,PHP,Python,R,Ruby,Rust,Scala",no,no,Sharding,,no,,no,no,yes,yes,yes,simple rights management via user accounts
Couchbase,"A distributed,document store,with a powerful search engine and in-built operational and analytical capabilities",Document store,,"Score,23.75,Rank,#30,Overall,#5,Document stores",www.couchbase.com,docs.couchbase.com,"Couchbase, Inc.",2011.0,,Open Source,Apache version 2; Commercial licenses also available,no,"Couchbase Capella,: a fully managed database-as-a-service that eliminates database management efforts and reduces cost",,"Linux,OS X,Windows",schema-free,yes,,yes,Declarative query language (N1QL) that extends ANSI SQL to JSON. First commercial implementation of SQL++.,"Native language bindings for CRUD, Query, Search and Analytics APIs",".Net,C,Go,Java,JavaScript,PHP,Python,Ruby,Scala",Functions and timers in JavaScript,yes,Sharding,,yes,"Eventual Consistency,Immediate Consistency",no,ACID,yes,yes,yes,User and Administrator separation with password-based and LDAP integrated Authentication
Firebird,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",Relational DBMS,,"Score,23.33,Rank,#31,Overall,#18,Relational DBMS",www.firebirdsql.org,www.firebirdsql.org/en/reference-manuals,Firebird Foundation,2000.0,,Open Source,Initial Developer's Public License,no,,,"AIX,FreeBSD,HP-UX,Linux,OS X,server-less,Solaris,Unix,Windows",yes,yes,,yes,yes,"ADO.NET,C/C++ API,JDBC,ODBC,OLE DB","C,C#,C++,Delphi,Java,JavaScript,Lua,Perl,PHP,Python,Ruby",PSQL,yes,none,,no,,yes,ACID,yes,yes,,Users with fine-grained authorization concept
Memcached,"In-memory key-value store, originally intended for caching",Key-value store,,"Score,21.99,Rank,#32,Overall,#4,Key-value stores",www.memcached.org,github.com/memcached/memcached/wiki,Danga Interactive,2003.0,,Open Source,BSD license,no,,,"FreeBSD,Linux,OS X,Unix,Windows",schema-free,no,,no,no,Proprietary protocol,".Net,C,C++,ColdFusion,Erlang,Java,Lisp,Lua,OCaml,Perl,PHP,Python,Ruby",no,no,none,,no,,no,no,yes,no,,yes
Informix,"A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",Relational DBMS,,"Score,21.49,Rank,#33,Overall,#19,Relational DBMS",www.ibm.com/products/informix,"informix.hcldoc.com,www.ibm.com/support/knowledgecenter/SSGU8G/welcomeIfxServers.html","IBM, HCL Technologies",1984.0,,commercial,free developer edition available,no,,,"AIX,HP-UX,Linux,macOS,Solaris,Windows",yes,yes,,yes,yes,"JDBC,JSON API,MQTT (Message Queue Telemetry Transport),ODBC,RESTful HTTP API",".Net,C,C++,Java,JavaScript (Node.js),PHP,Python,Ruby",yes,yes,Sharding,,no,Immediate Consistency,yes,ACID,yes,yes,yes,"Users with fine-grained authentication, authorization, and auditing controls"
Microsoft Azure Synapse Analytics,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",Relational DBMS,,"Score,21.08,Rank,#34,Overall,#20,Relational DBMS",azure.microsoft.com/services/synapse-analytics,docs.microsoft.com/azure/synapse-analytics,Microsoft,2016.0,,commercial,,yes,,,hosted,yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC","C#,Java,PHP",Transact SQL,no,"Sharding, horizontal partitioning",,no,Immediate Consistency,no,ACID,yes,yes,,yes
Spark SQL,Spark SQL is a component on top of 'Spark Core' for structured data processing,Relational DBMS,,"Score,19.62,Rank,#35,Overall,#21,Relational DBMS",spark.apache.org/sql,spark.apache.org/docs/latest/sql-programming-guide.html,Apache Software Foundation,2014.0,,Open Source,Apache 2.0,no,,,"Linux,OS X,Windows",yes,yes,no,no,SQL-like DML and DDL statements,"JDBC,ODBC","Java,Python,R,Scala",no,no,"yes, utilizing Spark Core",,,,no,no,yes,yes,no,no
Amazon Redshift,Large scale data warehouse service for use with business intelligence tools,Relational DBMS,,"Score,19.45,Rank,#36,Overall,#22,Relational DBMS",aws.amazon.com/redshift,docs.aws.amazon.com/redshift,"Amazon (based on,PostgreSQL,)",2012.0,,commercial,,yes,,,hosted,yes,yes,no,restricted,yes,"JDBC,ODBC",All languages supporting JDBC/ODBC,user defined functions,no,Sharding,,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Firebase Realtime Database,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",Document store,,"Score,18.22,Rank,#37,Overall,#6,Document stores",firebase.google.com/products/realtime-database,firebase.google.com/docs/database,Google,2012.0,,commercial,,yes,,,hosted,schema-free,yes,no,yes,no,"Android,iOS,JavaScript API,RESTful HTTP API","Java,JavaScript,Objective-C",limited functionality with using 'rules',Callbacks are triggered when data changes,,,no,"Eventual Consistency,Immediate Consistency",no,yes,yes,yes,,"yes, based on authentication and database rules"
Impala,Analytic DBMS for Hadoop,Relational DBMS,,"Score,17.59,Rank,#38,Overall,#23,Relational DBMS",www.cloudera.com/products/open-source/apache-hadoop/impala.html,docs.cloudera.com/documentation/enterprise/latest/topics/impala.html,Cloudera,2013.0,,Open Source,Apache Version 2,no,,,Linux,yes,yes,no,yes,SQL-like DML and DDL statements,"JDBC,ODBC",All languages supporting JDBC/ODBC,yes,no,Sharding,,yes,Eventual Consistency,no,no,yes,yes,no,"Access rights for users, groups and roles"
Vertica,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",Relational DBMS,,"Score,15.98,Rank,#39,Overall,#24,Relational DBMS",www.vertica.com,vertica.com/documentation,OpenText,2005.0,,commercial,Limited community edition free,no,"Vertica Accelerator,’s high-performance analytics and machine learning with SQL or Python is available as SaaS.",,Linux,"Yes, but also semi-structure/unstructured data storage, and complex hierarchical data (like Parquet) stored and/or queried.",yes,no,"No Indexes Required. Different internal optimization strategy, but same functionality included.","Full 1999 standard plus machine learning, time series and geospatial. Over 650 functions.","ADO.NET,JDBC,Kafka Connector,ODBC,RESTful HTTP API,Spark Connector,vSQL","C#,C++,Go,Java,JavaScript (Node.js),Perl,PHP,Python,R","yes, PostgreSQL PL/pgSQL, with minor differences","yes, called Custom Alerts","horizontal partitioning, hierarchical partitioning",,no,Immediate Consistency,yes,ACID,yes,yes,no,"fine grained access rights according to SQL-standard; supports Kerberos, LDAP, Ident and hash"
