Rank_Jun-2023,Rank_May-2023,Rank_Jun-2022,DBMS,Database Model,Score_Jun-2023,Score_May-2023,Score_Jun-2022,DBMS_insitelink,Multi_model_info
351.,336.,315.,Sparksee,Graph,0.27,-0.08,+0.17,https://db-engines.com/en/system/Sparksee,
352.,340.,,Tigris,Multi-model,0.27,-0.06,,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS"
353.,348.,261.,Alibaba Cloud Table Store,Wide column,0.27,-0.01,-0.11,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,
354.,349.,333.,Fujitsu Enterprise Postgres,"Relational, Multi-model",0.26,-0.01,+0.21,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS"
355.,360.,347.,Hawkular Metrics,Time Series,0.26,+0.02,+0.24,https://db-engines.com/en/system/Hawkular+Metrics,
356.,,,MyScale,Multi-model,0.26,,,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS"
357.,343.,363.,HyperLevelDB,Key-value,0.26,-0.05,+0.26,https://db-engines.com/en/system/HyperLevelDB,
358.,344.,341.,H2GIS,"Spatial DBMS, Multi-model",0.25,-0.06,+0.22,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS"
359.,346.,361.,Blueflood,Time Series,0.25,-0.05,+0.24,https://db-engines.com/en/system/Blueflood,
360.,364.,363.,Edge Intelligence,Relational,0.24,+0.00,+0.24,https://db-engines.com/en/system/Edge+Intelligence,
361.,374.,285.,Alibaba Cloud TSDB,Time Series,0.23,+0.02,0.00,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,
362.,347.,344.,SenseiDB,Document,0.22,-0.07,+0.20,https://db-engines.com/en/system/SenseiDB,
363.,371.,244.,IBM Db2 Event Store,Multi-model,0.21,-0.01,-0.25,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS"
364.,351.,363.,RaptorDB,Document,0.21,-0.05,+0.21,https://db-engines.com/en/system/RaptorDB,
