Rank_Jan-2024,Rank_Dec-2023,Rank_Jan-2023,DBMS,Database Model,Score_Jan-2024,Score_Dec-2023,Score_Jan-2023,DBMS_insitelink,Multi_model_info
24.,24.,24.,Solr,"Search engine, Multi-model",45.13,+0.93,-1.26,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",39.42,-1.23,-3.42,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,27.,26.,HBase,Wide column,33.86,+0.75,-5.48,https://db-engines.com/en/system/HBase,
27.,26.,27.,Microsoft Azure Cosmos DB,Multi-model,33.47,-1.07,-4.49,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,28.,InfluxDB,"Time Series, Multi-model",27.56,-0.56,-1.80,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,33.,Firebird,Relational,27.00,-0.93,+4.12,https://db-engines.com/en/system/Firebird,
30.,30.,29.,PostGIS,"Spatial DBMS, Multi-model",26.65,-0.71,-2.50,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
31.,31.,34.,Microsoft Azure Synapse Analytics,Relational,26.28,-0.36,+4.36,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
32.,32.,32.,Amazon Redshift,Relational,22.30,+0.07,-0.96,https://db-engines.com/en/system/Amazon+Redshift,
33.,33.,30.,Couchbase,"Document, Multi-model",21.19,-0.74,-4.12,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS"
34.,34.,35.,Informix,"Relational, Multi-model",20.68,-0.26,-0.78,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
35.,35.,31.,Memcached,Key-value,19.70,+0.54,-4.05,https://db-engines.com/en/system/Memcached,
36.,36.,36.,Spark SQL,Relational,19.15,+0.28,-0.91,https://db-engines.com/en/system/Spark+SQL,
37.,39.,44.,ClickHouse,"Relational, Multi-model",17.35,+0.39,+3.77,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
38.,37.,39.,Impala,"Relational, Multi-model",16.67,-0.72,-1.32,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store"
39.,38.,37.,Firebase Realtime Database,Document,16.64,-0.45,-2.12,https://db-engines.com/en/system/Firebase+Realtime+Database,
40.,41.,42.,dBASE,Relational,14.51,-0.09,+0.43,https://db-engines.com/en/system/dBASE,
41.,40.,43.,Presto,Relational,14.23,-0.57,+0.54,https://db-engines.com/en/system/Presto,
42.,42.,48.,OpenSearch,"Search engine, Multi-model",13.95,+0.36,+3.51,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
43.,43.,,Apache Flink,Relational,13.93,+0.48,,https://db-engines.com/en/system/Apache+Flink,
44.,44.,38.,Vertica,"Relational, Multi-model",13.23,-0.07,-4.77,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
45.,46.,41.,CouchDB,"Document, Multi-model",13.13,+0.08,-1.76,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
46.,45.,40.,Netezza,Relational,12.55,-0.62,-3.72,https://db-engines.com/en/system/Netezza,
47.,47.,46.,Google Cloud Firestore,Document,11.12,+0.07,+0.03,https://db-engines.com/en/system/Google+Cloud+Firestore,
48.,48.,45.,Greenplum,"Relational, Multi-model",10.40,-0.17,-0.80,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
49.,49.,47.,Amazon Aurora,"Relational, Multi-model",9.85,+0.38,-1.03,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store"
50.,52.,62.,Prometheus,Time Series,8.95,+0.61,+2.19,https://db-engines.com/en/system/Prometheus,
51.,50.,54.,H2,"Relational, Multi-model",8.46,-0.26,+0.16,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
52.,51.,52.,etcd,Key-value,8.27,-0.11,-0.23,https://db-engines.com/en/system/etcd,
53.,54.,51.,Oracle Essbase,Relational,8.22,+0.13,-0.42,https://db-engines.com/en/system/Oracle+Essbase,
54.,57.,49.,Hazelcast,"Key-value, Multi-model",8.14,+0.22,-1.20,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
55.,56.,53.,Realm,Document,8.11,+0.15,-0.22,https://db-engines.com/en/system/Realm,
56.,53.,60.,Kdb,Multi-model,7.97,-0.31,+1.08,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
57.,55.,55.,Datastax Enterprise,"Wide column, Multi-model",7.90,-0.10,+0.20,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
58.,58.,50.,MarkLogic,Multi-model,7.78,-0.01,-1.07,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
59.,59.,66.,Aerospike,Multi-model,6.76,-0.42,+0.28,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
60.,64.,57.,CockroachDB,Relational,6.60,+0.05,-0.59,https://db-engines.com/en/system/CockroachDB,
61.,61.,68.,Derby,Relational,6.52,-0.34,+0.46,https://db-engines.com/en/system/Derby,
62.,62.,58.,Algolia,Search engine,6.49,-0.24,-0.51,https://db-engines.com/en/system/Algolia,
63.,60.,65.,Microsoft Azure Data Explorer,"Relational, Multi-model",6.45,-0.48,-0.10,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
64.,68.,56.,SingleStore,"Relational, Multi-model",6.22,+0.24,-1.13,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
65.,66.,61.,Microsoft Azure AI Search,"Search engine, Multi-model",6.21,-0.05,-0.57,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
66.,63.,77.,ScyllaDB,"Wide column, Multi-model",6.19,-0.38,+0.86,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
67.,65.,69.,Ehcache,Key-value,6.14,-0.30,+0.14,https://db-engines.com/en/system/Ehcache,
68.,69.,59.,Sphinx,Search engine,6.09,+0.12,-0.84,https://db-engines.com/en/system/Sphinx,
69.,67.,72.,Jackrabbit,Content,6.05,-0.20,+0.17,https://db-engines.com/en/system/Jackrabbit,
70.,71.,70.,Interbase,Relational,5.97,+0.07,-0.01,https://db-engines.com/en/system/Interbase,
71.,74.,79.,Riak KV,Key-value,5.64,+0.18,+0.41,https://db-engines.com/en/system/Riak+KV,
72.,70.,74.,Microsoft Azure Table Storage,Wide column,5.61,-0.31,-0.21,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
73.,73.,78.,SAP SQL Anywhere,Relational,5.52,-0.04,+0.26,https://db-engines.com/en/system/SAP+SQL+Anywhere,
74.,72.,67.,Ingres,Relational,5.46,-0.25,-0.65,https://db-engines.com/en/system/Ingres,
75.,75.,63.,Graphite,Time Series,5.27,-0.19,-1.44,https://db-engines.com/en/system/Graphite,
76.,77.,85.,TimescaleDB,"Time Series, Multi-model",5.24,-0.05,+0.70,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
77.,78.,73.,Virtuoso,Multi-model,5.08,-0.19,-0.80,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
78.,79.,87.,Apache Jena - TDB,RDF,5.02,-0.21,+0.53,https://db-engines.com/en/system/Apache+Jena+-+TDB,
79.,76.,64.,Google Cloud Datastore,Document,4.99,-0.35,-1.68,https://db-engines.com/en/system/Google+Cloud+Datastore,
80.,80.,84.,Trino,"Relational, Multi-model",4.91,-0.16,+0.35,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
81.,85.,75.,Accumulo,Wide column,4.83,+0.42,-0.87,https://db-engines.com/en/system/Accumulo,
82.,82.,82.,Adabas,Multivalue,4.62,+0.01,-0.16,https://db-engines.com/en/system/Adabas,
83.,81.,81.,HyperSQL,Relational,4.59,-0.25,-0.40,https://db-engines.com/en/system/HyperSQL,
84.,86.,71.,Ignite,Multi-model,4.48,+0.16,-1.42,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS"
85.,96.,113.,DolphinDB,"Time Series, Multi-model",4.46,+0.55,+1.66,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS"
86.,91.,153.,DuckDB,Relational,4.41,+0.36,+2.73,https://db-engines.com/en/system/DuckDB,
87.,88.,102.,TiDB,"Relational, Multi-model",4.35,+0.12,+0.92,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
88.,83.,80.,ArangoDB,Multi-model,4.35,-0.08,-0.73,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
89.,84.,93.,"UniData,UniVerse",Multivalue,4.27,-0.14,-0.05,https://db-engines.com/en/system/UniData%2CUniVerse,
90.,89.,89.,OrientDB,Multi-model,4.20,+0.10,-0.28,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
91.,90.,76.,Google Cloud Bigtable,Multi-model,4.18,+0.12,-1.29,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
92.,97.,95.,RavenDB,"Document, Multi-model",4.12,+0.22,-0.13,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
93.,94.,88.,RocksDB,Key-value,4.10,+0.10,-0.38,https://db-engines.com/en/system/RocksDB,
94.,95.,92.,GemFire,"Key-value, Multi-model",3.99,+0.03,-0.35,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
95.,98.,94.,OpenEdge,Relational,3.87,+0.01,-0.40,https://db-engines.com/en/system/OpenEdge,
96.,87.,83.,SAP IQ,Relational,3.82,-0.45,-0.77,https://db-engines.com/en/system/SAP+IQ,
97.,93.,96.,Oracle NoSQL,Multi-model,3.71,-0.31,-0.26,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
98.,105.,98.,RethinkDB,"Document, Multi-model",3.63,+0.31,+0.05,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
99.,104.,129.,Apache Druid,Multi-model,3.58,+0.24,+1.26,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
100.,100.,99.,Infinispan,Key-value,3.55,-0.03,-0.01,https://db-engines.com/en/system/Infinispan,
101.,92.,91.,Google Cloud Spanner,Relational,3.49,-0.53,-0.91,https://db-engines.com/en/system/Google+Cloud+Spanner,
102.,102.,86.,YugabyteDB,"Relational, Multi-model",3.47,+0.10,-1.04,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
103.,106.,137.,TDengine,"Time Series, Multi-model",3.43,+0.22,+1.33,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
104.,108.,97.,LevelDB,Key-value,3.39,+0.21,-0.25,https://db-engines.com/en/system/LevelDB,
105.,99.,90.,IBM Cloudant,Document,3.32,-0.31,-1.09,https://db-engines.com/en/system/IBM+Cloudant,
106.,110.,103.,Oracle Berkeley DB,Multi-model,3.28,+0.15,+0.03,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
107.,101.,101.,MaxDB,Relational,3.27,-0.24,-0.19,https://db-engines.com/en/system/MaxDB,
108.,103.,179.,Pinecone,Vector,3.21,-0.16,+1.93,https://db-engines.com/en/system/Pinecone,
109.,109.,178.,Memgraph,Graph,3.15,-0.03,+1.83,https://db-engines.com/en/system/Memgraph,
110.,107.,118.,4D,Relational,3.07,-0.12,+0.41,https://db-engines.com/en/system/4D,
111.,115.,114.,CloudKit,Document,2.91,+0.04,+0.11,https://db-engines.com/en/system/CloudKit,
112.,113.,100.,PouchDB,Document,2.88,-0.03,-0.59,https://db-engines.com/en/system/PouchDB,
113.,122.,112.,Amazon Neptune,Multi-model,2.87,+0.11,+0.07,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
114.,128.,128.,Geode,Key-value,2.82,+0.22,+0.47,https://db-engines.com/en/system/Geode,
115.,116.,116.,RRDtool,Time Series,2.80,-0.01,+0.09,https://db-engines.com/en/system/RRDtool,
116.,125.,166.,NebulaGraph,Graph,2.80,+0.13,+1.29,https://db-engines.com/en/system/NebulaGraph,
117.,127.,105.,Percona Server for MySQL,Relational,2.78,+0.17,-0.41,https://db-engines.com/en/system/Percona+Server+for+MySQL,
118.,111.,126.,HEAVY.AI,"Relational, Multi-model",2.77,-0.24,+0.35,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
119.,114.,117.,EXASOL,Relational,2.77,-0.14,+0.06,https://db-engines.com/en/system/EXASOL,
120.,120.,124.,GraphDB,Multi-model,2.73,-0.05,+0.20,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
121.,137.,144.,QuestDB,"Time Series, Multi-model",2.72,+0.42,+0.83,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
122.,118.,104.,Apache Drill,Multi-model,2.71,-0.09,-0.50,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
123.,123.,122.,LMDB,Key-value,2.68,-0.08,+0.11,https://db-engines.com/en/system/LMDB,
124.,112.,106.,Apache Phoenix,Relational,2.67,-0.30,-0.44,https://db-engines.com/en/system/Apache+Phoenix,
125.,119.,111.,InterSystems Caché,Multi-model,2.66,-0.14,-0.16,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,"Key-value store,Object oriented DBMS,Relational DBMS,Document store"
126.,132.,120.,Oracle Coherence,Key-value,2.64,+0.16,+0.02,https://db-engines.com/en/system/Oracle+Coherence,
127.,124.,107.,InterSystems IRIS,Multi-model,2.54,-0.17,-0.50,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
128.,121.,115.,EDB Postgres,"Relational, Multi-model",2.54,-0.24,-0.22,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
129.,117.,108.,Citus,"Relational, Multi-model",2.53,-0.28,-0.49,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
130.,126.,131.,Coveo,Search engine,2.52,-0.14,+0.26,https://db-engines.com/en/system/Coveo,
131.,138.,119.,JanusGraph,Graph,2.51,+0.21,-0.13,https://db-engines.com/en/system/JanusGraph,
132.,130.,123.,Amazon CloudSearch,Search engine,2.42,-0.07,-0.12,https://db-engines.com/en/system/Amazon+CloudSearch,
133.,134.,,Firebolt,Relational,2.37,-0.05,,https://db-engines.com/en/system/Firebolt,
134.,133.,136.,Datomic,Relational,2.35,-0.09,+0.26,https://db-engines.com/en/system/Datomic,
135.,129.,125.,Amazon SimpleDB,Key-value,2.34,-0.22,-0.14,https://db-engines.com/en/system/Amazon+SimpleDB,
136.,131.,110.,IMS,Navigational,2.33,-0.16,-0.58,https://db-engines.com/en/system/IMS,
137.,135.,132.,SpatiaLite,"Spatial DBMS, Multi-model",2.30,-0.09,+0.07,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
138.,136.,164.,Empress,Relational,2.29,-0.02,+0.78,https://db-engines.com/en/system/Empress,
139.,140.,,Chroma,Vector,2.23,-0.03,,https://db-engines.com/en/system/Chroma,
140.,148.,121.,OpenTSDB,Time Series,2.21,+0.16,-0.36,https://db-engines.com/en/system/OpenTSDB,
141.,139.,155.,Stardog,Multi-model,2.19,-0.08,+0.58,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
142.,143.,134.,MonetDB,"Relational, Multi-model",2.19,-0.01,+0.02,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
143.,141.,139.,GridDB,"Time Series, Multi-model",2.17,-0.06,+0.13,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
144.,142.,143.,BaseX,Native XML,2.14,-0.08,+0.23,https://db-engines.com/en/system/BaseX,
145.,158.,146.,Tarantool,Multi-model,2.10,+0.26,+0.22,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
146.,150.,138.,Tibero,Relational,2.06,+0.03,-0.02,https://db-engines.com/en/system/Tibero,
147.,145.,141.,Amazon DocumentDB,Document,2.05,-0.08,+0.06,https://db-engines.com/en/system/Amazon+DocumentDB,
148.,155.,,PlanetScale,"Relational, Multi-model",2.05,+0.11,,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
149.,149.,280.,Weaviate,Vector,2.03,0.00,+1.61,https://db-engines.com/en/system/Weaviate,
150.,146.,145.,jBASE,Multivalue,2.02,-0.05,+0.13,https://db-engines.com/en/system/jBASE,
151.,152.,133.,TigerGraph,Graph,2.00,+0.04,-0.20,https://db-engines.com/en/system/TigerGraph,
152.,163.,149.,Fauna,Multi-model,1.96,+0.20,+0.19,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
153.,154.,127.,VoltDB,Relational,1.95,+0.01,-0.45,https://db-engines.com/en/system/VoltDB,
154.,144.,142.,Db4o,Object oriented,1.92,-0.23,-0.04,https://db-engines.com/en/system/Db4o,
155.,151.,148.,Dgraph,Graph,1.89,-0.11,+0.09,https://db-engines.com/en/system/Dgraph,
156.,147.,130.,GridGain,Multi-model,1.89,-0.18,-0.43,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS"
157.,162.,135.,IBM Db2 warehouse,Relational,1.89,+0.10,-0.26,https://db-engines.com/en/system/IBM+Db2+warehouse,
158.,165.,147.,ObjectStore,Object oriented,1.88,+0.14,+0.02,https://db-engines.com/en/system/ObjectStore,
159.,156.,140.,TimesTen,Relational,1.84,-0.06,-0.18,https://db-engines.com/en/system/TimesTen,
160.,153.,152.,Mnesia,Document,1.81,-0.14,+0.13,https://db-engines.com/en/system/Mnesia,
161.,166.,157.,LiteDB,Document,1.81,+0.08,+0.20,https://db-engines.com/en/system/LiteDB,
162.,159.,154.,SQLBase,Relational,1.79,-0.04,+0.12,https://db-engines.com/en/system/SQLBase,
163.,157.,160.,Actian NoSQL Database,Object oriented,1.79,-0.06,+0.21,https://db-engines.com/en/system/Actian+NoSQL+Database,
164.,160.,186.,Sedna,Native XML,1.75,-0.06,+0.53,https://db-engines.com/en/system/Sedna,
165.,161.,150.,FoundationDB,Multi-model,1.71,-0.09,-0.05,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
166.,171.,170.,mSQL,Relational,1.63,+0.00,+0.17,https://db-engines.com/en/system/mSQL,
167.,170.,209.,D3,Multivalue,1.60,-0.04,+0.58,https://db-engines.com/en/system/D3,
168.,177.,161.,Oracle Rdb,Relational,1.57,+0.10,+0.00,https://db-engines.com/en/system/Oracle+Rdb,
169.,178.,202.,VictoriaMetrics,Time Series,1.57,+0.11,+0.50,https://db-engines.com/en/system/VictoriaMetrics,
170.,183.,151.,Apache Kylin,Relational,1.56,+0.17,-0.14,https://db-engines.com/en/system/Apache+Kylin,
171.,169.,159.,OceanBase,"Relational, Multi-model",1.55,-0.13,-0.04,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
172.,168.,162.,GT.M,Key-value,1.53,-0.18,-0.02,https://db-engines.com/en/system/GT.M,
173.,164.,169.,DataEase,Relational,1.53,-0.22,+0.06,https://db-engines.com/en/system/DataEase,
174.,186.,185.,GigaSpaces,Multi-model,1.50,+0.13,+0.26,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
175.,181.,167.,Infobright,Relational,1.48,+0.05,-0.02,https://db-engines.com/en/system/Infobright,
176.,184.,188.,EventStoreDB,Event,1.47,+0.09,+0.27,https://db-engines.com/en/system/EventStoreDB,
177.,173.,172.,Cubrid,Relational,1.47,-0.07,+0.05,https://db-engines.com/en/system/Cubrid,
178.,172.,156.,Datameer,Document,1.46,-0.09,-0.15,https://db-engines.com/en/system/Datameer,
179.,179.,165.,GBase,Relational,1.46,-0.01,-0.05,https://db-engines.com/en/system/GBase,
180.,167.,163.,Giraph,Graph,1.46,-0.26,-0.08,https://db-engines.com/en/system/Giraph,
181.,189.,205.,Meilisearch,Search engine,1.45,+0.10,+0.39,https://db-engines.com/en/system/Meilisearch,
182.,193.,192.,openGauss,"Relational, Multi-model",1.45,+0.14,+0.28,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
183.,175.,246.,Milvus,Vector,1.44,-0.04,+0.76,https://db-engines.com/en/system/Milvus,
184.,176.,158.,ObjectBox,"Object oriented, Multi-model",1.39,-0.08,-0.20,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS"
185.,197.,183.,MatrixOne,Relational,1.39,+0.13,+0.14,https://db-engines.com/en/system/MatrixOne,
186.,180.,175.,HFSQL,Relational,1.39,-0.07,+0.01,https://db-engines.com/en/system/HFSQL,
187.,191.,193.,Perst,Object oriented,1.39,+0.05,+0.22,https://db-engines.com/en/system/Perst,
188.,195.,181.,Model 204,Multivalue,1.37,+0.09,+0.12,https://db-engines.com/en/system/Model+204,
189.,198.,173.,Altibase,Relational,1.36,+0.10,-0.05,https://db-engines.com/en/system/Altibase,
190.,185.,171.,Apache HAWQ,Relational,1.34,-0.03,-0.08,https://db-engines.com/en/system/Apache+HAWQ,
191.,211.,184.,NCache,"Key-value, Multi-model",1.33,+0.18,+0.10,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
192.,196.,180.,ZODB,Key-value,1.33,+0.06,+0.06,https://db-engines.com/en/system/ZODB,
193.,206.,198.,Amazon Timestream,Time Series,1.31,+0.13,+0.21,https://db-engines.com/en/system/Amazon+Timestream,
194.,174.,168.,NonStop SQL,Relational,1.31,-0.21,-0.17,https://db-engines.com/en/system/NonStop+SQL,
195.,188.,221.,Northgate Reality,Multivalue,1.29,-0.06,+0.41,https://db-engines.com/en/system/Northgate+Reality,
196.,208.,174.,AllegroGraph,Multi-model,1.27,+0.09,-0.11,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS"
197.,202.,182.,HPE Ezmeral Data Fabric,Multi-model,1.25,+0.02,-0.01,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
198.,199.,366.,Qdrant,Vector,1.24,-0.01,+1.14,https://db-engines.com/en/system/Qdrant,
199.,201.,196.,Xapian,Search engine,1.23,-0.02,+0.10,https://db-engines.com/en/system/Xapian,
200.,190.,187.,1010data,Relational,1.22,-0.12,+0.01,https://db-engines.com/en/system/1010data,
201.,192.,231.,Apache IoTDB,Time Series,1.22,-0.10,+0.42,https://db-engines.com/en/system/Apache+IoTDB,
202.,187.,215.,Dolt,"Relational, Multi-model",1.21,-0.15,+0.27,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
203.,223.,276.,SurrealDB,Multi-model,1.20,+0.21,+0.74,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
204.,194.,189.,NuoDB,Relational,1.18,-0.12,-0.02,https://db-engines.com/en/system/NuoDB,
205.,217.,177.,TypeDB,Multi-model,1.17,+0.11,-0.17,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS"
206.,219.,217.,Rockset,"Document, Multi-model",1.16,+0.12,+0.24,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
