Rank_Apr-2025,Rank_Mar-2025,Rank_Apr-2024,DBMS,Database Model,Score_Apr-2025,Score_Mar-2025,Score_Apr-2024,DBMS_insitelink,Multi_model_info
56.,56.,60.,Sphinx,Search engine,5.79,-0.01,-0.23,https://db-engines.com/en/system/Sphinx,
57.,58.,55.,Hazelcast,"Key-value, Multi-model",5.55,+0.08,-1.32,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
58.,59.,63.,Algolia,Search engine,5.41,-0.05,-0.31,https://db-engines.com/en/system/Algolia,
59.,60.,59.,Aerospike,Multi-model,5.23,+0.01,-0.87,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS,Vector DBMS"
60.,62.,70.,Trino,"Relational, Multi-model",5.18,+0.06,+0.09,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
61.,57.,62.,Oracle Essbase,Relational,5.13,-0.36,-0.70,https://db-engines.com/en/system/Oracle+Essbase,
62.,61.,64.,Microsoft Azure AI Search,"Search engine, Multi-model",5.13,-0.03,-0.58,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
63.,63.,75.,Graphite,Time Series,4.26,-0.32,-0.50,https://db-engines.com/en/system/Graphite,
64.,67.,65.,Apache Jackrabbit,Content,4.25,+0.05,-1.09,https://db-engines.com/en/system/Apache+Jackrabbit,
65.,65.,58.,CockroachDB,Relational,4.17,-0.23,-1.93,https://db-engines.com/en/system/CockroachDB,
66.,68.,56.,MarkLogic,Multi-model,4.13,+0.13,-2.37,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
67.,69.,57.,Datastax Enterprise,"Wide column, Multi-model",3.94,+0.05,-2.37,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
68.,66.,68.,Ehcache,Key-value,3.94,-0.28,-1.29,https://db-engines.com/en/system/Ehcache,
69.,64.,61.,SingleStore,"Relational, Multi-model",3.93,-0.58,-1.98,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
70.,72.,67.,ScyllaDB,"Wide column, Multi-model",3.70,+0.10,-1.57,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
71.,70.,79.,Google Cloud Datastore,Document,3.70,-0.08,-0.78,https://db-engines.com/en/system/Google+Cloud+Datastore,
72.,73.,74.,TimescaleDB,"Time Series, Multi-model",3.59,+0.11,-1.28,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
73.,71.,72.,TiDB,"Relational, Multi-model",3.50,-0.25,-1.44,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
74.,74.,88.,OpenEdge,Relational,3.46,-0.02,-0.30,https://db-engines.com/en/system/OpenEdge,
75.,78.,103.,Oracle NoSQL,Multi-model,3.43,+0.08,+0.47,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
76.,75.,71.,Interbase,Relational,3.38,-0.05,-1.65,https://db-engines.com/en/system/Interbase,
77.,81.,94.,Pinecone,Vector,3.34,+0.17,+0.05,https://db-engines.com/en/system/Pinecone,
78.,79.,77.,Ingres,Relational,3.28,-0.04,-1.39,https://db-engines.com/en/system/Ingres,
79.,77.,80.,Riak KV,Key-value,3.24,-0.15,-1.19,https://db-engines.com/en/system/Riak+KV,
80.,82.,84.,RocksDB,Key-value,3.14,-0.01,-0.86,https://db-engines.com/en/system/RocksDB,
81.,84.,115.,QuestDB,"Time Series, Multi-model",3.12,+0.03,+0.64,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
82.,86.,89.,Apache Ignite,Multi-model,3.10,+0.11,-0.54,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
83.,76.,66.,Apache Derby,Relational,3.07,-0.35,-2.23,https://db-engines.com/en/system/Apache+Derby,
84.,89.,95.,Apache Druid,Multi-model,3.05,+0.26,-0.24,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
85.,87.,69.,Microsoft Azure Data Explorer,"Relational, Multi-model",2.94,0.00,-2.22,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
86.,80.,83.,Virtuoso,Multi-model,2.93,-0.27,-1.27,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
87.,91.,144.,Milvus,Vector,2.90,+0.13,+1.09,https://db-engines.com/en/system/Milvus,
88.,83.,78.,SAP SQL Anywhere,Relational,2.90,-0.23,-1.67,https://db-engines.com/en/system/SAP+SQL+Anywhere,
89.,88.,87.,ArangoDB,Multi-model,2.82,-0.04,-0.94,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
90.,90.,91.,Adabas,Multivalue,2.76,-0.03,-0.82,https://db-engines.com/en/system/Adabas,
91.,92.,97.,OrientDB,Multi-model,2.71,-0.01,-0.56,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
92.,85.,85.,HyperSQL,Relational,2.70,-0.33,-1.21,https://db-engines.com/en/system/HyperSQL,
93.,95.,92.,Google Cloud Bigtable,Multi-model,2.67,+0.01,-0.90,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
94.,97.,73.,Microsoft Azure Table Storage,Wide column,2.63,-0.03,-2.29,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
95.,94.,100.,GraphDB,Multi-model,2.57,-0.11,-0.53,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
96.,98.,102.,Memgraph,Graph,2.57,-0.04,-0.43,https://db-engines.com/en/system/Memgraph,
97.,93.,105.,Google Cloud Spanner,Relational,2.56,-0.15,-0.34,https://db-engines.com/en/system/Google+Cloud+Spanner,
98.,99.,101.,RavenDB,"Document, Multi-model",2.50,-0.03,-0.50,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
99.,101.,108.,IBM Cloudant,Document,2.50,+0.00,-0.24,https://db-engines.com/en/system/IBM+Cloudant,
100.,102.,90.,Apache Accumulo,Wide column,2.45,+0.02,-1.16,https://db-engines.com/en/system/Apache+Accumulo,
101.,96.,86.,Apache Jena - TDB,RDF,2.44,-0.22,-1.41,https://db-engines.com/en/system/Apache+Jena+-+TDB,
102.,100.,98.,GemFire,"Key-value, Multi-model",2.41,-0.10,-0.71,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
103.,103.,96.,SAP IQ,Relational,2.34,+0.01,-0.93,https://db-engines.com/en/system/SAP+IQ,
104.,105.,153.,OceanBase,"Relational, Multi-model",2.32,0.00,+0.76,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
105.,104.,106.,RethinkDB,"Document, Multi-model",2.27,-0.06,-0.57,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
106.,112.,171.,Qdrant,Vector,2.23,+0.20,+1.00,https://db-engines.com/en/system/Qdrant,
107.,109.,99.,YugabyteDB,"Relational, Multi-model",2.23,+0.01,-0.88,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
108.,108.,117.,Coveo,Search engine,2.22,-0.05,-0.12,https://db-engines.com/en/system/Coveo,
109.,106.,82.,DolphinDB,Multi-model,2.20,-0.09,-2.02,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
110.,107.,81.,InterSystems IRIS,Multi-model,2.20,-0.09,-2.19,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
111.,111.,112.,Amazon Neptune,Multi-model,2.11,+0.04,-0.47,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
112.,116.,116.,PouchDB,Document,2.07,+0.12,-0.28,https://db-engines.com/en/system/PouchDB,
113.,115.,93.,"UniData,UniVerse",Multivalue,2.01,+0.04,-1.47,https://db-engines.com/en/system/UniData%2CUniVerse,
114.,114.,132.,GridDB,"Time Series, Multi-model",2.00,+0.01,-0.02,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
115.,119.,123.,Citus,"Relational, Multi-model",1.99,+0.05,-0.16,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
116.,113.,104.,Infinispan,Key-value,1.98,-0.02,-0.94,https://db-engines.com/en/system/Infinispan,
117.,117.,111.,MaxDB,Relational,1.96,+0.01,-0.69,https://db-engines.com/en/system/MaxDB,
118.,118.,121.,Percona Server for MySQL,Relational,1.92,-0.03,-0.29,https://db-engines.com/en/system/Percona+Server+for+MySQL,
119.,120.,127.,Chroma,Vector,1.90,+0.02,-0.19,https://db-engines.com/en/system/Chroma,
120.,110.,107.,LevelDB,Key-value,1.90,-0.25,-0.85,https://db-engines.com/en/system/LevelDB,
121.,123.,119.,Apache Drill,Multi-model,1.89,+0.08,-0.39,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
122.,121.,110.,4D,Relational,1.89,+0.02,-0.79,https://db-engines.com/en/system/4D,
123.,137.,138.,Weaviate,Vector,1.86,+0.28,-0.03,https://db-engines.com/en/system/Weaviate,
124.,122.,130.,Apache Phoenix,Relational,1.81,-0.02,-0.21,https://db-engines.com/en/system/Apache+Phoenix,
125.,128.,137.,Amazon DocumentDB,Document,1.79,+0.03,-0.10,https://db-engines.com/en/system/Amazon+DocumentDB,
126.,126.,113.,CloudKit,Document,1.78,+0.01,-0.79,https://db-engines.com/en/system/CloudKit,
127.,124.,118.,LMDB,Key-value,1.75,-0.06,-0.59,https://db-engines.com/en/system/LMDB,
128.,125.,142.,IMS,Navigational,1.72,-0.07,-0.09,https://db-engines.com/en/system/IMS,
129.,129.,114.,Oracle Berkeley DB,Multi-model,1.71,-0.03,-0.82,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
130.,130.,135.,JanusGraph,Graph,1.70,-0.03,-0.21,https://db-engines.com/en/system/JanusGraph,
131.,127.,109.,TDengine,"Time Series, Multi-model",1.66,-0.09,-1.01,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
132.,132.,131.,Oracle Coherence,Key-value,1.66,0.00,-0.36,https://db-engines.com/en/system/Oracle+Coherence,
133.,131.,122.,EDB Postgres,"Relational, Multi-model",1.64,-0.02,-0.54,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
134.,134.,139.,Amazon SimpleDB,Key-value,1.63,+0.02,-0.26,https://db-engines.com/en/system/Amazon+SimpleDB,
135.,135.,140.,Amazon CloudSearch,Search engine,1.62,+0.01,-0.25,https://db-engines.com/en/system/Amazon+CloudSearch,
136.,139.,125.,NebulaGraph,Graph,1.61,+0.05,-0.51,https://db-engines.com/en/system/NebulaGraph,
137.,136.,129.,Stardog,Multi-model,1.58,-0.01,-0.47,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
138.,133.,148.,MonetDB,"Relational, Multi-model",1.57,-0.05,-0.15,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
139.,140.,124.,RRDtool,Time Series,1.55,+0.02,-0.58,https://db-engines.com/en/system/RRDtool,
140.,142.,120.,EXASOL,Relational,1.51,+0.02,-0.74,https://db-engines.com/en/system/EXASOL,
141.,138.,149.,SpatiaLite,"Spatial, Multi-model",1.50,-0.07,-0.22,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
142.,148.,190.,GBase,Relational,1.49,+0.08,+0.45,https://db-engines.com/en/system/GBase,
143.,143.,145.,Datomic,Relational,1.48,0.00,-0.28,https://db-engines.com/en/system/Datomic,
144.,149.,150.,Tarantool,Multi-model,1.47,+0.07,-0.21,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
145.,141.,154.,Fauna,Multi-model,1.46,-0.06,-0.09,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
146.,146.,147.,OpenTSDB,Time Series,1.41,0.00,-0.32,https://db-engines.com/en/system/OpenTSDB,
147.,150.,141.,TigerGraph,Graph,1.41,+0.02,-0.42,https://db-engines.com/en/system/TigerGraph,
148.,145.,176.,Apache IoTDB,Time Series,1.40,-0.04,+0.20,https://db-engines.com/en/system/Apache+IoTDB,
149.,152.,161.,VictoriaMetrics,Time Series,1.34,-0.04,-0.08,https://db-engines.com/en/system/VictoriaMetrics,
150.,153.,136.,BaseX,Native XML,1.34,-0.04,-0.56,https://db-engines.com/en/system/BaseX,
151.,156.,155.,GridGain,Multi-model,1.32,+0.01,-0.21,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
152.,151.,163.,D3,Multivalue,1.32,-0.06,-0.08,https://db-engines.com/en/system/D3,
153.,147.,160.,jBASE,Multivalue,1.31,-0.10,-0.12,https://db-engines.com/en/system/jBASE,
154.,154.,133.,Geode,Key-value,1.31,-0.05,-0.68,https://db-engines.com/en/system/Geode,
155.,166.,257.,Alibaba Cloud PolarDB,Relational,1.29,+0.11,+0.77,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
156.,155.,143.,Tibero,Relational,1.27,-0.07,-0.54,https://db-engines.com/en/system/Tibero,
157.,144.,134.,Empress,Relational,1.25,-0.21,-0.73,https://db-engines.com/en/system/Empress,
158.,157.,152.,Actian NoSQL Database,Object oriented,1.24,-0.03,-0.34,https://db-engines.com/en/system/Actian+NoSQL+Database,
159.,168.,170.,HFSQL,Relational,1.22,+0.06,-0.05,https://db-engines.com/en/system/HFSQL,
160.,159.,183.,Amazon Timestream,Time Series,1.22,-0.02,+0.10,https://db-engines.com/en/system/Amazon+Timestream,
161.,161.,159.,VoltDB,Relational,1.21,-0.02,-0.25,https://db-engines.com/en/system/VoltDB,
162.,167.,166.,IBM Db2 warehouse,Relational,1.19,+0.02,-0.15,https://db-engines.com/en/system/IBM+Db2+warehouse,
163.,160.,156.,Db4o,Object oriented,1.19,-0.05,-0.33,https://db-engines.com/en/system/Db4o,
164.,162.,158.,Dgraph,Graph,1.19,-0.03,-0.30,https://db-engines.com/en/system/Dgraph,
165.,165.,164.,ObjectStore,Object oriented,1.18,-0.01,-0.17,https://db-engines.com/en/system/ObjectStore,
166.,171.,192.,GigaSpaces,Multi-model,1.17,+0.03,+0.15,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
167.,163.,174.,Meilisearch,Multi-model,1.16,-0.04,-0.05,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
168.,164.,126.,HEAVY.AI,"Relational, Multi-model",1.14,-0.05,-0.96,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
169.,174.,,Valkey,Key-value,1.14,+0.06,,https://db-engines.com/en/system/Valkey,
170.,170.,162.,Mnesia,Document,1.13,-0.01,-0.28,https://db-engines.com/en/system/Mnesia,
171.,169.,165.,TimesTen,Relational,1.13,-0.02,-0.23,https://db-engines.com/en/system/TimesTen,
172.,158.,151.,mSQL,Relational,1.11,-0.16,-0.56,https://db-engines.com/en/system/mSQL,
173.,172.,172.,ObjectBox,Multi-model,1.09,0.00,-0.13,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
174.,181.,182.,StarRocks,Relational,1.08,+0.08,-0.04,https://db-engines.com/en/system/StarRocks,
175.,182.,173.,Datameer,Document,1.08,+0.08,-0.14,https://db-engines.com/en/system/Datameer,
176.,175.,177.,Giraph,Graph,1.06,-0.01,-0.13,https://db-engines.com/en/system/Giraph,
177.,173.,168.,LiteDB,Document,1.05,-0.04,-0.26,https://db-engines.com/en/system/LiteDB,
178.,176.,175.,Apache Kylin,Relational,1.01,-0.04,-0.19,https://db-engines.com/en/system/Apache+Kylin,
179.,183.,204.,SurrealDB,Multi-model,1.01,+0.01,+0.10,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
180.,185.,146.,PlanetScale,"Relational, Multi-model",1.00,+0.02,-0.75,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
181.,187.,167.,SQLBase,Relational,1.00,+0.02,-0.34,https://db-engines.com/en/system/SQLBase,
182.,178.,181.,EventStoreDB,Event,1.00,-0.04,-0.14,https://db-engines.com/en/system/EventStoreDB,
183.,194.,213.,TDSQL for MySQL,"Relational, Multi-model",1.00,+0.07,+0.17,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
184.,186.,200.,Amazon Keyspaces,Wide column,0.99,+0.01,+0.07,https://db-engines.com/en/system/Amazon+Keyspaces,
185.,199.,221.,Alibaba Cloud MaxCompute,Relational,0.96,+0.05,+0.18,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
186.,201.,169.,Cubrid,Relational,0.95,+0.05,-0.36,https://db-engines.com/en/system/Cubrid,
187.,188.,189.,openGauss,"Relational, Multi-model",0.94,-0.03,-0.11,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
188.,179.,128.,Firebolt,Relational,0.94,-0.09,-1.15,https://db-engines.com/en/system/Firebolt,
189.,198.,184.,NonStop SQL,Relational,0.92,+0.02,-0.17,https://db-engines.com/en/system/NonStop+SQL,
190.,190.,187.,Oracle Rdb,Relational,0.92,-0.03,-0.16,https://db-engines.com/en/system/Oracle+Rdb,
191.,192.,191.,Vitess,"Relational, Multi-model",0.92,-0.02,-0.12,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
192.,193.,185.,Apache HAWQ,Relational,0.91,-0.02,-0.17,https://db-engines.com/en/system/Apache+HAWQ,
193.,195.,207.,IDMS,Navigational,0.91,-0.02,+0.04,https://db-engines.com/en/system/IDMS,
194.,184.,199.,MatrixOne,Relational,0.91,-0.08,-0.02,https://db-engines.com/en/system/MatrixOne,
195.,196.,178.,GT.M,Key-value,0.90,-0.02,-0.29,https://db-engines.com/en/system/GT.M,
196.,180.,227.,eXtremeDB,Multi-model,0.88,-0.12,+0.15,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
197.,189.,188.,FoundationDB,Multi-model,0.87,-0.09,-0.20,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
198.,210.,206.,HPE Ezmeral Data Fabric,Multi-model,0.87,+0.11,-0.02,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
199.,197.,180.,DataEase,Relational,0.85,-0.06,-0.30,https://db-engines.com/en/system/DataEase,
200.,200.,201.,M3DB,Time Series,0.85,-0.05,-0.06,https://db-engines.com/en/system/M3DB,
201.,191.,196.,NCache,"Key-value, Multi-model",0.84,-0.11,-0.14,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
202.,202.,209.,Rockset,"Document, Multi-model",0.84,+0.01,-0.01,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
203.,211.,251.,Vespa,Multi-model,0.83,+0.08,+0.26,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
