DBMS,Rank_Dec-2023,Rank_Nov-2023,Rank_Dec-2022,Database Model,Score_Dec-2023,Score_Nov-2023,Score_Dec-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Apache IoTDB,192.0,201.0,240.0,Time Series,1.31,+0.19,+0.62,https://db-engines.com/en/system/Apache+IoTDB,,Apache Software Foundation,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",2018.0,"1.1.0, April 2023",Open Source,Apache Version 2.0,no
openGauss,193.0,199.0,182.0,"Relational, Multi-model",1.31,+0.17,+0.14,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS",Huawei and openGauss community,"An enterprise-class,RDBMS,compatible with high-performance, high-availability and high-performance originally developed by Huawei",2019.0,"3.0, March 2022",Open Source,,no
NuoDB,194.0,197.0,181.0,Relational,1.3,+0.16,+0.10,https://db-engines.com/en/system/NuoDB,,Dassault Systèmes,NuoDB is a webscale distributed database that supports SQL and ACID transactions,2013.0,,commercial,limited edition free,no
Model 204,195.0,203.0,188.0,Multivalue,1.28,+0.17,+0.16,https://db-engines.com/en/system/Model+204,,,,1972.0,,commercial,,no
ZODB,196.0,204.0,183.0,Key-value,1.27,+0.16,+0.11,https://db-engines.com/en/system/ZODB,,,Native object database for Python,2009.0,"5.8.1, July 2023",Open Source,,no
MatrixOne,197.0,182.0,197.0,Relational,1.25,-0.08,+0.19,https://db-engines.com/en/system/MatrixOne,,,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",2021.0,,Open Source,Apache Version 2.0,no
Altibase,198.0,213.0,175.0,Relational,1.25,+0.21,+0.00,https://db-engines.com/en/system/Altibase,,Altibase,"An enterprise grade, high-performance,RDBMS",1999.0,"v7.1.0.5.3, March 2021",commercial,Open source edition discontinued with March 2023,no
Qdrant,199.0,202.0,323.0,Vector,1.25,+0.14,+1.05,https://db-engines.com/en/system/Qdrant,,Qdrant,A high-performance vector database with neural network or semantic-based matching,2021.0,,Open Source,Apache Version 2.0,no
Hibari,200.0,210.0,189.0,Key-value,1.25,+0.18,+0.14,https://db-engines.com/en/system/Hibari,,,,2005.0,,Open Source,Apache Version 2,no
Xapian,201.0,207.0,193.0,Search engine,1.25,+0.16,+0.15,https://db-engines.com/en/system/Xapian,,,Open Source search engine library,1986.0,"1.4.24, November 2023",Open Source,GPLv2,no
HPE Ezmeral Data Fabric,202.0,191.0,164.0,Multi-model,1.22,-0.02,-0.19,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store","HPE, MapR Technologies, Inc","A unified data platform to ingest, store, manage, process, apply, and analyze all data types from any data source, and a variety of different ingestion mechanisms at an exabyte scale",2009.0,,commercial,,no
IDMS,203.0,219.0,192.0,Navigational,1.19,+0.22,+0.09,https://db-engines.com/en/system/IDMS,,,,1973.0,18.5,commercial,,no
DBISAM,204.0,208.0,208.0,Relational,1.19,+0.11,+0.21,https://db-engines.com/en/system/DBISAM,,"Elevate Software, Inc.",RDBMS mainly geared to Delphi and C++Builder application developers,1998.0,,commercial,,no
M3DB,205.0,193.0,222.0,Time Series,1.19,-0.01,+0.39,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no
Amazon Timestream,206.0,214.0,202.0,Time Series,1.19,+0.19,+0.15,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes
WebSphere eXtreme Scale,207.0,223.0,219.0,Key-value,1.18,+0.24,+0.35,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,,,An elastic highly scalable in-memory data grid,2009.0,,commercial,,no
AllegroGraph,208.0,192.0,163.0,Multi-model,1.18,-0.02,-0.24,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS",Franz Inc.,"High performance, persistent RDF store with additional support for Graph DBMS",2004.0,"8.0, December 2023",commercial,Limited community edition free,no
Vitess,209.0,187.0,,"Relational, Multi-model",1.18,-0.09,,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no
solidDB,210.0,196.0,205.0,Relational,1.16,+0.01,+0.15,https://db-engines.com/en/system/solidDB,,"Unicom Systems, Inc; IBM",,1992.0,,commercial,,no
NCache,211.0,198.0,178.0,"Key-value, Multi-model",1.15,+0.01,-0.05,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",Alachisoft,"Open-Source and Enterprise in-memory,Key-Value Store",2005.0,"5.3, September 2022",Open Source,Enterprise Edition available,no
StarRocks,212.0,195.0,,Relational,1.14,-0.01,,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"2.5.3, March 2023",Open Source,Apache Version 2.0,no
Actian Vector,213.0,209.0,191.0,Relational,1.09,+0.02,-0.01,https://db-engines.com/en/system/Actian+Vector,,,,,"Vector 5.0, July 2016",commercial,,no
Blazegraph,214.0,216.0,187.0,Multi-model,1.09,+0.10,-0.05,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store",Blazegraph,"High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.",2006.0,"2.1.5, March 2019",Open Source,extended commercial license available,no
TDSQL for MySQL,215.0,218.0,213.0,"Relational, Multi-model",1.08,+0.11,+0.17,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes
eXist-db,216.0,222.0,195.0,Native XML,1.06,+0.12,-0.01,https://db-engines.com/en/system/eXist-db,,,,2000.0,,Open Source,L-GPL,no
TypeDB,217.0,212.0,174.0,Multi-model,1.06,+0.01,-0.21,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS",Vaticle,TypeDB is a strongly-typed database with a rich and logical type system and TypeQL as its query language,2016.0,"2.17.0, April 2023",Open Source,"GPL Version 3, commercial licenses available",no
Amazon Keyspaces,218.0,217.0,227.0,Wide column,1.04,+0.06,+0.26,https://db-engines.com/en/system/Amazon+Keyspaces,,Amazon,"A scalable, highly available,Cassandra,–compatible database service",2019.0,,commercial,,yes
Rockset,219.0,224.0,207.0,"Document, Multi-model",1.03,+0.10,+0.04,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine",Rockset,"A scalable, reliable search and analytics service in the cloud, built on,RocksDB",2019.0,,commercial,,yes
Yellowbrick,220.0,225.0,226.0,Relational,1.03,+0.10,+0.25,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no
CrateDB,221.0,231.0,198.0,Multi-model,1.01,+0.11,-0.05,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS",Crate,Distributed Database based on Lucene,2013.0,,Open Source,,no
ObjectDB,222.0,215.0,221.0,Object oriented,0.99,+0.00,+0.19,https://db-engines.com/en/system/ObjectDB,,,,2010.0,"2.8.9, September 2023",commercial,,no
SurrealDB,223.0,206.0,285.0,Multi-model,0.99,-0.11,+0.61,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,,Open Source,,no
Datacom/DB,224.0,227.0,229.0,Relational,0.98,+0.06,+0.23,https://db-engines.com/en/system/Datacom%2FDB,,Broadcom (formerly CA),"RDBMS,for mainframes",1972.0,,commercial,,no
KairosDB,225.0,235.0,217.0,Time Series,0.96,+0.14,+0.10,https://db-engines.com/en/system/KairosDB,,,"Distributed Time Series DBMS based on,Cassandra,or,H2",2013.0,"1.2.2, November 2018",Open Source,Apache 2.0,no
MapDB,226.0,229.0,230.0,Key-value,0.96,+0.04,+0.22,https://db-engines.com/en/system/MapDB,,,,2002.0,,Open Source,Apache Version 2,no
eXtremeDB,227.0,232.0,216.0,Multi-model,0.95,+0.07,+0.09,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS",McObject,"Natively in-memory DBMS with options for persistency, high-availability and clustering",2001.0,"8.2, 2021",commercial,,no
Typesense,228.0,228.0,292.0,Search engine,0.95,+0.03,+0.62,https://db-engines.com/en/system/Typesense,,,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",2015.0,,Open Source,GPL V3,no
FrontBase,229.0,246.0,210.0,Relational,0.95,+0.18,-0.02,https://db-engines.com/en/system/FrontBase,,,,1993.0,"8.2.6, December 2015",commercial,free licenses,no
BoltDB,230.0,255.0,220.0,Key-value,0.92,+0.25,+0.11,https://db-engines.com/en/system/BoltDB,,,"An embedded,key-value store,for Go.",2013.0,,Open Source,MIT License,no
Kinetica,231.0,236.0,268.0,"Relational, Multi-model",0.92,+0.10,+0.47,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",Kinetica,Fully vectorized database across both GPUs and CPUs,2012.0,"7.1, August 2021",commercial,,no
SQream DB,232.0,226.0,231.0,Relational,0.9,-0.02,+0.17,https://db-engines.com/en/system/SQream+DB,,SQream Technologies,"a GPU-based, columnar RDBMS for big data analytics workloads",2017.0,"2022.1.6, December 2022",commercial,,no
RDF4J,233.0,220.0,194.0,RDF,0.9,-0.06,-0.18,https://db-engines.com/en/system/RDF4J,,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.","RDF4J is a Java framework for processing RDF data, supporting both memory-based and a disk-based storage.",2004.0,,Open Source,"Eclipse Distribution License (EDL), v1.0.",no
AlaSQL,234.0,234.0,238.0,Multi-model,0.9,+0.07,+0.20,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",Andrey Gershun & Mathias R. Wulff,JavaScript DBMS library,2014.0,,Open Source,MIT-License,no
KeyDB,235.0,238.0,248.0,Key-value,0.9,+0.09,+0.30,https://db-engines.com/en/system/KeyDB,,EQ Alpha Technology Ltd.,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",2019.0,,Open Source,BSD-3,no
SciDB,236.0,233.0,215.0,Multivalue,0.89,+0.03,+0.02,https://db-engines.com/en/system/SciDB,,Paradigm4,DBMS built upon a multi-dimensional array data model,2008.0,,Open Source,,no
R:BASE,237.0,261.0,223.0,Relational,0.88,+0.28,+0.08,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no
Scalaris,238.0,251.0,247.0,Key-value,0.87,+0.16,+0.26,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no
GeoMesa,239.0,221.0,199.0,Spatial DBMS,0.87,-0.09,-0.18,https://db-engines.com/en/system/GeoMesa,,CCRi and others,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,2014.0,"4.0.4, October 2023",Open Source,Apache License 2.0,no
BigchainDB,240.0,205.0,185.0,Document,0.86,-0.24,-0.28,https://db-engines.com/en/system/BigchainDB,,,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",2016.0,,Open Source,AGPL v3,no
NexusDB,241.0,252.0,233.0,Relational,0.86,+0.16,+0.13,https://db-engines.com/en/system/NexusDB,,,,2003.0,"4.50.26, February 2021",commercial,,no
Vald,242.0,242.0,,Vector,0.84,+0.06,,https://db-engines.com/en/system/Vald,,,Vald is a distributed vector DBMS.,,,Open Source,Apache-2.0 license,no
Objectivity/DB,243.0,230.0,225.0,Object oriented,0.84,-0.08,+0.05,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no
Heroic,244.0,249.0,319.0,Time Series,0.84,+0.10,+0.62,https://db-engines.com/en/system/Heroic,,Spotify,"Time Series DBMS built at Spotify based on,Cassandra,or,Google Cloud Bigtable,, and,ElasticSearch",2014.0,,Open Source,Apache 2.0,no
ScaleArc,245.0,244.0,224.0,Relational,0.84,+0.06,+0.05,https://db-engines.com/en/system/ScaleArc,,"DevFactory, formerly Ignite","A layer on top of standard MySQL, SQL Server or Oracle instances for data distribution and sharding",2009.0,,commercial,limited edition free,no
atoti,246.0,256.0,234.0,Object oriented,0.83,+0.17,+0.11,https://db-engines.com/en/system/atoti,,ActiveViam,"An in-memory,DBMS,combining transactional and analytical processing to handle the aggregation of ever-changing data.",,,commercial,free versions available,no
Vespa,247.0,257.0,,Multi-model,0.81,+0.16,,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS",Yahoo,"Vespa is a search engine and vector DBMS. It supports vector search (ANN), lexical search, and search in structured data.",,,Open Source,Apache-2.0 license,no
Alibaba Cloud AnalyticDB for MySQL,248.0,240.0,266.0,"Relational, Multi-model",0.8,0.00,+0.33,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",Alibaba,A real-time data warehousing service that can process petabytes of data with high concurrency and low latency. It is fully compatible with the MySQL protocol.,,,commercial,,yes
RisingWave,249.0,245.0,,Relational,0.8,+0.02,,https://db-engines.com/en/system/RisingWave,,RisingWave Labs,"A distributed,RDBMS,for stream processing, wire-compatible with,PostgreSQL",2022.0,"1.2, September 2023",Open Source,Apache Version 2.0,no
OpenInsight,250.0,239.0,235.0,Multivalue,0.79,-0.01,+0.07,https://db-engines.com/en/system/OpenInsight,,,Development Environment with included multi-value filing system,1992.0,"10.0.1, April 2018",commercial,,no
Alibaba Cloud MaxCompute,251.0,237.0,265.0,Relational,0.79,-0.02,+0.30,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,,Alibaba,"MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing",2016.0,,commercial,,yes
GemStone/S,252.0,241.0,252.0,Object oriented,0.78,-0.01,+0.23,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,64 Bit 3.3.3,commercial,,no
Graph Engine,253.0,254.0,204.0,Multi-model,0.78,+0.09,-0.23,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store",Microsoft,"A distributed in-memory data processing engine, underpinned by a strongly-typed RAM store and a general distributed computation engine",2010.0,,Open Source,MIT License,no
LokiJS,254.0,258.0,245.0,Document,0.77,+0.14,+0.14,https://db-engines.com/en/system/LokiJS,,,In-memory JavaScript DBMS,2014.0,,Open Source,,no
Postgres-XL,255.0,247.0,228.0,"Relational, Multi-model",0.77,+0.01,+0.01,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,2014.0,"10 R1, October 2018",Open Source,Mozilla public license,no
Apache Pinot,256.0,248.0,249.0,Relational,0.75,+0.00,+0.15,https://db-engines.com/en/system/Apache+Pinot,,Apache Software Foundation and contributors,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",2015.0,"1.0.0, September 2023",Open Source,Apache Version 2.0,no
SearchBlox,257.0,276.0,246.0,Search engine,0.74,+0.23,+0.12,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no
Rasdaman,258.0,274.0,260.0,Multivalue,0.74,+0.22,+0.22,https://db-engines.com/en/system/Rasdaman,,,Extends standard RDBMS with efficient handling of multi-dimensional arrays,1998.0,"rasdaman v9.8.1, July 2019",Open Source,extended commercial license available,no
Splice Machine,259.0,264.0,211.0,Relational,0.72,+0.14,-0.21,https://db-engines.com/en/system/Splice+Machine,,Splice Machine,"Open-Source SQL RDBMS for Operational and Analytical use cases with native Machine Learning, powered by Hadoop and Spark",2014.0,"3.1, March 2021",Open Source,"AGPL 3.0, commercial license available",no
Starcounter,260.0,280.0,242.0,Object oriented,0.72,+0.25,+0.05,https://db-engines.com/en/system/Starcounter,,,,2006.0,"2.3.2.930, April 2018",commercial,,no
HarperDB,261.0,263.0,254.0,Document,0.68,+0.09,+0.13,https://db-engines.com/en/system/HarperDB,,HarperDB,Ultra-low latency distributed database with an intuitive REST API supporting NoSQL and SQL (including joins). Deployment of functions and databases simultaneously with a consolidated node-level architecture.,2017.0,"3.1, August 2021",commercial,free community edition available,no
ITTIA,262.0,271.0,267.0,"Time Series, Multi-model",0.67,+0.14,+0.23,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS",ITTIA L.L.C.,Edge Time Series DBMS with Real-Time Stream Processing,2007.0,8.7,commercial,,no
Apache Doris,263.0,243.0,243.0,Relational,0.67,-0.11,+0.01,https://db-engines.com/en/system/Apache+Doris,,"Apache Software Foundation, originally contributed from Baidu","An MPP-based analytics DBMS embracing the,MySQL,protocol",2017.0,"1.2.2, February 2023",Open Source,Apache Version 2.0,no
Percona Server for MongoDB,264.0,253.0,241.0,Document,0.66,-0.02,-0.02,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,Percona,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,2015.0,"3.4.10-2.10, November 2017",Open Source,GPL Version 2,no
VistaDB,265.0,250.0,237.0,Relational,0.66,-0.05,-0.04,https://db-engines.com/en/system/VistaDB,,Gibraltar Software,,2008.0,,commercial,,no
Sequoiadb,266.0,269.0,264.0,Multi-model,0.65,+0.10,+0.16,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",Sequoiadb Ltd.,NewSQL database with distributed OLTP and SQL,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no
InfiniteGraph,267.0,277.0,255.0,Graph,0.64,+0.16,+0.10,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no
Lovefield,268.0,285.0,274.0,Relational,0.64,+0.19,+0.20,https://db-engines.com/en/system/Lovefield,,Google,"Embeddable,relational database,for web apps written in pure JavaScript",2014.0,"2.1.12, February 2017",Open Source,Apache 2.0,no
Kingbase,269.0,275.0,251.0,"Relational, Multi-model",0.64,+0.12,+0.07,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",BeiJing KINGBASE Information technologies inc.,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",1999.0,"V8.0, August 2021",commercial,,no
Project Voldemort,270.0,286.0,253.0,Key-value,0.63,+0.19,+0.08,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,"1.10.25, July 2017",Open Source,Apache version 2,no
CnosDB,271.0,270.0,,Time Series,0.63,+0.09,,https://db-engines.com/en/system/CnosDB,,,"An open source distributed,Time Series DBMS,with high performance, high compression rate and high ease of use",2022.0,"2.2.0, February 2023",Open Source,AGPL 3.0,no
4store,272.0,278.0,239.0,RDF,0.63,+0.15,-0.07,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no
Jade,273.0,268.0,287.0,Object oriented,0.62,+0.06,+0.25,https://db-engines.com/en/system/Jade,,,,1996.0,,commercial,,no
Redland,274.0,262.0,272.0,RDF,0.58,-0.02,+0.15,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no
OpenQM,275.0,290.0,276.0,Multivalue,0.58,+0.15,+0.15,https://db-engines.com/en/system/OpenQM,,"Rocket Software, originally Martin Phillips","QpenQM is a high-performance, self-tuning, multi-value DBMS",1993.0,3.4-12,Open Source,"GPLv2, extended commercial license available",no
Raima Database Manager,276.0,259.0,275.0,Multi-model,0.57,-0.04,+0.15,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",Raima Inc.,"RDBMS with a small footprint, either embedded into an application or used as a database server",1984.0,"15, June 2021",commercial,,no
Actian FastObjects,277.0,289.0,280.0,Object oriented,0.55,+0.12,+0.15,https://db-engines.com/en/system/Actian+FastObjects,,Actian,,,,commercial,,no
Alibaba Cloud AnalyticDB for PostgreSQL,278.0,265.0,291.0,Relational,0.55,-0.02,+0.22,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",2016.0,,commercial,,yes
ModeShape,279.0,266.0,259.0,Content,0.53,-0.04,+0.02,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no
Strabon,280.0,267.0,256.0,RDF,0.53,-0.03,+0.00,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no
HyperGraphDB,281.0,298.0,313.0,Graph,0.52,+0.12,+0.29,https://db-engines.com/en/system/HyperGraphDB,,,,2007.0,,Open Source,L-GPL,no
Kyligence Enterprise,282.0,283.0,278.0,Relational,0.51,+0.06,+0.11,https://db-engines.com/en/system/Kyligence+Enterprise,,"Kyligence, Inc.","A distributed analytics engine for big data, built on top of,Apache Kylin",2016.0,,commercial,,no
Databend,283.0,260.0,,Relational,0.5,-0.10,,https://db-engines.com/en/system/Databend,,Databend Labs,"An open-source, elastic, and workload-aware cloud data warehouse designed to meet businesses' massive-scale analytics needs at low cost and with low complexity",2021.0,"1.0.59, April 2023",Open Source,Apache Version 2.0,no
ElevateDB,284.0,311.0,300.0,Relational,0.5,+0.18,+0.21,https://db-engines.com/en/system/ElevateDB,,"Elevate Software, Inc.",RDBMS designed to be included in a pre-packaged database application,2006.0,,commercial,,no
NEventStore,285.0,315.0,322.0,Event,0.49,+0.19,+0.28,https://db-engines.com/en/system/NEventStore,,,A persistence agnostic Event Store for .NET,2011.0,,Open Source,MIT-License,no
Mulgara,286.0,305.0,310.0,RDF,0.49,+0.14,+0.24,https://db-engines.com/en/system/Mulgara,,,,2006.0,"2.1.13, January 2012",Open Source,Apache Version 2,no
Tajo,287.0,301.0,232.0,Relational,0.47,+0.10,-0.25,https://db-engines.com/en/system/Tajo,,Apache Software Foundation,SQL on Hadoop,2012.0,,Open Source,Apache Version 2,no
Transbase,288.0,310.0,305.0,Relational,0.47,+0.14,+0.20,https://db-engines.com/en/system/Transbase,,Transaction Software GmbH,"A resource-optimized, high-performance, universally applicable RDBMS",1987.0,"Transbase 8.3, 2022",commercial,free development license,no
Fluree,289.0,293.0,283.0,Graph,0.46,+0.05,+0.08,https://db-engines.com/en/system/Fluree,,"Fluree, PBC","A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no
Alibaba Cloud ApsaraDB for PolarDB,290.0,279.0,288.0,Relational,0.46,-0.02,+0.11,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,,Alibaba,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes
RedStore,291.0,297.0,299.0,RDF,0.46,+0.06,+0.16,https://db-engines.com/en/system/RedStore,,,RedStore is a lightweight RDF triplestore,2009.0,,Open Source,GPLv3,no
Elassandra,292.0,273.0,261.0,"Wide column, Multi-model",0.45,-0.07,-0.06,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine",,"Open source database and search engine for multi-cloud applications based on,Cassandra,and,Elasticsearch",,,Open Source,Apache Version 2.0,no
FlockDB,293.0,307.0,282.0,Graph,0.45,+0.11,+0.05,https://db-engines.com/en/system/FlockDB,,Twitter,,2010.0,"1.8.5, February 2012",Open Source,Apache Version 2,no
EJDB,294.0,300.0,295.0,Document,0.45,+0.07,+0.13,https://db-engines.com/en/system/EJDB,,Softmotions,Embeddable document-store database library with JSON representation of queries (in MongoDB style),2012.0,,Open Source,GPLv2,no
RDFox,295.0,291.0,316.0,Multi-model,0.45,+0.02,+0.22,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS",Oxford Semantic Technologies,High performance knowledge graph and semantic reasoning engine,2017.0,"6.0, Septermber 2022",commercial,,no
Alibaba Cloud Log Service,296.0,282.0,277.0,Search engine,0.44,-0.02,+0.04,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,,AlibabaCloud Inc.,"A complete real-time data logging service that supports collection, consumption, shipping, search, and analysis of logs.",2016.0,,commercial,,yes
TransLattice,297.0,340.0,286.0,Relational,0.44,+0.21,+0.07,https://db-engines.com/en/system/TransLattice,,,,2007.0,,commercial,,no
Apache Sedona,298.0,,,Spatial DBMS,0.44,,,https://db-engines.com/en/system/Apache+Sedona,,Apache Software Foundation and contributors,"Apache Sedona extends,Apache Flink,and,Apache Spark,with a set of out-of-the-box distributed Spatial Datasets and Spatial SQL that efficiently load, process, and analyze large-scale spatial data across machines.",2020.0,,Open Source,Apache Version 2.0,no
Comdb2,299.0,316.0,262.0,Relational,0.43,+0.14,-0.07,https://db-engines.com/en/system/Comdb2,,Bloomberg Finance L.P.,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",2004.0,,Open Source,Apache 2.0,no
LeanXcale,300.0,304.0,318.0,Multi-model,0.43,+0.08,+0.21,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,2015.0,,commercial,,no
YDB,301.0,296.0,258.0,Multi-model,0.42,+0.02,-0.09,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",Yandex,"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API",2019.0,,Open Source,Apache 2.0; commercial license available,no
FeatureBase,302.0,284.0,289.0,Relational,0.42,-0.02,+0.08,https://db-engines.com/en/system/FeatureBase,,Molecula and Pilosa Open Source Contributors,"Real-time database platform that powers real-time analytics and machine learning applications by simultaneously executing low-latency, high-throughput, and highly concurrent workloads.",2017.0,"2022, May 2022",commercial,,no
YottaDB,303.0,317.0,,"Key-value, Multi-model",0.42,+0.12,,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS","YottaDB, LLC","A fast and solid embedded,Key-value store",2001.0,,Open Source,AGPL 3.0,no
Exorbyte,304.0,333.0,345.0,Search engine,0.41,+0.16,+0.26,https://db-engines.com/en/system/Exorbyte,,,,2000.0,,commercial,,no
Deep Lake,305.0,302.0,,Vector,0.41,+0.04,,https://db-engines.com/en/system/Deep+Lake,,Activeloop,Deep Lake is a vector DBMS optimized for deep-learning and Large Language Model (LLM) based applications.,,,Open Source,MPL-2.0 license,no
Mimer SQL,306.0,295.0,269.0,Relational,0.4,-0.01,-0.04,https://db-engines.com/en/system/Mimer+SQL,,,,1977.0,"11.0.7G, June 2023",commercial,,no
Brytlyt,307.0,287.0,270.0,Relational,0.4,-0.03,-0.04,https://db-engines.com/en/system/Brytlyt,,Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",2016.0,"5.0, August 2023",commercial,,no
CubicWeb,308.0,332.0,302.0,RDF,0.38,+0.13,+0.10,https://db-engines.com/en/system/CubicWeb,,,,2001.0,"3.30.0, March 2021",Open Source,L-GPL,no
PipelineDB,309.0,324.0,279.0,Relational,0.38,+0.11,-0.03,https://db-engines.com/en/system/PipelineDB,,,"A RDBMS that runs SQL queries continuously on streams, incrementally storing results in tables. Built upon,PostgreSQL,.",2015.0,,Open Source,"BSD, GPL V3",no
