category_label,Multi_model_info,DBMS,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Nov-2022,Rank_Nov-2022,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
Relational,"Relational DBMS,Document store,Spatial DBMS",Greenplum,https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb,12.29,46,greenplum-db,gpdb,Pivotal Software Inc.,2005.0,2020.0,Y,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Document,Document store,Google Cloud Firestore,https://db-engines.com/en/system/Google+Cloud+Firestore,Y,,googleapis/python-firestore,11.09,47,googleapis,python-firestore,Google,2017.0,,N,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Search engine,Search engine,OpenSearch,https://db-engines.com/en/system/OpenSearch,,,,10.3,48,,,Amazon Web Services,2021.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Document,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic,https://db-engines.com/en/system/MarkLogic,Y,,marklogic/marklogic-data-hub,9.75,49,marklogic,marklogic-data-hub,MarkLogic Corp.,2001.0,2017.0,N,N,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Key-value,"Key-value store,Document store",Hazelcast,https://db-engines.com/en/system/Hazelcast,Y,,hazelcast/hazelcast,9.6,50,hazelcast,hazelcast,Hazelcast,2008.0,2022.0,Y,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Spatial DBMS",H2,https://db-engines.com/en/system/H2,Y,N,h2database/h2database,9.06,51,h2database,h2database,Thomas Mueller,2005.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Document,Document store,Realm,https://db-engines.com/en/system/Realm,Y,,realm/realm-cocoa,9.03,52,realm,realm-cocoa,"Realm, acquired by MongoDB in May 2019",2014.0,,Y,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Key-value,Key-value store,etcd,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,8.71,53,etcd-io,etcd,,,2019.0,Y,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wide column,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine",Datastax Enterprise,https://db-engines.com/en/system/Datastax+Enterprise,N,,-,8.68,54,-,-,DataStax,2011.0,2020.0,N,N,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
Relational,Relational DBMS,Oracle Essbase,https://db-engines.com/en/system/Oracle+Essbase,,,,8.37,55,,,Oracle,1998.0,2020.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,CockroachDB,https://db-engines.com/en/system/CockroachDB,Y,Y,cockroachdb/cockroach,7.98,56,cockroachdb,cockroach,Cockroach Labs,2015.0,2021.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Search engine,Search engine,Algolia,https://db-engines.com/en/system/Algolia,N,,-,7.83,57,-,-,,2012.0,,N,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",SingleStore,https://db-engines.com/en/system/SingleStore,,,,7.81,58,,,SingleStore Inc.,2013.0,2021.0,N,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
Time Series,"Time Series DBMS,Relational DBMS",Kdb+,https://db-engines.com/en/system/Kdb%2B,Y,,KxSystems/kdb,7.48,59,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000.0,2018.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Relational,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft Azure Data Explorer,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,,,,7.34,60,,,Microsoft,2019.0,,N,Y,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0
Search engine,Search engine,Microsoft Azure Search,https://db-engines.com/en/system/Microsoft+Azure+Search,N,,-,7.24,61,-,-,Microsoft,2015.0,,N,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Document,Document store,Google Cloud Datastore,https://db-engines.com/en/system/Google+Cloud+Datastore,,,,7.1,62,,,Google,2008.0,,N,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Document,"Document store,Key-value store,Spatial DBMS",Aerospike,https://db-engines.com/en/system/Aerospike,Y,,aerospike/aerospike-server,6.95,63,aerospike,aerospike-server,Aerospike,2012.0,2022.0,Y,N,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Search engine,Search engine,Sphinx,https://db-engines.com/en/system/Sphinx,Y,,sphinxsearch/sphinx,6.88,64,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001.0,2021.0,Y,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Time Series,Time Series DBMS,Graphite,https://db-engines.com/en/system/Graphite,Y,,graphite-project/graphite-web,6.8,65,graphite-project,graphite-web,Chris Davis,2006.0,,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Key-value,Key-value store,Ehcache,https://db-engines.com/en/system/Ehcache,Y,,ehcache/ehcache3,6.66,66,ehcache,ehcache3,"Terracotta Inc, owned by Software AG",2009.0,2022.0,Y,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Time Series,Time Series DBMS,Prometheus,https://db-engines.com/en/system/Prometheus,Y,,prometheus/prometheus,6.28,67,prometheus,prometheus,,2015.0,,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Key-value,"Key-value store,Relational DBMS",Ignite,https://db-engines.com/en/system/Ignite,Y,,apache/ignite,6.14,68,apache,ignite,Apache Software Foundation,2015.0,,Y,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Key-value,Key-value store,Riak KV,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,6.09,69,basho,riak_kv,Basho Technologies,2009.0,2015.0,Y,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Interbase,https://db-engines.com/en/system/Interbase,,,,6.04,70,,,Embarcadero,1984.0,2019.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wide column,Wide column store,Microsoft Azure Table Storage,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,6.02,71,-,-,Microsoft,2012.0,,N,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Relational,Relational DBMS,Ingres,https://db-engines.com/en/system/Ingres,,,,5.93,72,,,Actian Corporation,1974.0,2017.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,HyperSQL,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,5.91,73,ryenus,hsqldb,,2001.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,SAP SQL Anywhere,https://db-engines.com/en/system/SAP+SQL+Anywhere,,,,5.88,74,,,SAP,1992.0,2015.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",Virtuoso,https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,5.84,75,openlink,virtuoso-opensource,OpenLink Software,1998.0,2022.0,Y,N,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0
Document,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB,https://db-engines.com/en/system/ArangoDB,Y,,arangodb/arangodb,5.84,76,arangodb,arangodb,ArangoDB Inc.,2012.0,2022.0,Y,N,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Content,Content stores,Jackrabbit,https://db-engines.com/en/system/Jackrabbit,Y,,apache/jackrabbit,5.79,77,apache,jackrabbit,Apache Software Foundation,2006.0,,Y,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Derby,https://db-engines.com/en/system/Derby,Y,N,apache/derby,5.66,78,apache,derby,Apache Software Foundation,1997.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Time Series,"Time Series DBMS,Relational DBMS",TimescaleDB,https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,5.32,79,timescale,timescaledb,Timescale,2017.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Key-value,"Key-value store,Wide column store",Google Cloud Bigtable,https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,5.24,80,-,-,Google,2015.0,,N,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Document,"Document store,Graph DBMS,Key-value store",OrientDB,https://db-engines.com/en/system/OrientDB,Y,,orientechnologies/orientdb,5.04,81,orientechnologies,orientdb,OrientDB LTD; CallidusCloud; SAP,2010.0,2021.0,Y,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Wide column,Wide column store,Accumulo,https://db-engines.com/en/system/Accumulo,Y,,apache/accumulo,4.98,82,apache,accumulo,,2008.0,2020.0,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wide column,"Wide column store,Key-value store",ScyllaDB,https://db-engines.com/en/system/ScyllaDB,Y,,scylladb/scylla,4.95,83,scylladb,scylla,ScyllaDB,2015.0,2022.0,Y,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Relational,Relational DBMS,SAP IQ,https://db-engines.com/en/system/SAP+IQ,,,,4.72,84,,,"SAP, formerly Sybase",1994.0,2019.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Multivalue,Multivalue DBMS,Adabas,https://db-engines.com/en/system/Adabas,N,,-,4.63,85,-,-,Software AG,1971.0,,N,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Key-value,Key-value store,RocksDB,https://db-engines.com/en/system/RocksDB,Y,,facebook/rocksdb,4.61,86,facebook,rocksdb,"Facebook, Inc.",2013.0,2022.0,Y,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Document,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",RavenDB,https://db-engines.com/en/system/RavenDB,Y,,ravendb/ravendb,4.55,87,ravendb,ravendb,Hibernating Rhinos,2010.0,2022.0,Y,N,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Relational,Relational DBMS,OpenEdge,https://db-engines.com/en/system/OpenEdge,,,,4.5,88,,,Progress Software Corporation,1984.0,2020.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,"Document store,Key-value store,Relational DBMS",Oracle NoSQL,https://db-engines.com/en/system/Oracle+NoSQL,Y,N,oracle/nosql-go-sdk,4.42,89,oracle,nosql-go-sdk,Oracle,2011.0,2022.0,Y,N,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Multivalue,Multivalue DBMS,"UniData,UniVerse",https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,4.28,90,-,-,Rocket Software,1985.0,,N,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Google Cloud Spanner,https://db-engines.com/en/system/Google+Cloud+Spanner,,,,4.24,91,,,Google,2017.0,,N,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,Document store,IBM Cloudant,https://db-engines.com/en/system/IBM+Cloudant,,,,4.21,92,,,"IBM, Apache Software Foundation",2010.0,,N,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store,Wide column store",YugabyteDB,https://db-engines.com/en/system/YugabyteDB,,,,4.15,93,,,Yugabyte Inc.,2017.0,2022.0,Y,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino,https://db-engines.com/en/system/Trino,Y,,trinodb/trino,3.98,94,trinodb,trino,Trino Software Foundation,2012.0,,Y,N,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
Relational,"Relational DBMS,Document store",TiDB,https://db-engines.com/en/system/TiDB,Y,Y,pingcap/tidb,3.69,95,pingcap,tidb,"PingCAP, Inc.",2016.0,2022.0,Y,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,MaxDB,https://db-engines.com/en/system/MaxDB,,,,3.68,96,,,"SAP, acquired from Software AG (Adabas-D) in 1997",1984.0,2020.0,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Key-value,Key-value store,LevelDB,https://db-engines.com/en/system/LevelDB,Y,,google/leveldb,3.68,97,google,leveldb,Google,2011.0,2021.0,Y,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RDF,RDF store,Apache Jena - TDB,https://db-engines.com/en/system/Apache+Jena+-+TDB,Y,,apache/jena,3.63,98,apache,jena,Apache Software Foundation,2000.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,"Document store,Spatial DBMS",RethinkDB,https://db-engines.com/en/system/RethinkDB,Y,,rethinkdb/rethinkdb,3.48,99,rethinkdb,rethinkdb,The Linux Foundation,2009.0,2020.0,Y,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Document,Document store,PouchDB,https://db-engines.com/en/system/PouchDB,Y,,pouchdb/pouchdb,3.44,100,pouchdb,pouchdb,Apache Software Foundation,2012.0,2019.0,Y,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Apache Phoenix,https://db-engines.com/en/system/Apache+Phoenix,Y,N,apache/phoenix,3.42,101,apache,phoenix,Apache Software Foundation,2014.0,2019.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Key-value,Key-value store,Infinispan,https://db-engines.com/en/system/Infinispan,Y,,infinispan/infinispan,3.42,102,infinispan,infinispan,,2009.0,2021.0,Y,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,EXASOL,https://db-engines.com/en/system/EXASOL,,,,3.37,103,,,Exasol,2000.0,,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Document,"Document store,Relational DBMS",Apache Drill,https://db-engines.com/en/system/Apache+Drill,Y,N,apache/drill,3.33,104,apache,drill,Apache Software Foundation,2012.0,2022.0,Y,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Relational,Relational DBMS,SAP Advantage Database Server,https://db-engines.com/en/system/SAP+Advantage+Database+Server,,,,3.3,105,,,"Sybase, SAP",1993.0,,N,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Key-value,"Key-value store,Native XML DBMS",Oracle Berkeley DB,https://db-engines.com/en/system/Oracle+Berkeley+DB,Y,,berkeleydb/libdb,3.26,106,berkeleydb,libdb,Oracle,1994.0,2020.0,Y,N,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Graph,"Graph DBMS,RDF store",Amazon Neptune,https://db-engines.com/en/system/Amazon+Neptune,N,,-,3.09,107,-,-,Amazon,2017.0,,N,Y,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,Percona Server for MySQL,https://db-engines.com/en/system/Percona+Server+for+MySQL,Y,N_forMySQL,percona/percona-server,3.02,108,percona,percona-server,Percona,2008.0,2022.0,Y,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Graph,Graph DBMS,JanusGraph,https://db-engines.com/en/system/JanusGraph,Y,,JanusGraph/janusgraph,2.99,109,JanusGraph,janusgraph,"Linux Foundation; originally developed as,Titan,by Aurelius",2017.0,2022.0,Y,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Navigational,Navigational DBMS,IMS,https://db-engines.com/en/system/IMS,N,,-,2.99,110,-,-,IBM,1966.0,2017.0,N,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
