DBMS,Rank_Nov-2025,Rank_Oct-2025,Rank_Nov-2024,Database Model,Score_Nov-2025,Score_Oct-2025,Score_Nov-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
SQLite,11.0,12.0,10.0,Relational,104.19,-0.36,+4.71,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.46.1  (13 August 2024), August 2024",Open Source,Public Domain,no
Apache Cassandra,12.0,11.0,11.0,"Wide column, Multi-model",102.71,-2.45,+5.00,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS",Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"5.0-rc1, July 2024",Open Source,Apache version 2,no
MariaDB,13.0,13.0,15.0,"Relational, Multi-model",87.36,-0.41,+4.66,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",MariaDB plc (MariaDB Enterprise Platform and MariaDB),"An open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities, with built in compatibility with MySQL and Oracle Database. MariaDB ColumnStore provides a column-oriented storage engine for analytical workloads. MariaDB Server also supports vector embedded search for AI-driven applications.",2009.0,"11.5.2, August 2024",Open Source,"GPL version 2, commercial enterprise subscription available",no
Microsoft Access,14.0,14.0,12.0,Relational,78.29,-2.50,-13.03,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no
Microsoft Azure SQL Database,15.0,16.0,16.0,"Relational, Multi-model",76.38,+0.90,-0.15,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes
Splunk,16.0,18.0,13.0,Search engine,76.1,+2.22,-12.37,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no
Amazon DynamoDB,17.0,15.0,17.0,Multi-model,75.78,-0.13,+3.38,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes
Apache Hive,18.0,17.0,18.0,Relational,72.87,-2.35,+21.37,https://db-engines.com/en/system/Apache+Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no
Google BigQuery,19.0,19.0,19.0,Relational,62.79,-0.42,+12.20,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes
Neo4j,20.0,20.0,21.0,Graph,52.36,-0.15,+9.66,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.23, August 2024",Open Source,"GPL version3, commercial licenses available",no
