Rank_Nov-2025,Rank_Oct-2025,Rank_Nov-2024,DBMS,Database Model,Score_Nov-2025,Score_Oct-2025,Score_Nov-2024,DBMS_insitelink,Multi_model_info
19.,19.,19.,Google BigQuery,Relational,62.79,-0.42,+12.20,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,21.,Neo4j,Graph,52.36,-0.15,+9.66,https://db-engines.com/en/system/Neo4j,
21.,21.,24.,Apache Solr,"Search engine, Multi-model",34.95,-0.36,+2.53,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
22.,22.,23.,Teradata,"Relational, Multi-model",33.33,+0.21,-5.35,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
23.,23.,20.,FileMaker,Relational,32.79,-0.04,-9.99,https://db-engines.com/en/system/FileMaker,
24.,24.,22.,SAP HANA,"Relational, Multi-model",32.22,+0.58,-6.88,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",27.08,-0.08,-4.41,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,34.,Apache Spark (SQL),Relational,23.09,-0.68,+6.31,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,22.55,-0.16,-1.40,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,28.,InfluxDB,"Time Series, Multi-model",22.09,+0.18,+0.61,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,29.,PostGIS,"Spatial, Multi-model",21.48,+0.44,+1.86,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,30.,35.,ClickHouse,"Relational, Multi-model",21.13,+0.95,+4.63,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS"
31.,31.,26.,Apache HBase,Wide column,19.32,-0.85,-5.93,https://db-engines.com/en/system/Apache+HBase,
32.,32.,31.,OpenSearch,Multi-model,19.13,-0.18,+1.53,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS"
33.,33.,30.,Firebird,Relational,17.05,-0.37,-1.38,https://db-engines.com/en/system/Firebird,
34.,34.,32.,Memcached,Key-value,15.35,-0.13,-1.64,https://db-engines.com/en/system/Memcached,
35.,38.,33.,Microsoft Azure Synapse Analytics,Relational,15.25,+1.45,-1.59,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
36.,35.,39.,Firebase Realtime Database,Document,14.77,-0.50,+1.34,https://db-engines.com/en/system/Firebase+Realtime+Database,
37.,37.,38.,Amazon Redshift,Relational,14.71,+0.11,+0.64,https://db-engines.com/en/system/Amazon+Redshift,
38.,36.,37.,Informix,"Relational, Multi-model",14.57,-0.35,-0.96,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
39.,39.,40.,Apache Impala,"Relational, Multi-model",13.40,+0.11,+3.18,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
40.,41.,41.,Apache Flink,Relational,11.91,+0.27,+2.01,https://db-engines.com/en/system/Apache+Flink,
41.,40.,36.,Couchbase,Multi-model,11.52,-0.44,-4.29,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
42.,42.,54.,Google Cloud Firestore,Document,9.46,+0.03,+2.93,https://db-engines.com/en/system/Google+Cloud+Firestore,
43.,44.,55.,DuckDB,Relational,9.11,+0.17,+3.03,https://db-engines.com/en/system/DuckDB,
44.,43.,42.,Vertica,"Relational, Multi-model",8.89,-0.46,-0.49,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
45.,45.,44.,Amazon Aurora,"Relational, Multi-model",8.24,+0.19,+0.57,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
46.,49.,43.,dBASE,Relational,8.11,+0.76,-0.21,https://db-engines.com/en/system/dBASE,
47.,47.,48.,Kdb,Multi-model,8.05,+0.54,+0.99,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
48.,48.,50.,Prometheus,Time Series,7.92,+0.44,+1.00,https://db-engines.com/en/system/Prometheus,
49.,46.,47.,H2,"Relational, Multi-model",7.83,+0.31,+0.74,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
50.,50.,46.,etcd,Key-value,7.73,+0.38,+0.53,https://db-engines.com/en/system/etcd,
51.,57.,52.,Netezza,Relational,7.14,+0.87,+0.44,https://db-engines.com/en/system/Netezza,
52.,54.,84.,Pinecone,Vector,7.07,+0.39,+3.99,https://db-engines.com/en/system/Pinecone,
53.,52.,49.,Realm,Document,7.06,+0.19,+0.01,https://db-engines.com/en/system/Realm,
54.,53.,56.,Algolia,Search engine,6.95,+0.15,+0.96,https://db-engines.com/en/system/Algolia,
55.,51.,51.,Greenplum,"Relational, Multi-model",6.80,-0.34,-0.05,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
56.,55.,45.,CouchDB,"Document, Multi-model",6.67,+0.13,-0.97,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
57.,56.,61.,Trino,"Relational, Multi-model",6.57,+0.23,+1.22,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
58.,59.,59.,Microsoft Azure AI Search,"Search engine, Multi-model",6.14,+0.14,+0.63,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
59.,58.,53.,Presto,Relational,6.13,-0.09,-0.43,https://db-engines.com/en/system/Presto,
60.,60.,57.,Sphinx,Search engine,5.90,-0.04,-0.02,https://db-engines.com/en/system/Sphinx,
61.,61.,60.,Hazelcast,"Key-value, Multi-model",5.22,-0.08,-0.24,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
62.,65.,68.,CockroachDB,Relational,5.05,+0.48,+0.81,https://db-engines.com/en/system/CockroachDB,
63.,63.,64.,Graphite,Time Series,4.78,-0.13,-0.13,https://db-engines.com/en/system/Graphite,
64.,64.,74.,TimescaleDB,"Time Series, Multi-model",4.76,+0.17,+1.08,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
65.,62.,58.,Oracle Essbase,Relational,4.71,-0.21,-0.98,https://db-engines.com/en/system/Oracle+Essbase,
66.,66.,95.,Milvus,Vector,4.70,+0.16,+1.84,https://db-engines.com/en/system/Milvus,
67.,67.,62.,Aerospike,Multi-model,4.29,-0.24,-1.04,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
69.,69.,72.,ScyllaDB,"Wide column, Multi-model",4.13,+0.28,+0.25,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
70.,68.,67.,MarkLogic,Multi-model,4.10,-0.04,-0.18,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS"
71.,71.,132.,Qdrant,Vector,4.08,+0.35,+2.32,https://db-engines.com/en/system/Qdrant,
72.,70.,78.,OpenEdge,Relational,3.73,-0.06,+0.16,https://db-engines.com/en/system/OpenEdge,
73.,81.,147.,Weaviate,Vector,3.73,+0.41,+2.28,https://db-engines.com/en/system/Weaviate,
74.,73.,66.,Apache Jackrabbit,Content,3.63,-0.02,-0.76,https://db-engines.com/en/system/Apache+Jackrabbit,
75.,72.,79.,Ingres,Relational,3.60,-0.13,+0.13,https://db-engines.com/en/system/Ingres,
76.,74.,98.,Apache Druid,Multi-model,3.59,-0.04,+0.89,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
77.,77.,70.,Google Cloud Datastore,Document,3.56,+0.01,-0.41,https://db-engines.com/en/system/Google+Cloud+Datastore,
78.,75.,92.,QuestDB,"Time Series, Multi-model",3.56,-0.03,+0.66,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
79.,76.,77.,Interbase,Relational,3.52,-0.06,-0.10,https://db-engines.com/en/system/Interbase,
80.,91.,89.,RocksDB,Key-value,3.44,+0.59,+0.48,https://db-engines.com/en/system/RocksDB,
81.,78.,63.,Datastax Enterprise,"Wide column, Multi-model",3.34,-0.07,-1.57,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
82.,88.,65.,Ehcache,Key-value,3.32,+0.33,-1.20,https://db-engines.com/en/system/Ehcache,
83.,79.,80.,Oracle NoSQL,Multi-model,3.24,-0.11,-0.01,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
84.,80.,75.,Riak KV,Key-value,3.23,-0.09,-0.44,https://db-engines.com/en/system/Riak+KV,
85.,82.,81.,SAP SQL Anywhere,Relational,3.22,-0.05,-0.02,https://db-engines.com/en/system/SAP+SQL+Anywhere,
86.,84.,71.,Apache Derby,Relational,3.18,+0.02,-0.74,https://db-engines.com/en/system/Apache+Derby,
87.,83.,76.,TiDB,"Relational, Multi-model",3.16,-0.03,-0.48,https://db-engines.com/en/system/TiDB,"Relational DBMS,Vector DBMS"
88.,85.,87.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.09,-0.05,+0.09,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
89.,89.,83.,ArangoDB,Multi-model,2.97,+0.06,-0.12,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
90.,93.,104.,Adabas,Multivalue,2.94,+0.14,+0.39,https://db-engines.com/en/system/Adabas,
91.,87.,91.,Apache Ignite,Multi-model,2.93,-0.06,+0.01,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
92.,97.,73.,Virtuoso,Multi-model,2.91,+0.17,-0.96,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
93.,94.,82.,Microsoft Azure Table Storage,Wide column,2.83,+0.03,-0.27,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
94.,86.,69.,SingleStore,"Relational, Multi-model",2.78,-0.28,-1.45,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
95.,90.,118.,OceanBase,Multi-model,2.77,-0.12,+0.76,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store"
96.,92.,100.,Google Cloud Spanner,Relational,2.72,-0.08,+0.02,https://db-engines.com/en/system/Google+Cloud+Spanner,
97.,95.,103.,GemFire,"Key-value, Multi-model",2.71,-0.07,+0.15,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
98.,96.,86.,HyperSQL,Relational,2.70,-0.06,-0.37,https://db-engines.com/en/system/HyperSQL,
99.,99.,90.,Google Cloud Bigtable,Multi-model,2.65,0.00,-0.28,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
100.,98.,101.,IBM Cloudant,Document,2.60,-0.06,-0.04,https://db-engines.com/en/system/IBM+Cloudant,
101.,100.,88.,OrientDB,Multi-model,2.59,-0.03,-0.39,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
102.,102.,94.,Apache Jena - TDB,RDF,2.54,+0.01,-0.34,https://db-engines.com/en/system/Apache+Jena+-+TDB,
103.,101.,109.,Coveo,Search engine,2.53,-0.02,+0.21,https://db-engines.com/en/system/Coveo,
104.,118.,102.,DolphinDB,Multi-model,2.44,+0.38,-0.15,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
105.,103.,106.,SAP IQ,Relational,2.44,-0.06,-0.06,https://db-engines.com/en/system/SAP+IQ,
106.,104.,99.,RavenDB,"Document, Multi-model",2.43,-0.06,-0.27,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
107.,106.,127.,Chroma,Vector,2.41,-0.01,+0.60,https://db-engines.com/en/system/Chroma,
108.,124.,197.,Alibaba Cloud PolarDB,Relational,2.40,+0.47,+1.50,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
109.,109.,93.,GraphDB,Multi-model,2.38,+0.07,-0.52,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
110.,105.,129.,NebulaGraph,Graph,2.37,-0.08,+0.58,https://db-engines.com/en/system/NebulaGraph,
111.,110.,113.,Amazon Neptune,Multi-model,2.36,+0.09,+0.19,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
112.,108.,85.,Apache Accumulo,Wide column,2.35,+0.00,-0.73,https://db-engines.com/en/system/Apache+Accumulo,
113.,107.,105.,RethinkDB,"Document, Multi-model",2.30,-0.05,-0.23,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
114.,113.,119.,Citus,"Relational, Multi-model",2.23,+0.03,+0.27,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
115.,116.,107.,YugabyteDB,"Relational, Multi-model",2.20,+0.07,-0.16,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
116.,114.,108.,"UniData,UniVerse",Multivalue,2.20,+0.05,-0.15,https://db-engines.com/en/system/UniData%2CUniVerse,
117.,111.,97.,Memgraph,Graph,2.17,-0.08,-0.55,https://db-engines.com/en/system/Memgraph,
118.,115.,120.,Apache Phoenix,Relational,2.14,+0.01,+0.21,https://db-engines.com/en/system/Apache+Phoenix,
119.,146.,159.,VictoriaMetrics,Time Series,2.11,+0.55,+0.83,https://db-engines.com/en/system/VictoriaMetrics,
120.,112.,96.,InterSystems IRIS,Multi-model,2.10,-0.10,-0.66,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
121.,119.,114.,4D,Relational,2.05,+0.02,-0.08,https://db-engines.com/en/system/4D,
122.,117.,117.,Percona Server for MySQL,Relational,2.02,-0.04,-0.05,https://db-engines.com/en/system/Percona+Server+for+MySQL,
123.,123.,112.,Infinispan,Key-value,1.99,+0.05,-0.23,https://db-engines.com/en/system/Infinispan,
124.,122.,123.,LMDB,Key-value,1.96,+0.01,+0.05,https://db-engines.com/en/system/LMDB,
125.,121.,111.,LevelDB,Key-value,1.95,-0.05,-0.31,https://db-engines.com/en/system/LevelDB,
126.,131.,,Valkey,Key-value,1.92,+0.13,,https://db-engines.com/en/system/Valkey,
127.,125.,124.,Amazon DocumentDB,Document,1.89,-0.01,+0.02,https://db-engines.com/en/system/Amazon+DocumentDB,
128.,127.,126.,CloudKit,Document,1.89,+0.01,+0.06,https://db-engines.com/en/system/CloudKit,
129.,126.,116.,PouchDB,Document,1.89,-0.01,-0.19,https://db-engines.com/en/system/PouchDB,
130.,120.,122.,GridDB,"Time Series, Multi-model",1.87,-0.13,-0.04,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
131.,128.,133.,Amazon CloudSearch,Search engine,1.86,-0.01,+0.11,https://db-engines.com/en/system/Amazon+CloudSearch,
132.,132.,125.,Apache Drill,Multi-model,1.85,+0.05,+0.01,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
133.,138.,144.,SpatiaLite,"Spatial, Multi-model",1.82,+0.10,+0.32,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
134.,130.,131.,JanusGraph,Graph,1.81,+0.01,+0.03,https://db-engines.com/en/system/JanusGraph,
135.,129.,115.,MaxDB,Relational,1.81,-0.05,-0.30,https://db-engines.com/en/system/MaxDB,
136.,140.,169.,GBase,Relational,1.80,+0.12,+0.69,https://db-engines.com/en/system/GBase,
137.,134.,135.,EDB Postgres,"Relational, Multi-model",1.77,+0.02,+0.06,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
138.,141.,151.,Apache IoTDB,Time Series,1.75,+0.11,+0.34,https://db-engines.com/en/system/Apache+IoTDB,
139.,137.,110.,TDengine,"Time Series, Multi-model",1.73,0.00,-0.55,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
140.,133.,152.,TigerGraph,Graph,1.73,-0.04,+0.32,https://db-engines.com/en/system/TigerGraph,
141.,136.,130.,Stardog,Multi-model,1.72,-0.02,-0.07,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
142.,135.,128.,Oracle Coherence,Key-value,1.70,-0.05,-0.10,https://db-engines.com/en/system/Oracle+Coherence,
143.,144.,177.,HFSQL,Relational,1.67,+0.05,+0.60,https://db-engines.com/en/system/HFSQL,
144.,139.,134.,Amazon SimpleDB,Key-value,1.65,-0.05,-0.09,https://db-engines.com/en/system/Amazon+SimpleDB,
145.,142.,121.,Oracle Berkeley DB,Multi-model,1.64,-0.01,-0.28,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
146.,143.,136.,RRDtool,Time Series,1.60,-0.03,-0.10,https://db-engines.com/en/system/RRDtool,
147.,145.,138.,EXASOL,Relational,1.58,-0.01,-0.03,https://db-engines.com/en/system/EXASOL,
148.,150.,183.,PlanetScale,"Relational, Multi-model",1.53,+0.03,+0.54,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
149.,147.,145.,Datomic,Relational,1.53,-0.01,+0.06,https://db-engines.com/en/system/Datomic,
150.,148.,141.,OpenTSDB,Time Series,1.52,-0.01,+0.00,https://db-engines.com/en/system/OpenTSDB,
151.,149.,137.,MonetDB,"Relational, Multi-model",1.51,+0.00,-0.12,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
152.,153.,174.,Meilisearch,Multi-model,1.49,+0.07,+0.39,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
153.,151.,148.,Fauna,Multi-model,1.47,-0.02,+0.04,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
154.,152.,140.,BaseX,Native XML,1.47,-0.01,-0.05,https://db-engines.com/en/system/BaseX,
155.,169.,199.,StarRocks,Relational,1.42,+0.18,+0.55,https://db-engines.com/en/system/StarRocks,
156.,154.,142.,IMS,Navigational,1.42,+0.04,-0.10,https://db-engines.com/en/system/IMS,
157.,156.,196.,TDSQL for MySQL,"Relational, Multi-model",1.39,+0.03,+0.49,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
158.,159.,143.,Tarantool,Multi-model,1.39,+0.08,-0.11,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
159.,165.,181.,SurrealDB,Multi-model,1.37,+0.10,+0.36,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
160.,155.,149.,Geode,Key-value,1.36,-0.02,-0.06,https://db-engines.com/en/system/Geode,
161.,158.,150.,GridGain,Multi-model,1.36,+0.01,-0.06,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
162.,181.,209.,Typesense,Search engine,1.35,+0.22,+0.54,https://db-engines.com/en/system/Typesense,
163.,157.,154.,jBASE,Multivalue,1.33,-0.03,-0.06,https://db-engines.com/en/system/jBASE,
164.,162.,139.,Empress,Relational,1.29,-0.01,-0.24,https://db-engines.com/en/system/Empress,
165.,161.,157.,Dgraph,Graph,1.28,-0.03,-0.05,https://db-engines.com/en/system/Dgraph,
166.,170.,164.,IBM Db2 warehouse,Relational,1.26,+0.03,+0.03,https://db-engines.com/en/system/IBM+Db2+warehouse,
167.,168.,155.,VoltDB,Relational,1.25,0.00,-0.09,https://db-engines.com/en/system/VoltDB,
168.,167.,165.,D3,Multivalue,1.25,-0.01,+0.03,https://db-engines.com/en/system/D3,
169.,163.,166.,Amazon Timestream,Time Series,1.24,-0.04,+0.02,https://db-engines.com/en/system/Amazon+Timestream,
170.,173.,162.,Db4o,Object oriented,1.24,+0.05,0.00,https://db-engines.com/en/system/Db4o,
171.,160.,191.,Vitess,"Relational, Multi-model",1.24,-0.07,+0.30,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
172.,164.,176.,openGauss,"Relational, Multi-model",1.24,-0.04,+0.16,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
173.,166.,178.,SQLBase,Relational,1.23,-0.03,+0.18,https://db-engines.com/en/system/SQLBase,
174.,172.,167.,Mnesia,Document,1.22,+0.01,+0.02,https://db-engines.com/en/system/Mnesia,
175.,171.,158.,Actian NoSQL Database,Object oriented,1.22,+0.00,-0.11,https://db-engines.com/en/system/Actian+NoSQL+Database,
176.,174.,170.,Apache Kylin,Relational,1.20,+0.01,+0.09,https://db-engines.com/en/system/Apache+Kylin,
177.,176.,173.,ObjectBox,Multi-model,1.18,+0.01,+0.08,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
178.,177.,156.,HEAVY.AI,"Relational, Multi-model",1.17,+0.02,-0.17,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
179.,175.,161.,ObjectStore,Object oriented,1.15,-0.02,-0.11,https://db-engines.com/en/system/ObjectStore,
180.,180.,168.,LiteDB,Document,1.13,+0.00,-0.01,https://db-engines.com/en/system/LiteDB,
181.,182.,171.,Datameer,Document,1.13,+0.01,+0.03,https://db-engines.com/en/system/Datameer,
182.,178.,182.,Amazon Keyspaces,Wide column,1.11,-0.04,+0.12,https://db-engines.com/en/system/Amazon+Keyspaces,
183.,184.,163.,TimesTen,Relational,1.09,-0.01,-0.15,https://db-engines.com/en/system/TimesTen,
184.,179.,153.,Tibero,Relational,1.08,-0.06,-0.32,https://db-engines.com/en/system/Tibero,
185.,183.,200.,Alibaba Cloud MaxCompute,Relational,1.08,-0.03,+0.21,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
186.,186.,172.,Giraph,Graph,1.07,+0.00,-0.03,https://db-engines.com/en/system/Giraph,
187.,185.,175.,KurrentDB (aka EventStoreDB),"Event, Multi-model",1.05,-0.04,-0.03,https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,"Event Store,Document store,Time Series DBMS"
188.,189.,195.,NonStop SQL,Relational,1.05,+0.03,+0.12,https://db-engines.com/en/system/NonStop+SQL,
189.,187.,160.,mSQL,Relational,1.01,-0.02,-0.25,https://db-engines.com/en/system/mSQL,
190.,188.,180.,Oracle Rdb,Relational,1.00,-0.02,-0.02,https://db-engines.com/en/system/Oracle+Rdb,
191.,190.,194.,GigaSpaces,Multi-model,0.99,-0.03,+0.05,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
192.,210.,185.,Rockset,"Document, Multi-model",0.96,+0.21,-0.02,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
193.,192.,184.,Apache HAWQ,Relational,0.93,-0.01,-0.06,https://db-engines.com/en/system/Apache+HAWQ,
194.,195.,187.,GT.M,Key-value,0.93,+0.01,-0.02,https://db-engines.com/en/system/GT.M,
195.,191.,234.,Vespa,Multi-model,0.93,-0.05,+0.32,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
196.,193.,192.,FoundationDB,Multi-model,0.92,-0.02,-0.02,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
197.,194.,188.,Cubrid,Relational,0.90,-0.03,-0.05,https://db-engines.com/en/system/Cubrid,
198.,203.,146.,Firebolt,Relational,0.90,+0.10,-0.56,https://db-engines.com/en/system/Firebolt,
199.,197.,179.,DataEase,Relational,0.87,-0.01,-0.15,https://db-engines.com/en/system/DataEase,
200.,202.,206.,HPE Ezmeral Data Fabric,Multi-model,0.87,+0.05,+0.04,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
201.,199.,193.,M3DB,Time Series,0.87,+0.00,-0.07,https://db-engines.com/en/system/M3DB,
