DBMS,Rank_Sep-2023,Rank_Aug-2023,Rank_Sep-2022,Database Model,Score_Sep-2023,Score_Aug-2023,Score_Sep-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Snowflake,11.0,11.0,13.0,Relational,120.89,+0.27,+17.39,https://db-engines.com/en/system/Snowflake,,Snowflake Computing Inc.,Cloud-based data warehousing service for structured and semi-structured data,2014.0,,commercial,,yes
Cassandra,12.0,12.0,11.0,"Wide column, Multi-model",110.06,+2.67,-9.06,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS",Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"4.1.3, July 2023",Open Source,Apache version 2,no
MariaDB,13.0,13.0,12.0,"Relational, Multi-model",100.45,+1.80,-9.70,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS","MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)","MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",2009.0,"11.1.2, August 2023",Open Source,"GPL version 2, commercial enterprise subscription available",no
Splunk,14.0,14.0,14.0,Search engine,91.4,+2.42,-2.65,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no
Microsoft Azure SQL Database,15.0,16.0,16.0,"Relational, Multi-model",82.73,+3.22,-1.69,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes
Amazon DynamoDB,16.0,15.0,15.0,Multi-model,80.91,-2.64,-6.51,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes
Databricks,17.0,18.0,20.0,Multi-model,75.18,+3.84,+19.56,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS",Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,2013.0,,Open Source,,yes
Hive,18.0,17.0,17.0,Relational,71.83,-1.52,-6.60,https://db-engines.com/en/system/Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no
Teradata,19.0,19.0,18.0,"Relational, Multi-model",60.33,-0.98,-6.25,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no
Google BigQuery,20.0,20.0,24.0,Relational,56.46,+2.56,+6.34,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes
FileMaker,21.0,21.0,23.0,Relational,53.6,-0.25,+2.03,https://db-engines.com/en/system/FileMaker,,FileMaker,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no
SAP HANA,22.0,23.0,22.0,"Relational, Multi-model",50.61,-0.05,-1.21,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS07 (April 4, 2023), April 2023",commercial,,no
Neo4j,23.0,22.0,19.0,Graph,50.39,-1.03,-9.09,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.12, September 2023",Open Source,"GPL version3, commercial licenses available",no
Solr,24.0,24.0,21.0,"Search engine, Multi-model",47.09,-0.71,-6.96,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.3.0, July 2023",Open Source,Apache Version 2,no
SAP Adaptive Server,25.0,25.0,25.0,"Relational, Multi-model",43.32,-0.38,+0.46,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no
HBase,26.0,26.0,26.0,Wide column,35.97,-0.50,-5.99,https://db-engines.com/en/system/HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no
Microsoft Azure Cosmos DB,27.0,27.0,27.0,Multi-model,35.45,+0.45,-5.22,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes
InfluxDB,28.0,28.0,29.0,"Time Series, Multi-model",31.27,+1.40,+2.12,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.7.1, April 2023",Open Source,MIT-License; commercial enterprise version available,no
PostGIS,29.0,29.0,28.0,"Spatial DBMS, Multi-model",28.4,-0.51,-2.41,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.3.4, July 2023",Open Source,GPL v2.0,no
Microsoft Azure Synapse Analytics,30.0,30.0,36.0,Relational,27.73,+0.76,+5.13,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes
Firebird,31.0,31.0,33.0,Relational,25.63,-0.36,+1.63,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"4.0.3, July 2023",Open Source,Initial Developer's Public License,no
Couchbase,32.0,32.0,30.0,"Document, Multi-model",23.77,-0.91,-4.92,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS","Couchbase, Inc.","A distributed,document store,with integrated cache, a powerful search engine, in-built operational and analytical capabilities, and an embedded mobile database",2011.0,"Server: 7.2, June 2023; Mobile: 3.1, March 2022; Couchbase Capella (DBaaS), June 2023",Open Source,Business Source License (BSL 1.1); Commercial licenses also available,no
Informix,33.0,34.0,34.0,"Relational, Multi-model",22.34,-0.28,-0.91,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no
Memcached,34.0,33.0,32.0,Key-value,21.31,-1.63,-3.71,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.21, June 2023",Open Source,BSD license,no
Amazon Redshift,35.0,35.0,31.0,Relational,20.03,-0.47,-6.34,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes
Impala,36.0,36.0,40.0,"Relational, Multi-model",19.6,-0.63,+2.05,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store",Cloudera,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no
Spark SQL,37.0,37.0,35.0,Relational,19.21,+0.19,-3.40,https://db-engines.com/en/system/Spark+SQL,,Apache Software Foundation,Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.4.1 ( 2.13), June 2023",Open Source,Apache 2.0,no
Firebase Realtime Database,38.0,38.0,38.0,Document,17.58,+0.06,-1.49,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes
ClickHouse,39.0,39.0,44.0,"Relational, Multi-model",15.19,-0.09,+1.74,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS",Clickhouse Inc.,"Column-oriented,Relational DBMS,powering Yandex",2016.0,"v23.7.4.5-stable, August 2023",Open Source,Apache 2.0,no
Presto,40.0,42.0,43.0,Relational,14.85,-0.03,+1.22,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no
dBASE,41.0,43.0,42.0,Relational,14.63,-0.21,-0.21,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no
Vertica,42.0,41.0,37.0,"Relational, Multi-model",14.36,-0.67,-5.67,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no
Netezza,43.0,40.0,39.0,Relational,14.27,-0.95,-3.65,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no
CouchDB,44.0,44.0,41.0,"Document, Multi-model",13.98,+0.10,-2.58,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.2, April 2023",Open Source,Apache version 2,no
Apache Flink,45.0,45.0,,Relational,13.92,+1.05,,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.17.1, May 2023",Open Source,,no
OpenSearch,46.0,46.0,53.0,"Search engine, Multi-model",12.61,+0.17,+3.80,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS",Amazon Web Services,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"2.5.0, January 2023",Open Source,Apache Version 2.0,no
Google Cloud Firestore,47.0,48.0,47.0,Document,10.78,+0.47,+0.51,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes
Greenplum,48.0,47.0,45.0,"Relational, Multi-model",10.6,+0.09,-2.25,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"6.7.1, April 2020",Open Source,Apache 2.0,no
Amazon Aurora,49.0,49.0,46.0,"Relational, Multi-model",9.12,-0.23,-3.73,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store",Amazon,MySQL and PostgreSQL compatible cloud service by Amazon,2015.0,,commercial,,yes
etcd,50.0,52.0,50.0,Key-value,9.03,+0.34,-0.47,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no
Kdb,51.0,54.0,57.0,Multi-model,8.94,+0.52,+0.81,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no
H2,52.0,50.0,49.0,"Relational, Multi-model",8.78,-0.19,-0.94,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.2.220, July 2023",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no
Oracle Essbase,53.0,51.0,54.0,Relational,8.32,-0.52,-0.33,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no
MarkLogic,54.0,53.0,51.0,Multi-model,8.17,-0.27,-1.31,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no
Realm,55.0,56.0,52.0,Document,8.1,+0.17,-1.21,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no
Hazelcast,56.0,55.0,48.0,"Key-value, Multi-model",7.87,-0.06,-2.19,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.3.2, August 2023",Open Source,Apache Version 2; commercial licenses available,no
Prometheus,57.0,57.0,68.0,Time Series,7.62,-0.22,+1.09,https://db-engines.com/en/system/Prometheus,,,Open-source TimeSeries DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no
Algolia,58.0,58.0,55.0,Search engine,7.61,+0.39,-0.63,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes
CockroachDB,59.0,61.0,59.0,Relational,6.89,+0.11,-0.68,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"23.1.1, May 2023",Open Source,"Apache 2.0, commercial license available",no
Aerospike,60.0,62.0,65.0,Multi-model,6.85,+0.14,+0.20,https://db-engines.com/en/system/Aerospike,"Document store,Key-value store,Spatial DBMS",Aerospike,Flash-optimized In-memory NoSQL Database,2012.0,"6.0.0.0, April 2022",Open Source,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no
Derby,61.0,63.0,78.0,Relational,6.84,+0.18,+1.60,https://db-engines.com/en/system/Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.16.1.1, May 2022",Open Source,Apache version 2,no
Datastax Enterprise,62.0,60.0,56.0,"Wide column, Multi-model",6.69,-0.34,-1.48,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no
Microsoft Azure Data Explorer,63.0,59.0,60.0,"Relational, Multi-model",6.66,-0.40,-0.69,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes
Ehcache,64.0,64.0,62.0,Key-value,6.45,-0.13,-0.41,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no
ScyllaDB,65.0,66.0,87.0,"Wide column, Multi-model",6.37,-0.07,+2.06,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 5.0, July 2022",Open Source,"Open Source (AGPL), commercial license available",no
Jackrabbit,66.0,65.0,76.0,Content,6.33,-0.16,+0.85,https://db-engines.com/en/system/Jackrabbit,,Apache Software Foundation,,2006.0,,Open Source,,no
Microsoft Azure Search,67.0,69.0,58.0,Search engine,6.17,+0.05,-1.45,https://db-engines.com/en/system/Microsoft+Azure+Search,,Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes
Trino,68.0,68.0,92.0,"Relational, Multi-model",6.07,-0.10,+2.28,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no
Interbase,69.0,67.0,71.0,Relational,6.06,-0.16,-0.01,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no
Sphinx,70.0,70.0,63.0,Search engine,6.05,-0.03,-0.71,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,"3.5.1, February 2023",Open Source,"GPL version 2, commercial licence available",no
Microsoft Azure Table Storage,71.0,73.0,75.0,Wide column,5.94,+0.18,+0.28,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes
Apache Jena - TDB,72.0,75.0,105.0,RDF,5.7,+0.13,+2.71,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,"4.6.1, September 2022",Open Source,"Apache License, Version 2.0",no
SingleStore,73.0,71.0,61.0,"Relational, Multi-model",5.67,-0.37,-1.59,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"8.1, May 2023",commercial,free developer edition available,no
SAP SQL Anywhere,74.0,72.0,74.0,Relational,5.61,-0.18,-0.07,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no
Ingres,75.0,76.0,70.0,Relational,5.56,+0.05,-0.55,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"11.2, May 2022",commercial,,no
Riak KV,76.0,79.0,69.0,Key-value,5.54,+0.33,-0.71,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no
Graphite,77.0,74.0,67.0,Time Series,5.45,-0.15,-1.11,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no
Google Cloud Datastore,78.0,82.0,66.0,Document,5.43,+0.32,-1.18,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes
TimescaleDB,79.0,81.0,80.0,"Time Series, Multi-model",5.39,+0.28,+0.53,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.11.0, May 2023",Open Source,Apache 2.0,no
Virtuoso,80.0,85.0,73.0,Multi-model,5.38,+0.59,-0.57,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.10, June 2023",Open Source,"GPLv2, extended commercial license available",no
Accumulo,81.0,77.0,90.0,Wide column,4.97,-0.49,+0.84,https://db-engines.com/en/system/Accumulo,,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no
HyperSQL,82.0,78.0,77.0,Relational,4.91,-0.34,-0.47,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.1, October 2022",Open Source,based on BSD license,no
SAP IQ,83.0,84.0,82.0,Relational,4.86,-0.02,+0.18,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,"16.1 SPS04, April 2019",commercial,,no
Adabas,84.0,80.0,83.0,Multivalue,4.68,-0.46,+0.02,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no
Google Cloud Bigtable,85.0,88.0,79.0,Multi-model,4.49,-0.20,-0.54,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes
Ignite,86.0,83.0,64.0,Multi-model,4.39,-0.51,-2.32,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,Apache Ignite 2.6,Open Source,Apache 2.0,no
OrientDB,87.0,87.0,81.0,Multi-model,4.33,-0.36,-0.48,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.17, March 2023",Open Source,Apache version 2,no
"UniData,UniVerse",88.0,86.0,85.0,Multivalue,4.32,-0.44,-0.10,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no
ArangoDB,89.0,90.0,72.0,Multi-model,4.29,-0.08,-1.74,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.10.5.1, March 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no
GemFire,90.0,89.0,,"Key-value, Multi-model",4.19,-0.26,,https://db-engines.com/en/system/GemFire,"Key-value store,Document store",VMware,"An enterprise grade, high speed in-memory data and compute grid for high-performance, low latency applications where data must be consistent across multiple data centers",2004.0,"9.15, June 2022",commercial,,no
OpenEdge,91.0,91.0,84.0,Relational,4.05,-0.18,-0.41,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,"OpenEdge 12.2, March 2020",commercial,,no
DolphinDB,92.0,102.0,144.0,"Time Series, Multi-model",4.04,+0.55,+2.42,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no
RavenDB,93.0,92.0,91.0,"Document, Multi-model",4.02,-0.13,-0.10,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no
RocksDB,94.0,96.0,89.0,Key-value,3.92,+0.07,-0.34,https://db-engines.com/en/system/RocksDB,,"Facebook, Inc.",Embeddable persistent key-value store optimized for fast storage (flash and RAM),2013.0,"7.10.2, March 2023",Open Source,BSD,no
