Rank_Aug-2025,Rank_Jul-2025,Rank_Aug-2024,DBMS,Database Model,Score_Aug-2025,Score_Jul-2025,Score_Aug-2024,DBMS_insitelink,Multi_model_info
72.,72.,71.,Google Cloud Datastore,Document,3.58,+0.04,-0.43,https://db-engines.com/en/system/Google+Cloud+Datastore,
73.,74.,77.,OpenEdge,Relational,3.52,+0.02,-0.19,https://db-engines.com/en/system/OpenEdge,
74.,73.,95.,Apache Druid,Multi-model,3.49,-0.05,+0.53,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
75.,76.,94.,Oracle NoSQL,Multi-model,3.45,+0.04,+0.49,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
76.,79.,75.,Interbase,Relational,3.45,+0.12,-0.33,https://db-engines.com/en/system/Interbase,
77.,71.,79.,TiDB,"Relational, Multi-model",3.38,-0.25,-0.21,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
78.,81.,72.,Riak KV,Key-value,3.35,+0.10,-0.57,https://db-engines.com/en/system/Riak+KV,
79.,70.,64.,Datastax Enterprise,"Wide column, Multi-model",3.31,-0.34,-1.64,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
80.,75.,76.,SingleStore,"Relational, Multi-model",3.30,-0.14,-0.44,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
81.,87.,82.,SAP SQL Anywhere,Relational,3.30,+0.32,-0.11,https://db-engines.com/en/system/SAP+SQL+Anywhere,
82.,80.,66.,Ehcache,Key-value,3.24,-0.06,-1.30,https://db-engines.com/en/system/Ehcache,
83.,83.,91.,Apache Ignite,Multi-model,3.12,0.00,+0.11,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
84.,86.,81.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.08,+0.07,-0.34,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
85.,85.,69.,Apache Derby,Relational,3.06,-0.04,-1.28,https://db-engines.com/en/system/Apache+Derby,
86.,82.,97.,QuestDB,"Time Series, Multi-model",3.05,-0.19,+0.18,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
87.,99.,155.,Qdrant,Vector,2.92,+0.39,+1.54,https://db-engines.com/en/system/Qdrant,
88.,84.,92.,RocksDB,Key-value,2.92,-0.19,-0.08,https://db-engines.com/en/system/RocksDB,
89.,88.,83.,ArangoDB,Multi-model,2.90,+0.07,-0.49,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
90.,101.,128.,OceanBase,Multi-model,2.82,+0.31,+0.93,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store"
91.,102.,102.,GemFire,"Key-value, Multi-model",2.81,+0.30,+0.08,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
92.,90.,101.,Google Cloud Spanner,Relational,2.81,+0.10,+0.07,https://db-engines.com/en/system/Google+Cloud+Spanner,
93.,95.,106.,Adabas,Multivalue,2.77,+0.18,+0.19,https://db-engines.com/en/system/Adabas,
94.,89.,86.,HyperSQL,Relational,2.74,+0.03,-0.47,https://db-engines.com/en/system/HyperSQL,
95.,93.,80.,Microsoft Azure Table Storage,Wide column,2.71,+0.09,-0.72,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
96.,92.,89.,OrientDB,Multi-model,2.64,0.00,-0.44,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
97.,98.,98.,GraphDB,Multi-model,2.62,+0.08,-0.16,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
98.,97.,96.,Google Cloud Bigtable,Multi-model,2.60,+0.05,-0.28,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
99.,91.,73.,Virtuoso,Multi-model,2.57,-0.07,-1.28,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
100.,94.,100.,RavenDB,"Document, Multi-model",2.52,-0.07,-0.23,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
101.,96.,103.,IBM Cloudant,Document,2.51,-0.07,-0.22,https://db-engines.com/en/system/IBM+Cloudant,
102.,107.,118.,Coveo,Search engine,2.49,+0.18,+0.44,https://db-engines.com/en/system/Coveo,
103.,104.,114.,Amazon Neptune,Multi-model,2.38,+0.04,+0.16,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
104.,105.,93.,Apache Jena - TDB,RDF,2.37,+0.03,-0.61,https://db-engines.com/en/system/Apache+Jena+-+TDB,
105.,100.,90.,Memgraph,Graph,2.37,-0.16,-0.65,https://db-engines.com/en/system/Memgraph,
106.,106.,105.,SAP IQ,Relational,2.35,+0.03,-0.23,https://db-engines.com/en/system/SAP+IQ,
107.,110.,85.,Apache Accumulo,Wide column,2.28,+0.08,-1.03,https://db-engines.com/en/system/Apache+Accumulo,
108.,109.,104.,RethinkDB,"Document, Multi-model",2.28,0.00,-0.37,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
109.,111.,160.,Weaviate,Vector,2.28,+0.13,+0.99,https://db-engines.com/en/system/Weaviate,
110.,112.,121.,NebulaGraph,Graph,2.26,+0.18,+0.29,https://db-engines.com/en/system/NebulaGraph,
111.,115.,127.,Chroma,Vector,2.22,+0.21,+0.33,https://db-engines.com/en/system/Chroma,
112.,103.,88.,InterSystems IRIS,Multi-model,2.17,-0.17,-0.92,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
113.,108.,110.,"UniData,UniVerse",Multivalue,2.12,-0.17,-0.13,https://db-engines.com/en/system/UniData%2CUniVerse,
114.,114.,109.,YugabyteDB,"Relational, Multi-model",2.00,-0.03,-0.42,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
115.,125.,123.,Apache Phoenix,Relational,2.00,+0.17,+0.05,https://db-engines.com/en/system/Apache+Phoenix,
116.,116.,112.,4D,Relational,2.00,+0.08,-0.25,https://db-engines.com/en/system/4D,
117.,113.,99.,DolphinDB,Multi-model,1.99,-0.08,-0.78,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
118.,120.,115.,Citus,"Relational, Multi-model",1.97,+0.06,-0.23,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
119.,117.,117.,Percona Server for MySQL,Relational,1.96,+0.05,-0.11,https://db-engines.com/en/system/Percona+Server+for+MySQL,
120.,119.,108.,Infinispan,Key-value,1.94,+0.03,-0.53,https://db-engines.com/en/system/Infinispan,
121.,118.,113.,LevelDB,Key-value,1.92,+0.01,-0.30,https://db-engines.com/en/system/LevelDB,
122.,121.,116.,MaxDB,Relational,1.90,+0.00,-0.25,https://db-engines.com/en/system/MaxDB,
123.,131.,125.,LMDB,Key-value,1.88,+0.16,-0.06,https://db-engines.com/en/system/LMDB,
124.,124.,126.,Amazon DocumentDB,Document,1.85,+0.01,-0.09,https://db-engines.com/en/system/Amazon+DocumentDB,
125.,123.,111.,PouchDB,Document,1.84,-0.06,-0.41,https://db-engines.com/en/system/PouchDB,
126.,129.,130.,CloudKit,Document,1.79,+0.02,-0.09,https://db-engines.com/en/system/CloudKit,
127.,126.,133.,Amazon CloudSearch,Search engine,1.79,-0.03,-0.05,https://db-engines.com/en/system/Amazon+CloudSearch,
128.,122.,120.,GridDB,"Time Series, Multi-model",1.76,-0.14,-0.22,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
129.,130.,129.,JanusGraph,Graph,1.73,0.00,-0.16,https://db-engines.com/en/system/JanusGraph,
130.,127.,124.,Apache Drill,Multi-model,1.73,-0.06,-0.22,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
131.,128.,119.,Stardog,Multi-model,1.71,-0.07,-0.28,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
132.,132.,131.,Oracle Berkeley DB,Multi-model,1.69,+0.01,-0.19,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
133.,134.,122.,Oracle Coherence,Key-value,1.67,+0.01,-0.29,https://db-engines.com/en/system/Oracle+Coherence,
134.,133.,132.,Amazon SimpleDB,Key-value,1.67,0.00,-0.21,https://db-engines.com/en/system/Amazon+SimpleDB,
135.,136.,134.,EDB Postgres,"Relational, Multi-model",1.63,+0.02,-0.20,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
136.,138.,107.,TDengine,"Time Series, Multi-model",1.62,+0.07,-0.89,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
137.,135.,136.,MonetDB,"Relational, Multi-model",1.61,+0.01,-0.11,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
138.,137.,166.,HFSQL,Relational,1.60,+0.03,+0.39,https://db-engines.com/en/system/HFSQL,
139.,147.,144.,SpatiaLite,"Spatial, Multi-model",1.54,+0.11,-0.02,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
140.,139.,137.,RRDtool,Time Series,1.54,0.00,-0.18,https://db-engines.com/en/system/RRDtool,
141.,148.,163.,Apache IoTDB,Time Series,1.54,+0.10,+0.26,https://db-engines.com/en/system/Apache+IoTDB,
142.,141.,138.,EXASOL,Relational,1.51,+0.01,-0.18,https://db-engines.com/en/system/EXASOL,
143.,140.,167.,VictoriaMetrics,Time Series,1.50,-0.04,+0.31,https://db-engines.com/en/system/VictoriaMetrics,
144.,142.,,Valkey,Key-value,1.50,+0.03,,https://db-engines.com/en/system/Valkey,
145.,150.,177.,GBase,Relational,1.49,+0.09,+0.39,https://db-engines.com/en/system/GBase,
146.,145.,142.,Fauna,Multi-model,1.48,+0.03,-0.09,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
147.,149.,149.,TigerGraph,Graph,1.46,+0.04,-0.01,https://db-engines.com/en/system/TigerGraph,
148.,146.,141.,OpenTSDB,Time Series,1.46,+0.01,-0.14,https://db-engines.com/en/system/OpenTSDB,
149.,143.,143.,Datomic,Relational,1.44,-0.01,-0.12,https://db-engines.com/en/system/Datomic,
150.,151.,140.,BaseX,Native XML,1.42,+0.03,-0.20,https://db-engines.com/en/system/BaseX,
151.,152.,154.,jBASE,Multivalue,1.40,+0.02,+0.00,https://db-engines.com/en/system/jBASE,
152.,162.,207.,Alibaba Cloud PolarDB,Relational,1.36,+0.11,+0.52,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
153.,155.,159.,D3,Multivalue,1.36,+0.03,+0.05,https://db-engines.com/en/system/D3,
154.,144.,147.,Tibero,Relational,1.35,-0.10,-0.15,https://db-engines.com/en/system/Tibero,
155.,153.,146.,IMS,Navigational,1.34,-0.02,-0.19,https://db-engines.com/en/system/IMS,
156.,160.,135.,Empress,Relational,1.30,+0.02,-0.43,https://db-engines.com/en/system/Empress,
157.,154.,139.,Tarantool,Multi-model,1.29,-0.05,-0.40,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
158.,157.,152.,GridGain,Multi-model,1.29,-0.03,-0.16,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
159.,158.,198.,StarRocks,Relational,1.28,-0.03,+0.39,https://db-engines.com/en/system/StarRocks,
160.,161.,196.,TDSQL for MySQL,"Relational, Multi-model",1.28,+0.03,+0.38,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
161.,156.,145.,Geode,Key-value,1.28,-0.05,-0.28,https://db-engines.com/en/system/Geode,
162.,163.,187.,Meilisearch,Multi-model,1.27,+0.04,+0.28,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
163.,168.,178.,SQLBase,Relational,1.27,+0.08,+0.18,https://db-engines.com/en/system/SQLBase,
164.,159.,170.,Amazon Timestream,Time Series,1.27,-0.03,+0.08,https://db-engines.com/en/system/Amazon+Timestream,
165.,166.,156.,Dgraph,Graph,1.25,+0.05,-0.13,https://db-engines.com/en/system/Dgraph,
166.,165.,150.,Actian NoSQL Database,Object oriented,1.23,+0.01,-0.23,https://db-engines.com/en/system/Actian+NoSQL+Database,
167.,167.,157.,ObjectStore,Object oriented,1.22,+0.03,-0.14,https://db-engines.com/en/system/ObjectStore,
168.,164.,153.,VoltDB,Relational,1.21,-0.01,-0.19,https://db-engines.com/en/system/VoltDB,
169.,177.,169.,PlanetScale,"Relational, Multi-model",1.21,+0.13,+0.02,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
170.,170.,162.,IBM Db2 warehouse,Relational,1.21,+0.04,-0.07,https://db-engines.com/en/system/IBM+Db2+warehouse,
171.,171.,174.,Datameer,Document,1.16,-0.01,+0.05,https://db-engines.com/en/system/Datameer,
172.,169.,151.,HEAVY.AI,"Relational, Multi-model",1.15,-0.03,-0.29,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
173.,182.,172.,SurrealDB,Multi-model,1.14,+0.09,0.00,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
174.,187.,188.,Amazon Keyspaces,Wide column,1.14,+0.13,+0.15,https://db-engines.com/en/system/Amazon+Keyspaces,
175.,173.,164.,TimesTen,Relational,1.13,+0.01,-0.13,https://db-engines.com/en/system/TimesTen,
176.,174.,158.,Db4o,Object oriented,1.13,+0.03,-0.21,https://db-engines.com/en/system/Db4o,
177.,185.,202.,Vitess,"Relational, Multi-model",1.13,+0.10,+0.24,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
178.,188.,180.,openGauss,"Relational, Multi-model",1.13,+0.16,+0.09,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
179.,186.,171.,Apache Kylin,Relational,1.12,+0.09,-0.04,https://db-engines.com/en/system/Apache+Kylin,
180.,172.,165.,Mnesia,Document,1.12,-0.03,-0.12,https://db-engines.com/en/system/Mnesia,
181.,176.,175.,ObjectBox,Multi-model,1.07,-0.01,-0.03,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
182.,175.,176.,EventStoreDB,Event,1.07,-0.03,-0.03,https://db-engines.com/en/system/EventStoreDB,
