Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
BaseX,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",Native XML DBMS,,"Score,1.66,Rank,#153,Overall,#4,Native XML DBMS",basex.org,docs.basex.org,BaseX GmbH,2007.0,"10.3, October 2022",Open Source,no,,Java,"Linux,OS X,Windows",schema-free,no,,yes,no,"Java API,RESTful HTTP API,RESTXQ,WebDAV,XML:DB,XQJ","Actionscript,C,C#,Haskell,Java,JavaScript,Lisp,Perl,PHP,Python,Qt,Rebol,Ruby,Scala,Visual Basic",yes,yes,none,none,no,,no,"multiple readers, single writer",yes,yes,,Users with fine-grained authorization concept on 4 levels
Actian NoSQL Database,,Object oriented DBMS,,"Score,1.64,Rank,#154,Overall,#6,Object oriented DBMS",www.actian.com/data-management/nosql-object-database,,Actian,1988.0,"9.3, April 2017",commercial,no,,,,,,,,,,,,,,,,,,,,,,
TDengine,Time Series DBMS and big data platform,Time Series DBMS,Relational DBMS,"Score,1.60,Rank,#155,Overall,#13,Time Series DBMS","github.com/taosdata/TDengine,tdengine.com",docs.tdengine.com,"TDEngine, previously Taos Data",2019.0,"3.0, August 2022",Open Source,no,,C,"Linux,Windows",yes,yes,no,no,Standard SQL with extensions for time-series applications,"JDBC,RESTful HTTP API","C,C#,C++,Go,Java,JavaScript (Node.js),PHP,Python,Rust",no,"yes, via alarm monitoring",Sharding,yes,,,no,,yes,yes,,yes
mSQL,"mSQL (Mini SQL) is a simple and lightweight,RDBMS",Relational DBMS,,"Score,1.58,Rank,#156,Overall,#73,Relational DBMS",hughestech.com.au/products/msql,,Hughes Technologies,1994.0,"4.4, October 2021",commercial,no,,C,"AIX,HP-UX,Linux,OS X,Solaris SPARC/x86,Windows",yes,yes,no,yes,A subset of ANSI SQL is implemented,"JDBC,ODBC","C,C++,Delphi,Java,Perl,PHP,Tcl",no,no,none,none,no,none,no,no,no,yes,no,no
Datameer,,Document store,,"Score,1.54,Rank,#157,Overall,#29,Document stores",www.datameer.com,,,2009.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Infobright,High performant column-oriented DBMS for analytic workloads using MySQL or PostgreSQL as a frontend,Relational DBMS,,"Score,1.52,Rank,#158,Overall,#74,Relational DBMS",ignitetech.com/softwarelibrary/infobrightdb,,Ignite Technologies Inc.; formerly InfoBright Inc.,2005.0,,commercial,no,,C,"Linux,Windows",yes,yes,no,no,yes,"ADO.NET,JDBC,ODBC",".Net,C,C#,C++,D,Eiffel,Erlang,Haskell,Java,Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl",no,no,none,Source-replica replication,no,Immediate Consistency,no,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
GBase,An analytical database for business intelligence with large customers in China.,Relational DBMS,,"Score,1.50,Rank,#159,Overall,#75,Relational DBMS",www.gbase8a.com,,,,GBase 8a,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Oracle Rdb,,Relational DBMS,,"Score,1.50,Rank,#160,Overall,#76,Relational DBMS",www.oracle.com/technetwork/database/database-technologies/rdb/overview/index.html,,"Oracle, originally developed by Digital Equipment Corporation (DEC)",1984.0,"7.4.1.1, 2021",commercial,no,,,HP Open VMS,"Flexible Schema (defined schema, partial schema, schema free)",yes,no,yes,yes,,,,,,,no,Immediate Consistency,yes,"yes, on a single node",yes,yes,no,
NonStop SQL,,Relational DBMS,,"Score,1.50,Rank,#161,Overall,#77,Relational DBMS",www.hpe.com/us/en/servers/nonstop.html,,"HP, originally by Tandem",1987.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
GT.M,,Key-value store,,"Score,1.49,Rank,#162,Overall,#28,Key-value stores",sourceforge.net/projects/fis-gtm,,,1986.0,"7.0-000, February 2021",commercial,no,,,,,,,,,,,,,,,,,,,,,,
DataEase,,Relational DBMS,,"Score,1.48,Rank,#163,Overall,#78,Relational DBMS",www.dataease.com,,,1981.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
HFSQL,"RDBMS included in the development environments WINDEV, WINDEV Mobile and WEBDEV",Relational DBMS,,"Score,1.48,Rank,#164,Overall,#79,Relational DBMS",windev.com/pcsoft/hfsql.htm,,PC Soft,,,commercial,no,,,"Android,iOS,Linux,OS X,Windows",,,,,,,,,,,,,,,,,,,
SQL.JS,"Port of,SQLite,to JavaScript",Relational DBMS,,"Score,1.46,Rank,#165,Overall,#80,Relational DBMS",sql.js.org,sql.js.org/documentation/index.html,Alon Zakai,2012.0,,Open Source,no,,JavaScript,"server-less, requires a JavaScript environment (browser, Node.js)",yes,yes,no,,yes,JavaScript API,JavaScript,no,no,none,none,no,none,yes,ACID,,no,yes,no
SQLBase,,Relational DBMS,,"Score,1.45,Rank,#166,Overall,#81,Relational DBMS",www.opentext.com/what-we-do/products/specialty-technologies/opentext-gupta-development-tools-databases/opentext-gupta-sqlbase,,,1985.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
AllegroGraph,"High performance, persistent RDF store with additional support for Graph DBMS","Document store,Graph DBMS,RDF store",Spatial DBMS,"Score,1.44,Rank,#167,Overall,#30,Document stores,#13,Graph DBMS,#7,RDF stores",allegrograph.com,franz.com/agraph/support/documentation/current/agraph-introduction.html,Franz Inc.,2004.0,"7.2.0, October 2021",commercial,no,,,"Linux,OS X,Windows",yes,yes,no,yes,SPARQL is used as query language,"RESTful HTTP API,SPARQL","C#,Clojure,Java,Lisp,Perl,Python,Ruby,Scala",yes,yes,with Federation,"Multi-source replication,Source-replica replication",no,Immediate Consistency or Eventual Consistency depending on configuration,no,ACID,yes,yes,no,"Users with fine-grained authorization concept, user roles and pluggable authentication"
Cubrid,CUBRID is an open-source SQL-based relational database management system with object extensions for OLTP,Relational DBMS,,"Score,1.44,Rank,#168,Overall,#82,Relational DBMS","cubrid.com,(korean),cubrid.org,(english)",cubrid.org/manuals,"CUBRID Corporation, CUBRID Foundation",2008.0,"11.0, January 2021",Open Source,no,,"C, C++, Java","Linux,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC,OLE DB","C,C#,C++,Go,Java,JavaScript (Node.js),Perl,PHP,Python,Ruby",Java Stored Procedures,yes,none,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
Empress,,Relational DBMS,,"Score,1.37,Rank,#169,Overall,#83,Relational DBMS",www.empress.com,,,1981.0,"v10.20-E, January 2010",commercial,no,,,,,,,,,,,,,,,,,,,,,,
Giraph,,Graph DBMS,,"Score,1.37,Rank,#170,Overall,#14,Graph DBMS",giraph.apache.org,,,2013.0,"1.3.0, June 2020",Open Source,no,,,,,,,,,,,,,,,,,,,,,,
DuckDB,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",Relational DBMS,,"Score,1.37,Rank,#171,Overall,#84,Relational DBMS",duckdb.org,duckdb.org/docs,,2018.0,"0.2, August 2020",Open Source,no,,C++,server-less,yes,yes,no,yes,yes,"CLI Client,JDBC","C,C++,Go,Java,Python,R,Ruby",no,no,none,none,no,Immediate Consistency,no,ACID,"yes, multi-version concurrency control (MVCC)",yes,yes,no
Model 204,,Multivalue DBMS,,"Score,1.33,Rank,#172,Overall,#4,Multivalue DBMS",www.rocketsoftware.com/products/rocket-m204,,,1972.0,,commercial,no,,,"HP Open VMS,z/OS",,,,,,,,,,,,,,,,,,,
Altibase,"An enterprise grade, high-performance,RDBMS",Relational DBMS,,"Score,1.32,Rank,#173,Overall,#85,Relational DBMS",altibase.com,github.com/ALTIBASE/Documents/tree/master/Manuals,Altibase,1999.0,"v7.1.0.5.3, March 2021",Open Source,no,,C++,"AIX,HP-UX,Linux",yes,yes,no,yes,ANSI SQL-92,"JDBC,ODBC,Proprietary protocol","C,C++,Java",stored procedures and stored functions,yes,Sharding,yes,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
1010data,,Relational DBMS,,"Score,1.31,Rank,#174,Overall,#86,Relational DBMS",www.1010data.com,,,2000.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
ZODB,Native object database for Python,Key-value store,,"Score,1.31,Rank,#175,Overall,#29,Key-value stores",zodb.org,,,2009.0,"5.6.0, June 2020",Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Apache HAWQ,HAWQ is a parallel SQL query engine integrated into the Hadoop ecosystem,Relational DBMS,,"Score,1.30,Rank,#176,Overall,#87,Relational DBMS",hawq.apache.org,hawq.apache.org/docs/userguide/latest,Pivotal Software; Apache,2012.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
GigaSpaces,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions","Document store,Object oriented DBMS","Graph DBMS,Search engine","Score,1.30,Rank,#177,Overall,#31,Document stores,#7,Object oriented DBMS",www.gigaspaces.com,docs.gigaspaces.com/latest/landing.html,Gigaspaces Technologies,2000.0,"15.5, September 2020",Open Source,no,,"Java, C++, .Net","Linux,macOS,Solaris,Windows",schema-free,yes,no,yes,SQL-99 for query and DML statements,"GigaSpaces LRMI,Hibernate,JCache,JDBC,JPA,ODBC,RESTful HTTP API,Spring Data",".Net,C++,Java,Python,Scala",yes,"yes, event driven architecture",Sharding,"Multi-source replication,Source-replica replication",yes,Immediate Consistency,no,ACID,yes,yes,yes,Role-based access control
NCache,"Open-Source and Enterprise in-memory,Key-Value Store",Key-value store,"Document store,Search engine","Score,1.30,Rank,#178,Overall,#30,Key-value stores",www.alachisoft.com/ncache,www.alachisoft.com/resources/docs,Alachisoft,2005.0,"5.2, April 2021",Open Source,no,"NCache Cloud,: NCache Cloud is available in Azure and AWS Marketplaces as a Service. This means you can now obtain it instantaneously with a few mouse clicks, and seamlessly scale your cache deployment without any down time.","C#, .NET, .NET Core, Java","Linux,Windows",schema-free,partial,no,yes,SQL-like query syntax and LINQ for searching the cache. Cache Synchronization with SQL Server using SQL dependency.,"IDistributedCache,JCache,LINQ,Proprietary native API",".Net,.Net Core,C#,Java,JavaScript (Node.js),Visual Basic.NET",no,yes,yes,"yes, with selectable consistency level",yes,"Eventual Consistency,Immediate Consistency,Strong Eventual Consistency over WAN with Conflict Resolution using Bridge Topology",no,optimistic locking and pessimistic locking,yes,yes,yes,"Authentication to access the cache via Active Directory/LDAP (possible roles: user, administrator)"
Perst,,Object oriented DBMS,,"Score,1.28,Rank,#179,Overall,#8,Object oriented DBMS",www.mcobject.com/perst,,,2003.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Graph Engine,"A distributed in-memory data processing engine, underpinned by a strongly-typed RAM store and a general distributed computation engine","Graph DBMS,Key-value store",,"Score,1.27,Rank,#180,Overall,#15,Graph DBMS,#31,Key-value stores",www.graphengine.io,www.graphengine.io/docs/manual,Microsoft,2010.0,,Open Source,no,,.NET and C,.NET,yes,yes,no,,no,RESTful HTTP API,"C#,C++,F#,Visual Basic",yes,no,horizontal partitioning,,,,no,no,yes,optional: either by committing a write-ahead log (WAL) to the local persistent storage or by dumping the memory to a persistent storage,yes,
NebulaGraph,"A distributed, linear scalable, high perfomant,Graph DBMS",Graph DBMS,,"Score,1.26,Rank,#181,Overall,#16,Graph DBMS","github.com/vesoft-inc/nebula,nebula-graph.io",docs.nebula-graph.io,Vesoft Inc.,2019.0,,Open Source,no,,C++,Linux,Strong typed schema,yes,no,yes,SQL-like query language,"Browser interface,console (shell),Proprietary native API,Query language nGQL","C++,Go,Java,Python",,,Sharding,Causal Clustering using Raft protocol,no,Immediate Consistency,yes,ACID,yes,yes,yes,Role-based access control
HPE Ezmeral Data Fabric,"A unified data platform to ingest, store, manage, process, apply, and analyze all data types from any data source, and a variety of different ingestion mechanisms at an exabyte scale","Document store,Wide column store",,"Score,1.26,Rank,#182,Overall,#32,Document stores,#9,Wide column stores",www.hpe.com/us/en/software/data-fabric.html,docs.datafabric.hpe.com/home,"HPE, MapR Technologies, Inc",2009.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Amazon Timestream,"Fast, scalable, fully managed time series database service for IoT and operational applications",Time Series DBMS,,"Score,1.22,Rank,#183,Overall,#14,Time Series DBMS",aws.amazon.com/timestream,,,2018.0,,commercial,yes,,,,,,,,,,,,,,,,,,,,,,
Sedna,,Native XML DBMS,,"Score,1.22,Rank,#184,Overall,#5,Native XML DBMS",sourceforge.net/projects/sedna,,,2006.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
TypeDB,TypeDB is a strongly-typed database with a rich and logical type system and TypeQL as its query language,"Graph DBMS,Relational DBMS",,"Score,1.21,Rank,#185,Overall,#17,Graph DBMS,#88,Relational DBMS",vaticle.com,docs.vaticle.com,Vaticle (formerly Grakn Labs),2016.0,"2.12.0, November 2022",Open Source,no,,Java,"Linux,OS X,Windows",yes,yes,no,yes,no,"gRPC protocol,TypeDB Console (shell),TypeDB Studio (Visualisation software- previously TypeDB Workbase)","All JVM based languages,Groovy,Java,JavaScript (Node.js),Python,Scala",no,no,Sharding,Multi-source replication,yes,Immediate Consistency,no,ACID,yes,yes,no,yes
Blazegraph,"High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.","Graph DBMS,RDF store",,"Score,1.21,Rank,#186,Overall,#18,Graph DBMS,#8,RDF stores",blazegraph.com,wiki.blazegraph.com,Blazegraph,2006.0,"2.1.5, March 2019",Open Source,no,,Java,"Linux,OS X,Windows",schema-free,yes,,yes,SPARQL is used as query language,"Java API,RESTful HTTP API,SPARQL QUERY,SPARQL UPDATE,TinkerPop 3",".Net,C,C++,Java,JavaScript,PHP,Python,Ruby",yes,no,Sharding,yes,no,Immediate Consistency or Eventual Consistency depending on configuration,yes,ACID,yes,yes,,"Security and Authentication via Web Application Container (Tomcat, Jetty)"
eXist-db,,Native XML DBMS,,"Score,1.19,Rank,#187,Overall,#6,Native XML DBMS",exist-db.org,,,2000.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
MatrixOne,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",Relational DBMS,,"Score,1.18,Rank,#188,Overall,#89,Relational DBMS",www.matrixorigin.io,docs.matrixorigin.io,,2021.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Actian Vector,,Relational DBMS,,"Score,1.16,Rank,#189,Overall,#90,Relational DBMS",www.actian.com/analytic-database/vector-analytic-database,,,,"Vector 5.0, July 2016",commercial,no,,,,,,,,,,,,,,,,,,,,,,
NuoDB,NuoDB is a webscale distributed database that supports SQL and ACID transactions,Relational DBMS,,"Score,1.16,Rank,#190,Overall,#91,Relational DBMS",nuodb.com,doc.nuodb.com,"NuoDB, Inc.",2013.0,,commercial,no,,C++,"hosted,Linux,OS X,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC",".Net,C,C++,Go,Java,JavaScript,JavaScript (Node.js),PHP,Python,Ruby","Java, SQL",yes,data is dynamically stored/cached on the nodes where it is read/written,yes,no,Immediate Consistency,yes,ACID,yes,yes,yes,"Standard SQL roles/ privileges, Administrative Users"
Splice Machine,"Open-Source SQL RDBMS for Operational and Analytical use cases with native Machine Learning, powered by Hadoop and Spark",Relational DBMS,,"Score,1.15,Rank,#191,Overall,#92,Relational DBMS",splicemachine.com,doc.splicemachine.com,Splice Machine,2014.0,"3.1, March 2021",Open Source,no,,Java,"Linux,OS X,Solaris,Windows",yes,yes,,yes,yes,"JDBC,Native Spark Datasource,ODBC","C#,C++,Java,JavaScript (Node.js),Python,R,Scala",yes,yes,"Shared Nothhing Auto-Sharding, Columnar Partitioning","Multi-source replication,Source-replica replication","Yes, via Full Spark Integration",Immediate Consistency,yes,ACID,"yes, multi-version concurrency control (MVCC)",yes,yes,"Access rights for users, groups and roles according to SQL-standard"
EventStoreDB,"Industrial-strength, open-source database solution built from the ground up for event sourcing.",Event Store,,"Score,1.13,Rank,#192,Overall,#1,Event Stores",www.eventstore.com,developers.eventstore.com,Event Store Limited,2012.0,"21.2, February 2021",Open Source,no,,,"Linux,Windows",,,,,,,,,,,,,,,,,,,
OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",Relational DBMS,"Document store,Wide column store","Score,1.13,Rank,#193,Overall,#93,Relational DBMS",open.oceanbase.com,open.oceanbase.com/docs,OceanBase,2011.0,"3.2.3, March 2022",Open Source,no,,C++,Linux,yes,yes,no,yes,yes,"JDBC,ODBC,ODP.NET,Oracle Call Interface (OCI),Proprietary native API,Table API","Ada,C,C++,D,Delphi,Eiffel,Erlang,Haskell,Java,JavaScript (Node.js),Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl","PL/SQL in oracle-compatible mode, MySQL Stored Procedure in mysql-compatible mode",yes,"horizontal partitioning (by hash, key, range, range columns, list, and list columns)",Multi-source replication using Paxos,no,Immediate Consistency,yes,ACID,yes,yes,,"Access rights for users, groups and roles according to SQL-standard"
IDMS,,Navigational DBMS,,"Score,1.11,Rank,#194,Overall,#2,Navigational DBMS",www.ca.com/us/products/ca-idms.html,,,1973.0,18.5,commercial,no,,,,,,,,,,,,,,,,,,,,,,
DBISAM,RDBMS mainly geared to Delphi and C++Builder application developers,Relational DBMS,,"Score,1.11,Rank,#195,Overall,#94,Relational DBMS",www.elevatesoft.com/products?category=dbisam,,"Elevate Software, Inc.",1998.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
RDF4J,"RDF4J is a Java framework for processing RDF data, supporting both memory-based and a disk-based storage.",RDF store,,"Score,1.11,Rank,#196,Overall,#9,RDF stores",rdf4j.org,rdf4j.org/documentation,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.",2004.0,,Open Source,no,,Java,"Linux,OS X,Unix,Windows",yes,yes,,yes,no,"Java API,RIO,Sail API,SeRQL,Sesame REST HTTP Protocol,SPARQL","Java,PHP,Python",yes,yes,none,none,no,,,ACID,yes,yes,,no
D3,,Multivalue DBMS,,"Score,1.10,Rank,#197,Overall,#5,Multivalue DBMS",www.rocketsoftware.com/products/rocket-d3,,,1999.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
CrateDB,Distributed Date Store based on Lucene,"Relational DBMS,Search engine","Document store,Time Series DBMS","Score,1.09,Rank,#198,Overall,#95,Relational DBMS,#13,Search engines",crate.io,crate.io/docs,Crate,2013.0,,Open Source,no,,Java,All OS with a Java 7 (and higher) VM,"Flexible Schema (defined schema, partial schema, schema free)",yes,no,yes,"yes, but no triggers and constraints","ADO.NET,JDBC,MQTT (Message Queue Telemetry Transport),PostgreSQL wire protocol,Prometheus Remote Read/Write,RESTful HTTP API","Erlang,Go,Java,JavaScript (Node.js),Perl,PHP,Python,Ruby,Scala",user defined functions,no,Sharding,selectable replication factor,no,"Eventual Consistency,Read Your Own Writes Consistency",no,no,yes,yes,no,rights management via user accounts
openGauss,"An enterprise-class,RDBMS,compatible with high-performance, high-availability and high-performance originally developed by Huawei",Relational DBMS,"Document store,Spatial DBMS","Score,1.07,Rank,#199,Overall,#96,Relational DBMS","gitee.com/opengauss,opengauss.org","gitee.com/opengauss/docs,opengauss.org/en/docs/latest/docs/BriefTutorial/BriefTutorial.html",Huawei and openGauss community,2019.0,"3.0, March 2022",Open Source,no,,"C, C++, Java",Linux,yes,yes,no,yes,ANSI SQL 2011,"JDBC,ODBC","C,C++,Java",yes,yes,"horizontal partitioning (by range, list and hash)",Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,no,"Access rights for users, groups and roles according to SQL-standard"
BigchainDB,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",Document store,,"Score,1.07,Rank,#200,Overall,#33,Document stores",www.bigchaindb.com,bigchaindb.readthedocs.io/en/latest,,2016.0,,Open Source,no,,Python,Linux,schema-free,no,no,,no,"CLI Client,RESTful HTTP API","Go,Haskell,Java,JavaScript,Python,Ruby",,,Sharding,selectable replication factor,no,,no,,yes,"yes,with,MongoDB,ord,RethinkDB",,yes
GeoMesa,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,Spatial DBMS,,"Score,1.06,Rank,#201,Overall,#4,Spatial DBMS",www.geomesa.org,www.geomesa.org/documentation/stable/user/index.html,CCRi and others,2014.0,"3.4.1, June 2022",Open Source,no,,Scala,,yes,yes,no,yes,no,,,no,no,depending on storage layer,depending on storage layer,yes,depending on storage layer,no,no,yes,yes,depending on storage layer,yes
Meilisearch,"A powerful, fast, open-source and highly customizable,Search Engine",Search engine,,"Score,1.05,Rank,#202,Overall,#14,Search engines","github.com/meilisearch/meilisearch,www.meilisearch.com",docs.meilisearch.com,,2020.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
solidDB,,Relational DBMS,,"Score,1.05,Rank,#203,Overall,#97,Relational DBMS",teamblue.unicomsi.com/products/soliddb,,"Unicom Systems, Inc; IBM",1992.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Xapian,Open Source search engine library,Search engine,,"Score,1.04,Rank,#204,Overall,#15,Search engines",xapian.org,xapian.org/docs,,1986.0,"1.4.21, September 2022",Open Source,no,,C++,,,,,,,,,,,,,,,,,,,,
Matisse,Object oriented DBMS providing ANSI SQL,Object oriented DBMS,,"Score,1.03,Rank,#205,Overall,#9,Object oriented DBMS",www.matisse.com,www.matisse.com/developers/documentation,Matisse Software Inc.,1986.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Hibari,,Key-value store,,"Score,0.98,Rank,#206,Overall,#32,Key-value stores",github.com/hibari/hibari,hibari.github.io/hibari-doc,,2005.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",Time Series DBMS,,"Score,0.98,Rank,#207,Overall,#15,Time Series DBMS",victoriametrics.com,"docs.victoriametrics.com,github.com/VictoriaMetrics/VictoriaMetrics/wiki",VictoriaMetrics,2018.0,"v1.83, November 2022",Open Source,no,,Go,"FreeBSD,Linux,macOS,OpenBSD",,,no,,no,"Graphite protocol,InfluxDB Line Protocol,OpenTSDB,Prometheus Query API,Prometheus Remote Read/Write",,no,no,,Synchronous replication,no,Eventual Consistency,no,no,yes,yes,no,
FrontBase,,Relational DBMS,,"Score,0.97,Rank,#208,Overall,#98,Relational DBMS",www.frontbase.com,,,1993.0,"8.2.6, December 2015",commercial,no,,,,,,,,,,,,,,,,,,,,,,
OpenBase,,Relational DBMS,,"Score,0.97,Rank,#209,Overall,#99,Relational DBMS",openbase.com,,,1991.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
eXtremeDB,"Natively in-memory DBMS with options for persistency, high-availability and clustering","Relational DBMS,Time Series DBMS",,"Score,0.96,Rank,#210,Overall,#100,Relational DBMS,#16,Time Series DBMS",www.mcobject.com,www.mcobject.com/docs/extremedb.htm,McObject,2001.0,"8.2, 2021",commercial,no,,C and C++,"AIX,HP-UX,Linux,macOS,Solaris,Windows",yes,yes,no,yes,yes,".NET Client API,JDBC,JNI,ODBC,Proprietary protocol,RESTful HTTP API",".Net,C,C#,C++,Java,Lua,Python,Scala",yes,yes,horizontal partitioning / sharding,"Active Replication Fabric™ for IoT,Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,
R:BASE,,Relational DBMS,,"Score,0.95,Rank,#211,Overall,#101,Relational DBMS",www.rbase.com,,,1981.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Dolt,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",Relational DBMS,Document store,"Score,0.93,Rank,#212,Overall,#102,Relational DBMS","github.com/dolthub/dolt,www.dolthub.com",docs.dolthub.com,DoltHub Inc,2018.0,,Open Source,no,,Go,"Linux,macOS,Windows",yes,yes,no,yes,yes,"CLI Client,HTTP REST","Ada,C,C#,C++,D,Delphi,Eiffel,Erlang,Haskell,Java,JavaScript (Node.js),Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl",yes,yes,none,A database can be cloned to multiple locations and be used there in isolation. Data/schema changes can be pushed/pulled explicitly between locations.,no,,yes,ACID,yes,yes,,"Only one user is configurable, and must be specified in the config file at startup"
Kognitio,,Relational DBMS,,"Score,0.93,Rank,#213,Overall,#103,Relational DBMS",kognitio.com,kognitio.com/documentation/latest,,1992.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
KairosDB,"Distributed Time Series DBMS based on,Cassandra,or,H2",Time Series DBMS,,"Score,0.92,Rank,#214,Overall,#17,Time Series DBMS",github.com/kairosdb/kairosdb,kairosdb.github.io,,2013.0,"1.2.2, November 2018",Open Source,no,,Java,"Linux,OS X,Windows",schema-free,yes,no,no,no,"Graphite protocol,HTTP REST,Telnet API","Java,JavaScript,PHP,Python",no,no,Sharding,selectable replication factor,no,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,no,simple password-based access control
Memgraph,"A hybrid, in-memory first, distributed graph DBMS delivering high-performance on analytical and transactional workloads at enterprise scale",Graph DBMS,,"Score,0.91,Rank,#215,Overall,#19,Graph DBMS",memgraph.com,docs.memgraph.com,Memgraph Ltd,2017.0,,commercial,no,,C and C++,Linux,schema-free and schema-optional,yes,no,,no,"Bolt protocol,Cypher query language",".Net,C,C++,Elixir,Go,Haskell,Java,JavaScript,PHP,Python,Ruby,Scala",,,Sharding,Multi-source replication using RAFT,no,Immediate Consistency,yes,ACID,"yes, multi-version concurrency control (MVCC)",yes,yes,"Users, roles and permissions"
SciDB,DBMS built upon a multi-dimensional array data model,Multivalue DBMS,,"Score,0.90,Rank,#216,Overall,#6,Multivalue DBMS",www.paradigm4.com,paradigm4.atlassian.net/wiki/spaces/scidb/overview,Paradigm4,2008.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Postgres-XL,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,Relational DBMS,"Document store,Spatial DBMS","Score,0.87,Rank,#217,Overall,#104,Relational DBMS",www.postgres-xl.org,www.postgres-xl.org/documentation,,2014.0,"10 R1, October 2018",Open Source,no,,C,"Linux,macOS",yes,yes,yes,yes,yes,"ADO.NET,JDBC,native C library,ODBC,streaming API for large objects",".Net,C,C++,Delphi,Erlang,Java,JavaScript (Node.js),Perl,PHP,Python,Tcl",user defined functions,yes,horizontal partitioning,,no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
WebSphere eXtreme Scale,An elastic highly scalable in-memory data grid,Key-value store,,"Score,0.86,Rank,#218,Overall,#33,Key-value stores",www.ibm.com/products/ibm-websphere-extreme-scale,,,2009.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,yes,
SQream DB,"a GPU-based, columnar RDBMS for big data analytics workloads",Relational DBMS,,"Score,0.86,Rank,#219,Overall,#105,Relational DBMS",sqream.com,docs.sqream.com,SQream Technologies,2014.0,"2021.2, September 2021",commercial,no,,"C++, CUDA, Haskell, Java, Scala",Linux,yes,"yes, ANSI Standard SQL Types",,yes,yes,".Net,JDBC,ODBC","C++,Java,JavaScript (Node.js),Python",user defined functions in Python,no,horizontal and vertical partitioning,none,no,Immediate Consistency,no,ACID,yes,yes,,
