Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Cassandra,Wide-column store based on ideas of BigTable and DynamoDB,Wide column store,,"Score,118.12,Rank,#11,Overall,#1,Wide column stores",cassandra.apache.org,cassandra.apache.org/doc/latest,Apache Software Foundation,2008.0,"4.0.7, October 2022",Open Source,no,"Astra DB,: Multi-cloud DBaaS built on Apache Cassandra.,Aiven for Apache Cassandra,: Fully managed, open source NoSQL database specifically designed to be highly available, performant, and scalable.",Java,"BSD,Linux,OS X,Windows",schema-free,yes,no,restricted,"SQL-like SELECT, DML and DDL statements (CQL)","Proprietary protocol,Thrift","C#,C++,Clojure,Erlang,Go,Haskell,Java,JavaScript,Perl,PHP,Python,Ruby,Scala",no,yes,Sharding,selectable replication factor,yes,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,no,Access rights for users can be defined per object
Snowflake,Cloud-based data warehousing service for structured and semi-structured data,Relational DBMS,,"Score,110.15,Rank,#12,Overall,#8,Relational DBMS",www.snowflake.com,docs.snowflake.net/manuals/index.html,Snowflake Computing Inc.,2014.0,,commercial,yes,,,hosted,yes,yes,yes,,yes,"CLI Client,JDBC,ODBC","JavaScript (Node.js),Python",user defined functions,no,yes,yes,no,Immediate Consistency,yes,ACID,yes,yes,no,"Users with fine-grained authorization concept, user roles and pluggable authentication"
MariaDB,"MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,104.91,Rank,#13,Overall,#9,Relational DBMS","mariadb.com,mariadb.org",mariadb.com/kb/en/library,"MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",2009.0,"10.9.4, November 2022",Open Source,no,"SkySQL (The Ultimate MariaDB Cloud),: The first and only DBaaS to bring the full power of MariaDB Platform to the cloud, combining powerful enterprise features and world-class support with unrivaled ease of use and groundbreaking innovation.",C and C++,"FreeBSD,Linux,Solaris,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC,Proprietary native API","Ada,C,C#,C++,D,Eiffel,Erlang,Go,Haskell,Java,JavaScript (Node.js),Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl",yes,yes,several options for horizontal partitioning and Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Splunk,Analytics Platform for Big Data,Search engine,,"Score,94.23,Rank,#14,Overall,#2,Search engines",www.splunk.com,docs.splunk.com/Documentation/Splunk,Splunk Inc.,2003.0,,commercial,no,,,"Linux,OS X,Solaris,Windows",yes,yes,yes,yes,no,HTTP REST,"C#,Java,JavaScript,PHP,Python,Ruby",yes,yes,Sharding,Multi-source replication,yes,Eventual Consistency,no,no,yes,yes,no,Access rights for users and roles
Amazon DynamoDB,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud","Document store,Key-value store",,"Score,85.40,Rank,#15,Overall,#2,Document stores,#2,Key-value stores",aws.amazon.com/dynamodb,docs.aws.amazon.com/dynamodb,Amazon,2012.0,,commercial,yes,,,hosted,schema-free,yes,,yes,no,RESTful HTTP API,".Net,ColdFusion,Erlang,Groovy,Java,JavaScript,Perl,PHP,Python,Ruby",no,yes,Sharding,yes,no,"Eventual Consistency,Immediate Consistency",no,ACID,yes,yes,,Access rights for users and roles can be defined via the AWS Identity and Access Management (IAM)
Microsoft Azure SQL Database,"Database as a Service offering with high compatibility to,Microsoft SQL Server",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,83.66,Rank,#16,Overall,#10,Relational DBMS",azure.microsoft.com/en-us/services/sql-database,docs.microsoft.com/en-us/azure/azure-sql,Microsoft,2010.0,V12,commercial,yes,,C++,hosted,yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC",".Net,C#,Java,JavaScript (Node.js),PHP,Python,Ruby",Transact SQL,yes,,"yes, with always 3 replicas available",no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
Hive,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",Relational DBMS,,"Score,81.89,Rank,#17,Overall,#11,Relational DBMS",hive.apache.org,cwiki.apache.org/confluence/display/Hive/Home,Apache Software Foundation,2012.0,"3.1.3, April 2022",Open Source,no,,Java,All OS with a Java VM,yes,yes,,yes,SQL-like DML and DDL statements,"JDBC,ODBC,Thrift","C++,Java,PHP,Python",yes,no,Sharding,selectable replication factor,yes,Eventual Consistency,no,no,yes,yes,,"Access rights for users, groups and roles"
Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),Relational DBMS,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS","Score,65.23,Rank,#18,Overall,#12,Relational DBMS",www.teradata.com,docs.teradata.com,Teradata,1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,no,,,"hosted,Linux",yes,yes,yes,yes,yes,".NET Client API,HTTP REST,JDBC,JMS Adapter,ODBC,OLE DB","C,C++,Cobol,Java (JDBC-ODBC),Perl,PL/1,Python,R,Ruby",yes,yes,Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,"Document store,Relational DBMS",,"Score,60.89,Rank,#19,Overall,#3,Document stores,#13,Relational DBMS",databricks.com,databricks.com/documentation,Databricks,2013.0,,Open Source,yes,,,hosted,"Flexible Schema (defined schema, partial schema, schema free)",,yes,yes,with Databricks SQL,"JDBC,ODBC,RESTful HTTP API","Python,R,Scala",user defined functions and aggregates,,,yes,,Immediate Consistency,,ACID,yes,yes,no,
Neo4j,"Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",Graph DBMS,,"Score,57.30,Rank,#20,Overall,#1,Graph DBMS",neo4j.com,neo4j.com/docs,"Neo4j, Inc.",2007.0,"5.1, October 2022",Open Source,no,"Neo4j Aura,: Neo4j’s fully managed cloud service: The zero-admin, always-on graph database for cloud developers.","Java, Scala","Linux,OS X,Solaris,Windows",schema-free and schema-optional,yes,,yes,no,"Bolt protocol,Cypher query language,Java API,Neo4j-OGM,RESTful HTTP API,Spring Data Neo4j,TinkerPop 3",".Net,Clojure,Elixir,Go,Groovy,Haskell,Java,JavaScript,Perl,PHP,Python,Ruby,Scala",yes,yes,yes using Neo4j Fabric,Causal Clustering using Raft protocol,no,"Causal and Eventual Consistency configurable in Causal Cluster setup,Immediate Consistency in stand-alone mode",yes,ACID,yes,yes,,"Users, roles and permissions. Pluggable authentication with supported standards (LDAP, Active Directory, Kerberos)"
