Rank_Feb-2024,Rank_Jan-2024,Rank_Feb-2023,DBMS,Database Model,Score_Feb-2024,Score_Jan-2024,Score_Feb-2023,DBMS_insitelink,Multi_model_info
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,31.99,-1.48,-4.52,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,29.,InfluxDB,"Time Series, Multi-model",28.48,+0.92,-0.96,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,30.,28.,PostGIS,"Spatial, Multi-model",25.88,-0.78,-3.93,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,31.,34.,Microsoft Azure Synapse Analytics,Relational,25.01,-1.27,+3.23,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
31.,29.,32.,Firebird,Relational,24.93,-2.07,+2.33,https://db-engines.com/en/system/Firebird,
32.,32.,33.,Amazon Redshift,Relational,22.72,+0.42,+0.69,https://db-engines.com/en/system/Amazon+Redshift,
33.,34.,35.,Informix,"Relational, Multi-model",20.81,+0.12,-0.90,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
34.,33.,30.,Couchbase,"Document, Multi-model",20.48,-0.71,-4.38,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS"
35.,35.,31.,Memcached,Key-value,20.42,+0.71,-2.75,https://db-engines.com/en/system/Memcached,
36.,36.,36.,Spark SQL,Relational,19.78,+0.63,+0.05,https://db-engines.com/en/system/Spark+SQL,
37.,37.,44.,ClickHouse,"Relational, Multi-model",16.68,-0.66,+2.69,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
38.,39.,38.,Firebase Realtime Database,Document,16.35,-0.29,-2.14,https://db-engines.com/en/system/Firebase+Realtime+Database,
39.,38.,37.,Apache Impala,"Relational, Multi-model",15.93,-0.74,-2.77,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
40.,42.,47.,OpenSearch,"Search engine, Multi-model",14.84,+0.88,+4.34,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
41.,43.,,Apache Flink,Relational,14.50,+0.57,,https://db-engines.com/en/system/Apache+Flink,
42.,41.,43.,Presto,Relational,14.13,-0.10,+0.01,https://db-engines.com/en/system/Presto,
43.,40.,41.,dBASE,Relational,13.81,-0.70,-0.78,https://db-engines.com/en/system/dBASE,
44.,45.,42.,CouchDB,"Document, Multi-model",12.68,-0.45,-1.77,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
45.,44.,39.,Vertica,"Relational, Multi-model",12.46,-0.77,-4.95,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
46.,46.,40.,Netezza,Relational,12.28,-0.27,-4.30,https://db-engines.com/en/system/Netezza,
47.,47.,45.,Google Cloud Firestore,Document,10.87,-0.25,-0.64,https://db-engines.com/en/system/Google+Cloud+Firestore,
48.,49.,48.,Amazon Aurora,"Relational, Multi-model",10.03,+0.18,-0.31,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store"
49.,48.,46.,Greenplum,"Relational, Multi-model",9.99,-0.42,-0.95,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
50.,50.,59.,Prometheus,Time Series,8.61,-0.34,+1.55,https://db-engines.com/en/system/Prometheus,
51.,51.,53.,H2,"Relational, Multi-model",8.50,+0.04,+0.03,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
52.,56.,56.,Kdb,Multi-model,8.27,+0.30,+0.97,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
53.,54.,49.,Hazelcast,"Key-value, Multi-model",8.18,+0.04,-0.93,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
54.,52.,52.,etcd,Key-value,8.14,-0.13,-0.37,https://db-engines.com/en/system/etcd,
55.,55.,54.,Realm,Document,7.96,-0.15,-0.28,https://db-engines.com/en/system/Realm,
56.,57.,55.,Datastax Enterprise,"Wide column, Multi-model",7.65,-0.25,-0.56,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
57.,53.,50.,Oracle Essbase,Relational,7.57,-0.65,-1.32,https://db-engines.com/en/system/Oracle+Essbase,
58.,58.,51.,MarkLogic,Multi-model,7.49,-0.29,-1.35,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
59.,59.,65.,Aerospike,Multi-model,7.09,+0.33,+0.53,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
60.,60.,57.,CockroachDB,Relational,6.82,+0.22,-0.45,https://db-engines.com/en/system/CockroachDB,
61.,61.,68.,Derby,Relational,6.56,+0.04,+0.42,https://db-engines.com/en/system/Derby,
62.,63.,66.,Microsoft Azure Data Explorer,"Relational, Multi-model",6.47,+0.02,0.00,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
63.,62.,60.,Algolia,Search engine,6.40,-0.09,-0.62,https://db-engines.com/en/system/Algolia,
64.,66.,77.,ScyllaDB,"Wide column, Multi-model",6.16,-0.03,+0.53,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
65.,64.,62.,SingleStore,"Relational, Multi-model",6.11,-0.11,-0.67,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
66.,68.,64.,Sphinx,Search engine,6.08,-0.01,-0.55,https://db-engines.com/en/system/Sphinx,
67.,65.,58.,Microsoft Azure AI Search,"Search engine, Multi-model",6.00,-0.22,-1.13,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
68.,70.,67.,Interbase,Relational,5.99,+0.02,-0.25,https://db-engines.com/en/system/Interbase,
69.,69.,71.,Jackrabbit,Content,5.95,-0.11,-0.08,https://db-engines.com/en/system/Jackrabbit,
70.,67.,70.,Ehcache,Key-value,5.89,-0.25,-0.14,https://db-engines.com/en/system/Ehcache,
71.,74.,72.,Ingres,Relational,5.68,+0.22,-0.26,https://db-engines.com/en/system/Ingres,
72.,72.,73.,Microsoft Azure Table Storage,Wide column,5.65,+0.04,-0.28,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
73.,76.,88.,TimescaleDB,"Time Series, Multi-model",5.62,+0.37,+1.11,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
74.,73.,76.,SAP SQL Anywhere,Relational,5.34,-0.18,-0.32,https://db-engines.com/en/system/SAP+SQL+Anywhere,
75.,77.,69.,Virtuoso,Multi-model,5.31,+0.23,-0.79,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
76.,79.,61.,Google Cloud Datastore,Document,5.29,+0.29,-1.61,https://db-engines.com/en/system/Google+Cloud+Datastore,
77.,71.,80.,Riak KV,Key-value,5.23,-0.41,+0.09,https://db-engines.com/en/system/Riak+KV,
78.,80.,84.,Trino,"Relational, Multi-model",5.13,+0.22,+0.33,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
79.,75.,63.,Graphite,Time Series,5.08,-0.18,-1.66,https://db-engines.com/en/system/Graphite,
80.,87.,108.,TiDB,"Relational, Multi-model",4.85,+0.50,+1.84,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
81.,83.,83.,HyperSQL,Relational,4.71,+0.11,-0.21,https://db-engines.com/en/system/HyperSQL,
82.,86.,143.,DuckDB,Relational,4.54,+0.13,+2.53,https://db-engines.com/en/system/DuckDB,
83.,93.,91.,RocksDB,Key-value,4.52,+0.42,+0.06,https://db-engines.com/en/system/RocksDB,
84.,84.,78.,Ignite,Multi-model,4.41,-0.07,-1.09,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS"
85.,88.,79.,ArangoDB,Multi-model,4.34,-0.01,-0.95,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
86.,82.,81.,Adabas,Multivalue,4.34,-0.28,-0.79,https://db-engines.com/en/system/Adabas,
87.,89.,86.,"UniData,UniVerse",Multivalue,4.28,+0.01,-0.26,https://db-engines.com/en/system/UniData%2CUniVerse,
88.,78.,82.,Apache Jena - TDB,RDF,4.24,-0.78,-0.85,https://db-engines.com/en/system/Apache+Jena+-+TDB,
89.,81.,75.,Accumulo,Wide column,4.21,-0.62,-1.54,https://db-engines.com/en/system/Accumulo,
90.,91.,74.,Google Cloud Bigtable,Multi-model,4.16,-0.02,-1.75,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
91.,85.,114.,DolphinDB,"Time Series, Multi-model",4.06,-0.40,+1.21,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS"
92.,127.,116.,InterSystems IRIS,Multi-model,3.98,+1.44,+1.16,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
93.,96.,89.,SAP IQ,Relational,3.96,+0.14,-0.55,https://db-engines.com/en/system/SAP+IQ,
94.,92.,95.,RavenDB,"Document, Multi-model",3.94,-0.19,-0.27,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
95.,101.,92.,Google Cloud Spanner,Relational,3.82,+0.33,-0.56,https://db-engines.com/en/system/Google+Cloud+Spanner,
96.,97.,98.,Oracle NoSQL,Multi-model,3.79,+0.08,+0.09,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
97.,95.,90.,OpenEdge,Relational,3.73,-0.14,-0.76,https://db-engines.com/en/system/OpenEdge,
98.,90.,85.,OrientDB,Multi-model,3.65,-0.55,-0.89,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
99.,100.,97.,Infinispan,Key-value,3.53,-0.03,-0.23,https://db-engines.com/en/system/Infinispan,
100.,104.,99.,LevelDB,Key-value,3.51,+0.11,-0.04,https://db-engines.com/en/system/LevelDB,
101.,99.,125.,Apache Druid,Multi-model,3.43,-0.14,+0.94,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
102.,94.,87.,GemFire,"Key-value, Multi-model",3.40,-0.59,-1.11,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
103.,108.,191.,Pinecone,Vector,3.37,+0.16,+2.08,https://db-engines.com/en/system/Pinecone,
104.,102.,93.,YugabyteDB,"Relational, Multi-model",3.37,-0.10,-1.01,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
105.,103.,130.,TDengine,"Time Series, Multi-model",3.25,-0.18,+0.84,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
106.,98.,96.,RethinkDB,"Document, Multi-model",3.23,-0.39,-0.62,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
107.,109.,158.,Memgraph,Graph,3.17,+0.02,+1.49,https://db-engines.com/en/system/Memgraph,
108.,107.,101.,MaxDB,Relational,3.17,-0.11,-0.33,https://db-engines.com/en/system/MaxDB,
109.,111.,106.,CloudKit,Document,3.15,+0.24,+0.08,https://db-engines.com/en/system/CloudKit,
110.,105.,94.,IBM Cloudant,Document,3.11,-0.21,-1.24,https://db-engines.com/en/system/IBM+Cloudant,
111.,106.,102.,Oracle Berkeley DB,Multi-model,3.09,-0.19,-0.14,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
112.,110.,119.,4D,Relational,2.95,-0.12,+0.21,https://db-engines.com/en/system/4D,
113.,113.,121.,Amazon Neptune,Multi-model,2.93,+0.06,+0.20,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
114.,112.,100.,PouchDB,Document,2.89,+0.00,-0.63,https://db-engines.com/en/system/PouchDB,
115.,123.,113.,LMDB,Key-value,2.82,+0.14,-0.05,https://db-engines.com/en/system/LMDB,
116.,122.,103.,Apache Drill,Multi-model,2.77,+0.06,-0.42,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
117.,114.,124.,Geode,Key-value,2.76,-0.05,+0.24,https://db-engines.com/en/system/Geode,
118.,120.,127.,GraphDB,Multi-model,2.75,+0.02,+0.31,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
119.,115.,110.,RRDtool,Time Series,2.75,-0.05,-0.25,https://db-engines.com/en/system/RRDtool,
120.,119.,122.,EXASOL,Relational,2.73,-0.04,+0.00,https://db-engines.com/en/system/EXASOL,
121.,121.,147.,QuestDB,"Time Series, Multi-model",2.69,-0.03,+0.74,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
122.,117.,104.,Percona Server for MySQL,Relational,2.65,-0.13,-0.51,https://db-engines.com/en/system/Percona+Server+for+MySQL,
123.,130.,132.,Coveo,Search engine,2.64,+0.12,+0.27,https://db-engines.com/en/system/Coveo,
124.,128.,107.,EDB Postgres,"Relational, Multi-model",2.64,+0.10,-0.39,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
125.,126.,115.,Oracle Coherence,Key-value,2.57,-0.06,-0.25,https://db-engines.com/en/system/Oracle+Coherence,
126.,118.,123.,HEAVY.AI,"Relational, Multi-model",2.57,-0.20,-0.11,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
127.,116.,154.,NebulaGraph,Graph,2.54,-0.26,+0.75,https://db-engines.com/en/system/NebulaGraph,
128.,124.,112.,Apache Phoenix,Relational,2.46,-0.21,-0.51,https://db-engines.com/en/system/Apache+Phoenix,
129.,133.,162.,Firebolt,Relational,2.39,+0.01,+0.75,https://db-engines.com/en/system/Firebolt,
130.,144.,144.,BaseX,Native XML,2.36,+0.22,+0.37,https://db-engines.com/en/system/BaseX,
131.,134.,133.,Datomic,Relational,2.33,-0.02,+0.04,https://db-engines.com/en/system/Datomic,
132.,132.,126.,Amazon CloudSearch,Search engine,2.33,-0.10,-0.13,https://db-engines.com/en/system/Amazon+CloudSearch,
133.,129.,105.,Citus,"Relational, Multi-model",2.31,-0.22,-0.81,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
134.,131.,117.,JanusGraph,Graph,2.30,-0.20,-0.49,https://db-engines.com/en/system/JanusGraph,
135.,136.,120.,IMS,Navigational,2.29,-0.04,-0.45,https://db-engines.com/en/system/IMS,
136.,137.,135.,SpatiaLite,"Spatial, Multi-model",2.24,-0.06,-0.01,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
137.,138.,160.,Empress,Relational,2.20,-0.09,+0.55,https://db-engines.com/en/system/Empress,
138.,146.,136.,Tibero,Relational,2.20,+0.14,-0.03,https://db-engines.com/en/system/Tibero,
139.,139.,,Chroma,Vector,2.13,-0.10,,https://db-engines.com/en/system/Chroma,
140.,141.,163.,Stardog,Multi-model,2.13,-0.07,+0.49,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
141.,148.,226.,PlanetScale,"Relational, Multi-model",2.09,+0.05,+1.16,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
142.,140.,128.,OpenTSDB,Time Series,2.09,-0.12,-0.35,https://db-engines.com/en/system/OpenTSDB,
143.,149.,295.,Weaviate,Vector,2.08,+0.04,+1.67,https://db-engines.com/en/system/Weaviate,
144.,145.,151.,Tarantool,Multi-model,2.02,-0.07,+0.15,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
145.,135.,118.,Amazon SimpleDB,Key-value,1.99,-0.34,-0.75,https://db-engines.com/en/system/Amazon+SimpleDB,
146.,151.,137.,TigerGraph,Graph,1.97,-0.03,-0.19,https://db-engines.com/en/system/TigerGraph,
147.,150.,140.,jBASE,Multivalue,1.96,-0.06,-0.10,https://db-engines.com/en/system/jBASE,
148.,142.,131.,MonetDB,"Relational, Multi-model",1.95,-0.24,-0.43,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
149.,143.,146.,GridDB,"Time Series, Multi-model",1.90,-0.27,-0.06,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
150.,161.,155.,LiteDB,Document,1.90,+0.09,+0.14,https://db-engines.com/en/system/LiteDB,
151.,160.,152.,Mnesia,Document,1.87,+0.07,+0.01,https://db-engines.com/en/system/Mnesia,
152.,159.,138.,TimesTen,Relational,1.85,+0.01,-0.30,https://db-engines.com/en/system/TimesTen,
153.,157.,141.,IBM Db2 warehouse,Relational,1.84,-0.05,-0.21,https://db-engines.com/en/system/IBM+Db2+warehouse,
154.,158.,142.,ObjectStore,Object oriented,1.82,-0.06,-0.22,https://db-engines.com/en/system/ObjectStore,
155.,165.,167.,FoundationDB,Multi-model,1.80,+0.09,+0.20,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
156.,152.,149.,Fauna,Multi-model,1.80,-0.16,-0.09,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
157.,147.,148.,Amazon DocumentDB,Document,1.79,-0.27,-0.11,https://db-engines.com/en/system/Amazon+DocumentDB,
158.,169.,219.,VictoriaMetrics,Time Series,1.73,+0.16,+0.74,https://db-engines.com/en/system/VictoriaMetrics,
159.,163.,159.,Actian NoSQL Database,Object oriented,1.72,-0.06,+0.05,https://db-engines.com/en/system/Actian+NoSQL+Database,
160.,164.,201.,Sedna,Native XML,1.68,-0.08,+0.55,https://db-engines.com/en/system/Sedna,
161.,154.,139.,Db4o,Object oriented,1.65,-0.27,-0.42,https://db-engines.com/en/system/Db4o,
162.,177.,168.,Cubrid,Relational,1.62,+0.15,+0.02,https://db-engines.com/en/system/Cubrid,
163.,171.,145.,OceanBase,"Relational, Multi-model",1.61,+0.06,-0.36,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
164.,153.,134.,VoltDB,Relational,1.61,-0.34,-0.68,https://db-engines.com/en/system/VoltDB,
165.,155.,153.,Dgraph,Graph,1.60,-0.29,-0.26,https://db-engines.com/en/system/Dgraph,
166.,156.,129.,GridGain,Multi-model,1.54,-0.35,-0.87,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS"
167.,167.,209.,D3,Multivalue,1.54,-0.06,+0.47,https://db-engines.com/en/system/D3,
168.,166.,173.,mSQL,Relational,1.54,-0.10,+0.03,https://db-engines.com/en/system/mSQL,
169.,184.,170.,ObjectBox,"Object oriented, Multi-model",1.52,+0.12,-0.05,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS"
170.,186.,180.,HFSQL,Relational,1.52,+0.13,+0.10,https://db-engines.com/en/system/HFSQL,
171.,183.,240.,Milvus,Vector,1.47,+0.03,+0.69,https://db-engines.com/en/system/Milvus,
172.,162.,150.,SQLBase,Relational,1.46,-0.34,-0.43,https://db-engines.com/en/system/SQLBase,
173.,181.,204.,Meilisearch,Search engine,1.44,-0.01,+0.35,https://db-engines.com/en/system/Meilisearch,
174.,189.,172.,Altibase,Relational,1.44,+0.09,-0.09,https://db-engines.com/en/system/Altibase,
175.,191.,183.,NCache,"Key-value, Multi-model",1.43,+0.10,+0.08,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
176.,168.,171.,Oracle Rdb,Relational,1.42,-0.15,-0.11,https://db-engines.com/en/system/Oracle+Rdb,
177.,182.,188.,openGauss,"Relational, Multi-model",1.38,-0.06,+0.08,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
178.,176.,193.,EventStoreDB,Event,1.36,-0.11,+0.09,https://db-engines.com/en/system/EventStoreDB,
179.,198.,362.,Qdrant,Vector,1.35,+0.11,+1.17,https://db-engines.com/en/system/Qdrant,
180.,170.,164.,Apache Kylin,Relational,1.35,-0.21,-0.28,https://db-engines.com/en/system/Apache+Kylin,
181.,172.,178.,GT.M,Key-value,1.30,-0.23,-0.12,https://db-engines.com/en/system/GT.M,
182.,180.,169.,Giraph,Graph,1.29,-0.16,-0.30,https://db-engines.com/en/system/Giraph,
183.,178.,156.,Datameer,Document,1.29,-0.17,-0.46,https://db-engines.com/en/system/Datameer,
184.,174.,177.,GigaSpaces,Multi-model,1.27,-0.23,-0.17,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
185.,188.,181.,Model 204,Multivalue,1.26,-0.11,-0.15,https://db-engines.com/en/system/Model+204,
186.,207.,217.,Vitess,"Relational, Multi-model",1.26,+0.12,+0.25,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
187.,175.,174.,Infobright,Relational,1.24,-0.24,-0.23,https://db-engines.com/en/system/Infobright,
188.,173.,161.,DataEase,Relational,1.23,-0.30,-0.41,https://db-engines.com/en/system/DataEase,
189.,195.,213.,Northgate Reality,Multivalue,1.23,-0.06,+0.21,https://db-engines.com/en/system/Northgate+Reality,
190.,187.,189.,Perst,Object oriented,1.23,-0.16,-0.07,https://db-engines.com/en/system/Perst,
191.,208.,,StarRocks,Relational,1.23,+0.11,,https://db-engines.com/en/system/StarRocks,
192.,193.,199.,Amazon Timestream,Time Series,1.22,-0.09,+0.07,https://db-engines.com/en/system/Amazon+Timestream,
193.,197.,190.,HPE Ezmeral Data Fabric,Multi-model,1.21,-0.04,-0.08,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
194.,185.,175.,MatrixOne,Relational,1.16,-0.23,-0.28,https://db-engines.com/en/system/MatrixOne,
195.,179.,157.,GBase,Relational,1.16,-0.30,-0.52,https://db-engines.com/en/system/GBase,
196.,192.,176.,ZODB,Key-value,1.15,-0.18,-0.29,https://db-engines.com/en/system/ZODB,
197.,190.,179.,Apache HAWQ,Relational,1.15,-0.20,-0.28,https://db-engines.com/en/system/Apache+HAWQ,
198.,194.,166.,NonStop SQL,Relational,1.15,-0.16,-0.46,https://db-engines.com/en/system/NonStop+SQL,
199.,201.,221.,Apache IoTDB,Time Series,1.13,-0.09,+0.14,https://db-engines.com/en/system/Apache+IoTDB,
200.,203.,278.,SurrealDB,Multi-model,1.12,-0.07,+0.61,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
201.,200.,185.,1010data,Relational,1.10,-0.12,-0.24,https://db-engines.com/en/system/1010data,
202.,196.,187.,AllegroGraph,Multi-model,1.09,-0.19,-0.25,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS"
203.,206.,223.,Rockset,"Document, Multi-model",1.07,-0.09,+0.11,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
204.,205.,182.,TypeDB,Multi-model,1.06,-0.11,-0.33,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS"
205.,202.,203.,Dolt,"Relational, Multi-model",1.05,-0.15,-0.06,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
206.,218.,293.,Typesense,Search engine,1.03,+0.00,+0.61,https://db-engines.com/en/system/Typesense,
207.,239.,244.,KeyDB,Key-value,1.02,+0.17,+0.26,https://db-engines.com/en/system/KeyDB,
