Rank_Apr-2026,Rank_Mar-2026,Rank_Apr-2025,DBMS,Database Model,Score_Apr-2026,Score_Mar-2026,Score_Apr-2025,DBMS_insitelink,Multi_model_info
108.,107.,95.,GraphDB,Multi-model,2.44,+0.03,-0.13,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
109.,112.,169.,Valkey,Key-value,2.41,+0.08,+1.28,https://db-engines.com/en/system/Valkey,
110.,111.,103.,SAP IQ,Relational,2.35,+0.02,+0.01,https://db-engines.com/en/system/SAP+IQ,
111.,110.,98.,RavenDB,"Document, Multi-model",2.32,-0.03,-0.19,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
112.,105.,108.,Coveo,Search engine,2.31,-0.16,+0.09,https://db-engines.com/en/system/Coveo,
113.,109.,104.,OceanBase,Multi-model,2.29,-0.06,-0.03,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store"
114.,114.,105.,RethinkDB,"Document, Multi-model",2.25,-0.01,-0.02,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
115.,115.,115.,Citus,"Relational, Multi-model",2.18,-0.05,+0.19,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
116.,119.,110.,InterSystems IRIS,Multi-model,2.13,+0.09,-0.07,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
117.,117.,124.,Apache Phoenix,Relational,2.09,-0.02,+0.28,https://db-engines.com/en/system/Apache+Phoenix,
118.,122.,142.,GBase,Relational,2.05,+0.10,+0.57,https://db-engines.com/en/system/GBase,
119.,116.,136.,NebulaGraph,Graph,2.03,-0.09,+0.42,https://db-engines.com/en/system/NebulaGraph,
120.,132.,149.,VictoriaMetrics,Time Series,2.01,+0.17,+0.66,https://db-engines.com/en/system/VictoriaMetrics,
121.,118.,122.,4D,Relational,2.00,-0.04,+0.12,https://db-engines.com/en/system/4D,
122.,121.,107.,YugabyteDB,"Relational, Multi-model",2.00,+0.03,-0.22,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
123.,120.,126.,CloudKit,Document,1.97,-0.06,+0.19,https://db-engines.com/en/system/CloudKit,
124.,124.,127.,LMDB,Key-value,1.96,+0.01,+0.21,https://db-engines.com/en/system/LMDB,
125.,125.,113.,"UniData,UniVerse",Multivalue,1.94,+0.02,-0.06,https://db-engines.com/en/system/UniData%2CUniVerse,
126.,123.,118.,Percona Server for MySQL,Relational,1.93,-0.03,+0.01,https://db-engines.com/en/system/Percona+Server+for+MySQL,
127.,131.,120.,LevelDB,Key-value,1.91,+0.04,+0.01,https://db-engines.com/en/system/LevelDB,
128.,127.,112.,PouchDB,Document,1.89,-0.02,-0.18,https://db-engines.com/en/system/PouchDB,
129.,133.,135.,Amazon CloudSearch,Search engine,1.89,+0.07,+0.27,https://db-engines.com/en/system/Amazon+CloudSearch,
130.,129.,125.,Amazon DocumentDB,Document,1.89,0.00,+0.10,https://db-engines.com/en/system/Amazon+DocumentDB,
131.,134.,117.,MaxDB,Relational,1.88,+0.08,-0.08,https://db-engines.com/en/system/MaxDB,
132.,128.,116.,Infinispan,Key-value,1.87,-0.02,-0.12,https://db-engines.com/en/system/Infinispan,
133.,130.,130.,JanusGraph,Graph,1.84,-0.03,+0.14,https://db-engines.com/en/system/JanusGraph,
134.,126.,96.,Memgraph,Graph,1.83,-0.09,-0.74,https://db-engines.com/en/system/Memgraph,
135.,136.,137.,Stardog,Multi-model,1.79,+0.06,+0.21,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
136.,135.,121.,Apache Drill,Multi-model,1.76,-0.01,-0.14,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
137.,140.,147.,TigerGraph,Graph,1.74,+0.10,+0.33,https://db-engines.com/en/system/TigerGraph,
138.,147.,174.,StarRocks,Relational,1.70,+0.17,+0.62,https://db-engines.com/en/system/StarRocks,
139.,138.,133.,EDB Postgres,"Relational, Multi-model",1.69,-0.02,+0.05,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
140.,137.,148.,Apache IoTDB,Time Series,1.68,-0.04,+0.28,https://db-engines.com/en/system/Apache+IoTDB,
141.,139.,132.,Oracle Coherence,Key-value,1.66,-0.02,+0.00,https://db-engines.com/en/system/Oracle+Coherence,
142.,142.,129.,Oracle Berkeley DB,Multi-model,1.61,-0.01,-0.10,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
143.,141.,141.,SpatiaLite,"Spatial, Multi-model",1.60,-0.03,+0.10,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
144.,145.,134.,Amazon SimpleDB,Key-value,1.57,+0.01,-0.05,https://db-engines.com/en/system/Amazon+SimpleDB,
145.,144.,139.,RRDtool,Time Series,1.56,-0.02,+0.01,https://db-engines.com/en/system/RRDtool,
146.,146.,140.,EXASOL,Relational,1.55,0.00,+0.04,https://db-engines.com/en/system/EXASOL,
147.,143.,143.,Datomic,Relational,1.55,-0.06,+0.08,https://db-engines.com/en/system/Datomic,
148.,148.,128.,IMS,Navigational,1.54,+0.02,-0.17,https://db-engines.com/en/system/IMS,
