Rank_May-2026,Rank_Apr-2026,Rank_May-2025,DBMS,Database Model,Score_May-2026,Score_Apr-2026,Score_May-2025,DBMS_insitelink,Multi_model_info
31.,30.,32.,OpenSearch,Multi-model,20.42,-0.31,+3.05,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS"
32.,32.,27.,Apache HBase,Wide column,19.76,+0.95,-2.86,https://db-engines.com/en/system/Apache+HBase,
33.,33.,33.,Firebird,Relational,17.56,+0.40,+0.90,https://db-engines.com/en/system/Firebird,
34.,36.,,Microsoft Fabric,Relational,17.07,+1.24,,https://db-engines.com/en/system/Microsoft+Fabric,
35.,34.,37.,Microsoft Azure Synapse Analytics,Relational,16.79,+0.35,+2.56,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
36.,35.,39.,Firebase Realtime Database,Document,15.01,-0.96,+1.58,https://db-engines.com/en/system/Firebase+Realtime+Database,
37.,38.,36.,Amazon Redshift,Relational,14.36,+0.57,-0.34,https://db-engines.com/en/system/Amazon+Redshift,
38.,39.,35.,Informix,"Relational, Multi-model",13.55,+0.05,-1.20,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
39.,37.,34.,Memcached,Key-value,13.00,-0.97,-2.47,https://db-engines.com/en/system/Memcached,
40.,40.,41.,Apache Impala,"Relational, Multi-model",11.25,-0.68,-0.43,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
41.,45.,40.,Apache Flink,Relational,9.71,+0.61,-2.53,https://db-engines.com/en/system/Apache+Flink,
42.,43.,44.,DuckDB,Relational,9.59,-0.07,+2.14,https://db-engines.com/en/system/DuckDB,
43.,42.,43.,Google Cloud Firestore,Document,9.48,-0.29,+1.96,https://db-engines.com/en/system/Google+Cloud+Firestore,
44.,41.,38.,Couchbase,Multi-model,9.32,-1.05,-4.50,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
45.,44.,46.,Amazon Aurora,"Relational, Multi-model",9.18,-0.21,+1.93,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
46.,46.,52.,Prometheus,Time Series,9.06,-0.01,+2.29,https://db-engines.com/en/system/Prometheus,
47.,47.,42.,Vertica,"Relational, Multi-model",8.45,-0.02,-1.34,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
48.,48.,74.,Pinecone,Vector,8.33,+0.16,+4.77,https://db-engines.com/en/system/Pinecone,
49.,49.,49.,dBASE,Relational,7.83,-0.32,+0.82,https://db-engines.com/en/system/dBASE,
50.,51.,45.,H2,"Relational, Multi-model",7.73,+0.15,+0.47,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
51.,50.,54.,Kdb,Multi-model,7.33,-0.27,+0.75,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
52.,53.,60.,Trino,"Relational, Multi-model",7.04,-0.05,+1.70,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
53.,52.,47.,etcd,Key-value,6.92,-0.20,-0.23,https://db-engines.com/en/system/etcd,
54.,54.,59.,Algolia,Search engine,6.74,+0.14,+1.35,https://db-engines.com/en/system/Algolia,
55.,55.,51.,Realm,Document,6.42,-0.18,-0.38,https://db-engines.com/en/system/Realm,
56.,56.,87.,Milvus,Vector,6.33,-0.07,+3.41,https://db-engines.com/en/system/Milvus,
57.,57.,61.,Microsoft Azure AI Search,"Search engine, Multi-model",6.29,-0.05,+1.01,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
58.,58.,50.,Netezza,Relational,6.25,+0.26,-0.76,https://db-engines.com/en/system/Netezza,
59.,60.,55.,Presto,Relational,6.06,+0.13,-0.32,https://db-engines.com/en/system/Presto,
60.,59.,48.,Greenplum,"Relational, Multi-model",5.95,-0.03,-1.13,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
61.,61.,56.,Sphinx,Search engine,5.93,+0.12,+0.21,https://db-engines.com/en/system/Sphinx,
62.,63.,53.,CouchDB,"Document, Multi-model",5.84,+0.35,-0.76,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
63.,62.,72.,TimescaleDB,"Time Series, Multi-model",5.62,+0.13,+2.03,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
64.,65.,109.,DolphinDB,Multi-model,5.20,+0.30,+3.05,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
65.,64.,106.,Qdrant,Vector,5.16,+0.17,+2.88,https://db-engines.com/en/system/Qdrant,
66.,66.,63.,Graphite,Time Series,4.82,+0.26,+0.57,https://db-engines.com/en/system/Graphite,
67.,67.,62.,Oracle Essbase,Relational,4.66,+0.11,-0.38,https://db-engines.com/en/system/Oracle+Essbase,
68.,69.,57.,Hazelcast,"Key-value, Multi-model",4.47,-0.03,-1.12,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
69.,68.,69.,ScyllaDB,"Wide column, Multi-model",4.45,-0.10,+0.74,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
70.,70.,115.,Weaviate,Vector,4.24,-0.18,+2.29,https://db-engines.com/en/system/Weaviate,
71.,71.,64.,MarkLogic,Multi-model,3.95,-0.07,-0.29,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS"
72.,75.,65.,Apache Jackrabbit,Content,3.83,+0.17,-0.25,https://db-engines.com/en/system/Apache+Jackrabbit,
73.,74.,68.,CockroachDB,Multi-model,3.70,+0.01,-0.20,https://db-engines.com/en/system/CockroachDB,"Multi-Model DBMS,Relational DBMS,CockroachDB supports relational, semi-structured JSON/document, vector/embedding, geospatial, and typed categorical/enumeration data, all exposed via SQL, on the same strongly consistent, globally distributed data platform."
74.,76.,88.,ArangoDB,Multi-model,3.66,+0.01,+0.82,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
75.,73.,79.,QuestDB,"Time Series, Multi-model",3.59,-0.15,+0.33,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
76.,72.,83.,RocksDB,Key-value,3.50,-0.25,+0.30,https://db-engines.com/en/system/RocksDB,
77.,81.,84.,Apache Druid,Multi-model,3.47,+0.01,+0.30,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
78.,78.,71.,Google Cloud Datastore,Document,3.46,-0.09,-0.16,https://db-engines.com/en/system/Google+Cloud+Datastore,
79.,85.,76.,Oracle NoSQL,Multi-model,3.46,+0.24,+0.07,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
80.,77.,75.,OpenEdge,Relational,3.42,-0.15,-0.07,https://db-engines.com/en/system/OpenEdge,
81.,82.,77.,Interbase,Relational,3.42,+0.01,+0.07,https://db-engines.com/en/system/Interbase,
82.,79.,158.,Alibaba Cloud PolarDB,Relational,3.40,-0.10,+2.13,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
83.,80.,58.,Aerospike,Multi-model,3.38,-0.09,-2.07,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
84.,84.,73.,TiDB,"Relational, Multi-model",3.37,+0.11,-0.21,https://db-engines.com/en/system/TiDB,"Relational DBMS,Vector DBMS"
85.,90.,78.,SAP SQL Anywhere,Relational,3.27,+0.33,-0.03,https://db-engines.com/en/system/SAP+SQL+Anywhere,
86.,83.,66.,Datastax Enterprise,"Wide column, Multi-model",3.23,-0.09,-0.77,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
87.,86.,86.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.14,-0.02,+0.14,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
88.,87.,80.,Ingres,Relational,3.13,0.00,-0.13,https://db-engines.com/en/system/Ingres,
89.,89.,85.,Apache Derby,Relational,3.11,0.00,+0.07,https://db-engines.com/en/system/Apache+Derby,
90.,88.,82.,Riak KV,Key-value,3.11,-0.02,-0.10,https://db-engines.com/en/system/Riak+KV,
91.,94.,67.,Ehcache,Key-value,2.97,+0.14,-1.00,https://db-engines.com/en/system/Ehcache,
92.,93.,119.,Chroma,Vector,2.89,+0.03,+0.97,https://db-engines.com/en/system/Chroma,
93.,96.,70.,SingleStore,"Relational, Multi-model",2.86,+0.07,-0.83,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
94.,92.,81.,Apache Ignite,Multi-model,2.83,-0.04,-0.41,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
95.,91.,97.,Google Cloud Spanner,Relational,2.80,-0.09,+0.24,https://db-engines.com/en/system/Google+Cloud+Spanner,
96.,97.,94.,Microsoft Azure Table Storage,Wide column,2.78,+0.02,+0.14,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
97.,95.,93.,Adabas,Multivalue,2.77,-0.04,+0.12,https://db-engines.com/en/system/Adabas,
98.,101.,132.,TDengine,"Time Series, Multi-model",2.74,+0.16,+1.06,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
99.,100.,90.,HyperSQL,Relational,2.71,+0.12,-0.01,https://db-engines.com/en/system/HyperSQL,
100.,98.,89.,Virtuoso,Multi-model,2.68,0.00,-0.11,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
101.,99.,100.,GemFire,"Key-value, Multi-model",2.61,-0.05,+0.15,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
102.,103.,91.,OrientDB,Multi-model,2.57,+0.03,-0.14,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
103.,107.,111.,Amazon Neptune,Multi-model,2.55,+0.08,+0.42,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
104.,102.,92.,Google Cloud Bigtable,Multi-model,2.53,-0.05,-0.14,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
105.,108.,96.,GraphDB,Multi-model,2.49,+0.04,-0.10,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
106.,105.,101.,Apache Jena - TDB,RDF,2.49,0.00,+0.05,https://db-engines.com/en/system/Apache+Jena+-+TDB,
107.,104.,99.,IBM Cloudant,Document,2.44,-0.05,-0.08,https://db-engines.com/en/system/IBM+Cloudant,
108.,106.,107.,Apache Accumulo,Wide column,2.42,-0.07,+0.20,https://db-engines.com/en/system/Apache+Accumulo,
109.,109.,153.,Valkey,Key-value,2.34,-0.07,+0.99,https://db-engines.com/en/system/Valkey,
110.,113.,102.,OceanBase,Multi-model,2.33,+0.04,-0.09,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store"
111.,110.,103.,SAP IQ,Relational,2.32,-0.03,-0.03,https://db-engines.com/en/system/SAP+IQ,
112.,111.,95.,RavenDB,"Document, Multi-model",2.29,-0.03,-0.30,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
113.,114.,105.,RethinkDB,"Document, Multi-model",2.23,-0.02,-0.07,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
114.,112.,104.,Coveo,Search engine,2.22,-0.09,-0.08,https://db-engines.com/en/system/Coveo,
115.,115.,121.,Citus,"Relational, Multi-model",2.22,+0.03,+0.30,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
116.,117.,124.,Apache Phoenix,Relational,2.08,-0.01,+0.25,https://db-engines.com/en/system/Apache+Phoenix,
117.,125.,112.,"UniData,UniVerse",Multivalue,2.07,+0.13,-0.01,https://db-engines.com/en/system/UniData%2CUniVerse,
118.,116.,110.,InterSystems IRIS,Multi-model,2.07,-0.06,-0.08,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
119.,118.,152.,GBase,Relational,2.04,-0.01,+0.69,https://db-engines.com/en/system/GBase,
120.,123.,125.,CloudKit,Document,2.03,+0.06,+0.23,https://db-engines.com/en/system/CloudKit,
121.,121.,123.,4D,Relational,1.99,-0.01,+0.11,https://db-engines.com/en/system/4D,
122.,122.,108.,YugabyteDB,"Relational, Multi-model",1.99,-0.02,-0.21,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
123.,124.,129.,LMDB,Key-value,1.94,-0.02,+0.19,https://db-engines.com/en/system/LMDB,
124.,119.,128.,NebulaGraph,Graph,1.93,-0.10,+0.17,https://db-engines.com/en/system/NebulaGraph,
125.,126.,116.,Percona Server for MySQL,Relational,1.91,-0.02,-0.03,https://db-engines.com/en/system/Percona+Server+for+MySQL,
126.,135.,130.,Stardog,Multi-model,1.91,+0.11,+0.18,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
127.,129.,135.,Amazon CloudSearch,Search engine,1.89,+0.00,+0.25,https://db-engines.com/en/system/Amazon+CloudSearch,
128.,130.,126.,Amazon DocumentDB,Document,1.89,+0.01,+0.09,https://db-engines.com/en/system/Amazon+DocumentDB,
129.,127.,118.,LevelDB,Key-value,1.87,-0.04,-0.05,https://db-engines.com/en/system/LevelDB,
130.,128.,113.,PouchDB,Document,1.86,-0.03,-0.14,https://db-engines.com/en/system/PouchDB,
131.,133.,127.,JanusGraph,Graph,1.86,+0.02,+0.09,https://db-engines.com/en/system/JanusGraph,
132.,137.,149.,TigerGraph,Graph,1.86,+0.11,+0.44,https://db-engines.com/en/system/TigerGraph,
133.,132.,120.,Infinispan,Key-value,1.85,-0.01,-0.06,https://db-engines.com/en/system/Infinispan,
134.,120.,140.,VictoriaMetrics,Time Series,1.85,-0.16,+0.30,https://db-engines.com/en/system/VictoriaMetrics,
135.,131.,117.,MaxDB,Relational,1.83,-0.05,-0.11,https://db-engines.com/en/system/MaxDB,
136.,136.,122.,Apache Drill,Multi-model,1.75,-0.01,-0.14,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
137.,134.,98.,Memgraph,Graph,1.69,-0.15,-0.85,https://db-engines.com/en/system/Memgraph,
138.,141.,134.,Oracle Coherence,Key-value,1.67,+0.01,+0.00,https://db-engines.com/en/system/Oracle+Coherence,
139.,140.,143.,Apache IoTDB,Time Series,1.64,-0.04,+0.19,https://db-engines.com/en/system/Apache+IoTDB,
140.,153.,200.,Rockset,"Document, Multi-model",1.62,+0.13,+0.74,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
141.,139.,137.,EDB Postgres,"Relational, Multi-model",1.62,-0.07,-0.01,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
142.,138.,188.,StarRocks,Relational,1.61,-0.09,+0.67,https://db-engines.com/en/system/StarRocks,
143.,143.,146.,SpatiaLite,"Spatial, Multi-model",1.59,0.00,+0.16,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
144.,142.,131.,Oracle Berkeley DB,Multi-model,1.59,-0.02,-0.12,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
145.,144.,136.,Amazon SimpleDB,Key-value,1.57,0.00,-0.06,https://db-engines.com/en/system/Amazon+SimpleDB,
146.,147.,142.,Datomic,Relational,1.56,+0.00,+0.06,https://db-engines.com/en/system/Datomic,
147.,151.,144.,Fauna,Multi-model,1.56,+0.04,+0.11,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
148.,146.,141.,EXASOL,Relational,1.55,0.00,+0.04,https://db-engines.com/en/system/EXASOL,
149.,150.,139.,MonetDB,"Relational, Multi-model",1.54,+0.01,-0.04,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
150.,145.,138.,RRDtool,Time Series,1.54,-0.03,-0.04,https://db-engines.com/en/system/RRDtool,
151.,148.,133.,IMS,Navigational,1.53,-0.01,-0.14,https://db-engines.com/en/system/IMS,
152.,152.,114.,GridDB,"Time Series, Multi-model",1.52,+0.00,-0.48,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
153.,149.,180.,PlanetScale,"Relational, Multi-model",1.51,-0.01,+0.47,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
154.,158.,168.,Meilisearch,Multi-model,1.50,+0.07,+0.36,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
155.,157.,185.,Vitess,"Relational, Multi-model",1.48,+0.04,+0.49,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
156.,154.,176.,SurrealDB,Multi-model,1.46,-0.03,+0.38,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
157.,155.,145.,OpenTSDB,Time Series,1.45,-0.01,+0.01,https://db-engines.com/en/system/OpenTSDB,
158.,156.,147.,BaseX,Native XML,1.44,-0.02,+0.01,https://db-engines.com/en/system/BaseX,
159.,159.,154.,GridGain,Multi-model,1.41,+0.02,+0.09,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
160.,160.,156.,jBASE,Multivalue,1.39,+0.02,+0.08,https://db-engines.com/en/system/jBASE,
161.,163.,155.,D3,Multivalue,1.33,+0.05,+0.01,https://db-engines.com/en/system/D3,
162.,161.,157.,Geode,Key-value,1.31,-0.02,0.00,https://db-engines.com/en/system/Geode,
163.,162.,148.,Tarantool,Multi-model,1.29,-0.01,-0.14,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
164.,168.,162.,Amazon Timestream,Time Series,1.28,+0.05,+0.06,https://db-engines.com/en/system/Amazon+Timestream,
165.,164.,160.,Dgraph,Graph,1.27,0.00,+0.03,https://db-engines.com/en/system/Dgraph,
166.,177.,172.,TDSQL for MySQL,"Relational, Multi-model",1.26,+0.13,+0.14,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
167.,165.,161.,Actian NoSQL Database,Object oriented,1.25,-0.01,+0.01,https://db-engines.com/en/system/Actian+NoSQL+Database,
168.,169.,159.,Empress,Relational,1.24,+0.01,-0.02,https://db-engines.com/en/system/Empress,
169.,166.,164.,VoltDB,Relational,1.24,-0.01,+0.02,https://db-engines.com/en/system/VoltDB,
170.,170.,173.,Mnesia,Document,1.22,-0.01,+0.10,https://db-engines.com/en/system/Mnesia,
171.,167.,167.,HEAVY.AI,"Relational, Multi-model",1.21,-0.02,+0.06,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
172.,171.,151.,HFSQL,Relational,1.20,-0.02,-0.16,https://db-engines.com/en/system/HFSQL,
173.,172.,175.,ObjectBox,Multi-model,1.18,-0.01,+0.07,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
174.,174.,183.,Apache Kylin,Relational,1.17,+0.01,+0.14,https://db-engines.com/en/system/Apache+Kylin,
175.,173.,165.,Db4o,Object oriented,1.17,-0.01,-0.01,https://db-engines.com/en/system/Db4o,
176.,182.,150.,Tibero,Relational,1.16,+0.07,-0.26,https://db-engines.com/en/system/Tibero,
177.,178.,192.,Typesense,Search engine,1.15,+0.02,+0.23,https://db-engines.com/en/system/Typesense,
178.,175.,163.,IBM Db2 warehouse,Relational,1.15,0.00,-0.07,https://db-engines.com/en/system/IBM+Db2+warehouse,
179.,183.,187.,openGauss,"Relational, Multi-model",1.14,+0.05,+0.17,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
180.,176.,177.,LiteDB,Document,1.13,-0.01,+0.06,https://db-engines.com/en/system/LiteDB,
181.,179.,166.,ObjectStore,Object oriented,1.12,-0.01,-0.06,https://db-engines.com/en/system/ObjectStore,
182.,181.,170.,TimesTen,Relational,1.10,+0.01,-0.03,https://db-engines.com/en/system/TimesTen,
183.,184.,186.,Amazon Keyspaces,Wide column,1.10,+0.02,+0.11,https://db-engines.com/en/system/Amazon+Keyspaces,
184.,180.,178.,SQLBase,Relational,1.09,-0.03,+0.03,https://db-engines.com/en/system/SQLBase,
185.,185.,171.,Datameer,Document,1.06,-0.01,-0.06,https://db-engines.com/en/system/Datameer,
186.,189.,,Arc,Time Series,1.05,+0.07,,https://db-engines.com/en/system/Arc,
187.,187.,179.,Giraph,Graph,1.04,-0.01,-0.02,https://db-engines.com/en/system/Giraph,
188.,188.,190.,NonStop SQL,Relational,1.02,+0.02,+0.09,https://db-engines.com/en/system/NonStop+SQL,
189.,186.,181.,KurrentDB (aka EventStoreDB),"Event, Multi-model",1.01,-0.04,-0.04,https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,"Event Store,Document store,Time Series DBMS"
190.,190.,212.,Xapian,Search engine,0.96,-0.02,+0.21,https://db-engines.com/en/system/Xapian,
191.,191.,182.,Alibaba Cloud MaxCompute,Relational,0.94,-0.02,-0.08,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
192.,197.,232.,Dolt,"Relational, Multi-model",0.92,+0.02,+0.33,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
193.,198.,197.,FoundationDB,Multi-model,0.92,+0.02,+0.03,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
194.,192.,195.,GT.M,Key-value,0.92,-0.02,+0.02,https://db-engines.com/en/system/GT.M,
195.,196.,191.,Oracle Rdb,Relational,0.90,-0.03,-0.03,https://db-engines.com/en/system/Oracle+Rdb,
196.,195.,203.,NCache,"Key-value, Multi-model",0.90,-0.04,+0.05,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
197.,199.,193.,Apache HAWQ,Relational,0.89,+0.01,-0.02,https://db-engines.com/en/system/Apache+HAWQ,
198.,193.,199.,Vespa,Multi-model,0.88,-0.06,-0.01,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
199.,201.,196.,DataEase,Relational,0.88,+0.00,-0.01,https://db-engines.com/en/system/DataEase,
200.,202.,184.,Cubrid,Relational,0.87,+0.01,-0.13,https://db-engines.com/en/system/Cubrid,
201.,194.,174.,mSQL,Relational,0.87,-0.07,-0.25,https://db-engines.com/en/system/mSQL,
