DBMS,Rank_Sep-2025,Rank_Aug-2025,Rank_Sep-2024,Database Model,Score_Sep-2025,Score_Aug-2025,Score_Sep-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Apache HBase,30.0,29.0,26.0,Wide column,21.39,-0.69,-6.02,https://db-engines.com/en/system/Apache+HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no
ClickHouse,31.0,31.0,37.0,"Relational, Multi-model",20.15,+1.30,+4.27,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS",Clickhouse Inc.,"A high-performance, column-oriented SQL DBMS for online analytical processing (OLAP) that uses all available system resources to their full potential to process each analytical query as fast as possible. It is available as both an open-source software and a cloud offering.",2016.0,"v25.6.3.116-stable, July 2025",Open Source,Apache 2.0,no
OpenSearch,32.0,32.0,36.0,Multi-model,19.93,+1.45,+3.62,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS",The OpenSearch Software Foundation,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"3.0, May 2025",Open Source,Apache Version 2.0,no
Firebird,33.0,33.0,30.0,Relational,16.54,-0.87,-2.92,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"5.0.1, August 2024",Open Source,Initial Developer's Public License,no
Memcached,34.0,34.0,32.0,Key-value,16.16,+0.01,-0.68,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.29, June 2024",Open Source,BSD license,no
Informix,35.0,35.0,35.0,"Relational, Multi-model",15.52,+0.75,-0.81,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no
Firebase Realtime Database,36.0,37.0,39.0,Document,15.4,+1.01,+1.80,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes
Amazon Redshift,37.0,36.0,38.0,Relational,15.14,+0.74,-0.10,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes
Apache Impala,38.0,39.0,40.0,"Relational, Multi-model",14.07,+0.70,+3.44,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store",Apache Software Foundation,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no
Microsoft Azure Synapse Analytics,39.0,38.0,31.0,Relational,13.92,-0.23,-5.05,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes
Apache Flink,40.0,41.0,41.0,Relational,13.03,+1.00,+2.41,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.20.0, August 2024",Open Source,,no
