Rank_Jun-2026,Rank_May-2026,Rank_Jun-2025,DBMS,Database Model,Score_Jun-2026,Score_May-2026,Score_Jun-2025,DBMS_insitelink,Multi_model_info
29.,27.,28.,Microsoft Azure Cosmos DB,Multi-model,21.65,-0.44,-0.78,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
30.,30.,29.,InfluxDB,"Time Series, Multi-model",21.60,+0.75,-0.14,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
31.,32.,27.,Apache HBase,Wide column,20.95,+1.18,-1.74,https://db-engines.com/en/system/Apache+HBase,
32.,31.,32.,OpenSearch,Multi-model,20.42,0.00,+3.52,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS"
33.,34.,,Microsoft Fabric,Relational,18.15,+1.09,,https://db-engines.com/en/system/Microsoft+Fabric,
34.,33.,33.,Firebird,Relational,17.71,+0.15,+1.15,https://db-engines.com/en/system/Firebird,
35.,35.,37.,Microsoft Azure Synapse Analytics,Relational,16.62,-0.17,+2.28,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
36.,36.,38.,Firebase Realtime Database,Document,15.53,+0.52,+1.31,https://db-engines.com/en/system/Firebase+Realtime+Database,
37.,37.,35.,Amazon Redshift,Relational,15.52,+1.16,+0.54,https://db-engines.com/en/system/Amazon+Redshift,
38.,38.,36.,Informix,"Relational, Multi-model",13.48,-0.08,-1.02,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
39.,39.,34.,Memcached,Key-value,13.10,+0.10,-2.60,https://db-engines.com/en/system/Memcached,
40.,40.,40.,Apache Impala,"Relational, Multi-model",11.00,-0.25,-1.13,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
41.,41.,41.,Apache Flink,Relational,10.59,+0.88,-1.22,https://db-engines.com/en/system/Apache+Flink,
42.,42.,45.,DuckDB,Relational,10.30,+0.71,+3.00,https://db-engines.com/en/system/DuckDB,
43.,44.,39.,Couchbase,Multi-model,9.76,+0.44,-4.04,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
44.,45.,44.,Amazon Aurora,"Relational, Multi-model",9.61,+0.43,+2.26,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
45.,43.,43.,Google Cloud Firestore,Document,9.03,-0.45,+1.24,https://db-engines.com/en/system/Google+Cloud+Firestore,
46.,46.,50.,Prometheus,Time Series,8.96,-0.10,+2.00,https://db-engines.com/en/system/Prometheus,
47.,47.,42.,Vertica,"Relational, Multi-model",8.75,+0.31,-0.70,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
48.,48.,68.,Pinecone,Vector,8.63,+0.29,+4.75,https://db-engines.com/en/system/Pinecone,
49.,49.,46.,dBASE,Relational,8.19,+0.36,+0.95,https://db-engines.com/en/system/dBASE,
50.,50.,47.,H2,"Relational, Multi-model",8.06,+0.33,+0.99,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
51.,51.,52.,Kdb,Multi-model,7.29,-0.04,+0.55,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
52.,53.,49.,etcd,Key-value,7.02,+0.10,-0.04,https://db-engines.com/en/system/etcd,
53.,52.,58.,Trino,"Relational, Multi-model",7.00,-0.03,+1.62,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
54.,54.,56.,Algolia,Search engine,6.83,+0.09,+1.07,https://db-engines.com/en/system/Algolia,
55.,58.,54.,Netezza,Relational,6.74,+0.50,+0.35,https://db-engines.com/en/system/Netezza,
56.,56.,85.,Milvus,Vector,6.37,+0.04,+3.35,https://db-engines.com/en/system/Milvus,
57.,57.,61.,Microsoft Azure AI Search,"Search engine, Multi-model",6.33,+0.04,+1.10,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
58.,55.,53.,Realm,Document,6.29,-0.13,-0.31,https://db-engines.com/en/system/Realm,
59.,59.,55.,Presto,Relational,6.11,+0.05,-0.05,https://db-engines.com/en/system/Presto,
60.,60.,48.,Greenplum,"Relational, Multi-model",6.08,+0.14,-0.98,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
61.,62.,51.,CouchDB,"Document, Multi-model",6.07,+0.24,-0.70,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
62.,63.,69.,TimescaleDB,"Time Series, Multi-model",6.04,+0.42,+2.40,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
63.,61.,57.,Sphinx,Search engine,5.90,-0.03,+0.22,https://db-engines.com/en/system/Sphinx,
64.,65.,102.,Qdrant,Vector,5.58,+0.42,+3.16,https://db-engines.com/en/system/Qdrant,
65.,64.,112.,DolphinDB,Multi-model,5.40,+0.20,+3.36,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
66.,69.,65.,ScyllaDB,"Wide column, Multi-model",4.73,+0.29,+0.77,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
67.,66.,63.,Graphite,Time Series,4.66,-0.16,+0.17,https://db-engines.com/en/system/Graphite,
68.,68.,60.,Hazelcast,"Key-value, Multi-model",4.61,+0.14,-0.63,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
69.,67.,62.,Oracle Essbase,Relational,4.59,-0.08,-0.52,https://db-engines.com/en/system/Oracle+Essbase,
70.,70.,126.,Weaviate,Vector,4.55,+0.31,+2.74,https://db-engines.com/en/system/Weaviate,
71.,73.,64.,CockroachDB,Multi-model,4.16,+0.46,+0.07,https://db-engines.com/en/system/CockroachDB,"Multi-Model DBMS,Relational DBMS,CockroachDB supports relational, semi-structured JSON/document, vector/embedding, geospatial, and typed categorical/enumeration data, all exposed via SQL, on the same strongly consistent, globally distributed data platform."
72.,71.,67.,MarkLogic,Multi-model,4.03,+0.07,+0.13,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS"
73.,84.,78.,TiDB,"Relational, Multi-model",3.96,+0.58,+0.68,https://db-engines.com/en/system/TiDB,"Relational DBMS,Vector DBMS"
74.,81.,77.,Interbase,Relational,3.89,+0.47,+0.53,https://db-engines.com/en/system/Interbase,
75.,72.,66.,Apache Jackrabbit,Content,3.79,-0.04,-0.16,https://db-engines.com/en/system/Apache+Jackrabbit,
76.,76.,88.,RocksDB,Key-value,3.77,+0.26,+0.91,https://db-engines.com/en/system/RocksDB,
77.,83.,59.,Aerospike,Multi-model,3.71,+0.32,-1.56,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
78.,75.,79.,QuestDB,"Time Series, Multi-model",3.66,+0.07,+0.42,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
79.,80.,75.,OpenEdge,Relational,3.55,+0.13,+0.14,https://db-engines.com/en/system/OpenEdge,
80.,74.,87.,ArangoDB,Multi-model,3.52,-0.14,+0.62,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
81.,82.,158.,Alibaba Cloud PolarDB,Relational,3.52,+0.12,+2.26,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
82.,77.,76.,Apache Druid,Multi-model,3.49,+0.02,+0.09,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
83.,79.,74.,Oracle NoSQL,Multi-model,3.48,+0.02,+0.02,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
84.,78.,72.,Google Cloud Datastore,Document,3.45,-0.01,-0.09,https://db-engines.com/en/system/Google+Cloud+Datastore,
85.,85.,86.,SAP SQL Anywhere,Relational,3.44,+0.17,+0.43,https://db-engines.com/en/system/SAP+SQL+Anywhere,
86.,86.,71.,Datastax Enterprise,"Wide column, Multi-model",3.15,-0.07,-0.47,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
87.,87.,84.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.15,+0.01,+0.11,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
88.,88.,80.,Ingres,Relational,3.10,-0.02,-0.12,https://db-engines.com/en/system/Ingres,
89.,91.,70.,Ehcache,Key-value,3.08,+0.11,-0.55,https://db-engines.com/en/system/Ehcache,
90.,90.,81.,Riak KV,Key-value,3.08,-0.03,-0.12,https://db-engines.com/en/system/Riak+KV,
91.,89.,83.,Apache Derby,Relational,3.04,-0.07,-0.13,https://db-engines.com/en/system/Apache+Derby,
92.,92.,116.,Chroma,Vector,2.96,+0.07,+1.03,https://db-engines.com/en/system/Chroma,
93.,93.,73.,SingleStore,"Relational, Multi-model",2.90,+0.04,-0.57,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
94.,95.,97.,Google Cloud Spanner,Relational,2.82,+0.02,+0.23,https://db-engines.com/en/system/Google+Cloud+Spanner,
95.,98.,137.,TDengine,"Time Series, Multi-model",2.81,+0.07,+1.26,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
96.,96.,95.,Microsoft Azure Table Storage,Wide column,2.80,+0.01,+0.19,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
97.,94.,82.,Apache Ignite,Multi-model,2.77,-0.05,-0.41,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
98.,97.,94.,Adabas,Multivalue,2.74,-0.02,+0.12,https://db-engines.com/en/system/Adabas,
99.,99.,91.,HyperSQL,Relational,2.63,-0.08,-0.06,https://db-engines.com/en/system/HyperSQL,
100.,103.,109.,Amazon Neptune,Multi-model,2.62,+0.07,+0.49,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
101.,100.,89.,Virtuoso,Multi-model,2.59,-0.09,-0.12,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
102.,101.,99.,GemFire,"Key-value, Multi-model",2.55,-0.07,+0.06,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
103.,102.,90.,OrientDB,Multi-model,2.50,-0.06,-0.21,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
104.,104.,96.,Google Cloud Bigtable,Multi-model,2.50,-0.02,-0.09,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
105.,105.,98.,GraphDB,Multi-model,2.50,+0.01,-0.06,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
106.,109.,141.,Valkey,Key-value,2.47,+0.13,+0.98,https://db-engines.com/en/system/Valkey,
107.,106.,103.,Apache Jena - TDB,RDF,2.47,-0.01,+0.08,https://db-engines.com/en/system/Apache+Jena+-+TDB,
108.,108.,108.,Apache Accumulo,Wide column,2.44,+0.02,+0.27,https://db-engines.com/en/system/Apache+Accumulo,
109.,110.,101.,OceanBase,Multi-model,2.43,+0.09,-0.01,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store"
110.,114.,107.,Coveo,Search engine,2.39,+0.17,+0.16,https://db-engines.com/en/system/Coveo,
111.,107.,93.,IBM Cloudant,Document,2.37,-0.07,-0.26,https://db-engines.com/en/system/IBM+Cloudant,
112.,112.,92.,RavenDB,"Document, Multi-model",2.28,-0.01,-0.37,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
113.,111.,104.,SAP IQ,Relational,2.28,-0.04,-0.04,https://db-engines.com/en/system/SAP+IQ,
114.,113.,105.,RethinkDB,"Document, Multi-model",2.21,-0.02,-0.11,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
115.,120.,128.,CloudKit,Document,2.16,+0.13,+0.37,https://db-engines.com/en/system/CloudKit,
116.,115.,119.,Citus,"Relational, Multi-model",2.15,-0.07,+0.25,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
117.,122.,111.,YugabyteDB,"Relational, Multi-model",2.08,+0.10,-0.01,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
118.,118.,110.,InterSystems IRIS,Multi-model,2.07,+0.01,-0.05,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
119.,116.,125.,Apache Phoenix,Relational,2.06,-0.02,+0.23,https://db-engines.com/en/system/Apache+Phoenix,
120.,119.,151.,GBase,Relational,2.05,+0.01,+0.69,https://db-engines.com/en/system/GBase,
121.,117.,106.,"UniData,UniVerse",Multivalue,2.00,-0.07,-0.24,https://db-engines.com/en/system/UniData%2CUniVerse,
122.,121.,122.,4D,Relational,1.98,-0.01,+0.11,https://db-engines.com/en/system/4D,
123.,126.,123.,Stardog,Multi-model,1.95,+0.04,+0.10,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
124.,128.,127.,Amazon DocumentDB,Document,1.93,+0.04,+0.13,https://db-engines.com/en/system/Amazon+DocumentDB,
125.,123.,131.,LMDB,Key-value,1.90,-0.04,+0.19,https://db-engines.com/en/system/LMDB,
126.,127.,130.,Amazon CloudSearch,Search engine,1.90,+0.00,+0.17,https://db-engines.com/en/system/Amazon+CloudSearch,
127.,131.,129.,JanusGraph,Graph,1.90,+0.03,+0.15,https://db-engines.com/en/system/JanusGraph,
128.,132.,149.,TigerGraph,Graph,1.87,+0.01,+0.47,https://db-engines.com/en/system/TigerGraph,
129.,125.,117.,Percona Server for MySQL,Relational,1.86,-0.05,-0.07,https://db-engines.com/en/system/Percona+Server+for+MySQL,
130.,133.,118.,Infinispan,Key-value,1.83,-0.02,-0.08,https://db-engines.com/en/system/Infinispan,
131.,124.,121.,NebulaGraph,Graph,1.83,-0.10,-0.06,https://db-engines.com/en/system/NebulaGraph,
132.,129.,120.,LevelDB,Key-value,1.83,-0.04,-0.06,https://db-engines.com/en/system/LevelDB,
133.,130.,115.,PouchDB,Document,1.82,-0.04,-0.13,https://db-engines.com/en/system/PouchDB,
134.,135.,114.,MaxDB,Relational,1.81,-0.02,-0.13,https://db-engines.com/en/system/MaxDB,
135.,140.,200.,Rockset,"Document, Multi-model",1.80,+0.18,+0.95,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
136.,148.,140.,EXASOL,Relational,1.80,+0.25,+0.30,https://db-engines.com/en/system/EXASOL,
137.,137.,100.,Memgraph,Graph,1.76,+0.08,-0.71,https://db-engines.com/en/system/Memgraph,
138.,139.,142.,Apache IoTDB,Time Series,1.75,+0.11,+0.28,https://db-engines.com/en/system/Apache+IoTDB,
139.,142.,174.,StarRocks,Relational,1.74,+0.12,+0.62,https://db-engines.com/en/system/StarRocks,
140.,136.,124.,Apache Drill,Multi-model,1.73,-0.02,-0.10,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
141.,134.,152.,VictoriaMetrics,Time Series,1.71,-0.13,+0.36,https://db-engines.com/en/system/VictoriaMetrics,
142.,153.,181.,PlanetScale,"Relational, Multi-model",1.65,+0.14,+0.59,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
143.,143.,145.,SpatiaLite,"Spatial, Multi-model",1.65,+0.06,+0.20,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
144.,141.,135.,EDB Postgres,"Relational, Multi-model",1.62,+0.01,+0.03,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
145.,138.,133.,Oracle Coherence,Key-value,1.61,-0.05,-0.06,https://db-engines.com/en/system/Oracle+Coherence,
146.,147.,146.,Fauna,Multi-model,1.58,+0.02,+0.14,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
147.,145.,134.,Amazon SimpleDB,Key-value,1.56,-0.01,-0.08,https://db-engines.com/en/system/Amazon+SimpleDB,
148.,154.,172.,Meilisearch,Multi-model,1.56,+0.06,+0.42,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
149.,144.,132.,Oracle Berkeley DB,Multi-model,1.56,-0.04,-0.15,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
150.,146.,144.,Datomic,Relational,1.56,0.00,+0.11,https://db-engines.com/en/system/Datomic,
151.,155.,183.,Vitess,"Relational, Multi-model",1.55,+0.07,+0.50,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
152.,149.,136.,MonetDB,"Relational, Multi-model",1.55,+0.01,-0.02,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
153.,151.,139.,IMS,Navigational,1.52,-0.01,0.00,https://db-engines.com/en/system/IMS,
154.,152.,113.,GridDB,"Time Series, Multi-model",1.52,0.00,-0.46,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
155.,150.,138.,RRDtool,Time Series,1.51,-0.03,-0.03,https://db-engines.com/en/system/RRDtool,
156.,157.,143.,OpenTSDB,Time Series,1.44,-0.01,-0.01,https://db-engines.com/en/system/OpenTSDB,
157.,158.,147.,BaseX,Native XML,1.41,-0.02,-0.02,https://db-engines.com/en/system/BaseX,
158.,156.,180.,SurrealDB,Multi-model,1.41,-0.05,+0.34,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
159.,160.,154.,jBASE,Multivalue,1.40,+0.01,+0.08,https://db-engines.com/en/system/jBASE,
160.,161.,153.,D3,Multivalue,1.39,+0.06,+0.06,https://db-engines.com/en/system/D3,
161.,159.,156.,GridGain,Multi-model,1.38,-0.03,+0.08,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
162.,164.,161.,Amazon Timestream,Time Series,1.29,+0.01,+0.07,https://db-engines.com/en/system/Amazon+Timestream,
163.,166.,168.,TDSQL for MySQL,"Relational, Multi-model",1.28,+0.02,+0.13,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
164.,162.,155.,Geode,Key-value,1.28,-0.03,-0.03,https://db-engines.com/en/system/Geode,
165.,163.,150.,Tarantool,Multi-model,1.27,-0.01,-0.10,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
166.,165.,165.,Dgraph,Graph,1.26,-0.01,+0.06,https://db-engines.com/en/system/Dgraph,
167.,168.,157.,Empress,Relational,1.24,+0.01,-0.03,https://db-engines.com/en/system/Empress,
168.,167.,160.,Actian NoSQL Database,Object oriented,1.22,-0.04,-0.02,https://db-engines.com/en/system/Actian+NoSQL+Database,
169.,169.,164.,VoltDB,Relational,1.21,-0.02,+0.00,https://db-engines.com/en/system/VoltDB,
170.,172.,148.,HFSQL,Relational,1.20,+0.00,-0.21,https://db-engines.com/en/system/HFSQL,
171.,173.,178.,ObjectBox,Multi-model,1.18,+0.00,+0.11,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
172.,171.,162.,HEAVY.AI,"Relational, Multi-model",1.18,-0.03,-0.04,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
173.,170.,170.,Mnesia,Document,1.17,-0.04,+0.04,https://db-engines.com/en/system/Mnesia,
174.,179.,190.,openGauss,"Relational, Multi-model",1.17,+0.03,+0.23,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
175.,177.,201.,Typesense,Search engine,1.17,+0.01,+0.32,https://db-engines.com/en/system/Typesense,
176.,174.,185.,Apache Kylin,Relational,1.15,-0.02,+0.15,https://db-engines.com/en/system/Apache+Kylin,
177.,175.,169.,Db4o,Object oriented,1.15,-0.02,+0.00,https://db-engines.com/en/system/Db4o,
178.,178.,163.,IBM Db2 warehouse,Relational,1.12,-0.02,-0.09,https://db-engines.com/en/system/IBM+Db2+warehouse,
179.,180.,184.,LiteDB,Document,1.11,-0.02,+0.07,https://db-engines.com/en/system/LiteDB,
180.,186.,,Arc,Time Series,1.11,+0.06,,https://db-engines.com/en/system/Arc,
181.,181.,166.,ObjectStore,Object oriented,1.10,-0.02,-0.09,https://db-engines.com/en/system/ObjectStore,
182.,183.,187.,Amazon Keyspaces,Wide column,1.10,+0.00,+0.12,https://db-engines.com/en/system/Amazon+Keyspaces,
183.,176.,159.,Tibero,Relational,1.07,-0.09,-0.19,https://db-engines.com/en/system/Tibero,
184.,182.,171.,TimesTen,Relational,1.06,-0.04,-0.07,https://db-engines.com/en/system/TimesTen,
185.,185.,167.,Datameer,Document,1.06,0.00,-0.09,https://db-engines.com/en/system/Datameer,
186.,184.,175.,SQLBase,Relational,1.04,-0.05,-0.07,https://db-engines.com/en/system/SQLBase,
188.,189.,177.,KurrentDB (aka EventStoreDB),"Event, Multi-model",1.02,+0.01,-0.06,https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,"Event Store,Document store,Time Series DBMS"
189.,187.,182.,Giraph,Graph,1.02,-0.02,-0.03,https://db-engines.com/en/system/Giraph,
190.,192.,229.,Dolt,"Relational, Multi-model",1.01,+0.08,+0.40,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
191.,188.,189.,NonStop SQL,Relational,0.97,-0.05,+0.03,https://db-engines.com/en/system/NonStop+SQL,
192.,190.,209.,Xapian,Search engine,0.94,-0.02,+0.18,https://db-engines.com/en/system/Xapian,
193.,201.,173.,mSQL,Relational,0.92,+0.06,-0.19,https://db-engines.com/en/system/mSQL,
194.,191.,186.,Alibaba Cloud MaxCompute,Relational,0.92,-0.02,-0.08,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
195.,194.,192.,GT.M,Key-value,0.91,-0.01,+0.01,https://db-engines.com/en/system/GT.M,
196.,198.,193.,Vespa,Multi-model,0.90,+0.02,+0.02,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
197.,193.,195.,FoundationDB,Multi-model,0.89,-0.03,+0.01,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
198.,197.,194.,Apache HAWQ,Relational,0.88,-0.01,-0.01,https://db-engines.com/en/system/Apache+HAWQ,
199.,199.,196.,DataEase,Relational,0.88,0.00,+0.00,https://db-engines.com/en/system/DataEase,
200.,196.,202.,NCache,"Key-value, Multi-model",0.86,-0.04,+0.03,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
201.,195.,191.,Oracle Rdb,Relational,0.85,-0.04,-0.08,https://db-engines.com/en/system/Oracle+Rdb,
202.,202.,197.,M3DB,Time Series,0.85,-0.01,-0.02,https://db-engines.com/en/system/M3DB,
