category_label,Multi_model_info,DBMS,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Oct-2023,Rank_Oct-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Vector,Wide column
Multivalue,Multivalue DBMS,D3,https://db-engines.com/en/system/D3,N,,-,1.44,180,-,-,,1999,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,SQL.JS,https://db-engines.com/en/system/SQL.JS,Y,,sql-js/sql.js,1.44,181,sql-js,sql.js,Alon Zakai,2012,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Relational,Relational DBMS,HFSQL,https://db-engines.com/en/system/HFSQL,N,,-,1.43,182,-,-,PC Soft,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Event,Event Store,EventStoreDB,https://db-engines.com/en/system/EventStoreDB,Y,,EventStore/EventStore,1.42,183,EventStore,EventStore,Event Store Limited,2012,2021,Y,,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Relational,Relational DBMS,Oracle Rdb,https://db-engines.com/en/system/Oracle+Rdb,N,,-,1.39,184,-,-,"Oracle, originally developed by Digital Equipment Corporation (DEC)",1984,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Document,"Document store,Object oriented DBMS,Graph DBMS,Search engine",GigaSpaces,https://db-engines.com/en/system/GigaSpaces,N_Image_Gigaspaces/docker,Y,-,1.38,185,-,-,Gigaspaces Technologies,2000,2020,Y,Apache Version 2; Commercial licenses available,N,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Relational,Relational DBMS,Apache HAWQ,https://db-engines.com/en/system/Apache+HAWQ,Y,,apache/hawq,1.36,186,apache,hawq,Pivotal Software; Apache,2012,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vector,Vector DBMS,Milvus,https://db-engines.com/en/system/Milvus,Y,,milvus-io/milvus,1.34,187,milvus-io,milvus,,2019,2022,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Relational,Relational DBMS,1010data,https://db-engines.com/en/system/1010data,N,,-,1.33,188,-,-,,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Multivalue,Multivalue DBMS,Northgate Reality,https://db-engines.com/en/system/Northgate+Reality,N,,-,1.32,189,-,-,,1973,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Relational,"Relational DBMS,Document store",Dolt,https://db-engines.com/en/system/Dolt,Y,Y,dolthub/dolt,1.31,190,dolthub,dolt,DoltHub Inc,2018,,Y,Apache Version 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
