Rank_Dec-2024,Rank_Nov-2024,Rank_Dec-2023,DBMS,Database Model,Score_Dec-2024,Score_Nov-2024,Score_Dec-2023,DBMS_insitelink,Multi_model_info
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",30.31,-1.17,-10.35,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,27.,Apache HBase,Wide column,25.00,-0.25,-8.10,https://db-engines.com/en/system/Apache+HBase,
27.,27.,26.,Microsoft Azure Cosmos DB,Multi-model,23.06,-0.89,-11.48,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,28.,InfluxDB,"Time Series, Multi-model",21.23,-0.24,-6.88,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,30.,PostGIS,"Spatial, Multi-model",19.44,-0.18,-7.92,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,30.,29.,Firebird,Relational,18.54,+0.12,-9.39,https://db-engines.com/en/system/Firebird,
31.,35.,39.,ClickHouse,"Relational, Multi-model",17.44,+0.94,+0.48,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
32.,34.,36.,Apache Spark (SQL),Relational,17.39,+0.61,-1.48,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
33.,31.,42.,OpenSearch,"Search engine, Multi-model",17.18,-0.42,+3.59,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
34.,32.,35.,Memcached,Key-value,17.03,+0.04,-2.14,https://db-engines.com/en/system/Memcached,
35.,36.,33.,Couchbase,Multi-model,15.83,+0.01,-6.11,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
36.,37.,34.,Informix,"Relational, Multi-model",15.70,+0.18,-5.24,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
37.,33.,31.,Microsoft Azure Synapse Analytics,Relational,15.35,-1.49,-11.28,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
38.,38.,32.,Amazon Redshift,Relational,14.21,+0.14,-8.02,https://db-engines.com/en/system/Amazon+Redshift,
39.,39.,38.,Firebase Realtime Database,Document,13.06,-0.37,-4.02,https://db-engines.com/en/system/Firebase+Realtime+Database,
40.,41.,43.,Apache Flink,Relational,10.72,+0.82,-2.72,https://db-engines.com/en/system/Apache+Flink,
41.,40.,37.,Apache Impala,"Relational, Multi-model",10.39,+0.17,-7.00,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
42.,42.,44.,Vertica,"Relational, Multi-model",9.53,+0.16,-3.77,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,43.,41.,dBASE,Relational,9.50,+1.18,-5.09,https://db-engines.com/en/system/dBASE,
44.,45.,46.,CouchDB,"Document, Multi-model",7.70,+0.06,-5.35,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
45.,44.,49.,Amazon Aurora,"Relational, Multi-model",7.48,-0.18,-1.99,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store"
46.,46.,51.,etcd,Key-value,7.14,-0.06,-1.24,https://db-engines.com/en/system/etcd,
47.,50.,52.,Prometheus,Time Series,7.12,+0.20,-1.21,https://db-engines.com/en/system/Prometheus,
48.,49.,56.,Realm,Document,7.12,+0.07,-0.84,https://db-engines.com/en/system/Realm,
49.,51.,48.,Greenplum,"Relational, Multi-model",7.07,+0.22,-3.50,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
50.,47.,50.,H2,"Relational, Multi-model",7.02,-0.07,-1.69,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
51.,48.,53.,Kdb,Multi-model,6.99,-0.07,-1.29,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
52.,52.,45.,Netezza,Relational,6.85,+0.14,-6.32,https://db-engines.com/en/system/Netezza,
53.,54.,47.,Google Cloud Firestore,Document,6.58,+0.06,-4.46,https://db-engines.com/en/system/Google+Cloud+Firestore,
54.,53.,40.,Presto,Relational,6.54,-0.02,-8.26,https://db-engines.com/en/system/Presto,
55.,55.,91.,DuckDB,Relational,6.17,+0.09,+2.12,https://db-engines.com/en/system/DuckDB,
56.,57.,69.,Sphinx,Search engine,5.91,-0.01,-0.06,https://db-engines.com/en/system/Sphinx,
57.,56.,62.,Algolia,Search engine,5.80,-0.19,-0.94,https://db-engines.com/en/system/Algolia,
58.,58.,54.,Oracle Essbase,Relational,5.61,-0.08,-2.48,https://db-engines.com/en/system/Oracle+Essbase,
59.,59.,66.,Microsoft Azure AI Search,"Search engine, Multi-model",5.49,-0.02,-0.78,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
60.,61.,80.,Trino,"Relational, Multi-model",5.38,+0.03,+0.31,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
61.,60.,57.,Hazelcast,"Key-value, Multi-model",5.36,-0.10,-2.56,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
62.,62.,59.,Aerospike,Multi-model,5.34,+0.01,-1.84,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS,Vector DBMS"
63.,64.,75.,Graphite,Time Series,4.81,-0.10,-0.65,https://db-engines.com/en/system/Graphite,
64.,63.,55.,Datastax Enterprise,"Wide column, Multi-model",4.74,-0.17,-3.26,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
65.,65.,65.,Ehcache,Key-value,4.62,+0.10,-1.82,https://db-engines.com/en/system/Ehcache,
66.,67.,58.,MarkLogic,Multi-model,4.32,+0.04,-3.47,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
67.,68.,64.,CockroachDB,Relational,4.19,-0.05,-2.35,https://db-engines.com/en/system/CockroachDB,
68.,66.,67.,Apache Jackrabbit,Content,4.16,-0.24,-2.10,https://db-engines.com/en/system/Apache+Jackrabbit,
69.,69.,68.,SingleStore,"Relational, Multi-model",4.13,-0.10,-1.86,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
70.,70.,76.,Google Cloud Datastore,Document,3.96,-0.02,-1.38,https://db-engines.com/en/system/Google+Cloud+Datastore,
71.,76.,88.,TiDB,"Relational, Multi-model",3.86,+0.23,-0.37,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
72.,72.,63.,ScyllaDB,"Wide column, Multi-model",3.82,-0.06,-2.74,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
73.,71.,61.,Apache Derby,Relational,3.80,-0.12,-3.07,https://db-engines.com/en/system/Apache+Derby,
74.,74.,77.,TimescaleDB,"Time Series, Multi-model",3.74,+0.07,-1.55,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
75.,77.,71.,Interbase,Relational,3.67,+0.05,-2.23,https://db-engines.com/en/system/Interbase,
76.,78.,98.,OpenEdge,Relational,3.64,+0.08,-0.22,https://db-engines.com/en/system/OpenEdge,
77.,75.,74.,Riak KV,Key-value,3.64,-0.03,-1.83,https://db-engines.com/en/system/Riak+KV,
78.,79.,72.,Ingres,Relational,3.61,+0.14,-2.10,https://db-engines.com/en/system/Ingres,
79.,73.,78.,Virtuoso,Multi-model,3.58,-0.29,-1.69,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
80.,84.,103.,Pinecone,Vector,3.23,+0.15,-0.13,https://db-engines.com/en/system/Pinecone,
81.,80.,93.,Oracle NoSQL,Multi-model,3.21,-0.04,-0.81,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
82.,81.,73.,SAP SQL Anywhere,Relational,3.18,-0.06,-2.38,https://db-engines.com/en/system/SAP+SQL+Anywhere,
83.,87.,60.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.09,+0.09,-3.84,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
84.,82.,70.,Microsoft Azure Table Storage,Wide column,3.05,-0.05,-2.87,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
85.,90.,90.,Google Cloud Bigtable,Multi-model,3.01,+0.08,-1.05,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
86.,94.,79.,Apache Jena - TDB,RDF,2.98,+0.11,-2.24,https://db-engines.com/en/system/Apache+Jena+-+TDB,
87.,92.,137.,QuestDB,"Time Series, Multi-model",2.98,+0.07,+0.67,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
88.,91.,86.,Apache Ignite,Multi-model,2.97,+0.05,-1.35,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
89.,83.,83.,ArangoDB,Multi-model,2.96,-0.13,-1.47,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
90.,86.,81.,HyperSQL,Relational,2.95,-0.13,-1.90,https://db-engines.com/en/system/HyperSQL,
91.,85.,85.,Apache Accumulo,Wide column,2.93,-0.15,-1.48,https://db-engines.com/en/system/Apache+Accumulo,
92.,98.,104.,Apache Druid,Multi-model,2.88,+0.17,-0.45,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
93.,88.,89.,OrientDB,Multi-model,2.87,-0.10,-1.23,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
94.,89.,94.,RocksDB,Key-value,2.85,-0.11,-1.15,https://db-engines.com/en/system/RocksDB,
95.,95.,175.,Milvus,Vector,2.82,-0.04,+1.33,https://db-engines.com/en/system/Milvus,
96.,93.,120.,GraphDB,Multi-model,2.78,-0.11,+0.01,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
97.,97.,109.,Memgraph,Graph,2.71,-0.02,-0.47,https://db-engines.com/en/system/Memgraph,
98.,104.,82.,Adabas,Multivalue,2.68,+0.13,-1.94,https://db-engines.com/en/system/Adabas,
99.,100.,92.,Google Cloud Spanner,Relational,2.66,-0.04,-1.36,https://db-engines.com/en/system/Google+Cloud+Spanner,
100.,96.,124.,InterSystems IRIS,Multi-model,2.60,-0.16,-0.11,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
101.,99.,97.,RavenDB,"Document, Multi-model",2.59,-0.11,-1.31,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
102.,102.,96.,DolphinDB,Multi-model,2.54,-0.05,-1.37,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
103.,101.,99.,IBM Cloudant,Document,2.53,-0.11,-1.10,https://db-engines.com/en/system/IBM+Cloudant,
104.,103.,95.,GemFire,"Key-value, Multi-model",2.53,-0.03,-1.44,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
105.,106.,87.,SAP IQ,Relational,2.49,-0.02,-1.78,https://db-engines.com/en/system/SAP+IQ,
106.,105.,105.,RethinkDB,"Document, Multi-model",2.48,-0.04,-0.83,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
107.,107.,102.,YugabyteDB,"Relational, Multi-model",2.45,+0.09,-0.92,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
108.,109.,126.,Coveo,Search engine,2.41,+0.09,-0.24,https://db-engines.com/en/system/Coveo,
109.,108.,84.,"UniData,UniVerse",Multivalue,2.38,+0.03,-2.04,https://db-engines.com/en/system/UniData%2CUniVerse,
110.,112.,100.,Infinispan,Key-value,2.34,+0.12,-1.24,https://db-engines.com/en/system/Infinispan,
111.,111.,108.,LevelDB,Key-value,2.18,-0.08,-1.01,https://db-engines.com/en/system/LevelDB,
112.,113.,122.,Amazon Neptune,Multi-model,2.17,+0.00,-0.59,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
113.,115.,101.,MaxDB,Relational,2.16,+0.05,-1.36,https://db-engines.com/en/system/MaxDB,
114.,114.,107.,4D,Relational,2.14,+0.01,-1.05,https://db-engines.com/en/system/4D,
115.,110.,106.,TDengine,"Time Series, Multi-model",2.11,-0.16,-1.09,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
116.,118.,169.,OceanBase,"Relational, Multi-model",2.02,+0.00,+0.34,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
117.,119.,117.,Citus,"Relational, Multi-model",2.01,+0.05,-0.80,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
118.,117.,127.,Percona Server for MySQL,Relational,2.01,-0.07,-0.60,https://db-engines.com/en/system/Percona+Server+for+MySQL,
119.,116.,113.,PouchDB,Document,1.99,-0.09,-0.92,https://db-engines.com/en/system/PouchDB,
120.,122.,141.,GridDB,"Time Series, Multi-model",1.94,+0.02,-0.30,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
121.,120.,112.,Apache Phoenix,Relational,1.90,-0.03,-1.06,https://db-engines.com/en/system/Apache+Phoenix,
122.,121.,110.,Oracle Berkeley DB,Multi-model,1.89,-0.02,-1.24,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
123.,123.,123.,LMDB,Key-value,1.87,-0.03,-0.88,https://db-engines.com/en/system/LMDB,
124.,126.,115.,CloudKit,Document,1.87,+0.04,-0.99,https://db-engines.com/en/system/CloudKit,
125.,127.,140.,Chroma,Vector,1.87,+0.05,-0.40,https://db-engines.com/en/system/Chroma,
126.,132.,199.,Qdrant,Vector,1.85,+0.08,+0.60,https://db-engines.com/en/system/Qdrant,
127.,124.,145.,Amazon DocumentDB,Document,1.84,-0.03,-0.30,https://db-engines.com/en/system/Amazon+DocumentDB,
128.,125.,118.,Apache Drill,Multi-model,1.82,-0.02,-0.99,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
129.,131.,138.,JanusGraph,Graph,1.76,-0.02,-0.53,https://db-engines.com/en/system/JanusGraph,
130.,130.,139.,Stardog,Multi-model,1.76,-0.03,-0.52,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
131.,128.,132.,Oracle Coherence,Key-value,1.74,-0.06,-0.74,https://db-engines.com/en/system/Oracle+Coherence,
132.,133.,130.,Amazon CloudSearch,Search engine,1.72,-0.03,-0.78,https://db-engines.com/en/system/Amazon+CloudSearch,
133.,129.,125.,NebulaGraph,Graph,1.71,-0.07,-0.95,https://db-engines.com/en/system/NebulaGraph,
134.,134.,129.,Amazon SimpleDB,Key-value,1.71,-0.03,-0.84,https://db-engines.com/en/system/Amazon+SimpleDB,
135.,147.,149.,Weaviate,Vector,1.70,+0.25,-0.33,https://db-engines.com/en/system/Weaviate,
136.,135.,121.,EDB Postgres,"Relational, Multi-model",1.70,-0.01,-1.08,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
137.,137.,143.,MonetDB,"Relational, Multi-model",1.69,+0.06,-0.50,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
138.,136.,116.,RRDtool,Time Series,1.64,-0.07,-1.18,https://db-engines.com/en/system/RRDtool,
139.,139.,136.,Empress,Relational,1.63,+0.10,-0.68,https://db-engines.com/en/system/Empress,
140.,138.,114.,EXASOL,Relational,1.62,+0.00,-1.28,https://db-engines.com/en/system/EXASOL,
141.,142.,131.,IMS,Navigational,1.56,+0.05,-0.92,https://db-engines.com/en/system/IMS,
142.,144.,135.,SpatiaLite,"Spatial, Multi-model",1.50,0.00,-0.90,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
143.,145.,133.,Datomic,Relational,1.48,+0.01,-0.96,https://db-engines.com/en/system/Datomic,
144.,141.,148.,OpenTSDB,Time Series,1.48,-0.03,-0.57,https://db-engines.com/en/system/OpenTSDB,
145.,148.,163.,Fauna,Multi-model,1.48,+0.04,-0.28,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
146.,154.,146.,jBASE,Multivalue,1.46,+0.07,-0.61,https://db-engines.com/en/system/jBASE,
147.,140.,142.,BaseX,Native XML,1.46,-0.06,-0.77,https://db-engines.com/en/system/BaseX,
148.,149.,128.,Geode,Key-value,1.45,+0.02,-1.15,https://db-engines.com/en/system/Geode,
149.,143.,158.,Tarantool,Multi-model,1.44,-0.06,-0.40,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
150.,146.,134.,Firebolt,Relational,1.40,-0.06,-1.02,https://db-engines.com/en/system/Firebolt,
151.,151.,192.,Apache IoTDB,Time Series,1.40,-0.01,+0.08,https://db-engines.com/en/system/Apache+IoTDB,
152.,152.,152.,TigerGraph,Graph,1.39,-0.01,-0.57,https://db-engines.com/en/system/TigerGraph,
153.,153.,150.,Tibero,Relational,1.38,-0.02,-0.65,https://db-engines.com/en/system/Tibero,
154.,150.,147.,GridGain,Multi-model,1.37,-0.05,-0.70,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
155.,158.,157.,Actian NoSQL Database,Object oriented,1.36,+0.04,-0.49,https://db-engines.com/en/system/Actian+NoSQL+Database,
156.,155.,154.,VoltDB,Relational,1.32,-0.02,-0.62,https://db-engines.com/en/system/VoltDB,
157.,157.,151.,Dgraph,Graph,1.31,-0.02,-0.69,https://db-engines.com/en/system/Dgraph,
158.,165.,170.,D3,Multivalue,1.31,+0.08,-0.33,https://db-engines.com/en/system/D3,
159.,156.,111.,HEAVY.AI,"Relational, Multi-model",1.31,-0.04,-1.71,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
160.,162.,144.,Db4o,Object oriented,1.30,+0.05,-0.86,https://db-engines.com/en/system/Db4o,
161.,197.,290.,Alibaba Cloud PolarDB,Relational,1.29,+0.39,+0.84,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
162.,161.,165.,ObjectStore,Object oriented,1.28,+0.02,-0.45,https://db-engines.com/en/system/ObjectStore,
163.,160.,171.,mSQL,Relational,1.26,0.00,-0.37,https://db-engines.com/en/system/mSQL,
164.,164.,162.,IBM Db2 warehouse,Relational,1.25,+0.02,-0.54,https://db-engines.com/en/system/IBM+Db2+warehouse,
165.,159.,178.,VictoriaMetrics,Time Series,1.24,-0.04,-0.22,https://db-engines.com/en/system/VictoriaMetrics,
166.,166.,206.,Amazon Timestream,Time Series,1.23,+0.01,+0.04,https://db-engines.com/en/system/Amazon+Timestream,
167.,163.,156.,TimesTen,Relational,1.22,-0.01,-0.67,https://db-engines.com/en/system/TimesTen,
168.,167.,153.,Mnesia,Document,1.19,-0.01,-0.76,https://db-engines.com/en/system/Mnesia,
169.,169.,179.,GBase,Relational,1.17,+0.07,-0.29,https://db-engines.com/en/system/GBase,
170.,174.,189.,Meilisearch,Search engine,1.15,+0.05,-0.20,https://db-engines.com/en/system/Meilisearch,
171.,168.,166.,LiteDB,Document,1.14,-0.01,-0.59,https://db-engines.com/en/system/LiteDB,
172.,172.,167.,Giraph,Graph,1.10,+0.00,-0.61,https://db-engines.com/en/system/Giraph,
173.,170.,183.,Apache Kylin,Relational,1.09,-0.01,-0.30,https://db-engines.com/en/system/Apache+Kylin,
174.,176.,193.,openGauss,"Relational, Multi-model",1.09,+0.01,-0.22,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
175.,173.,176.,ObjectBox,Multi-model,1.08,-0.02,-0.40,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
176.,199.,212.,StarRocks,Relational,1.07,+0.20,-0.07,https://db-engines.com/en/system/StarRocks,
177.,175.,184.,EventStoreDB,Event,1.07,-0.01,-0.31,https://db-engines.com/en/system/EventStoreDB,
178.,179.,164.,DataEase,Relational,1.05,+0.04,-0.70,https://db-engines.com/en/system/DataEase,
179.,171.,172.,Datameer,Document,1.05,-0.05,-0.50,https://db-engines.com/en/system/Datameer,
180.,178.,159.,SQLBase,Relational,1.05,0.00,-0.78,https://db-engines.com/en/system/SQLBase,
181.,186.,197.,MatrixOne,Relational,1.05,+0.08,-0.21,https://db-engines.com/en/system/MatrixOne,
182.,177.,180.,HFSQL,Relational,1.03,-0.04,-0.44,https://db-engines.com/en/system/HFSQL,
183.,180.,177.,Oracle Rdb,Relational,1.02,+0.00,-0.46,https://db-engines.com/en/system/Oracle+Rdb,
184.,184.,185.,Apache HAWQ,Relational,1.00,+0.00,-0.38,https://db-engines.com/en/system/Apache+HAWQ,
185.,189.,227.,eXtremeDB,Multi-model,0.99,+0.05,+0.04,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
186.,182.,218.,Amazon Keyspaces,Wide column,0.99,-0.01,-0.05,https://db-engines.com/en/system/Amazon+Keyspaces,
187.,194.,186.,GigaSpaces,Multi-model,0.99,+0.05,-0.38,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
188.,193.,205.,M3DB,Time Series,0.99,+0.05,-0.20,https://db-engines.com/en/system/M3DB,
189.,181.,223.,SurrealDB,Multi-model,0.98,-0.03,-0.01,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
190.,183.,155.,PlanetScale,"Relational, Multi-model",0.98,-0.02,-0.96,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
191.,190.,211.,NCache,"Key-value, Multi-model",0.97,+0.03,-0.18,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
192.,187.,168.,GT.M,Key-value,0.95,0.00,-0.77,https://db-engines.com/en/system/GT.M,
193.,196.,215.,TDSQL for MySQL,"Relational, Multi-model",0.94,+0.04,-0.14,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
194.,185.,219.,Rockset,"Document, Multi-model",0.93,-0.05,-0.10,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
195.,188.,173.,Cubrid,Relational,0.92,-0.03,-0.61,https://db-engines.com/en/system/Cubrid,
196.,192.,161.,FoundationDB,Multi-model,0.92,-0.02,-0.88,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
197.,191.,209.,Vitess,"Relational, Multi-model",0.92,-0.02,-0.26,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
198.,195.,174.,NonStop SQL,Relational,0.91,-0.01,-0.61,https://db-engines.com/en/system/NonStop+SQL,
199.,203.,203.,IDMS,Navigational,0.90,+0.05,-0.29,https://db-engines.com/en/system/IDMS,
200.,200.,251.,Alibaba Cloud MaxCompute,Relational,0.88,+0.02,+0.09,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
201.,198.,248.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.87,-0.02,+0.07,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
202.,208.,233.,RDF4J,RDF,0.87,+0.05,-0.04,https://db-engines.com/en/system/RDF4J,
203.,207.,160.,Sedna,Native XML,0.86,+0.03,-0.95,https://db-engines.com/en/system/Sedna,
