DBMS,Rank_Oct-2025,Rank_Sep-2025,Rank_Oct-2024,Database Model,Score_Oct-2025,Score_Sep-2025,Score_Oct-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Amazon DynamoDB,15.0,15.0,17.0,Multi-model,75.91,-4.37,+4.06,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes,2012,,N,Y
Microsoft Azure SQL Database,16.0,16.0,16.0,"Relational, Multi-model",75.49,-3.70,+0.95,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes,2010,,N,Y
Apache Hive,17.0,17.0,18.0,Relational,75.22,-0.88,+22.65,https://db-engines.com/en/system/Apache+Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no,2012,2022,Y,N
Splunk,18.0,18.0,13.0,Search engine,73.87,-1.89,-17.40,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no,2003,,N,N
Google BigQuery,19.0,19.0,19.0,Relational,63.2,-2.80,+12.02,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes,2010,,N,Y
Neo4j,20.0,20.0,21.0,Graph,52.51,-1.27,+10.01,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.23, August 2024",Open Source,"GPL version3, commercial licenses available",no,2007,2024,Y,N
Apache Solr,21.0,21.0,24.0,"Search engine, Multi-model",35.31,-1.45,+2.33,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.6.1, May 2024",Open Source,Apache Version 2,no,2006,2024,Y,N
Teradata,22.0,23.0,23.0,"Relational, Multi-model",33.12,-1.29,-7.57,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no,1984,2019,N,N
FileMaker,23.0,22.0,20.0,Relational,32.83,-1.61,-11.56,https://db-engines.com/en/system/FileMaker,,Claris,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no,1983,2021,N,N
SAP HANA,24.0,24.0,22.0,"Relational, Multi-model",31.65,-1.42,-9.57,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS07 (April 4, 2023), April 2023",commercial,,no,2010,2023,N,N
SAP Adaptive Server,25.0,25.0,25.0,"Relational, Multi-model",27.15,-0.59,-5.25,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no,1987,,N,N
Apache Spark (SQL),26.0,26.0,35.0,Relational,23.77,-1.59,+7.05,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,,Apache Software Foundation,Apache Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.5.0 ( 2.13), September 2023",Open Source,Apache 2.0,no,2014,2023,Y,N
Microsoft Azure Cosmos DB,27.0,27.0,27.0,Multi-model,22.71,-1.23,-1.78,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes,2014,,N,Y
InfluxDB,28.0,28.0,28.0,"Time Series, Multi-model",21.91,-1.84,-0.49,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.7.6, April 2024",Open Source,MIT-License; commercial enterprise version available,no,2013,2024,Y,N
PostGIS,29.0,29.0,29.0,"Spatial, Multi-model",21.04,-0.64,+0.48,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.4.2, February 2024",Open Source,GPL v2.0,no,2005,2024,Y,N
ClickHouse,30.0,31.0,37.0,"Relational, Multi-model",20.18,+0.03,+3.93,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS",Clickhouse Inc.,"A high-performance, column-oriented SQL DBMS for online analytical processing (OLAP) that uses all available system resources to their full potential to process each analytical query as fast as possible. It is available as both an open-source software and a cloud offering.",2016.0,"v25.6.3.116-stable, July 2025",Open Source,Apache 2.0,no,2016,2025,Y,N
Apache HBase,31.0,30.0,26.0,Wide column,20.17,-1.22,-7.03,https://db-engines.com/en/system/Apache+HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no,2008,2021,Y,N
OpenSearch,32.0,32.0,33.0,Multi-model,19.3,-0.63,+1.99,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS",The OpenSearch Software Foundation,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"3.0, May 2025",Open Source,Apache Version 2.0,no,2021,2025,Y,N
Firebird,33.0,33.0,30.0,Relational,17.42,+0.88,-1.60,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"5.0.1, August 2024",Open Source,Initial Developer's Public License,no,2000,2024,Y,N
Memcached,34.0,34.0,32.0,Key-value,15.48,-0.69,-2.32,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.29, June 2024",Open Source,BSD license,no,2003,2024,Y,N
Firebase Realtime Database,35.0,36.0,39.0,Document,15.27,-0.13,+1.68,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes,2012,,N,Y
Informix,36.0,35.0,36.0,"Relational, Multi-model",14.91,-0.60,-1.37,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no,1984,2020,N,N
Amazon Redshift,37.0,37.0,38.0,Relational,14.6,-0.55,-0.50,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes,2012,,N,Y
Microsoft Azure Synapse Analytics,38.0,39.0,31.0,Relational,13.8,-0.12,-4.92,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes,2016,,N,Y
Apache Impala,39.0,38.0,41.0,"Relational, Multi-model",13.29,-0.78,+3.20,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store",Apache Software Foundation,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no,2013,2022,Y,N
Couchbase,40.0,41.0,34.0,Multi-model,11.96,-0.62,-5.14,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store","Couchbase, Inc.","A distributed,document store,with integrated cache, a powerful search engine, in-built operational and analytical capabilities, and an embedded mobile database",2011.0,"Server: 7.6, March 2024; Mobile: 3.3, August 2024; Couchbase Capella (DBaaS), September 2024",Open Source,Business Source License (BSL 1.1); Commercial licenses also available,no,2011,2024,Y,N
Apache Flink,41.0,40.0,40.0,Relational,11.65,-1.39,+0.72,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.20.0, August 2024",Open Source,,no,,2024,Y,N
Google Cloud Firestore,42.0,43.0,54.0,Document,9.43,+0.25,+2.97,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes,2017,,N,Y
Vertica,43.0,42.0,42.0,"Relational, Multi-model",9.34,-0.14,-0.68,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no,2005,2023,N,N
DuckDB,44.0,44.0,57.0,Relational,8.94,+0.24,+2.96,https://db-engines.com/en/system/DuckDB,,,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",2018.0,"1.0.0, June 2024",Open Source,MIT License,no,2018,2024,Y,N
Amazon Aurora,45.0,45.0,44.0,"Relational, Multi-model",8.05,-0.30,-0.14,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS",Amazon,"Fully managed relational database service built for the cloud providing unparalleled high performance and availability at global scale for MySQL, PostgreSQL, and DSQL",2015.0,"Aurora DSQL, November 2024 (preview), PostgreSQL:,docs.aws.amazon.com/AmazonRDS/latest/AuroraPostgreSQLReleaseNotes/AuroraPostgreSQL.Updates.html,, MySQL:,docs.aws.amazon.com/AmazonRDS/latest/AuroraMySQLReleaseNotes/AuroraMySQL.release-calendars.html",commercial,,yes,2015,2024,N,Y
H2,46.0,50.0,49.0,"Relational, Multi-model",7.52,+0.26,+0.21,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.2.220, July 2023",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no,2005,2023,Y,N
Kdb,47.0,46.0,45.0,Multi-model,7.51,-0.68,-0.22,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no,2000,2018,N,N
Prometheus,48.0,47.0,50.0,Time Series,7.48,-0.45,+0.17,https://db-engines.com/en/system/Prometheus,,,Open-source Time Series DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no,2015,,Y,N
dBASE,49.0,52.0,43.0,Relational,7.35,+0.38,-1.65,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no,1979,2019,N,N
etcd,50.0,49.0,51.0,Key-value,7.35,-0.10,+0.17,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no,,2019,Y,N
Greenplum,51.0,48.0,47.0,"Relational, Multi-model",7.13,-0.34,-0.26,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"7.0.0, September 2023",commercial,Apache 2.0,no,2005,2023,N,N
Realm,52.0,54.0,53.0,Document,6.88,+0.06,-0.17,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no,2014,,Y,N
Algolia,53.0,53.0,55.0,Search engine,6.8,-0.09,+0.65,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes,2012,,N,Y
Pinecone,54.0,60.0,87.0,Vector,6.68,+0.70,+3.62,https://db-engines.com/en/system/Pinecone,,"Pinecone Systems, Inc","A managed, cloud-native vector database",2019.0,,commercial,,yes,2019,,N,Y
CouchDB,55.0,56.0,46.0,"Document, Multi-model",6.53,-0.02,-1.00,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.3, December 2023",Open Source,Apache version 2,no,2005,2023,Y,N
Trino,56.0,55.0,62.0,"Relational, Multi-model",6.35,-0.24,+0.87,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no,2012,,Y,N
Netezza,57.0,51.0,48.0,Relational,6.28,-0.81,-1.07,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no,2000,,N,N
Presto,58.0,57.0,52.0,Relational,6.22,-0.27,-0.84,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no,2013,,Y,N
Microsoft Azure AI Search,59.0,59.0,59.0,"Search engine, Multi-model",6.0,-0.06,+0.29,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS",Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes,2015,,N,Y
Sphinx,60.0,58.0,58.0,Search engine,5.94,-0.25,+0.03,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,"3.5.1, February 2023",Open Source,"GPL version 2, commercial licence available",no,2001,2023,Y,N
Hazelcast,61.0,62.0,61.0,"Key-value, Multi-model",5.29,+0.03,-0.27,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.3.6, November 2023",Open Source,Apache Version 2; commercial licenses available,no,2008,2023,Y,N
Oracle Essbase,62.0,61.0,56.0,Relational,4.92,-0.36,-1.09,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no,1998,2020,N,N
Graphite,63.0,63.0,63.0,Time Series,4.91,-0.27,-0.10,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no,2006,,Y,N
TimescaleDB,64.0,68.0,74.0,"Time Series, Multi-model",4.59,+0.30,+0.79,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.15.0, May 2024",Open Source,Apache 2.0,no,2017,2024,Y,N
CockroachDB,65.0,65.0,64.0,Relational,4.58,-0.46,-0.27,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"24.1.0, May 2024",Open Source,"Apache 2.0, commercial license available",no,2015,2024,Y,N
Milvus,66.0,66.0,90.0,Vector,4.53,+0.02,+1.51,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,"2.4.4, May 2024",Open Source,Apache Version 2.0,no,2019,2024,Y,N
Aerospike,67.0,64.0,60.0,Multi-model,4.53,-0.58,-1.05,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS",Aerospike,"Real-time database for speed, scale, and savings. Millisecond latency for mixed read/write workloads. Highly distributed. Proven strong consistency. Distributed ACID Transactions. Flash optimized for low cost of ownership and scalability. Aerospike Database is a shared-nothing, multi-threaded, multi-model data platform designed to operate efficiently on a cluster of server nodes, exploiting modern hardware and network technologies to drive reliably fast performance, at sub-millisecond speeds across petabytes of data.",2012.0,"8.1, August 2025","Open Source, Commercial",Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no,2012,2025,"open source, commercial",N
MarkLogic,68.0,67.0,68.0,Multi-model,4.14,-0.17,-0.24,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no,2001,2022,N,N
ScyllaDB,69.0,69.0,75.0,"Wide column, Multi-model",3.85,-0.14,+0.11,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 6.2.0, October 2024",Open Source,"Open Source (AGPL), commercial license available",no,2015,2024,Y,N
OpenEdge,70.0,72.0,78.0,Relational,3.78,-0.03,+0.15,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,"OpenEdge 12.2, March 2020",commercial,,no,1984,2020,N,N
Qdrant,71.0,82.0,136.0,Vector,3.74,+0.30,+2.05,https://db-engines.com/en/system/Qdrant,,Qdrant,A high-performance vector database with neural network or semantic-based matching,2021.0,,Open Source,Apache Version 2.0,no,2021,,Y,N
Ingres,72.0,70.0,80.0,Relational,3.73,-0.18,+0.21,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"12.0, July 2024",commercial,,no,1974,2024,N,N
Apache Jackrabbit,73.0,74.0,67.0,Content,3.65,-0.08,-1.03,https://db-engines.com/en/system/Apache+Jackrabbit,,Apache Software Foundation,,2006.0,"2.20.6, July 2022",Open Source,,no,2006,2022,Y,N
Apache Druid,74.0,73.0,97.0,Multi-model,3.63,-0.14,+0.84,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,"34.0.0, August 2025",Open Source,Apache license v2,no,2012,2025,Y,N
QuestDB,75.0,79.0,95.0,"Time Series, Multi-model",3.59,+0.08,+0.76,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Technology Inc,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
Interbase,76.0,76.0,76.0,Relational,3.58,-0.11,-0.14,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no,1984,2019,N,N
Google Cloud Datastore,77.0,75.0,71.0,Document,3.55,-0.16,-0.49,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes,2008,,N,Y
Datastax Enterprise,78.0,77.0,66.0,"Wide column, Multi-model",3.41,-0.26,-1.33,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no,2011,2020,N,N
Oracle NoSQL,79.0,78.0,83.0,Multi-model,3.35,-0.27,+0.08,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,"25.1, April 2025",Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no,2011,2025,Y,N
Riak KV,80.0,85.0,73.0,Key-value,3.32,0.00,-0.51,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no,2009,2022,Y,N
Weaviate,81.0,93.0,138.0,Vector,3.31,+0.41,+1.66,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,An AI-native realtime vector database engine that integrates scalable machine learning models.,2019.0,"1.19, May 2023",Open Source,commercial license available with Weaviate Enterprise,no,2019,2023,Y,N
SAP SQL Anywhere,82.0,87.0,79.0,Relational,3.27,+0.02,-0.36,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no,1992,2015,N,N
TiDB,83.0,83.0,77.0,"Relational, Multi-model",3.19,-0.23,-0.47,https://db-engines.com/en/system/TiDB,"Relational DBMS,Vector DBMS","PingCAP, Inc.","TiDB is an open-source, distributed SQL database built for cloud-native, data-intensive, and AI-driven applications. It is MySQL compatible and features horizontal scalability, strong consistency, and high availability.",2016.0,"8.2.0, July 2024",Open Source,Apache 2.0,no,2016,2024,Y,N
Apache Derby,84.0,86.0,69.0,Relational,3.16,-0.12,-0.96,https://db-engines.com/en/system/Apache+Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.17.1.0, November 2023",Open Source,Apache version 2,no,1997,2023,Y,N
Microsoft Azure Data Explorer,85.0,81.0,85.0,"Relational, Multi-model",3.13,-0.32,+0.01,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes,2019,,N,Y
