Rank_May-2025,Rank_Apr-2025,Rank_May-2024,DBMS,Database Model,Score_May-2025,Score_Apr-2025,Score_May-2024,DBMS_insitelink,Multi_model_info
13.,13.,11.,Microsoft Access,Relational,95.91,+0.54,-9.01,https://db-engines.com/en/system/Microsoft+Access,
14.,14.,13.,MariaDB,"Relational, Multi-model",93.61,-0.73,+0.40,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
15.,15.,17.,Amazon DynamoDB,Multi-model,79.30,+2.81,+5.23,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
16.,18.,18.,Apache Hive,Relational,75.77,+3.11,+14.59,https://db-engines.com/en/system/Apache+Hive,
17.,16.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",75.45,+0.08,-2.54,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
18.,17.,14.,Splunk,Search engine,71.39,-1.99,-15.06,https://db-engines.com/en/system/Splunk,
19.,19.,19.,Google BigQuery,Relational,62.88,+2.15,+2.50,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,23.,Neo4j,Graph,47.91,+0.32,+3.45,https://db-engines.com/en/system/Neo4j,
21.,21.,20.,FileMaker,Relational,35.55,-0.93,-12.65,https://db-engines.com/en/system/FileMaker,
22.,22.,21.,Teradata,"Relational, Multi-model",33.87,-0.21,-11.45,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
23.,24.,24.,Apache Solr,"Search engine, Multi-model",32.79,+0.39,-10.12,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
24.,23.,22.,SAP HANA,"Relational, Multi-model",32.01,-1.39,-12.69,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",28.65,-0.14,-7.65,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,27.,Microsoft Azure Cosmos DB,Multi-model,22.94,+0.39,-6.10,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
27.,27.,26.,Apache HBase,Wide column,22.62,+0.51,-7.88,https://db-engines.com/en/system/Apache+HBase,
28.,28.,28.,InfluxDB,"Time Series, Multi-model",21.78,+0.24,-4.05,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,33.,Apache Spark (SQL),Relational,21.62,+1.22,+2.66,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
30.,30.,29.,PostGIS,"Spatial, Multi-model",18.94,-0.67,-3.75,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
31.,31.,38.,ClickHouse,"Relational, Multi-model",18.77,+0.04,+2.42,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
32.,32.,37.,OpenSearch,Multi-model,17.38,+0.18,+1.02,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS"
33.,33.,30.,Firebird,Relational,16.66,-0.08,-4.16,https://db-engines.com/en/system/Firebird,
34.,35.,32.,Memcached,Key-value,15.47,+0.49,-3.95,https://db-engines.com/en/system/Memcached,
35.,34.,35.,Informix,"Relational, Multi-model",14.75,-0.32,-3.11,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
36.,37.,34.,Amazon Redshift,Relational,14.70,+0.55,-3.24,https://db-engines.com/en/system/Amazon+Redshift,
37.,36.,31.,Microsoft Azure Synapse Analytics,Relational,14.22,-0.14,-6.33,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
38.,38.,36.,Couchbase,Multi-model,13.82,-0.23,-3.48,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
39.,39.,39.,Firebase Realtime Database,Document,13.43,+0.27,-0.87,https://db-engines.com/en/system/Firebase+Realtime+Database,
40.,40.,41.,Apache Flink,Relational,12.24,+0.83,+0.22,https://db-engines.com/en/system/Apache+Flink,
41.,41.,40.,Apache Impala,"Relational, Multi-model",11.68,+0.46,-2.09,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
42.,42.,43.,Vertica,"Relational, Multi-model",9.78,-0.07,-0.90,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,45.,51.,Google Cloud Firestore,Document,7.51,+0.18,-0.34,https://db-engines.com/en/system/Google+Cloud+Firestore,
44.,44.,74.,DuckDB,Relational,7.44,+0.06,+2.87,https://db-engines.com/en/system/DuckDB,
45.,48.,49.,H2,"Relational, Multi-model",7.26,+0.07,-0.87,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
46.,46.,50.,Amazon Aurora,"Relational, Multi-model",7.25,-0.07,-0.66,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
47.,50.,54.,etcd,Key-value,7.14,+0.09,-0.11,https://db-engines.com/en/system/etcd,
48.,43.,48.,Greenplum,"Relational, Multi-model",7.08,-0.42,-1.29,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
49.,47.,44.,dBASE,Relational,7.01,-0.28,-3.33,https://db-engines.com/en/system/dBASE,
50.,52.,46.,Netezza,Relational,7.01,+0.46,-2.05,https://db-engines.com/en/system/Netezza,
51.,51.,52.,Realm,Document,6.80,+0.04,-0.80,https://db-engines.com/en/system/Realm,
52.,54.,47.,Prometheus,Time Series,6.77,+0.28,-1.65,https://db-engines.com/en/system/Prometheus,
53.,49.,45.,CouchDB,"Document, Multi-model",6.60,-0.57,-2.70,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
54.,53.,53.,Kdb,Multi-model,6.58,+0.09,-0.96,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
55.,55.,42.,Presto,Relational,6.37,+0.09,-4.42,https://db-engines.com/en/system/Presto,
56.,56.,56.,Sphinx,Search engine,5.72,-0.07,-0.26,https://db-engines.com/en/system/Sphinx,
57.,57.,57.,Hazelcast,"Key-value, Multi-model",5.58,+0.03,-0.39,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
58.,59.,61.,Aerospike,Multi-model,5.45,+0.22,-0.32,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS,Vector DBMS"
59.,58.,64.,Algolia,Search engine,5.39,-0.02,+0.08,https://db-engines.com/en/system/Algolia,
60.,60.,66.,Trino,"Relational, Multi-model",5.34,+0.15,+0.34,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
61.,62.,63.,Microsoft Azure AI Search,"Search engine, Multi-model",5.28,+0.15,-0.31,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
62.,61.,59.,Oracle Essbase,Relational,5.04,-0.09,-0.85,https://db-engines.com/en/system/Oracle+Essbase,
63.,63.,73.,Graphite,Time Series,4.25,0.00,-0.32,https://db-engines.com/en/system/Graphite,
64.,66.,58.,MarkLogic,Multi-model,4.24,+0.11,-1.68,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
65.,64.,65.,Apache Jackrabbit,Content,4.08,-0.17,-1.01,https://db-engines.com/en/system/Apache+Jackrabbit,
66.,67.,60.,Datastax Enterprise,"Wide column, Multi-model",4.00,+0.05,-1.80,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
67.,68.,67.,Ehcache,Key-value,3.98,+0.04,-0.91,https://db-engines.com/en/system/Ehcache,
68.,65.,55.,CockroachDB,Relational,3.90,-0.27,-2.25,https://db-engines.com/en/system/CockroachDB,
69.,70.,68.,ScyllaDB,"Wide column, Multi-model",3.70,0.00,-1.05,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
70.,69.,62.,SingleStore,"Relational, Multi-model",3.69,-0.25,-1.91,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
71.,71.,76.,Google Cloud Datastore,Document,3.62,-0.09,-0.85,https://db-engines.com/en/system/Google+Cloud+Datastore,
72.,72.,71.,TimescaleDB,"Time Series, Multi-model",3.59,+0.00,-1.05,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
73.,73.,70.,TiDB,"Relational, Multi-model",3.58,+0.09,-1.08,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
74.,77.,95.,Pinecone,Vector,3.57,+0.23,+0.40,https://db-engines.com/en/system/Pinecone,
75.,74.,86.,OpenEdge,Relational,3.49,+0.03,-0.02,https://db-engines.com/en/system/OpenEdge,
76.,75.,100.,Oracle NoSQL,Multi-model,3.39,-0.04,+0.44,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
77.,76.,72.,Interbase,Relational,3.35,-0.03,-1.26,https://db-engines.com/en/system/Interbase,
78.,88.,79.,SAP SQL Anywhere,Relational,3.31,+0.41,-0.95,https://db-engines.com/en/system/SAP+SQL+Anywhere,
79.,81.,109.,QuestDB,"Time Series, Multi-model",3.26,+0.13,+0.73,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
80.,78.,81.,Ingres,Relational,3.25,-0.02,-0.86,https://db-engines.com/en/system/Ingres,
81.,82.,96.,Apache Ignite,Multi-model,3.23,+0.13,+0.07,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
82.,79.,82.,Riak KV,Key-value,3.21,-0.03,-0.89,https://db-engines.com/en/system/Riak+KV,
83.,80.,85.,RocksDB,Key-value,3.21,+0.07,-0.45,https://db-engines.com/en/system/RocksDB,
84.,84.,88.,Apache Druid,Multi-model,3.18,+0.13,-0.17,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
85.,83.,69.,Apache Derby,Relational,3.04,-0.02,-1.67,https://db-engines.com/en/system/Apache+Derby,
86.,85.,77.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.00,+0.06,-1.39,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
87.,87.,113.,Milvus,Vector,2.92,+0.02,+0.61,https://db-engines.com/en/system/Milvus,
88.,89.,90.,ArangoDB,Multi-model,2.85,+0.03,-0.47,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
89.,86.,78.,Virtuoso,Multi-model,2.79,-0.14,-1.47,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
90.,92.,87.,HyperSQL,Relational,2.72,+0.02,-0.77,https://db-engines.com/en/system/HyperSQL,
91.,91.,93.,OrientDB,Multi-model,2.71,-0.01,-0.49,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
92.,93.,92.,Google Cloud Bigtable,Multi-model,2.66,-0.01,-0.60,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
93.,90.,94.,Adabas,Multivalue,2.65,-0.10,-0.52,https://db-engines.com/en/system/Adabas,
94.,94.,75.,Microsoft Azure Table Storage,Wide column,2.64,+0.01,-1.84,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
95.,98.,101.,RavenDB,"Document, Multi-model",2.59,+0.09,-0.33,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
96.,95.,91.,GraphDB,Multi-model,2.59,+0.02,-0.73,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
97.,97.,103.,Google Cloud Spanner,Relational,2.56,+0.00,-0.34,https://db-engines.com/en/system/Google+Cloud+Spanner,
98.,96.,98.,Memgraph,Graph,2.54,-0.03,-0.49,https://db-engines.com/en/system/Memgraph,
99.,99.,106.,IBM Cloudant,Document,2.52,+0.03,-0.16,https://db-engines.com/en/system/IBM+Cloudant,
100.,102.,99.,GemFire,"Key-value, Multi-model",2.47,+0.06,-0.52,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
101.,101.,84.,Apache Jena - TDB,RDF,2.44,0.00,-1.31,https://db-engines.com/en/system/Apache+Jena+-+TDB,
102.,104.,147.,OceanBase,"Relational, Multi-model",2.42,+0.10,+0.76,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
103.,103.,104.,SAP IQ,Relational,2.35,+0.01,-0.40,https://db-engines.com/en/system/SAP+IQ,
104.,108.,114.,Coveo,Search engine,2.30,+0.08,+0.02,https://db-engines.com/en/system/Coveo,
105.,105.,105.,RethinkDB,"Document, Multi-model",2.30,+0.03,-0.44,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
106.,106.,175.,Qdrant,Vector,2.28,+0.05,+1.12,https://db-engines.com/en/system/Qdrant,
107.,100.,89.,Apache Accumulo,Wide column,2.22,-0.23,-1.12,https://db-engines.com/en/system/Apache+Accumulo,
108.,107.,102.,YugabyteDB,"Relational, Multi-model",2.20,-0.03,-0.71,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
109.,109.,80.,DolphinDB,Multi-model,2.16,-0.05,-1.98,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
110.,110.,83.,InterSystems IRIS,Multi-model,2.15,-0.05,-1.90,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
111.,111.,119.,Amazon Neptune,Multi-model,2.13,+0.02,-0.07,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
112.,113.,97.,"UniData,UniVerse",Multivalue,2.08,+0.07,-1.08,https://db-engines.com/en/system/UniData%2CUniVerse,
113.,112.,115.,PouchDB,Document,2.00,-0.07,-0.27,https://db-engines.com/en/system/PouchDB,
114.,114.,128.,GridDB,"Time Series, Multi-model",2.00,+0.00,+0.05,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
115.,123.,143.,Weaviate,Vector,1.95,+0.09,+0.22,https://db-engines.com/en/system/Weaviate,
116.,118.,122.,Percona Server for MySQL,Relational,1.94,+0.02,-0.09,https://db-engines.com/en/system/Percona+Server+for+MySQL,
117.,117.,112.,MaxDB,Relational,1.94,-0.02,-0.39,https://db-engines.com/en/system/MaxDB,
118.,120.,111.,LevelDB,Key-value,1.92,+0.02,-0.43,https://db-engines.com/en/system/LevelDB,
119.,119.,121.,Chroma,Vector,1.92,+0.01,-0.15,https://db-engines.com/en/system/Chroma,
120.,116.,110.,Infinispan,Key-value,1.92,-0.07,-0.60,https://db-engines.com/en/system/Infinispan,
121.,115.,118.,Citus,"Relational, Multi-model",1.91,-0.08,-0.30,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
122.,121.,127.,Apache Drill,Multi-model,1.89,0.00,-0.05,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
123.,122.,108.,4D,Relational,1.88,-0.01,-0.70,https://db-engines.com/en/system/4D,
124.,124.,126.,Apache Phoenix,Relational,1.82,+0.01,-0.14,https://db-engines.com/en/system/Apache+Phoenix,
125.,126.,116.,CloudKit,Document,1.80,+0.02,-0.42,https://db-engines.com/en/system/CloudKit,
126.,125.,132.,Amazon DocumentDB,Document,1.80,+0.01,-0.11,https://db-engines.com/en/system/Amazon+DocumentDB,
127.,130.,129.,JanusGraph,Graph,1.78,+0.08,-0.16,https://db-engines.com/en/system/JanusGraph,
128.,136.,120.,NebulaGraph,Graph,1.75,+0.15,-0.38,https://db-engines.com/en/system/NebulaGraph,
129.,127.,125.,LMDB,Key-value,1.75,+0.01,-0.23,https://db-engines.com/en/system/LMDB,
130.,137.,123.,Stardog,Multi-model,1.73,+0.14,-0.30,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
131.,129.,117.,Oracle Berkeley DB,Multi-model,1.72,+0.01,-0.50,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
132.,131.,107.,TDengine,"Time Series, Multi-model",1.68,+0.02,-0.91,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
133.,128.,148.,IMS,Navigational,1.67,-0.05,+0.03,https://db-engines.com/en/system/IMS,
134.,132.,130.,Oracle Coherence,Key-value,1.66,+0.01,-0.26,https://db-engines.com/en/system/Oracle+Coherence,
135.,135.,137.,Amazon CloudSearch,Search engine,1.64,+0.02,-0.21,https://db-engines.com/en/system/Amazon+CloudSearch,
136.,134.,138.,Amazon SimpleDB,Key-value,1.63,+0.01,-0.22,https://db-engines.com/en/system/Amazon+SimpleDB,
137.,133.,135.,EDB Postgres,"Relational, Multi-model",1.62,-0.02,-0.27,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
138.,139.,136.,RRDtool,Time Series,1.58,+0.03,-0.29,https://db-engines.com/en/system/RRDtool,
139.,138.,145.,MonetDB,"Relational, Multi-model",1.58,+0.01,-0.14,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
140.,149.,162.,VictoriaMetrics,Time Series,1.55,+0.20,+0.23,https://db-engines.com/en/system/VictoriaMetrics,
141.,140.,124.,EXASOL,Relational,1.51,0.00,-0.49,https://db-engines.com/en/system/EXASOL,
142.,143.,150.,Datomic,Relational,1.49,+0.02,-0.10,https://db-engines.com/en/system/Datomic,
143.,148.,173.,Apache IoTDB,Time Series,1.45,+0.06,+0.27,https://db-engines.com/en/system/Apache+IoTDB,
144.,145.,153.,Fauna,Multi-model,1.45,-0.01,-0.07,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
145.,146.,146.,OpenTSDB,Time Series,1.44,+0.03,-0.23,https://db-engines.com/en/system/OpenTSDB,
146.,141.,149.,SpatiaLite,"Spatial, Multi-model",1.44,-0.06,-0.17,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
147.,150.,142.,BaseX,Native XML,1.43,+0.09,-0.30,https://db-engines.com/en/system/BaseX,
148.,144.,144.,Tarantool,Multi-model,1.42,-0.04,-0.30,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
149.,147.,139.,TigerGraph,Graph,1.42,+0.01,-0.41,https://db-engines.com/en/system/TigerGraph,
150.,156.,140.,Tibero,Relational,1.42,+0.15,-0.36,https://db-engines.com/en/system/Tibero,
151.,159.,181.,HFSQL,Relational,1.35,+0.13,+0.26,https://db-engines.com/en/system/HFSQL,
152.,142.,185.,GBase,Relational,1.35,-0.13,+0.28,https://db-engines.com/en/system/GBase,
153.,169.,,Valkey,Key-value,1.35,+0.21,,https://db-engines.com/en/system/Valkey,
154.,151.,154.,GridGain,Multi-model,1.33,+0.00,-0.15,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
155.,152.,160.,D3,Multivalue,1.31,-0.01,-0.05,https://db-engines.com/en/system/D3,
156.,153.,159.,jBASE,Multivalue,1.31,+0.00,-0.10,https://db-engines.com/en/system/jBASE,
157.,154.,131.,Geode,Key-value,1.31,+0.00,-0.62,https://db-engines.com/en/system/Geode,
158.,155.,241.,Alibaba Cloud PolarDB,Relational,1.26,-0.03,+0.68,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
159.,157.,133.,Empress,Relational,1.26,+0.01,-0.64,https://db-engines.com/en/system/Empress,
160.,164.,156.,Dgraph,Graph,1.25,+0.06,-0.21,https://db-engines.com/en/system/Dgraph,
161.,158.,152.,Actian NoSQL Database,Object oriented,1.24,0.00,-0.28,https://db-engines.com/en/system/Actian+NoSQL+Database,
162.,160.,177.,Amazon Timestream,Time Series,1.22,0.00,+0.09,https://db-engines.com/en/system/Amazon+Timestream,
163.,162.,164.,IBM Db2 warehouse,Relational,1.22,+0.03,-0.08,https://db-engines.com/en/system/IBM+Db2+warehouse,
164.,161.,158.,VoltDB,Relational,1.21,+0.00,-0.23,https://db-engines.com/en/system/VoltDB,
165.,163.,155.,Db4o,Object oriented,1.18,-0.01,-0.28,https://db-engines.com/en/system/Db4o,
166.,165.,161.,ObjectStore,Object oriented,1.18,+0.00,-0.18,https://db-engines.com/en/system/ObjectStore,
167.,168.,141.,HEAVY.AI,"Relational, Multi-model",1.15,+0.00,-0.62,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
168.,167.,188.,Meilisearch,Multi-model,1.14,-0.02,+0.10,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
169.,166.,192.,GigaSpaces,Multi-model,1.14,-0.03,+0.17,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
170.,171.,163.,TimesTen,Relational,1.14,+0.01,-0.18,https://db-engines.com/en/system/TimesTen,
171.,175.,171.,Datameer,Document,1.12,+0.04,-0.07,https://db-engines.com/en/system/Datameer,
172.,183.,205.,TDSQL for MySQL,"Relational, Multi-model",1.12,+0.12,+0.27,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
173.,170.,168.,Mnesia,Document,1.12,-0.01,-0.14,https://db-engines.com/en/system/Mnesia,
174.,172.,167.,mSQL,Relational,1.11,+0.01,-0.15,https://db-engines.com/en/system/mSQL,
175.,173.,170.,ObjectBox,Multi-model,1.11,+0.02,-0.09,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
176.,179.,203.,SurrealDB,Multi-model,1.08,+0.07,+0.22,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
177.,177.,166.,LiteDB,Document,1.07,+0.01,-0.22,https://db-engines.com/en/system/LiteDB,
178.,181.,165.,SQLBase,Relational,1.06,+0.06,-0.23,https://db-engines.com/en/system/SQLBase,
179.,176.,174.,Giraph,Graph,1.05,0.00,-0.11,https://db-engines.com/en/system/Giraph,
180.,180.,151.,PlanetScale,"Relational, Multi-model",1.05,+0.05,-0.54,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
181.,182.,179.,EventStoreDB,Event,1.05,+0.05,-0.05,https://db-engines.com/en/system/EventStoreDB,
182.,185.,214.,Alibaba Cloud MaxCompute,Relational,1.02,+0.07,+0.26,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
183.,178.,172.,Apache Kylin,Relational,1.02,+0.01,-0.16,https://db-engines.com/en/system/Apache+Kylin,
184.,186.,169.,Cubrid,Relational,1.00,+0.06,-0.20,https://db-engines.com/en/system/Cubrid,
185.,191.,209.,Vitess,"Relational, Multi-model",0.99,+0.07,+0.17,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
186.,184.,196.,Amazon Keyspaces,Wide column,0.99,0.00,+0.06,https://db-engines.com/en/system/Amazon+Keyspaces,
187.,187.,183.,openGauss,"Relational, Multi-model",0.96,+0.02,-0.12,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
188.,174.,189.,StarRocks,Relational,0.94,-0.14,-0.10,https://db-engines.com/en/system/StarRocks,
189.,193.,204.,IDMS,Navigational,0.94,+0.03,+0.08,https://db-engines.com/en/system/IDMS,
190.,189.,182.,NonStop SQL,Relational,0.93,+0.01,-0.15,https://db-engines.com/en/system/NonStop+SQL,
191.,190.,184.,Oracle Rdb,Relational,0.93,+0.01,-0.15,https://db-engines.com/en/system/Oracle+Rdb,
192.,207.,210.,Typesense,Search engine,0.92,+0.12,+0.13,https://db-engines.com/en/system/Typesense,
193.,192.,180.,Apache HAWQ,Relational,0.91,0.00,-0.18,https://db-engines.com/en/system/Apache+HAWQ,
194.,196.,223.,eXtremeDB,Multi-model,0.90,+0.02,+0.16,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
195.,195.,176.,GT.M,Key-value,0.90,+0.00,-0.24,https://db-engines.com/en/system/GT.M,
196.,199.,178.,DataEase,Relational,0.89,+0.04,-0.21,https://db-engines.com/en/system/DataEase,
197.,197.,190.,FoundationDB,Multi-model,0.89,+0.02,-0.14,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
198.,198.,199.,HPE Ezmeral Data Fabric,Multi-model,0.89,+0.02,+0.00,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
199.,203.,249.,Vespa,Multi-model,0.89,+0.06,+0.35,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
200.,202.,211.,Rockset,"Document, Multi-model",0.88,+0.05,+0.09,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
201.,200.,197.,M3DB,Time Series,0.86,+0.00,-0.04,https://db-engines.com/en/system/M3DB,
202.,194.,200.,MatrixOne,Relational,0.85,-0.05,-0.03,https://db-engines.com/en/system/MatrixOne,
203.,201.,195.,NCache,"Key-value, Multi-model",0.85,+0.00,-0.10,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
