Rank_Mar-2025,Rank_Feb-2025,Rank_Mar-2024,DBMS,Database Model,Score_Mar-2025,Score_Feb-2025,Score_Mar-2024,DBMS_insitelink,Multi_model_info
28.,28.,28.,InfluxDB,"Time Series, Multi-model",21.50,-0.27,-5.39,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,29.,29.,PostGIS,"Spatial, Multi-model",19.96,+0.80,-4.76,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,31.,34.,Apache Spark (SQL),Relational,19.76,+1.31,+0.19,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
31.,30.,37.,ClickHouse,"Relational, Multi-model",18.61,-0.09,+2.30,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
32.,33.,40.,OpenSearch,"Search engine, Multi-model",16.97,+0.12,+2.26,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
33.,32.,31.,Firebird,Relational,16.82,-0.46,-5.63,https://db-engines.com/en/system/Firebird,
34.,34.,32.,Memcached,Key-value,15.78,-0.91,-5.03,https://db-engines.com/en/system/Memcached,
35.,36.,35.,Informix,"Relational, Multi-model",15.49,+0.02,-3.98,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
36.,35.,36.,Couchbase,Multi-model,15.05,-0.58,-4.11,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
37.,38.,33.,Amazon Redshift,Relational,14.57,+0.45,-6.06,https://db-engines.com/en/system/Amazon+Redshift,
38.,37.,30.,Microsoft Azure Synapse Analytics,Relational,14.19,-0.22,-9.76,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
39.,39.,38.,Firebase Realtime Database,Document,13.49,+0.17,-1.58,https://db-engines.com/en/system/Firebase+Realtime+Database,
40.,41.,39.,Apache Impala,"Relational, Multi-model",11.58,+0.29,-3.47,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
41.,40.,41.,Apache Flink,Relational,11.31,-0.06,-2.10,https://db-engines.com/en/system/Apache+Flink,
42.,42.,44.,Vertica,"Relational, Multi-model",10.13,+0.55,-1.63,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,44.,43.,dBASE,Relational,8.28,+0.22,-3.97,https://db-engines.com/en/system/dBASE,
44.,43.,49.,Amazon Aurora,"Relational, Multi-model",7.99,-0.29,-1.06,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
45.,46.,48.,Greenplum,"Relational, Multi-model",7.83,+0.30,-1.37,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
46.,45.,45.,CouchDB,"Document, Multi-model",7.34,-0.47,-4.39,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
47.,48.,47.,Google Cloud Firestore,Document,7.11,+0.20,-2.86,https://db-engines.com/en/system/Google+Cloud+Firestore,
48.,50.,53.,Kdb,Multi-model,7.10,+0.31,-0.59,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
49.,47.,55.,etcd,Key-value,7.08,+0.02,-0.58,https://db-engines.com/en/system/etcd,
50.,49.,50.,H2,"Relational, Multi-model",6.94,+0.11,-1.20,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
51.,54.,81.,DuckDB,Relational,6.71,+0.36,+2.25,https://db-engines.com/en/system/DuckDB,
52.,51.,52.,Realm,Document,6.62,-0.12,-1.08,https://db-engines.com/en/system/Realm,
53.,53.,46.,Netezza,Relational,6.45,-0.05,-4.75,https://db-engines.com/en/system/Netezza,
54.,52.,51.,Prometheus,Time Series,6.38,-0.31,-1.62,https://db-engines.com/en/system/Prometheus,
55.,55.,42.,Presto,Relational,6.12,-0.19,-6.93,https://db-engines.com/en/system/Presto,
56.,56.,61.,Sphinx,Search engine,5.81,-0.07,-0.25,https://db-engines.com/en/system/Sphinx,
57.,58.,58.,Oracle Essbase,Relational,5.49,-0.22,-1.18,https://db-engines.com/en/system/Oracle+Essbase,
58.,59.,54.,Hazelcast,"Key-value, Multi-model",5.47,-0.04,-2.19,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
59.,57.,64.,Algolia,Search engine,5.47,-0.24,-0.47,https://db-engines.com/en/system/Algolia,
60.,61.,59.,Aerospike,Multi-model,5.22,+0.12,-1.30,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS,Vector DBMS"
61.,60.,66.,Microsoft Azure AI Search,"Search engine, Multi-model",5.16,-0.11,-0.56,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
62.,62.,73.,Trino,"Relational, Multi-model",5.13,+0.07,-0.09,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
63.,63.,79.,Graphite,Time Series,4.57,+0.20,-0.27,https://db-engines.com/en/system/Graphite,
64.,66.,62.,SingleStore,"Relational, Multi-model",4.52,+0.33,-1.51,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
65.,68.,60.,CockroachDB,Relational,4.40,+0.39,-1.99,https://db-engines.com/en/system/CockroachDB,
66.,64.,69.,Ehcache,Key-value,4.22,-0.10,-1.33,https://db-engines.com/en/system/Ehcache,
67.,69.,68.,Apache Jackrabbit,Content,4.20,+0.19,-1.39,https://db-engines.com/en/system/Apache+Jackrabbit,
68.,67.,56.,MarkLogic,Multi-model,4.00,-0.17,-3.08,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
69.,65.,57.,Datastax Enterprise,"Wide column, Multi-model",3.89,-0.33,-3.18,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
70.,71.,78.,Google Cloud Datastore,Document,3.78,+0.09,-1.09,https://db-engines.com/en/system/Google+Cloud+Datastore,
71.,70.,75.,TiDB,"Relational, Multi-model",3.74,-0.11,-1.39,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
72.,72.,67.,ScyllaDB,"Wide column, Multi-model",3.61,-0.04,-2.08,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
73.,73.,72.,TimescaleDB,"Time Series, Multi-model",3.48,-0.14,-1.84,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
74.,76.,94.,OpenEdge,Relational,3.48,-0.03,-0.05,https://db-engines.com/en/system/OpenEdge,
75.,74.,70.,Interbase,Relational,3.44,-0.12,-2.07,https://db-engines.com/en/system/Interbase,
76.,75.,63.,Apache Derby,Relational,3.42,-0.11,-2.54,https://db-engines.com/en/system/Apache+Derby,
77.,77.,76.,Riak KV,Key-value,3.39,+0.06,-1.56,https://db-engines.com/en/system/Riak+KV,
78.,79.,101.,Oracle NoSQL,Multi-model,3.35,+0.06,+0.09,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
79.,78.,74.,Ingres,Relational,3.32,-0.01,-1.84,https://db-engines.com/en/system/Ingres,
80.,80.,82.,Virtuoso,Multi-model,3.20,+0.06,-1.19,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
81.,84.,98.,Pinecone,Vector,3.17,+0.22,-0.16,https://db-engines.com/en/system/Pinecone,
82.,82.,80.,RocksDB,Key-value,3.15,+0.09,-1.37,https://db-engines.com/en/system/RocksDB,
83.,88.,77.,SAP SQL Anywhere,Relational,3.12,+0.26,-1.76,https://db-engines.com/en/system/SAP+SQL+Anywhere,
84.,81.,115.,QuestDB,"Time Series, Multi-model",3.10,+0.00,+0.41,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
85.,85.,83.,HyperSQL,Relational,3.03,+0.11,-1.27,https://db-engines.com/en/system/HyperSQL,
86.,87.,86.,Apache Ignite,Multi-model,2.99,+0.11,-1.04,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
87.,83.,65.,Microsoft Azure Data Explorer,"Relational, Multi-model",2.94,-0.04,-2.88,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
88.,86.,84.,ArangoDB,Multi-model,2.87,-0.04,-1.35,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
89.,90.,99.,Apache Druid,Multi-model,2.79,-0.07,-0.54,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
90.,89.,87.,Adabas,Multivalue,2.78,-0.08,-1.25,https://db-engines.com/en/system/Adabas,
91.,92.,150.,Milvus,Vector,2.77,+0.00,+1.07,https://db-engines.com/en/system/Milvus,
92.,94.,96.,OrientDB,Multi-model,2.72,-0.01,-0.66,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
93.,91.,97.,Google Cloud Spanner,Relational,2.71,-0.12,-0.66,https://db-engines.com/en/system/Google+Cloud+Spanner,
94.,97.,106.,GraphDB,Multi-model,2.68,+0.05,-0.22,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
95.,96.,90.,Google Cloud Bigtable,Multi-model,2.67,-0.04,-1.20,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
96.,93.,88.,Apache Jena - TDB,RDF,2.66,-0.10,-1.31,https://db-engines.com/en/system/Apache+Jena+-+TDB,
97.,95.,71.,Microsoft Azure Table Storage,Wide column,2.66,-0.07,-2.69,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
98.,99.,105.,Memgraph,Graph,2.61,+0.06,-0.48,https://db-engines.com/en/system/Memgraph,
99.,100.,95.,RavenDB,"Document, Multi-model",2.53,+0.00,-0.94,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
100.,102.,104.,GemFire,"Key-value, Multi-model",2.51,+0.07,-0.64,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
101.,101.,113.,IBM Cloudant,Document,2.50,-0.02,-0.29,https://db-engines.com/en/system/IBM+Cloudant,
102.,98.,92.,Apache Accumulo,Wide column,2.43,-0.19,-1.35,https://db-engines.com/en/system/Apache+Accumulo,
103.,103.,93.,SAP IQ,Relational,2.33,-0.06,-1.25,https://db-engines.com/en/system/SAP+IQ,
104.,107.,110.,RethinkDB,"Document, Multi-model",2.33,+0.03,-0.48,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
105.,105.,160.,OceanBase,"Relational, Multi-model",2.33,-0.03,+0.74,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
106.,104.,85.,DolphinDB,Multi-model,2.29,-0.09,-1.85,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
107.,106.,91.,InterSystems IRIS,Multi-model,2.29,-0.06,-1.53,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
108.,108.,122.,Coveo,Search engine,2.27,-0.01,-0.18,https://db-engines.com/en/system/Coveo,
109.,109.,103.,YugabyteDB,"Relational, Multi-model",2.22,-0.03,-0.99,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
110.,112.,100.,LevelDB,Key-value,2.15,+0.03,-1.17,https://db-engines.com/en/system/LevelDB,
111.,111.,109.,Amazon Neptune,Multi-model,2.07,-0.06,-0.75,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
112.,118.,176.,Qdrant,Vector,2.03,+0.10,+0.78,https://db-engines.com/en/system/Qdrant,
113.,113.,102.,Infinispan,Key-value,2.01,0.00,-1.21,https://db-engines.com/en/system/Infinispan,
114.,117.,137.,GridDB,"Time Series, Multi-model",1.98,+0.04,-0.02,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
115.,110.,89.,"UniData,UniVerse",Multivalue,1.97,-0.22,-1.96,https://db-engines.com/en/system/UniData%2CUniVerse,
116.,120.,114.,PouchDB,Document,1.95,+0.08,-0.75,https://db-engines.com/en/system/PouchDB,
117.,115.,107.,MaxDB,Relational,1.95,-0.02,-0.92,https://db-engines.com/en/system/MaxDB,
118.,116.,125.,Percona Server for MySQL,Relational,1.94,-0.01,-0.41,https://db-engines.com/en/system/Percona+Server+for+MySQL,
119.,114.,129.,Citus,"Relational, Multi-model",1.94,-0.04,-0.27,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
120.,121.,128.,Chroma,Vector,1.89,+0.04,-0.39,https://db-engines.com/en/system/Chroma,
121.,119.,111.,4D,Relational,1.87,-0.06,-0.93,https://db-engines.com/en/system/4D,
122.,122.,131.,Apache Phoenix,Relational,1.84,-0.01,-0.26,https://db-engines.com/en/system/Apache+Phoenix,
123.,128.,118.,Apache Drill,Multi-model,1.82,+0.08,-0.76,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
124.,124.,117.,LMDB,Key-value,1.81,+0.01,-0.81,https://db-engines.com/en/system/LMDB,
125.,129.,142.,IMS,Navigational,1.79,+0.07,-0.15,https://db-engines.com/en/system/IMS,
126.,126.,108.,CloudKit,Document,1.78,-0.01,-1.09,https://db-engines.com/en/system/CloudKit,
127.,123.,116.,TDengine,"Time Series, Multi-model",1.76,-0.06,-0.88,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
128.,125.,148.,Amazon DocumentDB,Document,1.76,-0.04,-0.04,https://db-engines.com/en/system/Amazon+DocumentDB,
129.,127.,112.,Oracle Berkeley DB,Multi-model,1.74,-0.05,-1.06,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
130.,130.,135.,JanusGraph,Graph,1.73,+0.03,-0.31,https://db-engines.com/en/system/JanusGraph,
131.,134.,121.,EDB Postgres,"Relational, Multi-model",1.66,+0.02,-0.79,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
132.,132.,126.,Oracle Coherence,Key-value,1.66,-0.01,-0.67,https://db-engines.com/en/system/Oracle+Coherence,
133.,131.,149.,MonetDB,"Relational, Multi-model",1.62,-0.06,-0.17,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
134.,136.,145.,Amazon SimpleDB,Key-value,1.61,-0.01,-0.29,https://db-engines.com/en/system/Amazon+SimpleDB,
135.,135.,133.,Amazon CloudSearch,Search engine,1.61,-0.03,-0.47,https://db-engines.com/en/system/Amazon+CloudSearch,
136.,137.,136.,Stardog,Multi-model,1.59,-0.01,-0.44,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
137.,133.,138.,Weaviate,Vector,1.58,-0.07,-0.42,https://db-engines.com/en/system/Weaviate,
138.,143.,140.,SpatiaLite,"Spatial, Multi-model",1.56,+0.07,-0.41,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
139.,139.,124.,NebulaGraph,Graph,1.56,-0.02,-0.80,https://db-engines.com/en/system/NebulaGraph,
140.,138.,120.,RRDtool,Time Series,1.54,-0.05,-0.93,https://db-engines.com/en/system/RRDtool,
141.,142.,155.,Fauna,Multi-model,1.51,+0.02,-0.12,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
142.,140.,119.,EXASOL,Relational,1.49,-0.03,-0.98,https://db-engines.com/en/system/EXASOL,
143.,145.,132.,Datomic,Relational,1.48,+0.03,-0.60,https://db-engines.com/en/system/Datomic,
144.,141.,134.,Empress,Relational,1.46,-0.06,-0.61,https://db-engines.com/en/system/Empress,
145.,149.,183.,Apache IoTDB,Time Series,1.44,+0.02,+0.25,https://db-engines.com/en/system/Apache+IoTDB,
146.,144.,147.,OpenTSDB,Time Series,1.42,-0.05,-0.42,https://db-engines.com/en/system/OpenTSDB,
147.,147.,151.,jBASE,Multivalue,1.41,-0.04,-0.28,https://db-engines.com/en/system/jBASE,
148.,156.,193.,GBase,Relational,1.40,+0.08,+0.36,https://db-engines.com/en/system/GBase,
149.,155.,146.,Tarantool,Multi-model,1.40,+0.07,-0.48,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
150.,148.,143.,TigerGraph,Graph,1.39,-0.06,-0.53,https://db-engines.com/en/system/TigerGraph,
151.,146.,167.,D3,Multivalue,1.38,-0.07,-0.06,https://db-engines.com/en/system/D3,
152.,152.,162.,VictoriaMetrics,Time Series,1.38,+0.02,-0.20,https://db-engines.com/en/system/VictoriaMetrics,
153.,151.,141.,BaseX,Native XML,1.38,+0.01,-0.58,https://db-engines.com/en/system/BaseX,
154.,153.,123.,Geode,Key-value,1.35,+0.02,-1.03,https://db-engines.com/en/system/Geode,
155.,150.,139.,Tibero,Relational,1.34,-0.05,-0.64,https://db-engines.com/en/system/Tibero,
156.,159.,158.,GridGain,Multi-model,1.32,+0.03,-0.27,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
157.,154.,154.,Actian NoSQL Database,Object oriented,1.28,-0.05,-0.37,https://db-engines.com/en/system/Actian+NoSQL+Database,
158.,163.,170.,mSQL,Relational,1.26,+0.06,-0.15,https://db-engines.com/en/system/mSQL,
159.,157.,198.,Amazon Timestream,Time Series,1.24,-0.05,+0.21,https://db-engines.com/en/system/Amazon+Timestream,
160.,158.,163.,Db4o,Object oriented,1.24,-0.05,-0.34,https://db-engines.com/en/system/Db4o,
161.,162.,165.,VoltDB,Relational,1.23,-0.01,-0.28,https://db-engines.com/en/system/VoltDB,
162.,164.,164.,Dgraph,Graph,1.21,+0.01,-0.32,https://db-engines.com/en/system/Dgraph,
163.,170.,173.,Meilisearch,Multi-model,1.20,+0.07,-0.13,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
164.,161.,127.,HEAVY.AI,"Relational, Multi-model",1.19,-0.06,-1.11,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
165.,165.,159.,ObjectStore,Object oriented,1.19,-0.01,-0.40,https://db-engines.com/en/system/ObjectStore,
166.,160.,266.,Alibaba Cloud PolarDB,Relational,1.19,-0.08,+0.69,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
167.,166.,156.,IBM Db2 warehouse,Relational,1.17,0.00,-0.44,https://db-engines.com/en/system/IBM+Db2+warehouse,
168.,171.,172.,HFSQL,Relational,1.16,+0.04,-0.18,https://db-engines.com/en/system/HFSQL,
169.,167.,157.,TimesTen,Relational,1.15,-0.02,-0.44,https://db-engines.com/en/system/TimesTen,
170.,169.,152.,Mnesia,Document,1.14,+0.01,-0.50,https://db-engines.com/en/system/Mnesia,
171.,173.,191.,GigaSpaces,Multi-model,1.14,+0.05,+0.09,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
172.,176.,169.,ObjectBox,Multi-model,1.09,+0.03,-0.32,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
173.,172.,153.,LiteDB,Document,1.09,-0.02,-0.56,https://db-engines.com/en/system/LiteDB,
174.,182.,,Valkey,Key-value,1.07,+0.08,,https://db-engines.com/en/system/Valkey,
175.,174.,178.,Giraph,Graph,1.06,0.00,-0.17,https://db-engines.com/en/system/Giraph,
176.,178.,175.,Apache Kylin,Relational,1.05,+0.02,-0.21,https://db-engines.com/en/system/Apache+Kylin,
177.,184.,209.,ZODB,Key-value,1.04,+0.06,+0.16,https://db-engines.com/en/system/ZODB,
178.,183.,174.,EventStoreDB,Event,1.04,+0.05,-0.25,https://db-engines.com/en/system/EventStoreDB,
179.,168.,130.,Firebolt,Relational,1.03,-0.13,-1.13,https://db-engines.com/en/system/Firebolt,
180.,193.,239.,eXtremeDB,Multi-model,1.01,+0.07,+0.34,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
181.,175.,187.,StarRocks,Relational,1.01,-0.06,-0.15,https://db-engines.com/en/system/StarRocks,
182.,179.,179.,Datameer,Document,1.00,-0.02,-0.24,https://db-engines.com/en/system/Datameer,
183.,188.,197.,SurrealDB,Multi-model,1.00,+0.05,-0.05,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
184.,177.,204.,MatrixOne,Relational,0.99,-0.06,+0.01,https://db-engines.com/en/system/MatrixOne,
185.,186.,144.,PlanetScale,"Relational, Multi-model",0.99,+0.03,-0.93,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
186.,185.,211.,Amazon Keyspaces,Wide column,0.98,+0.02,+0.12,https://db-engines.com/en/system/Amazon+Keyspaces,
187.,181.,171.,SQLBase,Relational,0.98,-0.03,-0.41,https://db-engines.com/en/system/SQLBase,
188.,180.,186.,openGauss,"Relational, Multi-model",0.97,-0.03,-0.19,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
189.,190.,166.,FoundationDB,Multi-model,0.96,+0.02,-0.54,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
190.,189.,180.,Oracle Rdb,Relational,0.96,+0.01,-0.27,https://db-engines.com/en/system/Oracle+Rdb,
191.,198.,181.,NCache,"Key-value, Multi-model",0.95,+0.05,-0.26,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
192.,197.,185.,Vitess,"Relational, Multi-model",0.93,+0.02,-0.24,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
193.,191.,190.,Apache HAWQ,Relational,0.93,-0.01,-0.17,https://db-engines.com/en/system/Apache+HAWQ,
194.,201.,214.,TDSQL for MySQL,"Relational, Multi-model",0.93,+0.04,+0.08,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
195.,199.,212.,IDMS,Navigational,0.93,+0.03,+0.07,https://db-engines.com/en/system/IDMS,
196.,195.,177.,GT.M,Key-value,0.91,0.00,-0.32,https://db-engines.com/en/system/GT.M,
197.,187.,184.,DataEase,Relational,0.91,-0.04,-0.26,https://db-engines.com/en/system/DataEase,
198.,196.,189.,NonStop SQL,Relational,0.91,-0.01,-0.21,https://db-engines.com/en/system/NonStop+SQL,
199.,200.,220.,Alibaba Cloud MaxCompute,Relational,0.90,+0.01,+0.11,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
200.,192.,208.,M3DB,Time Series,0.90,-0.04,-0.01,https://db-engines.com/en/system/M3DB,
201.,194.,168.,Cubrid,Relational,0.89,-0.04,-0.54,https://db-engines.com/en/system/Cubrid,
202.,202.,201.,Rockset,"Document, Multi-model",0.83,-0.04,-0.18,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
203.,204.,182.,Altibase,Relational,0.83,+0.01,-0.38,https://db-engines.com/en/system/Altibase,
204.,207.,194.,Infobright,Relational,0.81,+0.02,-0.24,https://db-engines.com/en/system/Infobright,
