DBMS,Rank_Jun-2023,Rank_May-2023,Rank_Jun-2022,Database Model,Score_Jun-2023,Score_May-2023,Score_Jun-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Snowflake,11.0,11.0,13.0,Relational,114.13,+2.41,+17.71,https://db-engines.com/en/system/Snowflake,,Snowflake Computing Inc.,Cloud-based data warehousing service for structured and semi-structured data,2014.0,,commercial,,yes,2014,,N,Y
Cassandra,12.0,12.0,11.0,Wide column,108.55,-2.58,-6.90,https://db-engines.com/en/system/Cassandra,,Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"4.1.2, May 2023",Open Source,Apache version 2,no,2008,2023,Y,N
MariaDB,13.0,13.0,12.0,"Relational, Multi-model",97.31,+0.44,-14.27,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS","MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)","MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",2009.0,"10.11.3, May 2023",Open Source,"GPL version 2, commercial enterprise subscription available",no,2009,2023,Y,N
Splunk,14.0,14.0,14.0,Search engine,89.45,+2.81,-6.11,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no,2003,,N,N
Amazon DynamoDB,15.0,15.0,16.0,Multi-model,79.9,-1.20,-3.98,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes,2012,,N,Y
Microsoft Azure SQL Database,16.0,16.0,15.0,"Relational, Multi-model",78.96,-0.23,-7.05,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes,2010,,N,Y
Hive,17.0,17.0,17.0,Relational,75.52,+1.91,-6.06,https://db-engines.com/en/system/Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no,2012,2022,Y,N
Databricks,18.0,18.0,24.0,Multi-model,65.82,+1.87,+17.69,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS",Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,2013.0,,Open Source,,yes,2013,,Y,Y
Teradata,19.0,19.0,18.0,"Relational, Multi-model",62.64,-0.07,-7.76,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no,1984,2019,N,N
Google BigQuery,20.0,20.0,23.0,Relational,54.64,-0.24,+5.57,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes,2010,,N,Y
FileMaker,21.0,21.0,22.0,Relational,54.38,+2.39,+2.80,https://db-engines.com/en/system/FileMaker,,FileMaker,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no,1983,2021,N,N
Neo4j,22.0,22.0,19.0,Graph,52.77,+1.66,-6.76,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.8, May 2023",Open Source,"GPL version3, commercial licenses available",no,2007,2023,Y,N
SAP HANA,23.0,23.0,21.0,"Relational, Multi-model",51.42,+1.06,-3.11,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS06 (March 4, 2022), March 2022",commercial,,no,2010,2022,N,N
Solr,24.0,24.0,20.0,"Search engine, Multi-model",49.56,-0.20,-7.05,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.2.1, May 2023",Open Source,Apache Version 2,no,2006,2023,Y,N
SAP Adaptive Server,25.0,25.0,25.0,"Relational, Multi-model",43.76,+0.67,-2.91,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no,1987,,N,N
HBase,26.0,26.0,26.0,Wide column,37.24,-1.35,-4.83,https://db-engines.com/en/system/HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no,2008,2021,Y,N
Microsoft Azure Cosmos DB,27.0,27.0,27.0,Multi-model,36.57,+0.58,-4.41,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes,2014,,N,Y
InfluxDB,28.0,29.0,29.0,"Time Series, Multi-model",31.26,+1.35,+1.40,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.5.1, November 2022",Open Source,MIT-License; commercial enterprise version available,no,2013,2022,Y,N
PostGIS,29.0,28.0,28.0,"Spatial DBMS, Multi-model",31.03,+0.13,-0.65,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.3.3, May 2023",Open Source,GPL v2.0,no,2005,2023,Y,N
Firebird,30.0,30.0,32.0,Relational,26.49,+1.94,+1.71,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"4.0.2, August 2022",Open Source,Initial Developer's Public License,no,2000,2022,Y,N
Couchbase,31.0,31.0,30.0,"Document, Multi-model",25.34,+0.92,-3.55,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS","Couchbase, Inc.","A distributed,document store,with a powerful search engine and in-built operational and analytical capabilities",2011.0,"Server: 7.0, July 2021; Mobile: 3, February 2022; Couchbase Capella, October 2021",Open Source,Apache version 2; Commercial licenses also available,no,2011,2021,Y,N
Microsoft Azure Synapse Analytics,32.0,32.0,36.0,Relational,24.93,+1.65,+3.61,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes,2016,,N,Y
Informix,33.0,34.0,34.0,"Relational, Multi-model",22.48,+0.46,-1.14,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no,1984,2020,N,N
Memcached,34.0,33.0,33.0,Key-value,22.42,+0.23,-2.14,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.19, March 2023",Open Source,BSD license,no,2003,2023,Y,N
Spark SQL,35.0,35.0,35.0,Relational,20.07,-0.02,-3.05,https://db-engines.com/en/system/Spark+SQL,,Apache Software Foundation,Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.4.0 ( 2.13), April 2023",Open Source,Apache 2.0,no,2014,2023,Y,N
Amazon Redshift,36.0,36.0,31.0,Relational,19.8,+0.34,-6.39,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes,2012,,N,Y
Impala,37.0,37.0,40.0,"Relational, Multi-model",19.39,+0.73,+1.60,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store",Cloudera,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no,2013,2022,Y,N
Firebase Realtime Database,38.0,38.0,39.0,Document,18.58,-0.01,+0.10,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes,2012,,N,Y
Netezza,39.0,41.0,37.0,Relational,15.88,+0.05,-3.60,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no,2000,,N,N
dBASE,40.0,42.0,42.0,Relational,15.83,+0.19,+1.45,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no,1979,2019,N,N
Presto,41.0,43.0,46.0,Relational,15.77,+0.68,+2.99,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no,2013,,Y,N
Vertica,42.0,40.0,38.0,"Relational, Multi-model",15.43,-0.56,-3.62,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no,2005,2023,N,N
CouchDB,43.0,39.0,41.0,"Document, Multi-model",15.42,-0.67,-1.74,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.2, April 2023",Open Source,Apache version 2,no,2005,2023,Y,N
ClickHouse,44.0,44.0,45.0,"Relational, Multi-model",14.97,+0.58,+2.14,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS",Clickhouse Inc.,"Column-oriented,Relational DBMS,powering Yandex",2016.0,"v23.4.1.1943-stable, April 2023",Open Source,Apache 2.0,no,2016,2023,Y,N
Apache Flink,45.0,45.0,,Relational,13.82,+0.28,,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.17.1, May 2023",Open Source,,no,,2023,Y,N
OpenSearch,46.0,46.0,60.0,"Search engine, Multi-model",12.17,+0.08,+4.92,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS",Amazon Web Services,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"2.5.0, January 2023",Open Source,Apache Version 2.0,no,2021,2023,Y,N
Google Cloud Firestore,47.0,47.0,52.0,Document,10.88,-0.66,+1.63,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes,2017,,N,Y
Greenplum,48.0,48.0,43.0,"Relational, Multi-model",10.64,-0.33,-2.63,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"6.7.1, April 2020",Open Source,Apache 2.0,no,2005,2020,Y,N
Oracle Essbase,49.0,50.0,54.0,Relational,9.99,+0.42,+1.15,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no,1998,2020,N,N
Amazon Aurora,50.0,49.0,44.0,"Relational, Multi-model",9.79,-0.11,-3.36,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store",Amazon,MySQL and PostgreSQL compatible cloud service by Amazon,2015.0,,commercial,,yes,2015,,N,Y
etcd,51.0,51.0,47.0,Key-value,9.26,+0.08,-1.54,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no,,2019,Y,N
H2,52.0,52.0,51.0,"Relational, Multi-model",9.01,+0.15,-0.89,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.1.214, June 2022",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no,2005,2022,Y,N
MarkLogic,53.0,53.0,50.0,Multi-model,8.64,-0.04,-1.36,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no,2001,2022,N,N
Realm,54.0,54.0,49.0,Document,8.33,-0.27,-1.78,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no,2014,,Y,N
Prometheus,55.0,58.0,67.0,Time Series,8.01,+0.59,+1.69,https://db-engines.com/en/system/Prometheus,,,Open-source TimeSeries DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no,2015,,Y,N
Kdb,56.0,56.0,53.0,Multi-model,8.0,-0.03,-1.12,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no,2000,2018,N,N
Hazelcast,57.0,55.0,48.0,"Key-value, Multi-model",7.92,-0.19,-2.46,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.2.2, February 2023",Open Source,Apache Version 2; commercial licenses available,no,2008,2023,Y,N
Algolia,58.0,57.0,56.0,Search engine,7.88,+0.18,-0.40,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes,2012,,N,Y
Datastax Enterprise,59.0,59.0,55.0,"Wide column, Multi-model",7.74,+0.55,-0.81,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no,2011,2020,N,N
Derby,60.0,61.0,78.0,Relational,6.87,+0.01,+1.90,https://db-engines.com/en/system/Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.16.1.1, May 2022",Open Source,Apache version 2,no,1997,2022,Y,N
Ehcache,61.0,62.0,64.0,Key-value,6.82,+0.01,+0.29,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no,2009,2022,Y,N
Jackrabbit,62.0,60.0,70.0,Content,6.78,-0.14,+0.86,https://db-engines.com/en/system/Jackrabbit,,Apache Software Foundation,,2006.0,,Open Source,,no,2006,,Y,N
Aerospike,63.0,67.0,66.0,Multi-model,6.78,+0.37,+0.26,https://db-engines.com/en/system/Aerospike,"Document store,Key-value store,Spatial DBMS",Aerospike,Flash-optimized In-memory NoSQL Database,2012.0,"6.0.0.0, April 2022",Open Source,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no,2012,2022,Y,N
SingleStore,64.0,66.0,63.0,"Relational, Multi-model",6.77,+0.20,+0.10,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"8.1, May 2023",commercial,free developer edition available,no,2013,2023,N,N
CockroachDB,65.0,64.0,57.0,Relational,6.61,-0.08,-1.07,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"23.1.1, May 2023",Open Source,"Apache 2.0, commercial license available",no,2015,2023,Y,N
Microsoft Azure Search,66.0,63.0,58.0,Search engine,6.59,-0.21,-1.02,https://db-engines.com/en/system/Microsoft+Azure+Search,,Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes,2015,,N,Y
ScyllaDB,67.0,71.0,92.0,"Wide column, Multi-model",6.51,+0.35,+2.87,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 5.0, July 2022",Open Source,"Open Source (AGPL), commercial license available",no,2015,2022,Y,N
Microsoft Azure Data Explorer,68.0,72.0,59.0,"Relational, Multi-model",6.5,+0.39,-0.84,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes,2019,,N,Y
Trino,69.0,73.0,96.0,"Relational, Multi-model",6.43,+0.54,+3.21,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no,2012,,Y,N
Ingres,70.0,75.0,72.0,Relational,6.24,+0.43,+0.40,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"11.2, May 2022",commercial,,no,1974,2022,N,N
Interbase,71.0,70.0,68.0,Relational,6.14,-0.03,-0.16,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no,1984,2019,N,N
Sphinx,72.0,65.0,61.0,Search engine,6.13,-0.56,-1.10,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,"3.4.1, July 2021",Open Source,"GPL version 2, commercial licence available",no,2001,2021,Y,N
Graphite,73.0,68.0,77.0,Time Series,6.05,-0.21,+0.69,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no,2006,,Y,N
Microsoft Azure Table Storage,74.0,78.0,73.0,Wide column,5.91,+0.23,+0.15,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes,2012,,N,Y
Google Cloud Datastore,75.0,69.0,71.0,Document,5.82,-0.39,-0.07,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes,2008,,N,Y
SAP SQL Anywhere,76.0,77.0,74.0,Relational,5.79,+0.09,+0.22,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no,1992,2015,N,N
Riak KV,77.0,74.0,65.0,Key-value,5.62,-0.25,-0.90,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no,2009,2022,Y,N
Apache Jena - TDB,78.0,76.0,105.0,RDF,5.61,-0.12,+2.72,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,"4.6.1, September 2022",Open Source,"Apache License, Version 2.0",no,2000,2022,Y,N
Adabas,79.0,79.0,79.0,Multivalue,5.59,+0.00,+0.70,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no,1971,,N,N
HyperSQL,80.0,82.0,76.0,Relational,5.32,+0.09,-0.13,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.1, October 2022",Open Source,based on BSD license,no,2001,2022,Y,N
Accumulo,81.0,81.0,87.0,Wide column,5.26,-0.15,+1.17,https://db-engines.com/en/system/Accumulo,,,,2008.0,"2.0.1 (December 24, 2020), 2020",Open Source,,no,2008,2020,Y,N
Virtuoso,82.0,80.0,69.0,Multi-model,5.24,-0.33,-0.93,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.7, May 2022",Open Source,"GPLv2, extended commercial license available",no,1998,2022,Y,N
Ignite,83.0,83.0,62.0,Multi-model,5.16,+0.01,-1.94,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,Apache Ignite 2.6,Open Source,Apache 2.0,no,2015,,Y,N
ArangoDB,84.0,85.0,75.0,Multi-model,4.89,+0.01,-0.61,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.10.5.1, March 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no,2012,2023,Y,N
Google Cloud Bigtable,85.0,84.0,86.0,Multi-model,4.8,-0.33,+0.35,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes,2015,,N,Y
TimescaleDB,86.0,86.0,83.0,"Time Series, Multi-model",4.7,-0.03,+0.14,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.6.0, February 2022",Open Source,Apache 2.0,no,2017,2022,Y,N
SAP IQ,87.0,87.0,82.0,Relational,4.64,-0.04,-0.01,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,"16.1 SPS04, April 2019",commercial,,no,1994,2019,N,N
OrientDB,88.0,88.0,80.0,Multi-model,4.53,+0.03,-0.33,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.17, March 2023",Open Source,Apache version 2,no,2010,2023,Y,N
"UniData,UniVerse",89.0,94.0,84.0,Multivalue,4.45,+0.17,-0.08,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no,1985,,N,N
