Rank_Nov-2024,Rank_Oct-2024,Rank_Nov-2023,DBMS,Database Model,Score_Nov-2024,Score_Oct-2024,Score_Nov-2023,DBMS_insitelink,Multi_model_info
85.,82.,89.,Apache Accumulo,Wide column,3.08,-0.23,-1.06,https://db-engines.com/en/system/Apache+Accumulo,
86.,86.,79.,HyperSQL,Relational,3.08,-0.03,-1.81,https://db-engines.com/en/system/HyperSQL,
87.,85.,60.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.00,-0.13,-4.00,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
88.,89.,96.,OrientDB,Multi-model,2.97,-0.06,-0.81,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
89.,88.,90.,RocksDB,Key-value,2.96,-0.09,-1.15,https://db-engines.com/en/system/RocksDB,
90.,93.,87.,Google Cloud Bigtable,Multi-model,2.93,+0.02,-1.34,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
91.,92.,86.,Apache Ignite,Multi-model,2.92,-0.02,-1.43,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
92.,95.,146.,QuestDB,"Time Series, Multi-model",2.91,+0.07,+0.89,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
93.,98.,120.,GraphDB,Multi-model,2.89,+0.12,+0.14,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
94.,91.,84.,Apache Jena - TDB,RDF,2.87,-0.13,-1.58,https://db-engines.com/en/system/Apache+Jena+-+TDB,
95.,90.,171.,Milvus,Vector,2.85,-0.17,+1.35,https://db-engines.com/en/system/Milvus,
96.,94.,118.,InterSystems IRIS,Multi-model,2.76,-0.13,-0.04,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
97.,96.,107.,Memgraph,Graph,2.72,-0.09,-0.37,https://db-engines.com/en/system/Memgraph,
98.,97.,108.,Apache Druid,Multi-model,2.70,-0.09,-0.39,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
99.,100.,98.,RavenDB,"Document, Multi-model",2.70,+0.00,-0.85,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
100.,101.,97.,Google Cloud Spanner,Relational,2.70,+0.01,-0.89,https://db-engines.com/en/system/Google+Cloud+Spanner,
101.,99.,101.,IBM Cloudant,Document,2.64,-0.12,-0.75,https://db-engines.com/en/system/IBM+Cloudant,
102.,102.,94.,DolphinDB,Multi-model,2.60,-0.07,-1.40,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
103.,104.,95.,GemFire,"Key-value, Multi-model",2.56,-0.04,-1.41,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
104.,103.,80.,Adabas,Multivalue,2.54,-0.07,-2.31,https://db-engines.com/en/system/Adabas,
105.,105.,111.,RethinkDB,"Document, Multi-model",2.52,-0.04,-0.45,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
106.,106.,82.,SAP IQ,Relational,2.50,-0.03,-2.11,https://db-engines.com/en/system/SAP+IQ,
107.,108.,103.,YugabyteDB,"Relational, Multi-model",2.36,-0.09,-1.00,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
108.,109.,85.,"UniData,UniVerse",Multivalue,2.35,-0.09,-2.03,https://db-engines.com/en/system/UniData%2CUniVerse,
109.,113.,123.,Coveo,Search engine,2.32,+0.08,-0.34,https://db-engines.com/en/system/Coveo,
110.,107.,117.,TDengine,"Time Series, Multi-model",2.27,-0.19,-0.57,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
111.,110.,104.,LevelDB,Key-value,2.26,-0.13,-1.07,https://db-engines.com/en/system/LevelDB,
112.,111.,99.,Infinispan,Key-value,2.22,-0.11,-1.32,https://db-engines.com/en/system/Infinispan,
113.,115.,127.,Amazon Neptune,Multi-model,2.17,0.00,-0.32,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
114.,112.,109.,4D,Relational,2.13,-0.14,-0.92,https://db-engines.com/en/system/4D,
115.,116.,100.,MaxDB,Relational,2.11,-0.01,-1.32,https://db-engines.com/en/system/MaxDB,
116.,114.,114.,PouchDB,Document,2.08,-0.10,-0.85,https://db-engines.com/en/system/PouchDB,
117.,118.,131.,Percona Server for MySQL,Relational,2.08,+0.04,-0.28,https://db-engines.com/en/system/Percona+Server+for+MySQL,
118.,119.,157.,OceanBase,"Relational, Multi-model",2.02,-0.02,+0.23,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
119.,117.,121.,Citus,"Relational, Multi-model",1.96,-0.10,-0.74,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
120.,120.,115.,Apache Phoenix,Relational,1.93,+0.01,-0.93,https://db-engines.com/en/system/Apache+Phoenix,
121.,127.,102.,Oracle Berkeley DB,Multi-model,1.91,+0.05,-1.47,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
122.,123.,147.,GridDB,"Time Series, Multi-model",1.91,+0.01,-0.08,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
123.,121.,125.,LMDB,Key-value,1.90,-0.02,-0.64,https://db-engines.com/en/system/LMDB,
124.,124.,142.,Amazon DocumentDB,Document,1.88,+0.00,-0.23,https://db-engines.com/en/system/Amazon+DocumentDB,
125.,128.,113.,Apache Drill,Multi-model,1.84,-0.02,-1.10,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
126.,129.,110.,CloudKit,Document,1.83,-0.02,-1.17,https://db-engines.com/en/system/CloudKit,
127.,125.,140.,Chroma,Vector,1.81,-0.06,-0.35,https://db-engines.com/en/system/Chroma,
128.,130.,128.,Oracle Coherence,Key-value,1.81,-0.03,-0.67,https://db-engines.com/en/system/Oracle+Coherence,
129.,126.,126.,NebulaGraph,Graph,1.79,-0.08,-0.75,https://db-engines.com/en/system/NebulaGraph,
130.,122.,133.,Stardog,Multi-model,1.78,-0.13,-0.52,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
131.,134.,143.,JanusGraph,Graph,1.78,0.00,-0.32,https://db-engines.com/en/system/JanusGraph,
132.,136.,202.,Qdrant,Vector,1.77,+0.07,+0.65,https://db-engines.com/en/system/Qdrant,
133.,132.,132.,Amazon CloudSearch,Search engine,1.74,-0.08,-0.57,https://db-engines.com/en/system/Amazon+CloudSearch,
134.,131.,130.,Amazon SimpleDB,Key-value,1.74,-0.08,-0.69,https://db-engines.com/en/system/Amazon+SimpleDB,
135.,133.,116.,EDB Postgres,"Relational, Multi-model",1.71,-0.09,-1.15,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
136.,137.,119.,RRDtool,Time Series,1.70,+0.02,-1.09,https://db-engines.com/en/system/RRDtool,
137.,135.,137.,MonetDB,"Relational, Multi-model",1.64,-0.06,-0.58,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
138.,139.,112.,EXASOL,Relational,1.62,-0.02,-1.33,https://db-engines.com/en/system/EXASOL,
139.,140.,141.,Empress,Relational,1.53,-0.10,-0.62,https://db-engines.com/en/system/Empress,
140.,141.,139.,BaseX,Native XML,1.52,-0.08,-0.67,https://db-engines.com/en/system/BaseX,
141.,143.,155.,OpenTSDB,Time Series,1.51,-0.06,-0.36,https://db-engines.com/en/system/OpenTSDB,
142.,144.,124.,IMS,Navigational,1.51,-0.05,-1.14,https://db-engines.com/en/system/IMS,
143.,142.,151.,Tarantool,Multi-model,1.50,-0.08,-0.44,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
144.,146.,136.,SpatiaLite,"Spatial, Multi-model",1.50,-0.02,-0.73,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
145.,148.,135.,Datomic,Relational,1.47,-0.02,-0.81,https://db-engines.com/en/system/Datomic,
146.,152.,134.,Firebolt,Relational,1.46,+0.02,-0.83,https://db-engines.com/en/system/Firebolt,
147.,138.,150.,Weaviate,Vector,1.45,-0.20,-0.49,https://db-engines.com/en/system/Weaviate,
148.,147.,158.,Fauna,Multi-model,1.43,-0.07,-0.35,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
149.,151.,129.,Geode,Key-value,1.42,-0.02,-1.02,https://db-engines.com/en/system/Geode,
150.,149.,152.,GridGain,Multi-model,1.42,-0.07,-0.50,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
151.,155.,201.,Apache IoTDB,Time Series,1.41,+0.02,+0.29,https://db-engines.com/en/system/Apache+IoTDB,
152.,150.,148.,TigerGraph,Graph,1.40,-0.05,-0.58,https://db-engines.com/en/system/TigerGraph,
153.,145.,145.,Tibero,Relational,1.40,-0.16,-0.63,https://db-engines.com/en/system/Tibero,
154.,158.,138.,jBASE,Multivalue,1.39,+0.06,-0.81,https://db-engines.com/en/system/jBASE,
155.,156.,163.,VoltDB,Relational,1.34,-0.03,-0.37,https://db-engines.com/en/system/VoltDB,
156.,153.,106.,HEAVY.AI,"Relational, Multi-model",1.34,-0.06,-1.75,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
157.,154.,153.,Dgraph,Graph,1.34,-0.06,-0.57,https://db-engines.com/en/system/Dgraph,
158.,157.,161.,Actian NoSQL Database,Object oriented,1.33,-0.03,-0.43,https://db-engines.com/en/system/Actian+NoSQL+Database,
159.,160.,175.,VictoriaMetrics,Time Series,1.28,-0.01,-0.20,https://db-engines.com/en/system/VictoriaMetrics,
160.,162.,169.,mSQL,Relational,1.27,+0.02,-0.30,https://db-engines.com/en/system/mSQL,
161.,159.,168.,ObjectStore,Object oriented,1.26,-0.04,-0.32,https://db-engines.com/en/system/ObjectStore,
162.,164.,149.,Db4o,Object oriented,1.24,+0.01,-0.70,https://db-engines.com/en/system/Db4o,
163.,163.,162.,TimesTen,Relational,1.23,-0.01,-0.49,https://db-engines.com/en/system/TimesTen,
164.,161.,166.,IBM Db2 warehouse,Relational,1.23,-0.03,-0.38,https://db-engines.com/en/system/IBM+Db2+warehouse,
165.,166.,174.,D3,Multivalue,1.23,+0.01,-0.27,https://db-engines.com/en/system/D3,
166.,167.,214.,Amazon Timestream,Time Series,1.22,+0.02,+0.22,https://db-engines.com/en/system/Amazon+Timestream,
167.,165.,144.,Mnesia,Document,1.20,-0.02,-0.85,https://db-engines.com/en/system/Mnesia,
168.,170.,170.,LiteDB,Document,1.14,+0.01,-0.42,https://db-engines.com/en/system/LiteDB,
169.,173.,184.,GBase,Relational,1.11,0.00,-0.19,https://db-engines.com/en/system/GBase,
170.,174.,176.,Apache Kylin,Relational,1.10,+0.00,-0.36,https://db-engines.com/en/system/Apache+Kylin,
171.,168.,159.,Datameer,Document,1.10,-0.06,-0.67,https://db-engines.com/en/system/Datameer,
172.,172.,177.,Giraph,Graph,1.10,-0.01,-0.34,https://db-engines.com/en/system/Giraph,
173.,175.,179.,ObjectBox,Multi-model,1.10,0.00,-0.27,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
174.,178.,181.,Meilisearch,Search engine,1.10,+0.03,-0.25,https://db-engines.com/en/system/Meilisearch,
175.,177.,190.,EventStoreDB,Event,1.07,0.00,-0.18,https://db-engines.com/en/system/EventStoreDB,
176.,169.,199.,openGauss,"Relational, Multi-model",1.07,-0.08,-0.06,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
177.,171.,180.,HFSQL,Relational,1.07,-0.06,-0.30,https://db-engines.com/en/system/HFSQL,
178.,176.,154.,SQLBase,Relational,1.05,-0.03,-0.86,https://db-engines.com/en/system/SQLBase,
179.,180.,172.,DataEase,Relational,1.02,-0.04,-0.48,https://db-engines.com/en/system/DataEase,
180.,182.,185.,Oracle Rdb,Relational,1.02,-0.02,-0.28,https://db-engines.com/en/system/Oracle+Rdb,
181.,179.,206.,SurrealDB,Multi-model,1.01,-0.06,-0.09,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
182.,184.,217.,Amazon Keyspaces,Wide column,1.00,-0.01,+0.02,https://db-engines.com/en/system/Amazon+Keyspaces,
183.,185.,160.,PlanetScale,"Relational, Multi-model",1.00,+0.00,-0.76,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
184.,183.,194.,Apache HAWQ,Relational,0.99,-0.02,-0.20,https://db-engines.com/en/system/Apache+HAWQ,
185.,181.,224.,Rockset,"Document, Multi-model",0.99,-0.06,+0.05,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
186.,189.,182.,MatrixOne,Relational,0.97,-0.01,-0.37,https://db-engines.com/en/system/MatrixOne,
187.,190.,178.,GT.M,Key-value,0.95,-0.02,-0.48,https://db-engines.com/en/system/GT.M,
188.,192.,173.,Cubrid,Relational,0.95,-0.02,-0.55,https://db-engines.com/en/system/Cubrid,
189.,204.,232.,eXtremeDB,Multi-model,0.94,+0.08,+0.06,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
190.,195.,198.,NCache,"Key-value, Multi-model",0.94,+0.02,-0.20,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
191.,200.,187.,Vitess,"Relational, Multi-model",0.94,+0.06,-0.33,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
192.,186.,164.,FoundationDB,Multi-model,0.94,-0.04,-0.76,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
193.,191.,193.,M3DB,Time Series,0.94,-0.03,-0.26,https://db-engines.com/en/system/M3DB,
194.,198.,186.,GigaSpaces,Multi-model,0.94,+0.05,-0.35,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
195.,187.,167.,NonStop SQL,Relational,0.93,-0.05,-0.67,https://db-engines.com/en/system/NonStop+SQL,
196.,194.,218.,TDSQL for MySQL,"Relational, Multi-model",0.91,-0.05,-0.06,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
197.,209.,279.,Alibaba Cloud PolarDB,Relational,0.90,+0.09,+0.42,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
198.,197.,240.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.90,-0.01,+0.10,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
199.,193.,195.,StarRocks,Relational,0.87,-0.09,-0.28,https://db-engines.com/en/system/StarRocks,
200.,203.,237.,Alibaba Cloud MaxCompute,Relational,0.86,0.00,+0.05,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
201.,202.,165.,Infobright,Relational,0.86,-0.01,-0.75,https://db-engines.com/en/system/Infobright,
202.,201.,211.,Dolt,"Relational, Multi-model",0.85,-0.02,-0.21,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
203.,208.,219.,IDMS,Navigational,0.85,+0.04,-0.12,https://db-engines.com/en/system/IDMS,
