DBMS,Rank_Jul-2023,Rank_Jun-2023,Rank_Jul-2022,Database Model,Score_Jul-2023,Score_Jun-2023,Score_Jul-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
PostGIS,29.0,29.0,28.0,"Spatial DBMS, Multi-model",30.01,-1.02,-0.87,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.3.3, May 2023",Open Source,GPL v2.0,no,2005,2023,Y,N
Microsoft Azure Synapse Analytics,30.0,32.0,36.0,Relational,27.62,+2.69,+6.00,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes,2016,,N,Y
Firebird,31.0,30.0,31.0,Relational,26.16,-0.33,+0.59,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"4.0.2, August 2022",Open Source,Initial Developer's Public License,no,2000,2022,Y,N
Couchbase,32.0,31.0,30.0,"Document, Multi-model",25.14,-0.20,-2.77,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS","Couchbase, Inc.","A distributed,document store,with a powerful search engine and in-built operational and analytical capabilities",2011.0,"Server: 7.0, July 2021; Mobile: 3, February 2022; Couchbase Capella, October 2021",Open Source,Apache version 2; Commercial licenses also available,no,2011,2021,Y,N
Memcached,33.0,34.0,33.0,Key-value,22.07,-0.35,-2.05,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.21, June 2023",Open Source,BSD license,no,2003,2023,Y,N
Informix,34.0,33.0,34.0,"Relational, Multi-model",21.93,-0.55,-1.36,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no,1984,2020,N,N
Amazon Redshift,35.0,36.0,32.0,Relational,20.36,+0.56,-4.97,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes,2012,,N,Y
Impala,36.0,37.0,40.0,"Relational, Multi-model",19.66,+0.27,+2.17,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store",Cloudera,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no,2013,2022,Y,N
Spark SQL,37.0,35.0,35.0,Relational,19.63,-0.44,-3.41,https://db-engines.com/en/system/Spark+SQL,,Apache Software Foundation,Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.4.0 ( 2.13), April 2023",Open Source,Apache 2.0,no,2014,2023,Y,N
Firebase Realtime Database,38.0,38.0,39.0,Document,18.73,+0.15,+0.39,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes,2012,,N,Y
Netezza,39.0,39.0,38.0,Relational,15.62,-0.26,-3.31,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no,2000,,N,N
ClickHouse,40.0,44.0,46.0,"Relational, Multi-model",15.3,+0.33,+2.59,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS",Clickhouse Inc.,"Column-oriented,Relational DBMS,powering Yandex",2016.0,"v23.4.1.1943-stable, April 2023",Open Source,Apache 2.0,no,2016,2023,Y,N
Vertica,41.0,42.0,37.0,"Relational, Multi-model",15.16,-0.26,-4.07,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no,2005,2023,N,N
Presto,42.0,41.0,44.0,Relational,14.88,-0.89,+1.82,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no,2013,,Y,N
dBASE,43.0,40.0,42.0,Relational,14.69,-1.14,-0.02,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no,1979,2019,N,N
CouchDB,44.0,43.0,41.0,"Document, Multi-model",14.4,-1.02,-2.30,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.2, April 2023",Open Source,Apache version 2,no,2005,2023,Y,N
Apache Flink,45.0,45.0,,Relational,13.79,-0.03,,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.17.1, May 2023",Open Source,,no,,2023,Y,N
OpenSearch,46.0,46.0,57.0,"Search engine, Multi-model",12.88,+0.70,+4.99,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS",Amazon Web Services,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"2.5.0, January 2023",Open Source,Apache Version 2.0,no,2021,2023,Y,N
Google Cloud Firestore,47.0,47.0,53.0,Document,10.36,-0.52,+1.27,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes,2017,,N,Y
Greenplum,48.0,48.0,43.0,"Relational, Multi-model",10.33,-0.31,-2.74,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"6.7.1, April 2020",Open Source,Apache 2.0,no,2005,2020,Y,N
Oracle Essbase,49.0,49.0,54.0,Relational,9.55,-0.43,+0.94,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no,1998,2020,N,N
Amazon Aurora,50.0,50.0,45.0,"Relational, Multi-model",9.39,-0.40,-3.47,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store",Amazon,MySQL and PostgreSQL compatible cloud service by Amazon,2015.0,,commercial,,yes,2015,,N,Y
etcd,51.0,51.0,47.0,Key-value,9.01,-0.26,-1.43,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no,,2019,Y,N
H2,52.0,52.0,51.0,"Relational, Multi-model",8.87,-0.14,-0.91,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.2.220, July 2023",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no,2005,2023,Y,N
MarkLogic,53.0,53.0,50.0,Multi-model,8.59,-0.05,-1.19,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no,2001,2022,N,N
Realm,54.0,54.0,49.0,Document,8.24,-0.08,-1.67,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no,2014,,Y,N
Kdb,55.0,56.0,52.0,Multi-model,8.22,+0.22,-0.95,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no,2000,2018,N,N
Prometheus,56.0,55.0,63.0,Time Series,8.05,+0.04,+1.37,https://db-engines.com/en/system/Prometheus,,,Open-source TimeSeries DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no,2015,,Y,N
Algolia,57.0,58.0,55.0,Search engine,7.93,+0.05,-0.48,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes,2012,,N,Y
Hazelcast,58.0,57.0,48.0,"Key-value, Multi-model",7.79,-0.13,-2.36,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.3.1, June 2023",Open Source,Apache Version 2; commercial licenses available,no,2008,2023,Y,N
Datastax Enterprise,59.0,59.0,56.0,"Wide column, Multi-model",7.2,-0.54,-1.16,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no,2011,2020,N,N
CockroachDB,60.0,65.0,59.0,Relational,7.04,+0.43,-0.37,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"23.1.1, May 2023",Open Source,"Apache 2.0, commercial license available",no,2015,2023,Y,N
Microsoft Azure Data Explorer,61.0,68.0,61.0,"Relational, Multi-model",6.92,+0.42,-0.16,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes,2019,,N,Y
Derby,62.0,60.0,78.0,Relational,6.81,-0.06,+1.91,https://db-engines.com/en/system/Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.16.1.1, May 2022",Open Source,Apache version 2,no,1997,2022,Y,N
Trino,63.0,69.0,94.0,"Relational, Multi-model",6.63,+0.20,+3.19,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no,2012,,Y,N
Ehcache,64.0,61.0,65.0,Key-value,6.59,-0.23,+0.07,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no,2009,2022,Y,N
Jackrabbit,65.0,62.0,73.0,Content,6.53,-0.25,+0.95,https://db-engines.com/en/system/Jackrabbit,,Apache Software Foundation,,2006.0,,Open Source,,no,2006,,Y,N
Aerospike,66.0,63.0,66.0,Multi-model,6.48,-0.30,+0.07,https://db-engines.com/en/system/Aerospike,"Document store,Key-value store,Spatial DBMS",Aerospike,Flash-optimized In-memory NoSQL Database,2012.0,"6.0.0.0, April 2022",Open Source,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no,2012,2022,Y,N
ScyllaDB,67.0,67.0,91.0,"Wide column, Multi-model",6.36,-0.15,+2.75,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 5.0, July 2022",Open Source,"Open Source (AGPL), commercial license available",no,2015,2022,Y,N
Microsoft Azure Search,68.0,66.0,58.0,Search engine,6.34,-0.24,-1.23,https://db-engines.com/en/system/Microsoft+Azure+Search,,Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes,2015,,N,Y
SingleStore,69.0,64.0,64.0,"Relational, Multi-model",6.2,-0.57,-0.38,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"8.1, May 2023",commercial,free developer edition available,no,2013,2023,N,N
Sphinx,70.0,72.0,60.0,Search engine,6.08,-0.05,-1.22,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,"3.5.1, February 2023",Open Source,"GPL version 2, commercial licence available",no,2001,2023,Y,N
Microsoft Azure Table Storage,71.0,74.0,77.0,Wide column,6.02,+0.12,+0.63,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes,2012,,N,Y
Ingres,72.0,70.0,70.0,Relational,6.0,-0.24,+0.12,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"11.2, May 2022",commercial,,no,1974,2022,N,N
Interbase,73.0,71.0,69.0,Relational,6.0,-0.14,-0.14,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no,1984,2019,N,N
Graphite,74.0,73.0,74.0,Time Series,5.82,-0.22,+0.33,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no,2006,,Y,N
Google Cloud Datastore,75.0,75.0,71.0,Document,5.63,-0.20,-0.13,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes,2008,,N,Y
Riak KV,76.0,77.0,67.0,Key-value,5.52,-0.10,-0.78,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no,2009,2022,Y,N
SAP SQL Anywhere,77.0,76.0,72.0,Relational,5.5,-0.29,-0.12,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no,1992,2015,N,N
Apache Jena - TDB,78.0,78.0,104.0,RDF,5.21,-0.40,+2.28,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,"4.6.1, September 2022",Open Source,"Apache License, Version 2.0",no,2000,2022,Y,N
Adabas,79.0,79.0,79.0,Multivalue,5.15,-0.44,+0.38,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no,1971,,N,N
HyperSQL,80.0,80.0,75.0,Relational,5.07,-0.26,-0.37,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.1, October 2022",Open Source,based on BSD license,no,2001,2022,Y,N
Ignite,81.0,83.0,62.0,Multi-model,4.99,-0.16,-1.86,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,Apache Ignite 2.6,Open Source,Apache 2.0,no,2015,,Y,N
Accumulo,82.0,81.0,87.0,Wide column,4.93,-0.33,+0.71,https://db-engines.com/en/system/Accumulo,,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no,2008,2022,Y,N
Virtuoso,83.0,82.0,68.0,Multi-model,4.88,-0.36,-1.31,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.7, May 2022",Open Source,"GPLv2, extended commercial license available",no,1998,2022,Y,N
TimescaleDB,84.0,86.0,83.0,"Time Series, Multi-model",4.78,+0.08,+0.26,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.11.0, May 2023",Open Source,Apache 2.0,no,2017,2023,Y,N
OrientDB,85.0,88.0,80.0,Multi-model,4.76,+0.23,+0.09,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.17, March 2023",Open Source,Apache version 2,no,2010,2023,Y,N
Google Cloud Bigtable,86.0,85.0,84.0,Multi-model,4.69,-0.10,+0.21,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes,2015,,N,Y
ArangoDB,87.0,84.0,76.0,Multi-model,4.57,-0.32,-0.84,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.10.5.1, March 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no,2012,2023,Y,N
SAP IQ,88.0,87.0,81.0,Relational,4.56,-0.08,-0.09,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,"16.1 SPS04, April 2019",commercial,,no,1994,2019,N,N
"UniData,UniVerse",89.0,89.0,85.0,Multivalue,4.46,+0.02,+0.08,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no,1985,,N,N
