Rank_Jan-2025,Rank_Dec-2024,Rank_Jan-2024,DBMS,Database Model,Score_Jan-2025,Score_Dec-2024,Score_Jan-2024,DBMS_insitelink,Multi_model_info
35.,35.,33.,Couchbase,Multi-model,16.01,+0.18,-5.18,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
36.,36.,34.,Informix,"Relational, Multi-model",15.39,-0.32,-5.30,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
37.,37.,31.,Microsoft Azure Synapse Analytics,Relational,15.00,-0.35,-11.28,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
38.,38.,32.,Amazon Redshift,Relational,14.52,+0.31,-7.78,https://db-engines.com/en/system/Amazon+Redshift,
39.,39.,39.,Firebase Realtime Database,Document,13.11,+0.05,-3.52,https://db-engines.com/en/system/Firebase+Realtime+Database,
40.,40.,43.,Apache Flink,Relational,12.03,+1.31,-1.89,https://db-engines.com/en/system/Apache+Flink,
41.,41.,38.,Apache Impala,"Relational, Multi-model",10.69,+0.30,-5.97,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
42.,42.,44.,Vertica,"Relational, Multi-model",9.63,+0.10,-3.60,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,43.,40.,dBASE,Relational,8.56,-0.94,-5.95,https://db-engines.com/en/system/dBASE,
44.,45.,49.,Amazon Aurora,"Relational, Multi-model",8.11,+0.63,-1.74,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store"
45.,44.,45.,CouchDB,"Document, Multi-model",7.78,+0.08,-5.34,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
46.,49.,48.,Greenplum,"Relational, Multi-model",7.38,+0.31,-3.02,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
47.,46.,52.,etcd,Key-value,7.08,-0.06,-1.19,https://db-engines.com/en/system/etcd,
48.,52.,46.,Netezza,Relational,7.03,+0.19,-5.51,https://db-engines.com/en/system/Netezza,
49.,48.,55.,Realm,Document,6.99,-0.13,-1.12,https://db-engines.com/en/system/Realm,
50.,50.,51.,H2,"Relational, Multi-model",6.95,-0.07,-1.50,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
51.,51.,56.,Kdb,Multi-model,6.95,-0.04,-1.02,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
52.,47.,50.,Prometheus,Time Series,6.85,-0.27,-2.10,https://db-engines.com/en/system/Prometheus,
53.,53.,47.,Google Cloud Firestore,Document,6.73,+0.15,-4.39,https://db-engines.com/en/system/Google+Cloud+Firestore,
54.,54.,41.,Presto,Relational,6.58,+0.04,-7.65,https://db-engines.com/en/system/Presto,
55.,55.,86.,DuckDB,Relational,6.32,+0.15,+1.91,https://db-engines.com/en/system/DuckDB,
56.,56.,68.,Sphinx,Search engine,5.86,-0.05,-0.23,https://db-engines.com/en/system/Sphinx,
57.,57.,62.,Algolia,Search engine,5.63,-0.16,-0.86,https://db-engines.com/en/system/Algolia,
58.,61.,54.,Hazelcast,"Key-value, Multi-model",5.59,+0.23,-2.55,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
59.,58.,53.,Oracle Essbase,Relational,5.49,-0.12,-2.73,https://db-engines.com/en/system/Oracle+Essbase,
60.,59.,65.,Microsoft Azure AI Search,"Search engine, Multi-model",5.45,-0.04,-0.77,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
61.,60.,80.,Trino,"Relational, Multi-model",5.40,+0.02,+0.49,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
62.,62.,59.,Aerospike,Multi-model,5.05,-0.29,-1.71,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS,Vector DBMS"
63.,63.,75.,Graphite,Time Series,4.55,-0.26,-0.72,https://db-engines.com/en/system/Graphite,
64.,64.,57.,Datastax Enterprise,"Wide column, Multi-model",4.48,-0.26,-3.42,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
65.,65.,67.,Ehcache,Key-value,4.39,-0.23,-1.76,https://db-engines.com/en/system/Ehcache,
66.,67.,60.,CockroachDB,Relational,4.29,+0.10,-2.31,https://db-engines.com/en/system/CockroachDB,
67.,66.,58.,MarkLogic,Multi-model,3.95,-0.37,-3.83,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
68.,68.,69.,Apache Jackrabbit,Content,3.93,-0.22,-2.12,https://db-engines.com/en/system/Apache+Jackrabbit,
69.,69.,64.,SingleStore,"Relational, Multi-model",3.90,-0.23,-2.33,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
70.,70.,79.,Google Cloud Datastore,Document,3.80,-0.16,-1.19,https://db-engines.com/en/system/Google+Cloud+Datastore,
71.,71.,87.,TiDB,"Relational, Multi-model",3.68,-0.18,-0.67,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
72.,72.,66.,ScyllaDB,"Wide column, Multi-model",3.65,-0.17,-2.53,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
73.,73.,61.,Apache Derby,Relational,3.63,-0.16,-2.89,https://db-engines.com/en/system/Apache+Derby,
74.,76.,95.,OpenEdge,Relational,3.61,-0.03,-0.27,https://db-engines.com/en/system/OpenEdge,
75.,74.,76.,TimescaleDB,"Time Series, Multi-model",3.56,-0.18,-1.68,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
76.,75.,70.,Interbase,Relational,3.56,-0.11,-2.41,https://db-engines.com/en/system/Interbase,
77.,78.,74.,Ingres,Relational,3.47,-0.14,-1.99,https://db-engines.com/en/system/Ingres,
78.,77.,71.,Riak KV,Key-value,3.47,-0.17,-2.17,https://db-engines.com/en/system/Riak+KV,
79.,79.,77.,Virtuoso,Multi-model,3.32,-0.26,-1.76,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
80.,81.,97.,Oracle NoSQL,Multi-model,3.24,+0.03,-0.47,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
81.,80.,108.,Pinecone,Vector,3.20,-0.03,0.00,https://db-engines.com/en/system/Pinecone,
82.,82.,73.,SAP SQL Anywhere,Relational,3.19,+0.01,-2.32,https://db-engines.com/en/system/SAP+SQL+Anywhere,
83.,83.,63.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.02,-0.07,-3.43,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
84.,87.,121.,QuestDB,"Time Series, Multi-model",3.00,+0.02,+0.28,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
85.,88.,84.,Apache Ignite,Multi-model,2.94,-0.04,-1.55,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
86.,92.,99.,Apache Druid,Multi-model,2.92,+0.04,-0.66,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
87.,89.,88.,ArangoDB,Multi-model,2.92,-0.04,-1.43,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
88.,86.,78.,Apache Jena - TDB,RDF,2.85,-0.13,-2.17,https://db-engines.com/en/system/Apache+Jena+-+TDB,
89.,90.,83.,HyperSQL,Relational,2.82,-0.12,-1.77,https://db-engines.com/en/system/HyperSQL,
90.,84.,72.,Microsoft Azure Table Storage,Wide column,2.82,-0.23,-2.79,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
91.,99.,101.,Google Cloud Spanner,Relational,2.80,+0.14,-0.69,https://db-engines.com/en/system/Google+Cloud+Spanner,
92.,85.,91.,Google Cloud Bigtable,Multi-model,2.80,-0.22,-1.39,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
93.,93.,90.,OrientDB,Multi-model,2.79,-0.08,-1.41,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
94.,91.,81.,Apache Accumulo,Wide column,2.78,-0.15,-2.05,https://db-engines.com/en/system/Apache+Accumulo,
95.,98.,82.,Adabas,Multivalue,2.77,+0.10,-1.85,https://db-engines.com/en/system/Adabas,
96.,95.,183.,Milvus,Vector,2.76,-0.06,+1.32,https://db-engines.com/en/system/Milvus,
97.,94.,93.,RocksDB,Key-value,2.73,-0.12,-1.37,https://db-engines.com/en/system/RocksDB,
98.,96.,120.,GraphDB,Multi-model,2.72,-0.06,-0.01,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
99.,97.,109.,Memgraph,Graph,2.62,-0.08,-0.53,https://db-engines.com/en/system/Memgraph,
100.,103.,105.,IBM Cloudant,Document,2.60,+0.07,-0.71,https://db-engines.com/en/system/IBM+Cloudant,
101.,100.,127.,InterSystems IRIS,Multi-model,2.56,-0.04,+0.02,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
102.,101.,92.,RavenDB,"Document, Multi-model",2.50,-0.09,-1.63,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
103.,102.,85.,DolphinDB,Multi-model,2.47,-0.07,-1.99,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
104.,104.,94.,GemFire,"Key-value, Multi-model",2.44,-0.09,-1.55,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
105.,105.,96.,SAP IQ,Relational,2.42,-0.07,-1.40,https://db-engines.com/en/system/SAP+IQ,
106.,106.,98.,RethinkDB,"Document, Multi-model",2.38,-0.11,-1.25,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
107.,108.,130.,Coveo,Search engine,2.37,-0.04,-0.15,https://db-engines.com/en/system/Coveo,
108.,116.,171.,OceanBase,"Relational, Multi-model",2.36,+0.34,+0.81,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
109.,107.,102.,YugabyteDB,"Relational, Multi-model",2.35,-0.10,-1.12,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
110.,109.,89.,"UniData,UniVerse",Multivalue,2.22,-0.15,-2.05,https://db-engines.com/en/system/UniData%2CUniVerse,
111.,112.,113.,Amazon Neptune,Multi-model,2.19,+0.02,-0.68,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
112.,111.,104.,LevelDB,Key-value,2.10,-0.09,-1.30,https://db-engines.com/en/system/LevelDB,
113.,110.,100.,Infinispan,Key-value,2.08,-0.26,-1.47,https://db-engines.com/en/system/Infinispan,
114.,117.,129.,Citus,"Relational, Multi-model",2.04,+0.03,-0.49,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
115.,114.,110.,4D,Relational,2.02,-0.12,-1.05,https://db-engines.com/en/system/4D,
116.,113.,107.,MaxDB,Relational,2.02,-0.14,-1.26,https://db-engines.com/en/system/MaxDB,
117.,115.,103.,TDengine,"Time Series, Multi-model",1.96,-0.16,-1.47,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
118.,125.,139.,Chroma,Vector,1.95,+0.08,-0.28,https://db-engines.com/en/system/Chroma,
119.,118.,117.,Percona Server for MySQL,Relational,1.95,-0.06,-0.83,https://db-engines.com/en/system/Percona+Server+for+MySQL,
120.,119.,112.,PouchDB,Document,1.94,-0.05,-0.94,https://db-engines.com/en/system/PouchDB,
121.,126.,198.,Qdrant,Vector,1.93,+0.08,+0.70,https://db-engines.com/en/system/Qdrant,
122.,120.,143.,GridDB,"Time Series, Multi-model",1.93,-0.01,-0.25,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
123.,123.,123.,LMDB,Key-value,1.88,+0.01,-0.79,https://db-engines.com/en/system/LMDB,
124.,121.,124.,Apache Phoenix,Relational,1.88,-0.02,-0.79,https://db-engines.com/en/system/Apache+Phoenix,
125.,127.,147.,Amazon DocumentDB,Document,1.85,+0.01,-0.21,https://db-engines.com/en/system/Amazon+DocumentDB,
126.,124.,111.,CloudKit,Document,1.84,-0.03,-1.07,https://db-engines.com/en/system/CloudKit,
127.,122.,106.,Oracle Berkeley DB,Multi-model,1.82,-0.07,-1.47,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
128.,128.,122.,Apache Drill,Multi-model,1.77,-0.04,-0.93,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
129.,129.,131.,JanusGraph,Graph,1.72,-0.04,-0.78,https://db-engines.com/en/system/JanusGraph,
130.,131.,126.,Oracle Coherence,Key-value,1.69,-0.05,-0.95,https://db-engines.com/en/system/Oracle+Coherence,
131.,130.,141.,Stardog,Multi-model,1.68,-0.07,-0.51,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
132.,132.,132.,Amazon CloudSearch,Search engine,1.68,-0.04,-0.74,https://db-engines.com/en/system/Amazon+CloudSearch,
133.,141.,136.,IMS,Navigational,1.68,+0.12,-0.65,https://db-engines.com/en/system/IMS,
134.,133.,116.,NebulaGraph,Graph,1.66,-0.05,-1.14,https://db-engines.com/en/system/NebulaGraph,
135.,136.,128.,EDB Postgres,"Relational, Multi-model",1.66,-0.04,-0.88,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
136.,134.,135.,Amazon SimpleDB,Key-value,1.65,-0.06,-0.69,https://db-engines.com/en/system/Amazon+SimpleDB,
137.,137.,142.,MonetDB,"Relational, Multi-model",1.63,-0.07,-0.56,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
138.,138.,115.,RRDtool,Time Series,1.62,-0.01,-1.18,https://db-engines.com/en/system/RRDtool,
139.,140.,119.,EXASOL,Relational,1.58,-0.04,-1.18,https://db-engines.com/en/system/EXASOL,
140.,139.,138.,Empress,Relational,1.57,-0.06,-0.72,https://db-engines.com/en/system/Empress,
141.,143.,134.,Datomic,Relational,1.50,+0.02,-0.85,https://db-engines.com/en/system/Datomic,
142.,135.,149.,Weaviate,Vector,1.50,-0.20,-0.53,https://db-engines.com/en/system/Weaviate,
143.,142.,137.,SpatiaLite,"Spatial, Multi-model",1.47,-0.03,-0.84,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
144.,144.,140.,OpenTSDB,Time Series,1.46,-0.02,-0.75,https://db-engines.com/en/system/OpenTSDB,
145.,146.,150.,jBASE,Multivalue,1.45,-0.01,-0.57,https://db-engines.com/en/system/jBASE,
146.,153.,146.,Tibero,Relational,1.45,+0.07,-0.61,https://db-engines.com/en/system/Tibero,
147.,147.,144.,BaseX,Native XML,1.43,-0.03,-0.71,https://db-engines.com/en/system/BaseX,
148.,145.,152.,Fauna,Multi-model,1.42,-0.05,-0.54,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
149.,152.,151.,TigerGraph,Graph,1.42,+0.03,-0.58,https://db-engines.com/en/system/TigerGraph,
150.,148.,114.,Geode,Key-value,1.39,-0.06,-1.43,https://db-engines.com/en/system/Geode,
151.,151.,201.,Apache IoTDB,Time Series,1.38,-0.02,+0.17,https://db-engines.com/en/system/Apache+IoTDB,
152.,149.,145.,Tarantool,Multi-model,1.38,-0.06,-0.72,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
153.,158.,167.,D3,Multivalue,1.36,+0.05,-0.24,https://db-engines.com/en/system/D3,
154.,161.,298.,Alibaba Cloud PolarDB,Relational,1.35,+0.06,+0.91,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
155.,160.,154.,Db4o,Object oriented,1.34,+0.04,-0.58,https://db-engines.com/en/system/Db4o,
156.,165.,169.,VictoriaMetrics,Time Series,1.33,+0.08,-0.24,https://db-engines.com/en/system/VictoriaMetrics,
157.,154.,156.,GridGain,Multi-model,1.31,-0.06,-0.57,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
158.,166.,193.,Amazon Timestream,Time Series,1.31,+0.08,-0.01,https://db-engines.com/en/system/Amazon+Timestream,
159.,150.,133.,Firebolt,Relational,1.31,-0.10,-1.07,https://db-engines.com/en/system/Firebolt,
160.,155.,163.,Actian NoSQL Database,Object oriented,1.29,-0.07,-0.49,https://db-engines.com/en/system/Actian+NoSQL+Database,
161.,156.,153.,VoltDB,Relational,1.27,-0.05,-0.68,https://db-engines.com/en/system/VoltDB,
162.,159.,118.,HEAVY.AI,"Relational, Multi-model",1.25,-0.05,-1.52,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
163.,157.,155.,Dgraph,Graph,1.25,-0.06,-0.64,https://db-engines.com/en/system/Dgraph,
164.,169.,179.,GBase,Relational,1.24,+0.07,-0.22,https://db-engines.com/en/system/GBase,
165.,162.,158.,ObjectStore,Object oriented,1.22,-0.06,-0.66,https://db-engines.com/en/system/ObjectStore,
166.,164.,157.,IBM Db2 warehouse,Relational,1.20,-0.05,-0.69,https://db-engines.com/en/system/IBM+Db2+warehouse,
167.,167.,159.,TimesTen,Relational,1.19,-0.03,-0.64,https://db-engines.com/en/system/TimesTen,
168.,168.,160.,Mnesia,Document,1.15,-0.04,-0.65,https://db-engines.com/en/system/Mnesia,
169.,163.,166.,mSQL,Relational,1.14,-0.12,-0.49,https://db-engines.com/en/system/mSQL,
170.,176.,208.,StarRocks,Relational,1.13,+0.06,+0.02,https://db-engines.com/en/system/StarRocks,
171.,172.,180.,Giraph,Graph,1.08,-0.02,-0.37,https://db-engines.com/en/system/Giraph,
172.,171.,161.,LiteDB,Document,1.08,-0.06,-0.73,https://db-engines.com/en/system/LiteDB,
173.,170.,181.,Meilisearch,Search engine,1.08,-0.07,-0.37,https://db-engines.com/en/system/Meilisearch,
174.,175.,184.,ObjectBox,Multi-model,1.07,-0.01,-0.33,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
175.,181.,185.,MatrixOne,Relational,1.05,+0.01,-0.34,https://db-engines.com/en/system/MatrixOne,
176.,174.,182.,openGauss,"Relational, Multi-model",1.05,-0.04,-0.40,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
177.,173.,170.,Apache Kylin,Relational,1.05,-0.04,-0.51,https://db-engines.com/en/system/Apache+Kylin,
178.,182.,186.,HFSQL,Relational,1.05,+0.02,-0.34,https://db-engines.com/en/system/HFSQL,
179.,187.,174.,GigaSpaces,Multi-model,1.04,+0.05,-0.46,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
180.,177.,176.,EventStoreDB,Event,1.04,-0.03,-0.44,https://db-engines.com/en/system/EventStoreDB,
181.,179.,178.,Datameer,Document,1.02,-0.03,-0.44,https://db-engines.com/en/system/Datameer,
182.,180.,162.,SQLBase,Relational,1.00,-0.04,-0.79,https://db-engines.com/en/system/SQLBase,
183.,178.,173.,DataEase,Relational,1.00,-0.05,-0.53,https://db-engines.com/en/system/DataEase,
184.,188.,210.,M3DB,Time Series,0.99,0.00,-0.12,https://db-engines.com/en/system/M3DB,
185.,190.,148.,PlanetScale,"Relational, Multi-model",0.98,+0.01,-1.06,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
186.,186.,226.,Amazon Keyspaces,Wide column,0.97,-0.02,+0.01,https://db-engines.com/en/system/Amazon+Keyspaces,
187.,189.,203.,SurrealDB,Multi-model,0.97,-0.01,-0.23,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
188.,183.,168.,Oracle Rdb,Relational,0.97,-0.05,-0.61,https://db-engines.com/en/system/Oracle+Rdb,
189.,184.,190.,Apache HAWQ,Relational,0.96,-0.04,-0.38,https://db-engines.com/en/system/Apache+HAWQ,
190.,185.,233.,eXtremeDB,Multi-model,0.96,-0.04,+0.07,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
191.,193.,217.,TDSQL for MySQL,"Relational, Multi-model",0.96,+0.01,-0.07,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
192.,191.,191.,NCache,"Key-value, Multi-model",0.93,-0.04,-0.40,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
193.,192.,172.,GT.M,Key-value,0.91,-0.03,-0.61,https://db-engines.com/en/system/GT.M,
194.,198.,194.,NonStop SQL,Relational,0.91,0.00,-0.40,https://db-engines.com/en/system/NonStop+SQL,
195.,194.,206.,Rockset,"Document, Multi-model",0.90,-0.03,-0.26,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
196.,208.,192.,ZODB,Key-value,0.89,+0.08,-0.43,https://db-engines.com/en/system/ZODB,
197.,200.,252.,Alibaba Cloud MaxCompute,Relational,0.89,+0.01,+0.13,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
198.,197.,207.,Vitess,"Relational, Multi-model",0.89,-0.02,-0.25,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
199.,196.,165.,FoundationDB,Multi-model,0.89,-0.03,-0.82,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
200.,199.,215.,IDMS,Navigational,0.88,-0.02,-0.17,https://db-engines.com/en/system/IDMS,
201.,195.,177.,Cubrid,Relational,0.87,-0.05,-0.60,https://db-engines.com/en/system/Cubrid,
202.,202.,247.,RDF4J,RDF,0.83,-0.03,+0.05,https://db-engines.com/en/system/RDF4J,
203.,201.,248.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.83,-0.04,+0.05,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
