Rank_Sep-2025,Rank_Aug-2025,Rank_Sep-2024,DBMS,Database Model,Score_Sep-2025,Score_Aug-2025,Score_Sep-2024,DBMS_insitelink,Multi_model_info
15.,15.,17.,Amazon DynamoDB,Multi-model,80.28,-3.20,+10.22,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store"
16.,16.,16.,Microsoft Azure SQL Database,"Relational, Multi-model",79.18,+3.34,+6.23,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
17.,17.,18.,Apache Hive,Relational,76.10,+5.06,+23.02,https://db-engines.com/en/system/Apache+Hive,
18.,18.,13.,Splunk,Search engine,75.77,+6.00,-17.26,https://db-engines.com/en/system/Splunk,
19.,19.,19.,Google BigQuery,Relational,66.00,+0.82,+13.33,https://db-engines.com/en/system/Google+BigQuery,
20.,20.,21.,Neo4j,Graph,53.78,-0.69,+11.10,https://db-engines.com/en/system/Neo4j,
21.,21.,24.,Apache Solr,"Search engine, Multi-model",36.76,+1.96,+2.61,https://db-engines.com/en/system/Apache+Solr,"Search engine,Spatial DBMS"
22.,23.,20.,FileMaker,Relational,34.44,+1.12,-10.76,https://db-engines.com/en/system/FileMaker,
23.,22.,22.,Teradata,"Relational, Multi-model",34.41,+0.66,-7.06,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
24.,24.,23.,SAP HANA,"Relational, Multi-model",33.07,+0.77,-8.25,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",27.74,-0.40,-4.93,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,26.,34.,Apache Spark (SQL),Relational,25.36,+0.73,+8.93,https://db-engines.com/en/system/Apache+Spark+%28SQL%29,
27.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,23.94,+1.10,-1.03,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
28.,28.,28.,InfluxDB,"Time Series, Multi-model",23.75,+1.16,+1.63,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,30.,29.,PostGIS,"Spatial, Multi-model",21.69,+2.11,+1.52,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
30.,29.,26.,Apache HBase,Wide column,21.39,-0.69,-6.02,https://db-engines.com/en/system/Apache+HBase,
31.,31.,37.,ClickHouse,"Relational, Multi-model",20.15,+1.30,+4.27,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Document Stores,Spatial DBMS,Time Series DBMS,Vector DBMS"
32.,32.,36.,OpenSearch,Multi-model,19.93,+1.45,+3.62,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS,Vector DBMS"
33.,33.,30.,Firebird,Relational,16.54,-0.87,-2.92,https://db-engines.com/en/system/Firebird,
34.,34.,32.,Memcached,Key-value,16.16,+0.01,-0.68,https://db-engines.com/en/system/Memcached,
35.,35.,35.,Informix,"Relational, Multi-model",15.52,+0.75,-0.81,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
36.,37.,39.,Firebase Realtime Database,Document,15.40,+1.01,+1.80,https://db-engines.com/en/system/Firebase+Realtime+Database,
37.,36.,38.,Amazon Redshift,Relational,15.14,+0.74,-0.10,https://db-engines.com/en/system/Amazon+Redshift,
38.,39.,40.,Apache Impala,"Relational, Multi-model",14.07,+0.70,+3.44,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store"
39.,38.,31.,Microsoft Azure Synapse Analytics,Relational,13.92,-0.23,-5.05,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
40.,41.,41.,Apache Flink,Relational,13.03,+1.00,+2.41,https://db-engines.com/en/system/Apache+Flink,
41.,40.,33.,Couchbase,Multi-model,12.58,-0.09,-4.16,https://db-engines.com/en/system/Couchbase,"Document store,Vector DBMS,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Wide column store"
42.,42.,42.,Vertica,"Relational, Multi-model",9.48,+0.07,-0.14,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,43.,54.,Google Cloud Firestore,Document,9.18,+0.72,+2.55,https://db-engines.com/en/system/Google+Cloud+Firestore,
44.,44.,60.,DuckDB,Relational,8.70,+0.80,+3.09,https://db-engines.com/en/system/DuckDB,
45.,45.,44.,Amazon Aurora,"Relational, Multi-model",8.34,+0.64,+0.50,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store,Spatial DBMS,Vector DBMS"
46.,48.,45.,Kdb,Multi-model,8.18,+1.21,+0.45,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
47.,46.,49.,Prometheus,Time Series,7.92,+0.62,+0.36,https://db-engines.com/en/system/Prometheus,
48.,47.,46.,Greenplum,"Relational, Multi-model",7.47,+0.28,-0.24,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
49.,49.,53.,etcd,Key-value,7.44,+0.56,+0.40,https://db-engines.com/en/system/etcd,
50.,52.,47.,H2,"Relational, Multi-model",7.26,+0.50,-0.31,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
51.,53.,48.,Netezza,Relational,7.08,+0.43,-0.48,https://db-engines.com/en/system/Netezza,
52.,50.,43.,dBASE,Relational,6.98,+0.10,-2.18,https://db-engines.com/en/system/dBASE,
53.,55.,57.,Algolia,Search engine,6.89,+0.68,+1.07,https://db-engines.com/en/system/Algolia,
54.,54.,52.,Realm,Document,6.82,+0.39,-0.36,https://db-engines.com/en/system/Realm,
55.,57.,61.,Trino,"Relational, Multi-model",6.58,+0.75,+1.31,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
56.,51.,51.,CouchDB,"Document, Multi-model",6.55,-0.26,-0.91,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
57.,56.,50.,Presto,Relational,6.48,+0.45,-1.05,https://db-engines.com/en/system/Presto,
58.,58.,56.,Sphinx,Search engine,6.19,+0.62,+0.22,https://db-engines.com/en/system/Sphinx,
59.,59.,58.,Microsoft Azure AI Search,"Search engine, Multi-model",6.05,+0.68,+0.30,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
60.,61.,87.,Pinecone,Vector,5.98,+1.03,+2.95,https://db-engines.com/en/system/Pinecone,
61.,60.,55.,Oracle Essbase,Relational,5.28,+0.17,-0.75,https://db-engines.com/en/system/Oracle+Essbase,
62.,63.,59.,Hazelcast,"Key-value, Multi-model",5.26,+0.56,-0.46,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
63.,64.,62.,Graphite,Time Series,5.17,+0.51,-0.01,https://db-engines.com/en/system/Graphite,
64.,62.,63.,Aerospike,Multi-model,5.10,+0.27,-0.06,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
65.,65.,67.,CockroachDB,Relational,5.03,+0.76,+0.29,https://db-engines.com/en/system/CockroachDB,
66.,68.,89.,Milvus,Vector,4.52,+0.69,+1.51,https://db-engines.com/en/system/Milvus,
67.,66.,70.,MarkLogic,Multi-model,4.31,+0.36,+0.16,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS"
68.,67.,73.,TimescaleDB,"Time Series, Multi-model",4.29,+0.38,+0.23,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
69.,70.,69.,ScyllaDB,"Wide column, Multi-model",3.99,+0.29,-0.17,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
70.,71.,79.,Ingres,Relational,3.92,+0.27,+0.29,https://db-engines.com/en/system/Ingres,
71.,80.,74.,SingleStore,"Relational, Multi-model",3.91,+0.61,-0.11,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
72.,73.,78.,OpenEdge,Relational,3.81,+0.29,+0.12,https://db-engines.com/en/system/OpenEdge,
73.,74.,96.,Apache Druid,Multi-model,3.78,+0.29,+0.93,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
74.,69.,64.,Apache Jackrabbit,Content,3.73,+0.01,-1.12,https://db-engines.com/en/system/Apache+Jackrabbit,
75.,72.,71.,Google Cloud Datastore,Document,3.71,+0.12,-0.43,https://db-engines.com/en/system/Google+Cloud+Datastore,
76.,76.,77.,Interbase,Relational,3.68,+0.23,-0.10,https://db-engines.com/en/system/Interbase,
77.,79.,65.,Datastax Enterprise,"Wide column, Multi-model",3.68,+0.36,-1.15,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
78.,75.,86.,Oracle NoSQL,Multi-model,3.62,+0.16,+0.55,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
79.,86.,98.,QuestDB,"Time Series, Multi-model",3.51,+0.45,+0.69,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
80.,82.,66.,Ehcache,Key-value,3.48,+0.24,-1.31,https://db-engines.com/en/system/Ehcache,
81.,84.,83.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.45,+0.37,+0.18,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
82.,87.,145.,Qdrant,Vector,3.44,+0.51,+1.91,https://db-engines.com/en/system/Qdrant,
83.,77.,72.,TiDB,"Relational, Multi-model",3.42,+0.04,-0.67,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
84.,88.,97.,RocksDB,Key-value,3.33,+0.41,+0.49,https://db-engines.com/en/system/RocksDB,
85.,78.,76.,Riak KV,Key-value,3.32,-0.03,-0.52,https://db-engines.com/en/system/Riak+KV,
86.,85.,68.,Apache Derby,Relational,3.28,+0.22,-0.95,https://db-engines.com/en/system/Apache+Derby,
87.,81.,81.,SAP SQL Anywhere,Relational,3.26,-0.04,-0.24,https://db-engines.com/en/system/SAP+SQL+Anywhere,
88.,83.,90.,Apache Ignite,Multi-model,3.10,-0.02,+0.10,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
89.,92.,101.,Google Cloud Spanner,Relational,3.08,+0.28,+0.39,https://db-engines.com/en/system/Google+Cloud+Spanner,
90.,90.,119.,OceanBase,Multi-model,3.04,+0.22,+1.07,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store"
91.,89.,82.,ArangoDB,Multi-model,2.94,+0.03,-0.37,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
92.,91.,103.,GemFire,"Key-value, Multi-model",2.93,+0.12,+0.29,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
93.,109.,149.,Weaviate,Vector,2.91,+0.63,+1.43,https://db-engines.com/en/system/Weaviate,
94.,95.,80.,Microsoft Azure Table Storage,Wide column,2.84,+0.14,-0.71,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
95.,94.,85.,HyperSQL,Relational,2.83,+0.09,-0.31,https://db-engines.com/en/system/HyperSQL,
96.,101.,95.,IBM Cloudant,Document,2.79,+0.28,-0.07,https://db-engines.com/en/system/IBM+Cloudant,
97.,98.,92.,Google Cloud Bigtable,Multi-model,2.75,+0.15,-0.22,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
98.,93.,104.,Adabas,Multivalue,2.69,-0.07,+0.05,https://db-engines.com/en/system/Adabas,
99.,102.,116.,Coveo,Search engine,2.66,+0.16,+0.52,https://db-engines.com/en/system/Coveo,
100.,106.,106.,SAP IQ,Relational,2.63,+0.28,+0.07,https://db-engines.com/en/system/SAP+IQ,
101.,96.,88.,OrientDB,Multi-model,2.59,-0.05,-0.43,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
102.,107.,84.,Apache Accumulo,Wide column,2.55,+0.27,-0.68,https://db-engines.com/en/system/Apache+Accumulo,
103.,99.,75.,Virtuoso,Multi-model,2.53,-0.04,-1.46,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
104.,110.,122.,NebulaGraph,Graph,2.53,+0.27,+0.61,https://db-engines.com/en/system/NebulaGraph,
105.,104.,93.,Apache Jena - TDB,RDF,2.51,+0.14,-0.40,https://db-engines.com/en/system/Apache+Jena+-+TDB,
106.,105.,94.,Memgraph,Graph,2.44,+0.07,-0.47,https://db-engines.com/en/system/Memgraph,
107.,103.,113.,Amazon Neptune,Multi-model,2.42,+0.04,+0.22,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
108.,100.,102.,RavenDB,"Document, Multi-model",2.42,-0.10,-0.25,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
109.,108.,105.,RethinkDB,"Document, Multi-model",2.40,+0.11,-0.18,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
110.,111.,129.,Chroma,Vector,2.37,+0.15,+0.48,https://db-engines.com/en/system/Chroma,
111.,97.,99.,GraphDB,Multi-model,2.36,-0.26,-0.41,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
112.,112.,91.,InterSystems IRIS,Multi-model,2.27,+0.10,-0.71,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
113.,113.,112.,"UniData,UniVerse",Multivalue,2.27,+0.14,+0.01,https://db-engines.com/en/system/UniData%2CUniVerse,
114.,118.,117.,Citus,"Relational, Multi-model",2.21,+0.24,+0.08,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
115.,115.,125.,Apache Phoenix,Relational,2.18,+0.18,+0.28,https://db-engines.com/en/system/Apache+Phoenix,
116.,114.,108.,YugabyteDB,"Relational, Multi-model",2.13,+0.12,-0.35,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
117.,119.,118.,Percona Server for MySQL,Relational,2.11,+0.15,+0.05,https://db-engines.com/en/system/Percona+Server+for+MySQL,
118.,121.,111.,LevelDB,Key-value,2.10,+0.18,-0.23,https://db-engines.com/en/system/LevelDB,
119.,116.,110.,4D,Relational,2.07,+0.07,-0.30,https://db-engines.com/en/system/4D,
120.,120.,109.,Infinispan,Key-value,2.04,+0.11,-0.36,https://db-engines.com/en/system/Infinispan,
121.,123.,120.,LMDB,Key-value,2.01,+0.14,+0.07,https://db-engines.com/en/system/LMDB,
122.,128.,123.,GridDB,"Time Series, Multi-model",2.00,+0.24,+0.09,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
123.,125.,114.,PouchDB,Document,1.97,+0.13,-0.21,https://db-engines.com/en/system/PouchDB,
124.,124.,124.,Amazon DocumentDB,Document,1.95,+0.10,+0.04,https://db-engines.com/en/system/Amazon+DocumentDB,
125.,117.,100.,DolphinDB,Multi-model,1.95,-0.04,-0.77,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
126.,127.,133.,Amazon CloudSearch,Search engine,1.93,+0.14,+0.08,https://db-engines.com/en/system/Amazon+CloudSearch,
127.,126.,132.,CloudKit,Document,1.93,+0.13,+0.07,https://db-engines.com/en/system/CloudKit,
128.,130.,126.,Apache Drill,Multi-model,1.86,+0.14,-0.04,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
129.,122.,115.,MaxDB,Relational,1.86,-0.04,-0.29,https://db-engines.com/en/system/MaxDB,
130.,129.,134.,JanusGraph,Graph,1.86,+0.13,+0.00,https://db-engines.com/en/system/JanusGraph,
131.,136.,107.,TDengine,"Time Series, Multi-model",1.82,+0.20,-0.66,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
132.,135.,131.,EDB Postgres,"Relational, Multi-model",1.80,+0.18,-0.06,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
133.,147.,152.,TigerGraph,Graph,1.80,+0.34,+0.37,https://db-engines.com/en/system/TigerGraph,
134.,133.,127.,Oracle Coherence,Key-value,1.79,+0.11,-0.11,https://db-engines.com/en/system/Oracle+Coherence,
135.,143.,165.,VictoriaMetrics,Time Series,1.75,+0.25,+0.52,https://db-engines.com/en/system/VictoriaMetrics,
136.,131.,121.,Stardog,Multi-model,1.75,+0.04,-0.17,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
137.,144.,,Valkey,Key-value,1.73,+0.23,,https://db-engines.com/en/system/Valkey,
138.,134.,128.,Amazon SimpleDB,Key-value,1.71,+0.04,-0.17,https://db-engines.com/en/system/Amazon+SimpleDB,
139.,141.,159.,Apache IoTDB,Time Series,1.69,+0.15,+0.38,https://db-engines.com/en/system/Apache+IoTDB,
140.,139.,142.,SpatiaLite,"Spatial, Multi-model",1.68,+0.13,+0.12,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
141.,132.,130.,Oracle Berkeley DB,Multi-model,1.65,-0.04,-0.22,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
142.,140.,136.,RRDtool,Time Series,1.65,+0.11,-0.05,https://db-engines.com/en/system/RRDtool,
143.,138.,169.,HFSQL,Relational,1.59,-0.01,+0.41,https://db-engines.com/en/system/HFSQL,
144.,149.,144.,Datomic,Relational,1.58,+0.14,+0.03,https://db-engines.com/en/system/Datomic,
145.,148.,140.,OpenTSDB,Time Series,1.58,+0.12,-0.02,https://db-engines.com/en/system/OpenTSDB,
146.,145.,173.,GBase,Relational,1.58,+0.09,+0.46,https://db-engines.com/en/system/GBase,
147.,146.,143.,Fauna,Multi-model,1.58,+0.10,+0.02,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
148.,142.,138.,EXASOL,Relational,1.57,+0.05,-0.09,https://db-engines.com/en/system/EXASOL,
149.,137.,135.,MonetDB,"Relational, Multi-model",1.55,-0.06,-0.17,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
150.,152.,205.,Alibaba Cloud PolarDB,Relational,1.53,+0.17,+0.71,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
151.,150.,141.,BaseX,Native XML,1.53,+0.11,-0.03,https://db-engines.com/en/system/BaseX,
152.,169.,178.,PlanetScale,"Relational, Multi-model",1.50,+0.29,+0.41,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
153.,162.,186.,Meilisearch,Multi-model,1.48,+0.21,+0.48,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
154.,161.,147.,Geode,Key-value,1.40,+0.12,-0.10,https://db-engines.com/en/system/Geode,
155.,158.,150.,GridGain,Multi-model,1.39,+0.10,-0.09,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
156.,155.,146.,IMS,Navigational,1.38,+0.04,-0.14,https://db-engines.com/en/system/IMS,
157.,151.,157.,jBASE,Multivalue,1.38,-0.02,+0.02,https://db-engines.com/en/system/jBASE,
158.,157.,139.,Tarantool,Multi-model,1.37,+0.09,-0.26,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
159.,164.,167.,Amazon Timestream,Time Series,1.36,+0.09,+0.14,https://db-engines.com/en/system/Amazon+Timestream,
160.,165.,155.,Dgraph,Graph,1.34,+0.09,-0.06,https://db-engines.com/en/system/Dgraph,
161.,160.,192.,TDSQL for MySQL,"Relational, Multi-model",1.33,+0.05,+0.37,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
162.,159.,193.,StarRocks,Relational,1.33,+0.05,+0.38,https://db-engines.com/en/system/StarRocks,
163.,178.,175.,openGauss,"Relational, Multi-model",1.33,+0.20,+0.22,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
164.,153.,161.,D3,Multivalue,1.29,-0.06,+0.02,https://db-engines.com/en/system/D3,
165.,168.,156.,VoltDB,Relational,1.29,+0.08,-0.08,https://db-engines.com/en/system/VoltDB,
166.,156.,137.,Empress,Relational,1.29,-0.02,-0.40,https://db-engines.com/en/system/Empress,
167.,170.,162.,IBM Db2 warehouse,Relational,1.29,+0.08,+0.02,https://db-engines.com/en/system/IBM+Db2+warehouse,
168.,163.,176.,SQLBase,Relational,1.28,+0.01,+0.18,https://db-engines.com/en/system/SQLBase,
169.,173.,174.,SurrealDB,Multi-model,1.28,+0.14,+0.17,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
170.,177.,202.,Vitess,"Relational, Multi-model",1.26,+0.13,+0.39,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
171.,180.,166.,Mnesia,Document,1.25,+0.13,+0.03,https://db-engines.com/en/system/Mnesia,
172.,191.,209.,Typesense,Search engine,1.25,+0.29,+0.45,https://db-engines.com/en/system/Typesense,
173.,154.,151.,Tibero,Relational,1.24,-0.12,-0.22,https://db-engines.com/en/system/Tibero,
174.,174.,183.,Amazon Keyspaces,Wide column,1.23,+0.09,+0.18,https://db-engines.com/en/system/Amazon+Keyspaces,
175.,179.,171.,Apache Kylin,Relational,1.22,+0.09,+0.08,https://db-engines.com/en/system/Apache+Kylin,
176.,166.,154.,Actian NoSQL Database,Object oriented,1.21,-0.02,-0.20,https://db-engines.com/en/system/Actian+NoSQL+Database,
177.,181.,179.,ObjectBox,Multi-model,1.21,+0.13,+0.12,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
178.,176.,160.,Db4o,Object oriented,1.21,+0.07,-0.08,https://db-engines.com/en/system/Db4o,
179.,184.,168.,LiteDB,Document,1.19,+0.13,+0.01,https://db-engines.com/en/system/LiteDB,
180.,167.,158.,ObjectStore,Object oriented,1.18,-0.04,-0.16,https://db-engines.com/en/system/ObjectStore,
181.,172.,153.,HEAVY.AI,"Relational, Multi-model",1.16,+0.01,-0.25,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
182.,182.,181.,KurrentDB (aka EventStoreDB),"Event, Multi-model",1.15,+0.08,+0.08,https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,"Event Store,Document store,Time Series DBMS"
183.,175.,164.,TimesTen,Relational,1.13,-0.01,-0.13,https://db-engines.com/en/system/TimesTen,
184.,171.,170.,Datameer,Document,1.12,-0.04,-0.04,https://db-engines.com/en/system/Datameer,
185.,183.,172.,Giraph,Graph,1.08,+0.02,-0.05,https://db-engines.com/en/system/Giraph,
186.,187.,163.,mSQL,Relational,1.04,+0.01,-0.22,https://db-engines.com/en/system/mSQL,
187.,186.,197.,GigaSpaces,Multi-model,1.03,-0.02,+0.12,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
188.,185.,203.,Alibaba Cloud MaxCompute,Relational,1.02,-0.03,+0.17,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
189.,193.,239.,Vespa,Multi-model,1.01,+0.07,+0.43,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
190.,190.,187.,NonStop SQL,Relational,1.01,+0.02,+0.03,https://db-engines.com/en/system/NonStop+SQL,
191.,192.,182.,Apache HAWQ,Relational,0.98,+0.04,-0.07,https://db-engines.com/en/system/Apache+HAWQ,
192.,189.,184.,Oracle Rdb,Relational,0.98,-0.01,-0.06,https://db-engines.com/en/system/Oracle+Rdb,
193.,188.,189.,Cubrid,Relational,0.97,-0.04,0.00,https://db-engines.com/en/system/Cubrid,
194.,197.,191.,FoundationDB,Multi-model,0.97,+0.07,+0.00,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
195.,196.,177.,DataEase,Relational,0.90,0.00,-0.19,https://db-engines.com/en/system/DataEase,
196.,194.,200.,Altibase,Relational,0.90,-0.04,+0.03,https://db-engines.com/en/system/Altibase,
197.,195.,188.,GT.M,Key-value,0.90,-0.01,-0.08,https://db-engines.com/en/system/GT.M,
198.,198.,185.,M3DB,Time Series,0.88,+0.01,-0.13,https://db-engines.com/en/system/M3DB,
199.,209.,214.,GeoMesa,Spatial,0.85,+0.09,+0.06,https://db-engines.com/en/system/GeoMesa,
200.,207.,220.,SciDB,Multivalue,0.83,+0.05,+0.10,https://db-engines.com/en/system/SciDB,
201.,199.,195.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.82,-0.03,-0.09,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
202.,220.,206.,ZODB,Key-value,0.82,+0.12,0.00,https://db-engines.com/en/system/ZODB,
