Rank_Mar-2026,Rank_Feb-2026,Rank_Mar-2025,DBMS,Database Model,Score_Mar-2026,Score_Feb-2026,Score_Mar-2025,DBMS_insitelink,Multi_model_info
58.,55.,45.,Greenplum,"Relational, Multi-model",6.26,-0.44,-1.57,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
59.,56.,46.,CouchDB,"Document, Multi-model",6.05,-0.61,-1.29,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
60.,62.,91.,Milvus,Vector,6.02,+0.29,+3.25,https://db-engines.com/en/system/Milvus,
61.,61.,56.,Sphinx,Search engine,5.80,-0.02,-0.01,https://db-engines.com/en/system/Sphinx,
62.,60.,55.,Presto,Relational,5.79,-0.06,-0.33,https://db-engines.com/en/system/Presto,
63.,63.,73.,TimescaleDB,"Time Series, Multi-model",5.42,-0.18,+1.93,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
64.,65.,112.,Qdrant,Vector,4.79,-0.06,+2.76,https://db-engines.com/en/system/Qdrant,
65.,64.,58.,Hazelcast,"Key-value, Multi-model",4.76,-0.58,-0.71,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
66.,71.,106.,DolphinDB,Multi-model,4.58,+0.46,+2.28,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Vector DBMS,Relational DBMS"
67.,67.,57.,Oracle Essbase,Relational,4.54,-0.16,-0.95,https://db-engines.com/en/system/Oracle+Essbase,
68.,66.,137.,Weaviate,Vector,4.52,-0.22,+2.94,https://db-engines.com/en/system/Weaviate,
69.,68.,63.,Graphite,Time Series,4.51,-0.11,-0.06,https://db-engines.com/en/system/Graphite,
70.,69.,72.,ScyllaDB,"Wide column, Multi-model",4.43,-0.06,+0.82,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
71.,72.,68.,MarkLogic,Multi-model,4.02,-0.08,+0.02,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS"
72.,70.,65.,CockroachDB,Multi-model,3.81,-0.39,-0.59,https://db-engines.com/en/system/CockroachDB,"Multi-Model DBMS,Relational DBMS,CockroachDB supports relational, semi-structured JSON/document, vector/embedding, geospatial, and typed categorical/enumeration data, all exposed via SQL, on the same strongly consistent, globally distributed data platform."
73.,74.,84.,QuestDB,"Time Series, Multi-model",3.66,+0.01,+0.57,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
74.,75.,67.,Apache Jackrabbit,Content,3.60,-0.05,-0.60,https://db-engines.com/en/system/Apache+Jackrabbit,
75.,83.,70.,Google Cloud Datastore,Document,3.57,+0.13,-0.21,https://db-engines.com/en/system/Google+Cloud+Datastore,
76.,77.,89.,Apache Druid,Multi-model,3.50,-0.07,+0.71,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
77.,80.,74.,OpenEdge,Relational,3.47,-0.01,-0.01,https://db-engines.com/en/system/OpenEdge,
78.,73.,60.,Aerospike,Multi-model,3.45,-0.21,-1.77,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
79.,82.,88.,ArangoDB,Multi-model,3.44,-0.03,+0.57,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
80.,84.,82.,RocksDB,Key-value,3.42,+0.03,+0.27,https://db-engines.com/en/system/RocksDB,
81.,79.,75.,Interbase,Relational,3.41,-0.09,-0.03,https://db-engines.com/en/system/Interbase,
82.,76.,69.,Datastax Enterprise,"Wide column, Multi-model",3.37,-0.25,-0.52,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
83.,85.,71.,TiDB,"Relational, Multi-model",3.35,+0.02,-0.39,https://db-engines.com/en/system/TiDB,"Relational DBMS,Vector DBMS"
84.,90.,166.,Alibaba Cloud PolarDB,Relational,3.30,+0.34,+2.12,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,
85.,78.,83.,SAP SQL Anywhere,Relational,3.26,-0.28,+0.13,https://db-engines.com/en/system/SAP+SQL+Anywhere,
86.,89.,66.,Ehcache,Key-value,3.16,+0.12,-1.07,https://db-engines.com/en/system/Ehcache,
87.,87.,77.,Riak KV,Key-value,3.14,-0.07,-0.25,https://db-engines.com/en/system/Riak+KV,
88.,81.,79.,Ingres,Relational,3.14,-0.34,-0.18,https://db-engines.com/en/system/Ingres,
89.,88.,76.,Apache Derby,Relational,3.12,-0.04,-0.30,https://db-engines.com/en/system/Apache+Derby,
90.,86.,87.,Microsoft Azure Data Explorer,"Relational, Multi-model",3.11,-0.11,+0.17,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS"
91.,93.,78.,Oracle NoSQL,Multi-model,3.02,+0.12,-0.32,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
92.,91.,93.,Google Cloud Spanner,Relational,2.86,-0.06,+0.15,https://db-engines.com/en/system/Google+Cloud+Spanner,
93.,95.,86.,Apache Ignite,Multi-model,2.85,+0.01,-0.14,https://db-engines.com/en/system/Apache+Ignite,"Key-value store,Relational DBMS"
94.,92.,90.,Adabas,Multivalue,2.82,-0.10,+0.04,https://db-engines.com/en/system/Adabas,
95.,99.,97.,Microsoft Azure Table Storage,Wide column,2.76,-0.03,+0.10,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
96.,100.,64.,SingleStore,"Relational, Multi-model",2.76,+0.06,-1.76,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
97.,96.,80.,Virtuoso,Multi-model,2.74,-0.11,-0.46,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
98.,94.,120.,Chroma,Vector,2.72,-0.17,+0.84,https://db-engines.com/en/system/Chroma,
99.,98.,100.,GemFire,"Key-value, Multi-model",2.70,-0.12,+0.19,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
100.,101.,85.,HyperSQL,Relational,2.61,-0.04,-0.42,https://db-engines.com/en/system/HyperSQL,
101.,102.,95.,Google Cloud Bigtable,Multi-model,2.55,-0.02,-0.12,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
102.,103.,92.,OrientDB,Multi-model,2.53,-0.03,-0.19,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
103.,106.,101.,IBM Cloudant,Document,2.50,-0.01,+0.01,https://db-engines.com/en/system/IBM+Cloudant,
104.,105.,102.,Apache Accumulo,Wide column,2.48,-0.05,+0.05,https://db-engines.com/en/system/Apache+Accumulo,
105.,104.,108.,Coveo,Search engine,2.47,-0.08,+0.20,https://db-engines.com/en/system/Coveo,
106.,108.,96.,Apache Jena - TDB,RDF,2.47,-0.04,-0.19,https://db-engines.com/en/system/Apache+Jena+-+TDB,
107.,107.,94.,GraphDB,Multi-model,2.42,-0.09,-0.26,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
108.,109.,111.,Amazon Neptune,Multi-model,2.38,-0.07,+0.31,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
109.,97.,105.,OceanBase,Multi-model,2.35,-0.48,+0.02,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Vector DBMS,Document store,Wide column store"
110.,110.,99.,RavenDB,"Document, Multi-model",2.35,-0.03,-0.19,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
111.,111.,103.,SAP IQ,Relational,2.33,-0.04,0.00,https://db-engines.com/en/system/SAP+IQ,
112.,112.,174.,Valkey,Key-value,2.33,+0.03,+1.26,https://db-engines.com/en/system/Valkey,
113.,125.,127.,TDengine,"Time Series, Multi-model",2.27,+0.32,+0.51,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
114.,113.,104.,RethinkDB,"Document, Multi-model",2.25,-0.03,-0.08,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
115.,114.,119.,Citus,"Relational, Multi-model",2.23,-0.02,+0.29,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
116.,115.,139.,NebulaGraph,Graph,2.12,-0.09,+0.57,https://db-engines.com/en/system/NebulaGraph,
117.,116.,122.,Apache Phoenix,Relational,2.11,-0.06,+0.27,https://db-engines.com/en/system/Apache+Phoenix,
118.,118.,121.,4D,Relational,2.05,-0.04,+0.18,https://db-engines.com/en/system/4D,
119.,119.,107.,InterSystems IRIS,Multi-model,2.04,-0.03,-0.25,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
120.,121.,126.,CloudKit,Document,2.03,-0.02,+0.25,https://db-engines.com/en/system/CloudKit,
121.,120.,109.,YugabyteDB,"Relational, Multi-model",1.98,-0.08,-0.24,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
122.,133.,148.,GBase,Relational,1.95,+0.11,+0.55,https://db-engines.com/en/system/GBase,
123.,122.,118.,Percona Server for MySQL,Relational,1.95,-0.02,+0.01,https://db-engines.com/en/system/Percona+Server+for+MySQL,
124.,124.,124.,LMDB,Key-value,1.95,-0.01,+0.14,https://db-engines.com/en/system/LMDB,
125.,117.,115.,"UniData,UniVerse",Multivalue,1.93,-0.22,-0.05,https://db-engines.com/en/system/UniData%2CUniVerse,
126.,126.,98.,Memgraph,Graph,1.93,-0.02,-0.68,https://db-engines.com/en/system/Memgraph,
127.,131.,116.,PouchDB,Document,1.91,+0.03,-0.04,https://db-engines.com/en/system/PouchDB,
128.,127.,113.,Infinispan,Key-value,1.89,-0.05,-0.12,https://db-engines.com/en/system/Infinispan,
129.,128.,128.,Amazon DocumentDB,Document,1.89,-0.02,+0.13,https://db-engines.com/en/system/Amazon+DocumentDB,
130.,130.,130.,JanusGraph,Graph,1.87,-0.02,+0.14,https://db-engines.com/en/system/JanusGraph,
131.,129.,110.,LevelDB,Key-value,1.87,-0.03,-0.28,https://db-engines.com/en/system/LevelDB,
132.,123.,152.,VictoriaMetrics,Time Series,1.84,-0.13,+0.46,https://db-engines.com/en/system/VictoriaMetrics,
133.,132.,135.,Amazon CloudSearch,Search engine,1.83,-0.02,+0.22,https://db-engines.com/en/system/Amazon+CloudSearch,
134.,134.,117.,MaxDB,Relational,1.80,-0.04,-0.15,https://db-engines.com/en/system/MaxDB,
135.,135.,123.,Apache Drill,Multi-model,1.77,-0.06,-0.05,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
136.,137.,136.,Stardog,Multi-model,1.74,-0.02,+0.14,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
137.,136.,145.,Apache IoTDB,Time Series,1.72,-0.05,+0.28,https://db-engines.com/en/system/Apache+IoTDB,
138.,138.,131.,EDB Postgres,"Relational, Multi-model",1.70,-0.04,+0.04,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
139.,141.,132.,Oracle Coherence,Key-value,1.68,-0.01,+0.02,https://db-engines.com/en/system/Oracle+Coherence,
140.,140.,150.,TigerGraph,Graph,1.64,-0.06,+0.25,https://db-engines.com/en/system/TigerGraph,
141.,142.,138.,SpatiaLite,"Spatial, Multi-model",1.62,-0.06,+0.06,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
142.,143.,129.,Oracle Berkeley DB,Multi-model,1.62,-0.03,-0.12,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
143.,148.,143.,Datomic,Relational,1.61,+0.04,+0.13,https://db-engines.com/en/system/Datomic,
144.,144.,140.,RRDtool,Time Series,1.58,-0.05,+0.04,https://db-engines.com/en/system/RRDtool,
145.,147.,134.,Amazon SimpleDB,Key-value,1.56,-0.04,-0.05,https://db-engines.com/en/system/Amazon+SimpleDB,
146.,149.,142.,EXASOL,Relational,1.56,+0.00,+0.06,https://db-engines.com/en/system/EXASOL,
147.,145.,181.,StarRocks,Relational,1.53,-0.10,+0.52,https://db-engines.com/en/system/StarRocks,
148.,154.,125.,IMS,Navigational,1.53,+0.06,-0.26,https://db-engines.com/en/system/IMS,
149.,146.,153.,BaseX,Native XML,1.52,-0.08,+0.14,https://db-engines.com/en/system/BaseX,
150.,155.,192.,Vitess,"Relational, Multi-model",1.51,+0.05,+0.58,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
151.,139.,185.,PlanetScale,"Relational, Multi-model",1.51,-0.22,+0.52,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
152.,150.,114.,GridDB,"Time Series, Multi-model",1.51,-0.03,-0.48,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
153.,153.,133.,MonetDB,"Relational, Multi-model",1.48,+0.01,-0.13,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
154.,152.,146.,OpenTSDB,Time Series,1.48,-0.03,+0.06,https://db-engines.com/en/system/OpenTSDB,
155.,151.,163.,Meilisearch,Multi-model,1.47,-0.06,+0.27,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
156.,156.,141.,Fauna,Multi-model,1.46,+0.05,-0.05,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
157.,159.,202.,Rockset,"Document, Multi-model",1.44,+0.07,+0.61,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
158.,157.,183.,SurrealDB,Multi-model,1.41,+0.03,+0.42,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
159.,160.,147.,jBASE,Multivalue,1.36,+0.01,-0.05,https://db-engines.com/en/system/jBASE,
160.,162.,156.,GridGain,Multi-model,1.32,-0.02,+0.00,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
161.,161.,154.,Geode,Key-value,1.32,-0.03,-0.03,https://db-engines.com/en/system/Geode,
162.,163.,149.,Tarantool,Multi-model,1.32,+0.00,-0.08,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
163.,168.,159.,Amazon Timestream,Time Series,1.26,+0.00,+0.02,https://db-engines.com/en/system/Amazon+Timestream,
164.,165.,162.,Dgraph,Graph,1.26,-0.04,+0.04,https://db-engines.com/en/system/Dgraph,
165.,169.,161.,VoltDB,Relational,1.25,0.00,+0.02,https://db-engines.com/en/system/VoltDB,
166.,167.,157.,Actian NoSQL Database,Object oriented,1.25,-0.01,-0.03,https://db-engines.com/en/system/Actian+NoSQL+Database,
167.,166.,144.,Empress,Relational,1.24,-0.02,-0.21,https://db-engines.com/en/system/Empress,
168.,164.,168.,HFSQL,Relational,1.23,-0.09,+0.07,https://db-engines.com/en/system/HFSQL,
169.,173.,172.,ObjectBox,Multi-model,1.23,+0.04,+0.13,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
170.,171.,170.,Mnesia,Document,1.22,+0.02,+0.07,https://db-engines.com/en/system/Mnesia,
171.,175.,151.,D3,Multivalue,1.20,+0.04,-0.18,https://db-engines.com/en/system/D3,
172.,177.,164.,HEAVY.AI,"Relational, Multi-model",1.19,+0.03,0.00,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
173.,158.,155.,Tibero,Relational,1.17,-0.20,-0.16,https://db-engines.com/en/system/Tibero,
174.,170.,167.,IBM Db2 warehouse,Relational,1.17,-0.05,0.00,https://db-engines.com/en/system/IBM+Db2+warehouse,
175.,172.,160.,Db4o,Object oriented,1.16,-0.02,-0.08,https://db-engines.com/en/system/Db4o,
176.,174.,176.,Apache Kylin,Relational,1.15,-0.01,+0.10,https://db-engines.com/en/system/Apache+Kylin,
177.,176.,165.,ObjectStore,Object oriented,1.13,-0.04,-0.06,https://db-engines.com/en/system/ObjectStore,
178.,179.,173.,LiteDB,Document,1.12,-0.02,+0.03,https://db-engines.com/en/system/LiteDB,
179.,178.,188.,openGauss,"Relational, Multi-model",1.12,-0.04,+0.14,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
180.,181.,205.,Typesense,Search engine,1.11,-0.01,+0.30,https://db-engines.com/en/system/Typesense,
181.,185.,186.,Amazon Keyspaces,Wide column,1.09,-0.01,+0.11,https://db-engines.com/en/system/Amazon+Keyspaces,
182.,186.,169.,TimesTen,Relational,1.09,0.00,-0.06,https://db-engines.com/en/system/TimesTen,
183.,180.,178.,KurrentDB (aka EventStoreDB),"Event, Multi-model",1.09,-0.05,+0.04,https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,"Event Store,Document store,Time Series DBMS"
184.,184.,187.,SQLBase,Relational,1.08,-0.02,+0.10,https://db-engines.com/en/system/SQLBase,
185.,183.,182.,Datameer,Document,1.07,-0.03,+0.08,https://db-engines.com/en/system/Datameer,
186.,182.,194.,TDSQL for MySQL,"Relational, Multi-model",1.07,-0.04,+0.14,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
187.,187.,175.,Giraph,Graph,1.05,-0.02,-0.02,https://db-engines.com/en/system/Giraph,
188.,188.,198.,NonStop SQL,Relational,1.05,+0.02,+0.14,https://db-engines.com/en/system/NonStop+SQL,
189.,189.,199.,Alibaba Cloud MaxCompute,Relational,0.95,-0.05,+0.05,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
190.,193.,190.,Oracle Rdb,Relational,0.95,+0.01,-0.01,https://db-engines.com/en/system/Oracle+Rdb,
191.,191.,196.,GT.M,Key-value,0.93,-0.01,+0.02,https://db-engines.com/en/system/GT.M,
192.,196.,197.,DataEase,Relational,0.93,+0.01,+0.01,https://db-engines.com/en/system/DataEase,
193.,192.,211.,Vespa,Multi-model,0.93,-0.02,+0.17,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
194.,205.,,Arc,Time Series,0.92,+0.10,,https://db-engines.com/en/system/Arc,
195.,195.,189.,FoundationDB,Multi-model,0.91,0.00,-0.05,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
196.,190.,193.,Apache HAWQ,Relational,0.91,-0.04,-0.02,https://db-engines.com/en/system/Apache+HAWQ,
197.,203.,219.,Xapian,Search engine,0.90,+0.08,+0.21,https://db-engines.com/en/system/Xapian,
198.,194.,158.,mSQL,Relational,0.89,-0.05,-0.38,https://db-engines.com/en/system/mSQL,
199.,201.,191.,NCache,"Key-value, Multi-model",0.88,+0.03,-0.07,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
200.,200.,222.,Dolt,"Relational, Multi-model",0.88,+0.02,+0.22,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
