Rank_Dec-2025,Rank_Nov-2025,Rank_Dec-2024,DBMS,Database Model,Score_Dec-2025,Score_Nov-2025,Score_Dec-2024,DBMS_insitelink,Multi_model_info
111.,105.,105.,SAP IQ,Relational,2.38,-0.06,-0.10,https://db-engines.com/en/system/SAP+IQ,
112.,110.,133.,NebulaGraph,Graph,2.35,-0.02,+0.64,https://db-engines.com/en/system/NebulaGraph,
113.,113.,106.,RethinkDB,"Document, Multi-model",2.30,0.00,-0.19,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
114.,114.,117.,Citus,"Relational, Multi-model",2.21,-0.01,+0.20,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
115.,117.,97.,Memgraph,Graph,2.19,+0.01,-0.52,https://db-engines.com/en/system/Memgraph,
116.,118.,121.,Apache Phoenix,Relational,2.16,+0.02,+0.26,https://db-engines.com/en/system/Apache+Phoenix,
117.,115.,107.,YugabyteDB,"Relational, Multi-model",2.15,-0.05,-0.30,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
118.,120.,100.,InterSystems IRIS,Multi-model,2.15,+0.05,-0.45,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
119.,126.,,Valkey,Key-value,2.08,+0.16,,https://db-engines.com/en/system/Valkey,
120.,121.,114.,4D,Relational,2.05,+0.00,-0.09,https://db-engines.com/en/system/4D,
121.,116.,109.,"UniData,UniVerse",Multivalue,2.05,-0.15,-0.33,https://db-engines.com/en/system/UniData%2CUniVerse,
122.,122.,118.,Percona Server for MySQL,Relational,2.01,-0.01,+0.01,https://db-engines.com/en/system/Percona+Server+for+MySQL,
123.,124.,123.,LMDB,Key-value,1.96,+0.01,+0.09,https://db-engines.com/en/system/LMDB,
124.,123.,110.,Infinispan,Key-value,1.95,-0.04,-0.40,https://db-engines.com/en/system/Infinispan,
125.,128.,124.,CloudKit,Document,1.93,+0.03,+0.05,https://db-engines.com/en/system/CloudKit,
126.,127.,127.,Amazon DocumentDB,Document,1.92,+0.03,+0.08,https://db-engines.com/en/system/Amazon+DocumentDB,
127.,125.,111.,LevelDB,Key-value,1.90,-0.05,-0.28,https://db-engines.com/en/system/LevelDB,
128.,129.,119.,PouchDB,Document,1.89,+0.00,-0.10,https://db-engines.com/en/system/PouchDB,
129.,119.,165.,VictoriaMetrics,Time Series,1.89,-0.22,+0.64,https://db-engines.com/en/system/VictoriaMetrics,
130.,136.,169.,GBase,Relational,1.87,+0.07,+0.70,https://db-engines.com/en/system/GBase,
131.,135.,113.,MaxDB,Relational,1.87,+0.06,-0.29,https://db-engines.com/en/system/MaxDB,
132.,132.,128.,Apache Drill,Multi-model,1.87,+0.02,+0.05,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
133.,138.,151.,Apache IoTDB,Time Series,1.85,+0.09,+0.45,https://db-engines.com/en/system/Apache+IoTDB,
134.,131.,132.,Amazon CloudSearch,Search engine,1.83,-0.03,+0.11,https://db-engines.com/en/system/Amazon+CloudSearch,
135.,134.,129.,JanusGraph,Graph,1.82,+0.01,+0.05,https://db-engines.com/en/system/JanusGraph,
136.,133.,142.,SpatiaLite,"Spatial, Multi-model",1.80,-0.03,+0.30,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
137.,139.,115.,TDengine,"Time Series, Multi-model",1.80,+0.07,-0.32,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
138.,137.,136.,EDB Postgres,"Relational, Multi-model",1.77,0.00,+0.07,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
139.,142.,131.,Oracle Coherence,Key-value,1.74,+0.04,+0.00,https://db-engines.com/en/system/Oracle+Coherence,
140.,141.,130.,Stardog,Multi-model,1.73,+0.01,-0.03,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
141.,130.,120.,GridDB,"Time Series, Multi-model",1.72,-0.16,-0.22,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
142.,140.,152.,TigerGraph,Graph,1.68,-0.04,+0.29,https://db-engines.com/en/system/TigerGraph,
143.,145.,122.,Oracle Berkeley DB,Multi-model,1.65,+0.02,-0.24,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
144.,146.,138.,RRDtool,Time Series,1.62,+0.02,-0.02,https://db-engines.com/en/system/RRDtool,
145.,144.,134.,Amazon SimpleDB,Key-value,1.62,-0.03,-0.10,https://db-engines.com/en/system/Amazon+SimpleDB,
146.,147.,140.,EXASOL,Relational,1.61,+0.02,-0.02,https://db-engines.com/en/system/EXASOL,
147.,155.,176.,StarRocks,Relational,1.59,+0.17,+0.52,https://db-engines.com/en/system/StarRocks,
148.,148.,190.,PlanetScale,"Relational, Multi-model",1.55,+0.02,+0.57,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
149.,143.,182.,HFSQL,Relational,1.55,-0.12,+0.52,https://db-engines.com/en/system/HFSQL,
150.,150.,144.,OpenTSDB,Time Series,1.52,+0.00,+0.04,https://db-engines.com/en/system/OpenTSDB,
151.,151.,137.,MonetDB,"Relational, Multi-model",1.51,+0.00,-0.18,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
152.,149.,143.,Datomic,Relational,1.51,-0.02,+0.02,https://db-engines.com/en/system/Datomic,
153.,154.,147.,BaseX,Native XML,1.50,+0.04,+0.05,https://db-engines.com/en/system/BaseX,
154.,152.,170.,Meilisearch,Multi-model,1.47,-0.02,+0.32,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
155.,153.,145.,Fauna,Multi-model,1.47,0.00,-0.01,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
156.,156.,141.,IMS,Navigational,1.46,+0.05,-0.10,https://db-engines.com/en/system/IMS,
157.,159.,189.,SurrealDB,Multi-model,1.40,+0.03,+0.42,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
158.,158.,149.,Tarantool,Multi-model,1.39,0.00,-0.05,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
159.,161.,154.,GridGain,Multi-model,1.37,+0.01,0.00,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
160.,160.,148.,Geode,Key-value,1.35,-0.01,-0.09,https://db-engines.com/en/system/Geode,
161.,163.,146.,jBASE,Multivalue,1.33,0.00,-0.13,https://db-engines.com/en/system/jBASE,
162.,169.,166.,Amazon Timestream,Time Series,1.32,+0.07,+0.08,https://db-engines.com/en/system/Amazon+Timestream,
163.,171.,197.,Vitess,"Relational, Multi-model",1.31,+0.07,+0.39,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
164.,165.,157.,Dgraph,Graph,1.28,+0.00,-0.03,https://db-engines.com/en/system/Dgraph,
165.,164.,139.,Empress,Relational,1.28,-0.01,-0.35,https://db-engines.com/en/system/Empress,
166.,167.,156.,VoltDB,Relational,1.26,+0.01,-0.06,https://db-engines.com/en/system/VoltDB,
167.,174.,168.,Mnesia,Document,1.25,+0.02,+0.06,https://db-engines.com/en/system/Mnesia,
168.,168.,158.,D3,Multivalue,1.23,-0.02,-0.08,https://db-engines.com/en/system/D3,
169.,175.,155.,Actian NoSQL Database,Object oriented,1.23,+0.02,-0.13,https://db-engines.com/en/system/Actian+NoSQL+Database,
170.,157.,193.,TDSQL for MySQL,"Relational, Multi-model",1.21,-0.18,+0.27,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
171.,166.,164.,IBM Db2 warehouse,Relational,1.21,-0.04,-0.03,https://db-engines.com/en/system/IBM+Db2+warehouse,
172.,170.,160.,Db4o,Object oriented,1.21,-0.03,-0.09,https://db-engines.com/en/system/Db4o,
173.,177.,175.,ObjectBox,Multi-model,1.20,+0.03,+0.13,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
174.,172.,174.,openGauss,"Relational, Multi-model",1.19,-0.05,+0.10,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
175.,178.,159.,HEAVY.AI,"Relational, Multi-model",1.19,+0.01,-0.12,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
176.,173.,180.,SQLBase,Relational,1.19,-0.04,+0.14,https://db-engines.com/en/system/SQLBase,
177.,176.,173.,Apache Kylin,Relational,1.18,-0.02,+0.09,https://db-engines.com/en/system/Apache+Kylin,
178.,192.,194.,Rockset,"Document, Multi-model",1.17,+0.21,+0.24,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
179.,179.,162.,ObjectStore,Object oriented,1.17,+0.02,-0.11,https://db-engines.com/en/system/ObjectStore,
180.,180.,171.,LiteDB,Document,1.14,+0.01,+0.00,https://db-engines.com/en/system/LiteDB,
181.,181.,179.,Datameer,Document,1.13,+0.00,+0.08,https://db-engines.com/en/system/Datameer,
182.,187.,177.,KurrentDB (aka EventStoreDB),"Event, Multi-model",1.11,+0.07,+0.05,https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,"Event Store,Document store,Time Series DBMS"
183.,162.,207.,Typesense,Search engine,1.11,-0.24,+0.29,https://db-engines.com/en/system/Typesense,
184.,182.,186.,Amazon Keyspaces,Wide column,1.11,-0.01,+0.12,https://db-engines.com/en/system/Amazon+Keyspaces,
185.,183.,167.,TimesTen,Relational,1.10,+0.01,-0.12,https://db-engines.com/en/system/TimesTen,
186.,186.,172.,Giraph,Graph,1.10,+0.02,0.00,https://db-engines.com/en/system/Giraph,
187.,184.,153.,Tibero,Relational,1.07,-0.01,-0.31,https://db-engines.com/en/system/Tibero,
188.,185.,200.,Alibaba Cloud MaxCompute,Relational,1.03,-0.04,+0.15,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
189.,188.,198.,NonStop SQL,Relational,1.03,-0.02,+0.11,https://db-engines.com/en/system/NonStop+SQL,
190.,190.,183.,Oracle Rdb,Relational,1.00,0.00,-0.02,https://db-engines.com/en/system/Oracle+Rdb,
191.,189.,163.,mSQL,Relational,0.99,-0.03,-0.27,https://db-engines.com/en/system/mSQL,
192.,195.,225.,Vespa,Multi-model,0.97,+0.05,+0.34,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
193.,193.,184.,Apache HAWQ,Relational,0.96,+0.03,-0.04,https://db-engines.com/en/system/Apache+HAWQ,
194.,191.,187.,GigaSpaces,Multi-model,0.95,-0.04,-0.04,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
195.,196.,196.,FoundationDB,Multi-model,0.94,+0.02,+0.02,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
196.,194.,192.,GT.M,Key-value,0.94,+0.01,-0.01,https://db-engines.com/en/system/GT.M,
197.,201.,188.,M3DB,Time Series,0.92,+0.05,-0.07,https://db-engines.com/en/system/M3DB,
198.,199.,178.,DataEase,Relational,0.89,+0.02,-0.16,https://db-engines.com/en/system/DataEase,
199.,197.,195.,Cubrid,Relational,0.87,-0.04,-0.05,https://db-engines.com/en/system/Cubrid,
200.,200.,211.,HPE Ezmeral Data Fabric,Multi-model,0.85,-0.02,+0.06,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
201.,205.,191.,NCache,"Key-value, Multi-model",0.84,+0.03,-0.13,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
