Rank_Oct-2023,Rank_Sep-2023,Rank_Oct-2022,DBMS,Database Model,Score_Oct-2023,Score_Sep-2023,Score_Oct-2022,DBMS_insitelink,Multi_model_info
39.,39.,44.,ClickHouse,"Relational, Multi-model",15.13,-0.06,+1.26,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
40.,40.,43.,Presto,Relational,14.22,-0.63,-0.32,https://db-engines.com/en/system/Presto,
41.,45.,,Apache Flink,Relational,13.90,-0.02,,https://db-engines.com/en/system/Apache+Flink,
42.,42.,38.,Vertica,"Relational, Multi-model",13.88,-0.47,-5.97,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
43.,41.,42.,dBASE,Relational,13.84,-0.79,-1.46,https://db-engines.com/en/system/dBASE,
44.,43.,39.,Netezza,Relational,13.78,-0.49,-4.06,https://db-engines.com/en/system/Netezza,
45.,44.,41.,CouchDB,"Document, Multi-model",13.44,-0.54,-2.81,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
46.,46.,49.,OpenSearch,"Search engine, Multi-model",12.92,+0.31,+3.35,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
47.,48.,46.,Greenplum,"Relational, Multi-model",10.45,-0.16,-2.06,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
48.,47.,47.,Google Cloud Firestore,Document,10.31,-0.47,-0.80,https://db-engines.com/en/system/Google+Cloud+Firestore,
49.,49.,45.,Amazon Aurora,"Relational, Multi-model",9.15,+0.03,-3.82,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store"
50.,50.,53.,etcd,Key-value,8.74,-0.29,-0.28,https://db-engines.com/en/system/etcd,
51.,52.,50.,H2,"Relational, Multi-model",8.61,-0.17,-0.95,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
52.,53.,54.,Oracle Essbase,Relational,8.49,+0.17,-0.28,https://db-engines.com/en/system/Oracle+Essbase,
53.,51.,58.,Kdb,Multi-model,8.39,-0.56,+0.71,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
54.,55.,51.,Realm,Document,8.21,+0.11,-1.30,https://db-engines.com/en/system/Realm,
55.,54.,52.,MarkLogic,Multi-model,8.19,+0.02,-1.12,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
56.,56.,48.,Hazelcast,"Key-value, Multi-model",8.16,+0.29,-1.86,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
57.,58.,56.,Algolia,Search engine,7.32,-0.29,-0.84,https://db-engines.com/en/system/Algolia,
58.,57.,67.,Prometheus,Time Series,7.28,-0.34,+0.97,https://db-engines.com/en/system/Prometheus,
59.,61.,76.,Derby,Relational,7.06,+0.22,+1.40,https://db-engines.com/en/system/Derby,
60.,62.,55.,Datastax Enterprise,"Wide column, Multi-model",6.78,+0.09,-1.52,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
61.,59.,57.,CockroachDB,Relational,6.60,-0.30,-1.36,https://db-engines.com/en/system/CockroachDB,
62.,63.,59.,Microsoft Azure Data Explorer,"Relational, Multi-model",6.55,-0.10,-1.12,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
63.,64.,64.,Ehcache,Key-value,6.54,+0.09,-0.28,https://db-engines.com/en/system/Ehcache,
64.,67.,61.,Microsoft Azure Search,Search engine,6.49,+0.33,-0.90,https://db-engines.com/en/system/Microsoft+Azure+Search,
65.,60.,66.,Aerospike,Multi-model,6.44,-0.42,-0.25,https://db-engines.com/en/system/Aerospike,"Document store,Key-value store,Spatial DBMS"
66.,65.,83.,ScyllaDB,"Wide column, Multi-model",6.17,-0.20,+1.49,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
67.,66.,78.,Jackrabbit,Content,6.10,-0.23,+0.60,https://db-engines.com/en/system/Jackrabbit,
68.,70.,62.,Sphinx,Search engine,6.01,-0.03,-1.11,https://db-engines.com/en/system/Sphinx,
69.,69.,70.,Interbase,Relational,6.00,-0.06,-0.11,https://db-engines.com/en/system/Interbase,
70.,68.,95.,Trino,"Relational, Multi-model",5.98,-0.09,+2.13,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
71.,73.,60.,SingleStore,"Relational, Multi-model",5.78,+0.11,-1.76,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
72.,71.,72.,Microsoft Azure Table Storage,Wide column,5.77,-0.17,-0.20,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
73.,78.,63.,Google Cloud Datastore,Document,5.59,+0.16,-1.35,https://db-engines.com/en/system/Google+Cloud+Datastore,
74.,76.,69.,Riak KV,Key-value,5.44,-0.10,-0.83,https://db-engines.com/en/system/Riak+KV,
75.,74.,73.,SAP SQL Anywhere,Relational,5.43,-0.17,-0.40,https://db-engines.com/en/system/SAP+SQL+Anywhere,
76.,80.,75.,Virtuoso,Multi-model,5.43,+0.04,-0.29,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
77.,79.,80.,TimescaleDB,"Time Series, Multi-model",5.38,-0.02,+0.19,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
78.,75.,74.,Ingres,Relational,5.25,-0.32,-0.50,https://db-engines.com/en/system/Ingres,
79.,77.,65.,Graphite,Time Series,5.23,-0.22,-1.50,https://db-engines.com/en/system/Graphite,
80.,72.,101.,Apache Jena - TDB,RDF,5.18,-0.52,+1.73,https://db-engines.com/en/system/Apache+Jena+-+TDB,
81.,82.,77.,HyperSQL,Relational,5.03,+0.12,-0.49,https://db-engines.com/en/system/HyperSQL,
82.,84.,82.,Adabas,Multivalue,4.70,+0.01,-0.01,https://db-engines.com/en/system/Adabas,
83.,83.,85.,SAP IQ,Relational,4.64,-0.22,+0.03,https://db-engines.com/en/system/SAP+IQ,
84.,85.,79.,Google Cloud Bigtable,Multi-model,4.61,+0.12,-0.83,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
85.,81.,86.,Accumulo,Wide column,4.61,-0.35,+0.04,https://db-engines.com/en/system/Accumulo,
86.,90.,,GemFire,"Key-value, Multi-model",4.42,+0.24,,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
87.,87.,81.,OrientDB,Multi-model,4.27,-0.07,-0.71,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
88.,89.,71.,ArangoDB,Multi-model,4.27,-0.02,-1.73,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
89.,86.,68.,Ignite,Multi-model,4.25,-0.14,-2.03,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS"
90.,88.,90.,"UniData,UniVerse",Multivalue,4.11,-0.21,-0.31,https://db-engines.com/en/system/UniData%2CUniVerse,
91.,94.,87.,RocksDB,Key-value,4.03,+0.11,-0.47,https://db-engines.com/en/system/RocksDB,
92.,91.,89.,OpenEdge,Relational,3.99,-0.06,-0.46,https://db-engines.com/en/system/OpenEdge,
93.,95.,84.,Oracle NoSQL,Multi-model,3.94,+0.10,-0.73,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
94.,92.,135.,DolphinDB,"Time Series, Multi-model",3.94,-0.11,+1.92,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS"
95.,93.,91.,RavenDB,"Document, Multi-model",3.85,-0.17,-0.56,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
96.,101.,93.,TiDB,"Relational, Multi-model",3.72,+0.27,-0.13,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
97.,100.,88.,Google Cloud Spanner,Relational,3.69,+0.07,-0.80,https://db-engines.com/en/system/Google+Cloud+Spanner,
98.,103.,193.,DuckDB,Relational,3.64,+0.24,+2.55,https://db-engines.com/en/system/DuckDB,
99.,97.,94.,IBM Cloudant,Document,3.63,-0.04,-0.22,https://db-engines.com/en/system/IBM+Cloudant,
100.,102.,105.,Oracle Berkeley DB,Multi-model,3.54,+0.08,+0.33,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
101.,99.,102.,Infinispan,Key-value,3.54,-0.09,+0.11,https://db-engines.com/en/system/Infinispan,
102.,98.,92.,MaxDB,Relational,3.53,-0.11,-0.34,https://db-engines.com/en/system/MaxDB,
103.,96.,96.,RethinkDB,"Document, Multi-model",3.30,-0.43,-0.45,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
104.,104.,123.,InterSystems IRIS,Multi-model,3.27,-0.12,+0.85,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
105.,113.,,Pinecone,Vector,3.11,+0.10,,https://db-engines.com/en/system/Pinecone,
106.,106.,116.,Apache Druid,Multi-model,3.10,-0.10,+0.56,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
107.,114.,136.,HEAVY.AI,"Relational, Multi-model",3.09,+0.11,+1.08,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
108.,108.,117.,RRDtool,Time Series,3.06,-0.08,+0.53,https://db-engines.com/en/system/RRDtool,
109.,105.,98.,YugabyteDB,"Relational, Multi-model",3.03,-0.28,-0.58,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
110.,112.,97.,LevelDB,Key-value,3.02,-0.03,-0.66,https://db-engines.com/en/system/LevelDB,
111.,117.,107.,Apache Drill,Multi-model,2.98,+0.13,-0.19,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
112.,111.,113.,4D,Relational,2.94,-0.15,+0.17,https://db-engines.com/en/system/4D,
113.,119.,121.,EDB Postgres,"Relational, Multi-model",2.92,+0.09,+0.48,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
114.,107.,99.,PouchDB,Document,2.87,-0.30,-0.63,https://db-engines.com/en/system/PouchDB,
115.,109.,109.,InterSystems Caché,Multi-model,2.87,-0.24,-0.12,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,"Key-value store,Object oriented DBMS,Relational DBMS,Document store"
116.,128.,154.,TDengine,"Time Series, Multi-model",2.87,+0.25,+1.29,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
117.,124.,125.,Citus,"Relational, Multi-model",2.83,+0.06,+0.50,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
118.,115.,236.,Memgraph,Graph,2.80,-0.08,+2.09,https://db-engines.com/en/system/Memgraph,
119.,120.,134.,Geode,Key-value,2.79,-0.04,+0.72,https://db-engines.com/en/system/Geode,
120.,136.,170.,NebulaGraph,Graph,2.77,+0.44,+1.46,https://db-engines.com/en/system/NebulaGraph,
121.,123.,104.,Apache Phoenix,Relational,2.77,-0.03,-0.61,https://db-engines.com/en/system/Apache+Phoenix,
122.,121.,112.,CloudKit,Document,2.74,-0.08,-0.14,https://db-engines.com/en/system/CloudKit,
123.,118.,106.,EXASOL,Relational,2.71,-0.15,-0.47,https://db-engines.com/en/system/EXASOL,
124.,127.,114.,Oracle Coherence,Key-value,2.69,+0.06,+0.12,https://db-engines.com/en/system/Oracle+Coherence,
125.,122.,122.,LMDB,Key-value,2.65,-0.15,+0.22,https://db-engines.com/en/system/LMDB,
126.,126.,129.,Coveo,Search engine,2.64,+0.00,+0.44,https://db-engines.com/en/system/Coveo,
127.,125.,115.,Amazon SimpleDB,Key-value,2.63,-0.05,+0.06,https://db-engines.com/en/system/Amazon+SimpleDB,
128.,116.,108.,Percona Server for MySQL,Relational,2.60,-0.28,-0.43,https://db-engines.com/en/system/Percona+Server+for+MySQL,
129.,129.,119.,GraphDB,Multi-model,2.58,-0.01,+0.10,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
130.,130.,103.,Amazon Neptune,Multi-model,2.54,+0.01,-0.86,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
131.,135.,120.,Amazon CloudSearch,Search engine,2.52,+0.17,+0.04,https://db-engines.com/en/system/Amazon+CloudSearch,
132.,131.,110.,IMS,Navigational,2.46,-0.05,-0.46,https://db-engines.com/en/system/IMS,
133.,132.,130.,MonetDB,"Relational, Multi-model",2.33,-0.06,+0.22,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
134.,140.,133.,Datomic,Relational,2.31,+0.02,+0.22,https://db-engines.com/en/system/Datomic,
135.,133.,111.,JanusGraph,Graph,2.30,-0.09,-0.58,https://db-engines.com/en/system/JanusGraph,
136.,143.,126.,SpatiaLite,"Spatial DBMS, Multi-model",2.30,+0.06,-0.02,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
137.,142.,140.,Stardog,Multi-model,2.26,-0.02,+0.46,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
138.,138.,,Chroma,Vector,2.25,-0.05,,https://db-engines.com/en/system/Chroma,
139.,141.,172.,Empress,Relational,2.20,-0.08,+0.94,https://db-engines.com/en/system/Empress,
140.,139.,128.,Amazon DocumentDB,Document,2.19,-0.11,-0.02,https://db-engines.com/en/system/Amazon+DocumentDB,
141.,137.,147.,BaseX,Native XML,2.19,-0.13,+0.49,https://db-engines.com/en/system/BaseX,
142.,134.,144.,QuestDB,"Time Series, Multi-model",2.16,-0.23,+0.41,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
143.,144.,139.,Db4o,Object oriented,2.13,-0.09,+0.25,https://db-engines.com/en/system/Db4o,
144.,154.,159.,SQLBase,Relational,2.11,+0.10,+0.61,https://db-engines.com/en/system/SQLBase,
145.,145.,127.,TigerGraph,Graph,2.09,-0.12,-0.21,https://db-engines.com/en/system/TigerGraph,
146.,152.,,Firebolt,Relational,2.07,+0.00,,https://db-engines.com/en/system/Firebolt,
147.,149.,124.,GridGain,Multi-model,2.04,-0.07,-0.30,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS"
148.,151.,138.,Tibero,Relational,2.04,-0.05,+0.15,https://db-engines.com/en/system/Tibero,
149.,150.,118.,OpenTSDB,Time Series,2.00,-0.11,-0.50,https://db-engines.com/en/system/OpenTSDB,
150.,147.,149.,GridDB,"Time Series, Multi-model",1.96,-0.21,+0.32,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
151.,162.,143.,Tarantool,Multi-model,1.96,+0.10,+0.19,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
152.,148.,142.,jBASE,Multivalue,1.95,-0.17,+0.18,https://db-engines.com/en/system/jBASE,
153.,153.,137.,VoltDB,Relational,1.90,-0.14,-0.07,https://db-engines.com/en/system/VoltDB,
154.,167.,146.,Fauna,Multi-model,1.89,+0.20,+0.19,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
155.,156.,150.,Mnesia,Document,1.88,-0.07,+0.26,https://db-engines.com/en/system/Mnesia,
156.,160.,151.,Dgraph,Graph,1.86,-0.03,+0.24,https://db-engines.com/en/system/Dgraph,
157.,159.,155.,Actian NoSQL Database,Object oriented,1.82,-0.07,+0.27,https://db-engines.com/en/system/Actian+NoSQL+Database,
158.,171.,292.,Weaviate,Vector,1.81,+0.20,+1.50,https://db-engines.com/en/system/Weaviate,
159.,146.,188.,OceanBase,"Relational, Multi-model",1.79,-0.41,+0.66,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
160.,155.,141.,ObjectStore,Object oriented,1.78,-0.21,-0.01,https://db-engines.com/en/system/ObjectStore,
161.,161.,131.,IBM Db2 warehouse,Relational,1.77,-0.10,-0.33,https://db-engines.com/en/system/IBM+Db2+warehouse,
162.,157.,132.,TimesTen,Relational,1.74,-0.16,-0.35,https://db-engines.com/en/system/TimesTen,
163.,173.,164.,NonStop SQL,Relational,1.74,+0.15,+0.33,https://db-engines.com/en/system/NonStop+SQL,
164.,158.,156.,GT.M,Key-value,1.74,-0.16,+0.20,https://db-engines.com/en/system/GT.M,
165.,169.,166.,Giraph,Graph,1.71,+0.06,+0.34,https://db-engines.com/en/system/Giraph,
166.,180.,162.,Datameer,Document,1.71,+0.24,+0.27,https://db-engines.com/en/system/Datameer,
167.,165.,,PlanetScale,"Relational, Multi-model",1.70,+0.00,,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
168.,164.,176.,Sedna,Native XML,1.69,-0.02,+0.46,https://db-engines.com/en/system/Sedna,
169.,166.,153.,LiteDB,Document,1.63,-0.06,+0.03,https://db-engines.com/en/system/LiteDB,
170.,168.,168.,DataEase,Relational,1.58,-0.10,+0.24,https://db-engines.com/en/system/DataEase,
171.,170.,169.,Infobright,Relational,1.57,-0.05,+0.24,https://db-engines.com/en/system/Infobright,
172.,172.,145.,mSQL,Relational,1.57,-0.04,-0.15,https://db-engines.com/en/system/mSQL,
173.,183.,191.,MatrixOne,Relational,1.54,+0.11,+0.44,https://db-engines.com/en/system/MatrixOne,
174.,177.,152.,Apache Kylin,Relational,1.54,+0.04,-0.08,https://db-engines.com/en/system/Apache+Kylin,
175.,178.,157.,ObjectBox,"Object oriented, Multi-model",1.54,+0.04,+0.02,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS"
176.,184.,148.,FoundationDB,Multi-model,1.53,+0.09,-0.13,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
177.,174.,185.,Perst,Object oriented,1.49,-0.08,+0.32,https://db-engines.com/en/system/Perst,
178.,191.,167.,Cubrid,Relational,1.47,+0.10,+0.11,https://db-engines.com/en/system/Cubrid,
179.,181.,161.,GBase,Relational,1.44,±0.00,0.00,https://db-engines.com/en/system/GBase,
180.,195.,182.,D3,Multivalue,1.44,+0.11,+0.25,https://db-engines.com/en/system/D3,
181.,197.,163.,SQL.JS,Relational,1.44,+0.12,+0.02,https://db-engines.com/en/system/SQL.JS,
182.,196.,158.,HFSQL,Relational,1.43,+0.10,-0.10,https://db-engines.com/en/system/HFSQL,
183.,199.,183.,EventStoreDB,Event,1.42,+0.12,+0.24,https://db-engines.com/en/system/EventStoreDB,
184.,175.,160.,Oracle Rdb,Relational,1.39,-0.17,-0.06,https://db-engines.com/en/system/Oracle+Rdb,
185.,176.,178.,GigaSpaces,Multi-model,1.38,-0.16,+0.17,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
186.,182.,173.,Apache HAWQ,Relational,1.36,-0.08,+0.10,https://db-engines.com/en/system/Apache+HAWQ,
187.,189.,253.,Milvus,Vector,1.34,-0.04,+0.79,https://db-engines.com/en/system/Milvus,
188.,192.,175.,1010data,Relational,1.33,-0.03,+0.08,https://db-engines.com/en/system/1010data,
189.,187.,245.,Northgate Reality,Multivalue,1.32,-0.07,+0.70,https://db-engines.com/en/system/Northgate+Reality,
190.,186.,215.,Dolt,"Relational, Multi-model",1.31,-0.10,+0.49,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
191.,179.,181.,ZODB,Key-value,1.31,-0.17,+0.11,https://db-engines.com/en/system/ZODB,
192.,194.,195.,openGauss,"Relational, Multi-model",1.31,-0.04,+0.23,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
193.,205.,187.,HPE Ezmeral Data Fabric,Multi-model,1.31,+0.10,+0.18,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
194.,190.,210.,VictoriaMetrics,Time Series,1.28,-0.08,+0.37,https://db-engines.com/en/system/VictoriaMetrics,
195.,203.,184.,NuoDB,Relational,1.27,+0.05,+0.09,https://db-engines.com/en/system/NuoDB,
196.,215.,223.,M3DB,Time Series,1.26,+0.19,+0.48,https://db-engines.com/en/system/M3DB,
197.,208.,,Vitess,"Relational, Multi-model",1.25,+0.06,,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
198.,204.,203.,Xapian,Search engine,1.25,+0.03,+0.29,https://db-engines.com/en/system/Xapian,
199.,206.,200.,DBISAM,Relational,1.24,+0.05,+0.26,https://db-engines.com/en/system/DBISAM,
200.,202.,218.,Hibari,Key-value,1.24,-0.01,+0.43,https://db-engines.com/en/system/Hibari,
201.,185.,174.,Altibase,Relational,1.23,-0.19,-0.01,https://db-engines.com/en/system/Altibase,
202.,201.,196.,Actian Vector,Relational,1.23,-0.02,+0.21,https://db-engines.com/en/system/Actian+Vector,
203.,188.,179.,NCache,"Key-value, Multi-model",1.20,-0.20,-0.01,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
204.,211.,165.,AllegroGraph,Multi-model,1.20,+0.05,-0.19,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Spatial DBMS"
205.,198.,208.,Meilisearch,Search engine,1.19,-0.13,+0.28,https://db-engines.com/en/system/Meilisearch,
206.,231.,242.,Apache IoTDB,Time Series,1.18,+0.20,+0.53,https://db-engines.com/en/system/Apache+IoTDB,
207.,214.,202.,BigchainDB,Document,1.17,+0.08,+0.20,https://db-engines.com/en/system/BigchainDB,
208.,207.,201.,solidDB,Relational,1.17,-0.02,+0.20,https://db-engines.com/en/system/solidDB,
