Rank_Mar-2023,Rank_Feb-2023,Rank_Mar-2022,DBMS,Database Model,Score_Mar-2023,Score_Feb-2023,Score_Mar-2022,DBMS_insitelink,Multi_model_info
215.,219.,218.,VictoriaMetrics,Time Series,1.01,+0.02,+0.39,https://db-engines.com/en/system/VictoriaMetrics,
216.,235.,204.,Yellowbrick,Relational,1.01,+0.14,+0.28,https://db-engines.com/en/system/Yellowbrick,
217.,199.,175.,Amazon Timestream,Time Series,1.00,-0.15,-0.02,https://db-engines.com/en/system/Amazon+Timestream,
218.,222.,220.,NexusDB,Relational,1.00,+0.02,+0.40,https://db-engines.com/en/system/NexusDB,
219.,225.,196.,GeoMesa,Spatial DBMS,1.00,+0.06,+0.21,https://db-engines.com/en/system/GeoMesa,
220.,230.,221.,ObjectDB,Object oriented,0.98,+0.07,+0.37,https://db-engines.com/en/system/ObjectDB,
221.,226.,,PlanetScale,"Relational, Multi-model",0.96,+0.03,,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
222.,217.,,Vitess,"Relational, Multi-model",0.96,-0.05,,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
223.,210.,215.,KairosDB,Time Series,0.95,-0.11,+0.30,https://db-engines.com/en/system/KairosDB,
224.,208.,184.,Graph Engine,Multi-model,0.93,-0.15,+0.03,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store"
225.,220.,235.,MapDB,Key-value,0.92,-0.07,+0.39,https://db-engines.com/en/system/MapDB,
226.,212.,189.,Splice Machine,Relational,0.88,-0.15,+0.04,https://db-engines.com/en/system/Splice+Machine,
227.,236.,243.,OpenInsight,Multivalue,0.88,+0.04,+0.38,https://db-engines.com/en/system/OpenInsight,
228.,223.,237.,Rockset,"Document, Multi-model",0.87,-0.08,+0.35,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
229.,234.,208.,R:BASE,Relational,0.87,+0.00,+0.16,https://db-engines.com/en/system/R%3ABASE,
230.,239.,199.,Datacom/DB,Relational,0.85,+0.07,+0.08,https://db-engines.com/en/system/Datacom%2FDB,
231.,228.,238.,Amazon Keyspaces,Wide column,0.85,-0.06,+0.32,https://db-engines.com/en/system/Amazon+Keyspaces,
232.,233.,229.,BoltDB,Key-value,0.84,-0.03,+0.28,https://db-engines.com/en/system/BoltDB,
233.,258.,261.,atoti,Object oriented,0.84,+0.22,+0.46,https://db-engines.com/en/system/atoti,
234.,232.,219.,VistaDB,Relational,0.84,-0.04,+0.23,https://db-engines.com/en/system/VistaDB,
235.,238.,209.,eXtremeDB,Multi-model,0.83,+0.03,+0.13,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
236.,229.,231.,ScaleArc,Relational,0.82,-0.09,+0.27,https://db-engines.com/en/system/ScaleArc,
237.,227.,178.,CrateDB,Multi-model,0.82,-0.09,-0.15,https://db-engines.com/en/system/CrateDB,"Document store,Time Series DBMS,Relational DBMS,Search engine"
238.,231.,230.,SQream DB,Relational,0.81,-0.08,+0.26,https://db-engines.com/en/system/SQream+DB,
239.,240.,247.,Milvus,Search engine,0.80,+0.02,+0.35,https://db-engines.com/en/system/Milvus,
240.,243.,188.,Objectivity/DB,Object oriented,0.78,+0.02,-0.07,https://db-engines.com/en/system/Objectivity%2FDB,
241.,237.,256.,Scalaris,Key-value,0.74,-0.08,+0.33,https://db-engines.com/en/system/Scalaris,
242.,244.,265.,KeyDB,Key-value,0.73,-0.02,+0.40,https://db-engines.com/en/system/KeyDB,
243.,253.,307.,Strabon,RDF,0.70,+0.02,+0.58,https://db-engines.com/en/system/Strabon,
244.,221.,258.,Apache IoTDB,Time Series,0.70,-0.29,+0.30,https://db-engines.com/en/system/Apache+IoTDB,
245.,249.,232.,AlaSQL,Multi-model,0.69,-0.02,+0.14,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS"
246.,245.,277.,Apache Doris,Relational,0.68,-0.06,+0.42,https://db-engines.com/en/system/Apache+Doris,
247.,246.,259.,ModeShape,Content,0.68,-0.04,+0.30,https://db-engines.com/en/system/ModeShape,
248.,247.,263.,SearchBlox,Search engine,0.67,-0.05,+0.31,https://db-engines.com/en/system/SearchBlox,
249.,248.,257.,Tajo,Relational,0.67,-0.04,+0.26,https://db-engines.com/en/system/Tajo,
250.,242.,242.,4store,RDF,0.66,-0.10,+0.16,https://db-engines.com/en/system/4store,
251.,250.,253.,Rasdaman,Multivalue,0.66,-0.06,+0.23,https://db-engines.com/en/system/Rasdaman,
252.,257.,251.,Elassandra,"Wide column, Multi-model",0.65,+0.02,+0.21,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine"
253.,251.,206.,Postgres-XL,"Relational, Multi-model",0.64,-0.07,-0.08,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS"
254.,256.,250.,Trafodion,Relational,0.63,-0.01,+0.18,https://db-engines.com/en/system/Trafodion,
255.,269.,203.,Kinetica,"Relational, Multi-model",0.63,+0.07,-0.11,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
256.,241.,260.,Kingbase,"Relational, Multi-model",0.62,-0.15,+0.24,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS"
257.,254.,279.,Apache Pinot,Relational,0.61,-0.05,+0.36,https://db-engines.com/en/system/Apache+Pinot,
258.,277.,240.,Redland,RDF,0.61,+0.10,+0.11,https://db-engines.com/en/system/Redland,
259.,255.,245.,Starcounter,Object oriented,0.61,-0.04,+0.14,https://db-engines.com/en/system/Starcounter,
260.,266.,314.,ITTIA,Relational,0.59,+0.03,+0.49,https://db-engines.com/en/system/ITTIA,
261.,273.,228.,Raima Database Manager,Multi-model,0.59,+0.06,+0.02,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS"
262.,261.,280.,OpenQM,Multivalue,0.58,0.00,+0.34,https://db-engines.com/en/system/OpenQM,
263.,272.,278.,Lovefield,Relational,0.58,+0.05,+0.32,https://db-engines.com/en/system/Lovefield,
264.,262.,187.,GemStone/S,Object oriented,0.58,0.00,-0.28,https://db-engines.com/en/system/GemStone%2FS,
265.,264.,246.,Project Voldemort,Key-value,0.57,+0.00,+0.11,https://db-engines.com/en/system/Project+Voldemort,
266.,252.,227.,LokiJS,Document,0.56,-0.14,-0.01,https://db-engines.com/en/system/LokiJS,
