Rank_Feb-2026,Rank_Jan-2026,Rank_Feb-2025,DBMS,Database Model,Score_Feb-2026,Score_Jan-2026,Score_Feb-2025,DBMS_insitelink,Multi_model_info
163.,159.,155.,Tarantool,Multi-model,1.32,-0.05,-0.01,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
164.,154.,171.,HFSQL,Relational,1.31,-0.16,+0.19,https://db-engines.com/en/system/HFSQL,
165.,163.,164.,Dgraph,Graph,1.29,+0.02,+0.09,https://db-engines.com/en/system/Dgraph,
166.,166.,141.,Empress,Relational,1.26,0.00,-0.25,https://db-engines.com/en/system/Empress,
167.,164.,154.,Actian NoSQL Database,Object oriented,1.26,-0.01,-0.07,https://db-engines.com/en/system/Actian+NoSQL+Database,
168.,165.,157.,Amazon Timestream,Time Series,1.26,-0.01,-0.03,https://db-engines.com/en/system/Amazon+Timestream,
169.,168.,162.,VoltDB,Relational,1.25,-0.01,+0.02,https://db-engines.com/en/system/VoltDB,
170.,167.,166.,IBM Db2 warehouse,Relational,1.22,-0.05,+0.04,https://db-engines.com/en/system/IBM+Db2+warehouse,
171.,173.,169.,Mnesia,Document,1.20,0.00,+0.06,https://db-engines.com/en/system/Mnesia,
172.,172.,158.,Db4o,Object oriented,1.19,-0.02,-0.10,https://db-engines.com/en/system/Db4o,
173.,176.,176.,ObjectBox,Multi-model,1.18,0.00,+0.12,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
174.,177.,178.,Apache Kylin,Relational,1.17,-0.02,+0.14,https://db-engines.com/en/system/Apache+Kylin,
175.,171.,146.,D3,Multivalue,1.16,-0.04,-0.29,https://db-engines.com/en/system/D3,
176.,178.,165.,ObjectStore,Object oriented,1.16,-0.01,-0.04,https://db-engines.com/en/system/ObjectStore,
177.,174.,161.,HEAVY.AI,"Relational, Multi-model",1.16,-0.04,-0.09,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
178.,175.,180.,openGauss,"Relational, Multi-model",1.15,-0.04,+0.15,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
179.,182.,172.,LiteDB,Document,1.14,+0.00,+0.03,https://db-engines.com/en/system/LiteDB,
180.,179.,183.,KurrentDB (aka EventStoreDB),"Event, Multi-model",1.13,-0.04,+0.14,https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,"Event Store,Document store,Time Series DBMS"
181.,183.,203.,Typesense,Search engine,1.12,0.00,+0.28,https://db-engines.com/en/system/Typesense,
182.,181.,201.,TDSQL for MySQL,"Relational, Multi-model",1.11,-0.03,+0.22,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
183.,184.,179.,Datameer,Document,1.10,-0.02,+0.09,https://db-engines.com/en/system/Datameer,
184.,180.,181.,SQLBase,Relational,1.10,-0.04,+0.09,https://db-engines.com/en/system/SQLBase,
185.,187.,185.,Amazon Keyspaces,Wide column,1.10,0.00,+0.13,https://db-engines.com/en/system/Amazon+Keyspaces,
186.,185.,167.,TimesTen,Relational,1.09,-0.02,-0.08,https://db-engines.com/en/system/TimesTen,
187.,186.,174.,Giraph,Graph,1.07,-0.03,+0.00,https://db-engines.com/en/system/Giraph,
188.,188.,196.,NonStop SQL,Relational,1.02,-0.02,+0.11,https://db-engines.com/en/system/NonStop+SQL,
189.,189.,200.,Alibaba Cloud MaxCompute,Relational,0.99,-0.04,+0.10,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
190.,193.,191.,Apache HAWQ,Relational,0.95,-0.02,+0.01,https://db-engines.com/en/system/Apache+HAWQ,
191.,194.,195.,GT.M,Key-value,0.94,+0.01,+0.03,https://db-engines.com/en/system/GT.M,
192.,190.,219.,Vespa,Multi-model,0.94,-0.06,+0.26,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
193.,191.,189.,Oracle Rdb,Relational,0.94,-0.04,-0.01,https://db-engines.com/en/system/Oracle+Rdb,
194.,192.,163.,mSQL,Relational,0.93,-0.04,-0.27,https://db-engines.com/en/system/mSQL,
195.,197.,190.,FoundationDB,Multi-model,0.92,+0.01,-0.03,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
196.,198.,187.,DataEase,Relational,0.91,+0.00,-0.04,https://db-engines.com/en/system/DataEase,
197.,196.,173.,GigaSpaces,Multi-model,0.87,-0.04,-0.23,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
198.,200.,192.,M3DB,Time Series,0.87,-0.01,-0.07,https://db-engines.com/en/system/M3DB,
199.,195.,168.,Firebolt,Relational,0.86,-0.05,-0.29,https://db-engines.com/en/system/Firebolt,
200.,204.,226.,Dolt,"Relational, Multi-model",0.85,+0.03,+0.20,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
201.,199.,198.,NCache,"Key-value, Multi-model",0.85,-0.04,-0.05,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
202.,201.,194.,Cubrid,Relational,0.85,0.00,-0.08,https://db-engines.com/en/system/Cubrid,
203.,212.,217.,Xapian,Search engine,0.82,+0.08,+0.13,https://db-engines.com/en/system/Xapian,
204.,202.,206.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.82,-0.02,+0.03,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
205.,224.,,Arc,Time Series,0.82,+0.14,,https://db-engines.com/en/system/Arc,
206.,205.,209.,HPE Ezmeral Data Fabric,Multi-model,0.80,-0.02,+0.04,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
207.,210.,208.,NuoDB,Relational,0.79,+0.02,+0.01,https://db-engines.com/en/system/NuoDB,
208.,209.,204.,Altibase,Relational,0.77,0.00,-0.05,https://db-engines.com/en/system/Altibase,
209.,203.,261.,Apache Sedona,Spatial,0.77,-0.05,+0.39,https://db-engines.com/en/system/Apache+Sedona,
210.,223.,224.,Sedna,Native XML,0.77,+0.10,+0.12,https://db-engines.com/en/system/Sedna,
211.,208.,213.,GeoMesa,Spatial,0.77,-0.01,+0.05,https://db-engines.com/en/system/GeoMesa,
212.,206.,215.,SciDB,Multivalue,0.77,-0.03,+0.06,https://db-engines.com/en/system/SciDB,
213.,207.,184.,ZODB,Key-value,0.76,-0.04,-0.23,https://db-engines.com/en/system/ZODB,
214.,211.,207.,Infobright,Relational,0.76,-0.01,-0.03,https://db-engines.com/en/system/Infobright,
215.,213.,211.,Blazegraph,Multi-model,0.75,+0.00,+0.01,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store"
