DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Mar-2025,Rank_Mar-2025,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS
Vitess,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Vitess,Y,,vitessio/vitess,0.93,192,vitessio,vitess,"The Linux Foundation, PlanetScale",2013,2022,Y,"Apache Version 2.0, commercial licenses available",N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Apache HAWQ,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+HAWQ,Y,,apache/hawq,0.93,193,apache,hawq,Pivotal Software; Apache,2012,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
TDSQL for MySQL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/TDSQL+for+MySQL,N,,-,0.93,194,-,-,Tencent,2013,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
IDMS,Navigational,Navigational DBMS,https://db-engines.com/en/system/IDMS,N,,-,0.93,195,-,-,Broadcom (formerly CA Technologies),1973,,N,,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
GT.M,Key-value,Key-value store,https://db-engines.com/en/system/GT.M,N,,-,0.91,196,-,-,,1986,2021,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DataEase,Relational,Relational DBMS,https://db-engines.com/en/system/DataEase,N,,-,0.91,197,-,-,,1981,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
NonStop SQL,Relational,Relational DBMS,https://db-engines.com/en/system/NonStop+SQL,N,,-,0.91,198,-,-,"HP, originally by Tandem",1987,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Alibaba Cloud MaxCompute,Relational,Relational DBMS,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,N,,-,0.9,199,-,-,Alibaba,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
M3DB,Time Series,Time Series DBMS,https://db-engines.com/en/system/M3DB,Y,,m3db/m3,0.9,200,m3db,m3,,,,Y,Apache version 2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
Cubrid,Relational,Relational DBMS,https://db-engines.com/en/system/Cubrid,Y,,CUBRID/cubrid,0.89,201,CUBRID,cubrid,"CUBRID Corporation, CUBRID Foundation",2008,2021,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Rockset,Document,"Document store,Relational DBMS,Search engine",https://db-engines.com/en/system/Rockset,N,,-,0.83,202,-,-,Rockset,2019,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
Altibase,Relational,Relational DBMS,https://db-engines.com/en/system/Altibase,Y,,ALTIBASE/altibase,0.83,203,ALTIBASE,altibase,Altibase,1999,2023,N,Open source edition discontinued with March 2023,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Infobright,Relational,Relational DBMS,https://db-engines.com/en/system/Infobright,N,,-,0.81,204,-,-,Ignite Technologies Inc.; formerly InfoBright Inc.,2005,,N,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Typesense,Search engine,Search engine,https://db-engines.com/en/system/Typesense,Y,,typesense/typesense,0.81,205,typesense,typesense,,2015,,Y,GPL V3,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
NuoDB,Relational,Relational DBMS,https://db-engines.com/en/system/NuoDB,N,,-,0.79,206,-,-,Dassault Systèmes,2013,,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
BigchainDB,Document,Document store,https://db-engines.com/en/system/BigchainDB,Y,,bigchaindb/bigchaindb,0.78,207,bigchaindb,bigchaindb,,2016,,Y,AGPL v3,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
RDF4J,RDF,RDF store,https://db-engines.com/en/system/RDF4J,Y,Y,eclipse/rdf4j,0.77,208,eclipse,rdf4j,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.",2004,,Y,"Eclipse Distribution License (EDL), v1.0.",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Alibaba Cloud AnalyticDB for MySQL,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,N,,-,0.76,209,-,-,Alibaba,,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
HPE Ezmeral Data Fabric,Document,"Document store,Wide column store",https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,N,,-,0.76,210,-,-,"HPE, MapR Technologies, Inc",2009,,N,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
Vespa,Search engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/Vespa,Y,,vespa-engine/vespa,0.76,211,vespa-engine,vespa,Yahoo,,,Y,Apache-2.0 license,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0
GeoMesa,Spatial,Spatial DBMS,https://db-engines.com/en/system/GeoMesa,Y,,geomesa/geomesa-geoserver,0.75,212,geomesa,geomesa-geoserver,CCRi and others,2014,2024,Y,Apache License 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0
Blazegraph,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Blazegraph,Y,,blazegraph/database,0.73,213,blazegraph,database,Blazegraph,2006,2019,Y,extended commercial license available,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
