DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Mar-2025,Rank_Mar-2025,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS
Transbase,Relational,Relational DBMS,https://db-engines.com/en/system/Transbase,N,,-,0.05,362,-,-,Transaction Software GmbH,1987,2022,N,free development license,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Transwarp ArgoDB,Relational,"Relational DBMS,Search engine",https://db-engines.com/en/system/Transwarp+ArgoDB,N,,-,0.04,363,-,-,Transwarp,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
NosDB,Document,Document store,https://db-engines.com/en/system/NosDB,Y,,Alachisoft/NosDB,0.04,364,Alachisoft,NosDB,Alachisoft,2016,,Y,Professional and Enterprise Versions available,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
OushuDB,Relational,Relational DBMS,https://db-engines.com/en/system/OushuDB,N,,-,0.04,365,-,-,Oushu,,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
openGemini,Time Series,Time Series DBMS,https://db-engines.com/en/system/openGemini,Y,,openGemini/openGemini,0.04,366,openGemini,openGemini,Huawei and openGemini community,2022,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,
H2GIS,Spatial,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/H2GIS,Y,,orbisgis/h2gis,0.04,367,orbisgis,h2gis,CNRS,2013,,Y,LGPL 3.0,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
VelocityDB,Graph,"Graph DBMS,Object oriented DBMS",https://db-engines.com/en/system/VelocityDB,N,,-,0.03,368,-,-,VelocityDB Inc,2011,,N,,N,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
WakandaDB,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/WakandaDB,N_commercial,Y,-,0.03,369,-,-,Wakanda SAS,2012,2019,Y,"AGPLv3, extended commercial license available",N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
STSdb,Key-value,Key-value store,https://db-engines.com/en/system/STSdb,Y,,STSSoft/STSdb4,0.03,370,STSSoft,STSdb4,STS Soft SC,2011,2015,Y,"GPLv2, commercial license available",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
gStore,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/gStore,Y,,pkumod/gStore,0.03,371,pkumod,gStore,,2016,2023,Y,BSD,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
JethroData,Relational,Relational DBMS,https://db-engines.com/en/system/JethroData,N,,-,0.03,372,-,-,JethroData,2013,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Heroic,Time Series,Time Series DBMS,https://db-engines.com/en/system/Heroic,Y_archivedas_spotify/heroic,N,spotify/heroic,0.02,373,spotify,heroic,Spotify,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
SvectorDB,Vector,Vector DBMS,https://db-engines.com/en/system/SvectorDB,,,,0.02,374,,,SvectorDB,2023,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
TerarkDB,Key-value,Key-value store,https://db-engines.com/en/system/TerarkDB,Y_GithubFork,,bytedance/terarkdb,0.02,375,bytedance,terarkdb,"ByteDance, originally Terark",2016,,N,restricted open source version available,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Transwarp StellarDB,Graph,Graph DBMS,https://db-engines.com/en/system/Transwarp+StellarDB,Y_IssueTracking,,stellardb/StellarDB,0.02,376,stellardb,StellarDB,Transwarp,,,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Faircom EDGE,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/Faircom+EDGE,N,,-,0.02,377,-,-,FairCom Corporation,1979,2020,N,"Restricted, free version available",N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Dydra,RDF,RDF store,https://db-engines.com/en/system/Dydra,Y_UnlicenseLicense,,dydra/dydra,0.02,378,dydra,dydra,,2010,,N,,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
SmallSQL,Relational,Relational DBMS,https://db-engines.com/en/system/SmallSQL,Y,,CptTZ/SmallSQL,0.02,379,CptTZ,SmallSQL,,2005,,Y,L-GPL,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
SparkleDB,RDF,RDF store,https://db-engines.com/en/system/SparkleDB,N,,-,0.02,380,-,-,,2012,,N,,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Acebase,Document,Document store,https://db-engines.com/en/system/Acebase,Y,,appy-one/acebase,0.01,381,appy-one,acebase,,2018,,Y,MIT License,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Resin Cache,Key-value,Key-value store,https://db-engines.com/en/system/Resin+Cache,Y,,dlitz/resin,0.01,382,dlitz,resin,,1998,2021,Y,"GPLv3, extended commercial license available",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Transwarp Hippo,Vector,Vector DBMS,https://db-engines.com/en/system/Transwarp+Hippo,N,,-,0.01,383,-,-,,2023,2023,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0
Hawkular Metrics,Time Series,Time Series DBMS,https://db-engines.com/en/system/Hawkular+Metrics,Y,,hawkular/hawkular-metrics,0.01,384,hawkular,hawkular-metrics,Community supported by Red Hat,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
SWC-DB,Wide column,"Wide column store,Time Series DBMS",https://db-engines.com/en/system/SWC-DB,Y,,kashirin-alex/swc-db,0.01,385,kashirin-alex,swc-db,Alex Kashirin,2020,2021,Y,GPL V3,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0
SiriDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/SiriDB,Y,,SiriDB/siridb-server,0.01,386,SiriDB,siridb-server,Cesbit,2017,,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
Eloquera,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Eloquera,N,,-,0.01,387,-,-,,2008,2014,N,free licenses,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
Tkrzw,Key-value,Key-value store,https://db-engines.com/en/system/Tkrzw,Y,,estraier/tkrzw,0.01,388,estraier,tkrzw,Mikio Hirabayashi,2020,2020,Y,Apache Version 2.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
OrigoDB,Document,"Document store,Object oriented DBMS",https://db-engines.com/en/system/OrigoDB,Y,,DevrexLabs/OrigoDB,0.0,389,DevrexLabs,OrigoDB,Robert Friberg et al,2009,,Y,,N,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
OpenTenBase,Relational,Relational DBMS,https://db-engines.com/en/system/OpenTenBase,,,,0.0,390,,,"OpenAtom Foundation, previously Tencent",,2024,Y,BSD-3,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Siaqodb,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Siaqodb,Y_Nonlicense,,morecraf/Siaqodb,0.0,391,morecraf,Siaqodb,,,,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
LedisDB,Key-value,Key-value store,https://db-engines.com/en/system/LedisDB,Y,,ledisdb/ledisdb,0.0,392,ledisdb,ledisdb,,2014,,Y,MIT-License,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SwayDB,Key-value,Key-value store,https://db-engines.com/en/system/SwayDB,Y,,simerplaha/SwayDB,0.0,393,simerplaha,SwayDB,Simer Plaha,2018,,Y,GNU Affero GPL V3.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
ActorDB,Relational,Relational DBMS,https://db-engines.com/en/system/ActorDB,Y,,biokoda/actordb,0.0,394,biokoda,actordb,,2014,,Y,Mozilla Public License 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
BergDB,Key-value,Key-value store,https://db-engines.com/en/system/BergDB,Y,,bergdb/bergdb,0.0,394,bergdb,bergdb,,2013,,Y,Gnu Affero General Public License (AGPL),N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
BrightstarDB,RDF,RDF store,https://db-engines.com/en/system/BrightstarDB,Y,,BrightstarDB/BrightstarDB,0.0,394,BrightstarDB,BrightstarDB,,2012,,Y,,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Cachelot.io,Key-value,Key-value store,https://db-engines.com/en/system/Cachelot.io,Y,,cachelot/cachelot,0.0,394,cachelot,cachelot,,2015,,Y,Simplified BSD License,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
CortexDB,Document,"Document store,Key-value store",https://db-engines.com/en/system/CortexDB,N,,-,0.0,394,-,-,,2014,,N,,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
CovenantSQL,Relational,Relational DBMS,https://db-engines.com/en/system/CovenantSQL,Y,,CovenantSQL/CovenantSQL,0.0,394,CovenantSQL,CovenantSQL,,2018,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
DaggerDB,Relational,Relational DBMS,https://db-engines.com/en/system/DaggerDB,N,,-,0.0,394,-,-,,2014,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
DataFS,Object oriented,"Object oriented DBMS,Graph DBMS",https://db-engines.com/en/system/DataFS,N,,-,0.0,394,-,-,Mobiland AG,2018,2022,N,,N,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
Edge Intelligence,Relational,Relational DBMS,https://db-engines.com/en/system/Edge+Intelligence,N,,-,0.0,394,-,-,Adapdix,2012,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
EdgelessDB,Relational,Relational DBMS,https://db-engines.com/en/system/EdgelessDB,Y,,edgelesssys/edgelessdb,0.0,394,edgelesssys,edgelessdb,Edgeless Systems,2021,,Y,GPL V2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Galaxybase,Graph,Graph DBMS,https://db-engines.com/en/system/Galaxybase,N,,-,0.0,394,-,-,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司",2017,2021,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Helium,Key-value,Key-value store,https://db-engines.com/en/system/Helium,N,,-,0.0,394,-,-,Levyx Inc.,2013,,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
HGraphDB,Graph,Graph DBMS,https://db-engines.com/en/system/HGraphDB,Y,,rayokota/hgraphdb,0.0,394,rayokota,hgraphdb,,2016,,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
HyperLevelDB,Key-value,Key-value store,https://db-engines.com/en/system/HyperLevelDB,Y,,rescrv/HyperLevelDB,0.0,394,rescrv,HyperLevelDB,,2010,,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
iBoxDB,Document,Document store,https://db-engines.com/en/system/iBoxDB,Y,,iboxdb/ftserver,0.0,394,iboxdb,ftserver,,2013,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Indica,Search engine,Search engine,https://db-engines.com/en/system/Indica,N,,-,0.0,394,-,-,,2014,,N,parts of it are open source,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
InfinityDB,Key-value,Key-value store,https://db-engines.com/en/system/InfinityDB,N,,-,0.0,394,-,-,Boiler Bay Inc.,2002,,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
JasDB,Document,Document store,https://db-engines.com/en/system/JasDB,Y,,oberasoftware/jasdb,0.0,394,oberasoftware,jasdb,,2014,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
K-DB,Relational,Relational DBMS,https://db-engines.com/en/system/K-DB,N,,-,0.0,394,-,-,Inspur Group,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Linter,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/Linter,N,,-,0.0,394,-,-,relex.ru,1990,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Newts,Time Series,Time Series DBMS,https://db-engines.com/en/system/Newts,Y,,OpenNMS/newts,0.0,394,OpenNMS,newts,OpenNMS Group,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
NSDb,Time Series,Time Series DBMS,https://db-engines.com/en/system/NSDb,Y,,radicalbit/NSDb,0.0,394,radicalbit,NSDb,,2017,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
Rizhiyi,Search engine,"Search engine,Time Series DBMS",https://db-engines.com/en/system/Rizhiyi,N,,-,0.0,394,-,-,Rizhiyi,2014,,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0
Sadas Engine,Relational,Relational DBMS,https://db-engines.com/en/system/Sadas+Engine,N,,-,0.0,394,-,-,SADAS s.r.l.,2006,,N,free trial version available,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
searchxml,Native XML,"Native XML DBMS,Search engine",https://db-engines.com/en/system/searchxml,N,,-,0.0,394,-,-,informationpartners gmbh,2015,,N,,N,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Skytable,Key-value,Key-value store,https://db-engines.com/en/system/Skytable,Y,Y,skytable/skytable,0.0,394,skytable,skytable,"Skytable, Inc.",2020,,Y,GNU AGPL 3.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SpaceTime,Spatial,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/SpaceTime,N,,-,0.0,394,-,-,Mireo,2020,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
TomP2P,Key-value,Key-value store,https://db-engines.com/en/system/TomP2P,Y,,tomp2p/TomP2P,0.0,394,tomp2p,TomP2P,,2004,,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Transwarp KunDB,Relational,Relational DBMS,https://db-engines.com/en/system/Transwarp+KunDB,N,,-,0.0,394,-,-,Transwarp,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Upscaledb,Key-value,Key-value store,https://db-engines.com/en/system/Upscaledb,Y,,cruppstahl/upscaledb,0.0,394,cruppstahl,upscaledb,,2007,,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
WhiteDB,Document,Document store,https://db-engines.com/en/system/WhiteDB,Y,,priitj/whitedb,0.0,394,priitj,whitedb,,2008,,Y,GPL V3,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
