DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Sep-2023,Rank_Sep-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Vector DBMS,Wide column
Empress,Relational,Relational DBMS,https://db-engines.com/en/system/Empress,N,,-,2.28,141,-,-,,1981,2010,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stardog,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Stardog,N,,-,2.28,142,-,-,Stardog-Union,2010,2020,N,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SpatiaLite,Spatial DBMS,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/SpatiaLite,Y,,illarionov/SpatiaLite,2.24,143,illarionov,SpatiaLite,Alessandro Furieri,2008,2020,Y,"MPL 1.1, GPL v2.0 or LGPL v2.1",N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Db4o,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Db4o,Y,,iboxdb/db4o-gpl,2.23,144,iboxdb,db4o-gpl,,2001,,Y,commercial license available for existing customers only,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TigerGraph,Graph,Graph DBMS,https://db-engines.com/en/system/TigerGraph,N,,-,2.21,145,-,-,,2017,,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OceanBase,Relational,"Relational DBMS,Document store,Wide column store",https://db-engines.com/en/system/OceanBase,Y,,oceanbase/oceanbase,2.2,146,oceanbase,oceanbase,OceanBase,2011,2022,Y,Commercial license available,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
GridDB,Time Series,"Time Series DBMS,Key-value store,Relational DBMS",https://db-engines.com/en/system/GridDB,Y,,griddb/griddb,2.17,147,griddb,griddb,Toshiba Corporation,2013,2022,Y,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",N,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
jBASE,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/jBASE,N,,-,2.12,148,-,-,Rocket Software (formerly Zumasys),1991,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GridGain,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/GridGain,Y_CommunityEdition,,gridgain/gridgain,2.11,149,gridgain,gridgain,"GridGain Systems, Inc.",2007,,N,,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
OpenTSDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/OpenTSDB,Y,,OpenTSDB/opentsdb,2.11,150,OpenTSDB,opentsdb,currently maintained by Yahoo and other contributors,2011,,Y,LGPL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tibero,Relational,Relational DBMS,https://db-engines.com/en/system/Tibero,N,,-,2.09,151,-,-,TmaxSoft,2003,2015,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Firebolt,Relational,Relational DBMS,https://db-engines.com/en/system/Firebolt,Y,,firebolt-db/firebolt-python-sdk,2.07,152,firebolt-db,firebolt-python-sdk,Firebolt Analytics Inc.,2020,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VoltDB,Relational,Relational DBMS,https://db-engines.com/en/system/VoltDB,Y,Y,VoltDB/voltdb,2.04,153,VoltDB,voltdb,VoltDB Inc.,2010,2022,Y,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SQLBase,Relational,Relational DBMS,https://db-engines.com/en/system/SQLBase,N,,-,2.01,154,-,-,,1985,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
