DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_May-2024,Rank_May-2024,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Spatial DBMS,Vector DBMS
Vertica,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Vertica,N,Y,-,10.68,43,-,-,OpenText,2005,2023,N,Limited community edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0
dBASE,Relational,Relational DBMS,https://db-engines.com/en/system/dBASE,N,,-,10.34,44,-,-,Asthon Tate,1979,2019,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
CouchDB,Document,"Document store,Spatial DBMS",https://db-engines.com/en/system/CouchDB,Y,N,apache/couchdb,9.3,45,apache,couchdb,Apache Software Foundation,2005,2023,Y,Apache version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0
Netezza,Relational,Relational DBMS,https://db-engines.com/en/system/Netezza,N,,-,9.06,46,-,-,IBM,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Prometheus,Time Series,Time Series DBMS,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,8.42,47,prometheus,prometheus,,2015,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
Greenplum,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb,8.37,48,greenplum-db,gpdb,Pivotal Software Inc.,2005,2023,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0
H2,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/H2,Y,N,h2database/h2database,8.13,49,h2database,h2database,Thomas Mueller,2005,2023,Y,"dual-licence (Mozilla public license, Eclipse public license)",N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0
Amazon Aurora,Relational,"Relational DBMS,Document store",https://db-engines.com/en/system/Amazon+Aurora,N,,-,7.91,50,-,-,Amazon,2015,,N,,Y,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Google Cloud Firestore,Document,Document store,https://db-engines.com/en/system/Google+Cloud+Firestore,N,,-,7.85,51,-,-,Google,2017,,N,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Realm,Document,Document store,https://db-engines.com/en/system/Realm,Y,,realm/realm-core,7.6,52,realm,realm-core,"Realm, acquired by MongoDB in May 2019",2014,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kdb,Time Series,"Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/Kdb,Y,,KxSystems/kdb,7.55,53,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000,2018,N,free 32-bit version,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0,1.0
etcd,Key-value,Key-value store,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,7.25,54,etcd-io,etcd,,,2019,Y,Apache Version 2.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
CockroachDB,Relational,Relational DBMS,https://db-engines.com/en/system/CockroachDB,Y,Y,cockroachdb/cockroach,6.15,55,cockroachdb,cockroach,Cockroach Labs,2015,2024,Y,"Apache 2.0, commercial license available",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Sphinx,Search engine,Search engine,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,5.98,56,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001,2023,Y,"GPL version 2, commercial licence available",N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
Hazelcast,Key-value,"Key-value store,Document store",https://db-engines.com/en/system/Hazelcast,Y,,hazelcast/hazelcast,5.97,57,hazelcast,hazelcast,Hazelcast,2008,2023,Y,Apache Version 2; commercial licenses available,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
MarkLogic,Document,"Document store,Native XML DBMS,RDF store,Search engine",https://db-engines.com/en/system/MarkLogic,N,,-,5.92,58,-,-,MarkLogic Corp.,2001,2022,N,restricted free version is available,N,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0
Oracle Essbase,Relational,Relational DBMS,https://db-engines.com/en/system/Oracle+Essbase,N,,-,5.89,59,-,-,Oracle,1998,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Datastax Enterprise,Wide column,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",https://db-engines.com/en/system/Datastax+Enterprise,N,,-,5.8,60,-,-,DataStax,2011,2020,N,,N,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1.0,1.0
Aerospike,Document,"Document store,Graph DBMS,Key-value store,Spatial DBMS",https://db-engines.com/en/system/Aerospike,Y,,aerospike/aerospike-server,5.78,61,aerospike,aerospike-server,Aerospike,2012,2023,Y,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,N,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0
SingleStore,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",https://db-engines.com/en/system/SingleStore,N,,-,5.6,62,-,-,SingleStore Inc.,2013,2024,N,free developer edition available,N,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1.0,1.0
Microsoft Azure AI Search,Search engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/Microsoft+Azure+AI+Search,N,,-,5.59,63,-,-,Microsoft,2015,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,
Algolia,Search engine,Search engine,https://db-engines.com/en/system/Algolia,N,,-,5.32,64,-,-,,2012,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
