id,category_label,Multi_model_info,DBMS,DBMS_insitelink,has_open_source_github_repo,has_company,github_repo_link,Score_Nov-2022,Rank_Nov-2022,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
25.,Wide column,Wide column store,HBase,https://db-engines.com/en/system/HBase,Y,N,apache/hbase,40.,26.,apache,hbase,Apache Software Foundation,2008.,2021.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.
26.,Document,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft Azure Cosmos DB,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,N,,-,40.,27.,-,-,Microsoft,2014.,,N,Y,0.,1.,0.,1.,1.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.
27.,Spatial DBMS,"Spatial DBMS,Relational DBMS",PostGIS,https://db-engines.com/en/system/PostGIS,Y,,postgis/postgis,31.,28.,postgis,postgis,,2005.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.
28.,Time Series,"Time Series DBMS,Spatial DBMS",InfluxDB,https://db-engines.com/en/system/InfluxDB,Y,,influxdata/influxdb,30.,29.,influxdata,influxdb,,2013.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.
29.,Document,"Document store,Key-value store,Spatial DBMS",Couchbase,https://db-engines.com/en/system/Couchbase,Y,Y,couchbase/couchbase-lite-ios,29.,30.,couchbase,couchbase-lite-ios,"Couchbase, Inc.",2011.,2021.,Y,N,0.,1.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.
30.,Relational,Relational DBMS,Amazon Redshift,https://db-engines.com/en/system/Amazon+Redshift,N,,,27.,31.,-,-,"Amazon (based on,PostgreSQL,)",2012.,,N,Y,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
31.,Relational,Relational DBMS,Firebird,https://db-engines.com/en/system/Firebird,Y,N,FirebirdSQL/firebird,25.,32.,FirebirdSQL,firebird,Firebird Foundation,2000.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
32.,Key-value,Key-value store,Memcached,https://db-engines.com/en/system/Memcached,Y,,memcached/memcached,24.,33.,memcached,memcached,Danga Interactive,2003.,2022.,Y,N,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
33.,Relational,Relational DBMS,Microsoft Azure Synapse Analytics,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,N,,,23.,34.,-,-,Microsoft,2016.,,N,Y,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
34.,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",Informix,https://db-engines.com/en/system/Informix,N,Y,-,23.,35.,-,-,"IBM, HCL Technologies",1984.,2020.,N,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,1.,0.
35.,Relational,Relational DBMS,Spark SQL,https://db-engines.com/en/system/Spark+SQL,Y,N,apache/spark,22.,36.,apache,spark,Apache Software Foundation,2014.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
36.,Document,Document store,Firebase Realtime Database,https://db-engines.com/en/system/Firebase+Realtime+Database,N,,-,20.,37.,-,-,Google,2012.,,N,Y,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
37.,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",Vertica,https://db-engines.com/en/system/Vertica,N,Y,-,20.,38.,-,-,Micro Focus,2005.,2022.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,1.,0.
38.,Relational,"Relational DBMS,Document store",Impala,https://db-engines.com/en/system/Impala,Y,,apache/impala,18.,39.,apache,impala,Cloudera,2013.,2022.,Y,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
39.,Relational,Relational DBMS,Netezza,https://db-engines.com/en/system/Netezza,N,,,17.,40.,-,-,IBM,2000.,,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
40.,Document,"Document store,Spatial DBMS",CouchDB,https://db-engines.com/en/system/CouchDB,Y,N,apache/couchdb,16.,41.,apache,couchdb,Apache Software Foundation,2005.,2022.,Y,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.
41.,Relational,Relational DBMS,Presto,https://db-engines.com/en/system/Presto,Y,N_Facebook开源,prestodb/presto,15.,42.,prestodb,presto,Facebook; Presto Foundation,2013.,,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
42.,Relational,Relational DBMS,dBASE,https://db-engines.com/en/system/dBASE,N,,,14.,43.,-,-,Asthon Tate,1979.,2019.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
43.,Relational,"Relational DBMS,Time Series DBMS",ClickHouse,https://db-engines.com/en/system/ClickHouse,Y,Y_新成立,ClickHouse/ClickHouse,14.,44.,ClickHouse,ClickHouse,Clickhouse Inc.,2016.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,0.
44.,Relational,"Relational DBMS,Document store",Amazon Aurora,https://db-engines.com/en/system/Amazon+Aurora,N,,,13.,45.,-,-,Amazon,2015.,,N,Y,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
45.,Relational,"Relational DBMS,Document store,Spatial DBMS",Greenplum,https://db-engines.com/en/system/Greenplum,Y,Y,greenplum-db/gpdb,12.,46.,greenplum-db,gpdb,Pivotal Software Inc.,2005.,2020.,Y,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.
46.,Document,Document store,Google Cloud Firestore,https://db-engines.com/en/system/Google+Cloud+Firestore,Y,,googleapis/python-firestore,11.,47.,googleapis,python-firestore,Google,2017.,,N,Y,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
47.,Search engine,Search engine,OpenSearch,https://db-engines.com/en/system/OpenSearch,Y,Y,opensearch-project/OpenSearch,10.,48.,opensearch-project,OpenSearch,Amazon Web Services,2021.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.
48.,Document,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic,https://db-engines.com/en/system/MarkLogic,Y,,marklogic/marklogic-data-hub,10.,49.,marklogic,marklogic-data-hub,MarkLogic Corp.,2001.,2017.,N,N,0.,1.,0.,0.,0.,0.,1.,0.,0.,1.,0.,1.,0.,0.,0.
49.,Key-value,"Key-value store,Document store",Hazelcast,https://db-engines.com/en/system/Hazelcast,Y,,hazelcast/hazelcast,10.,50.,hazelcast,hazelcast,Hazelcast,2008.,2022.,Y,N,0.,1.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
50.,Relational,"Relational DBMS,Spatial DBMS",H2,https://db-engines.com/en/system/H2,Y,N,h2database/h2database,9.,51.,h2database,h2database,Thomas Mueller,2005.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.
51.,Document,Document store,Realm,https://db-engines.com/en/system/Realm,Y,,realm/realm-cocoa,9.,52.,realm,realm-cocoa,"Realm, acquired by MongoDB in May 2019",2014.,,Y,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
52.,Key-value,Key-value store,etcd,https://db-engines.com/en/system/etcd,Y,,etcd-io/etcd,9.,53.,etcd-io,etcd,,,2019.,Y,N,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
53.,Wide column,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine",Datastax Enterprise,https://db-engines.com/en/system/Datastax+Enterprise,N,,-,9.,54.,-,-,DataStax,2011.,2020.,N,N,0.,1.,0.,1.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,1.
54.,Relational,Relational DBMS,Oracle Essbase,https://db-engines.com/en/system/Oracle+Essbase,N,,,8.,55.,-,-,Oracle,1998.,2020.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
55.,Relational,Relational DBMS,CockroachDB,https://db-engines.com/en/system/CockroachDB,Y,Y,cockroachdb/cockroach,8.,56.,cockroachdb,cockroach,Cockroach Labs,2015.,2021.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
56.,Search engine,Search engine,Algolia,https://db-engines.com/en/system/Algolia,N,,-,8.,57.,-,-,,2012.,,N,Y,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.
57.,Relational,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS",SingleStore,https://db-engines.com/en/system/SingleStore,N,,,8.,58.,-,-,SingleStore Inc.,2013.,2021.,N,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,1.,0.
58.,Time Series,"Time Series DBMS,Relational DBMS",Kdb+,https://db-engines.com/en/system/Kdb%2B,Y,,KxSystems/kdb,7.,59.,KxSystems,kdb,"Kx Systems, a division of First Derivatives plc",2000.,2018.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,0.
59.,Relational,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft Azure Data Explorer,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,N,,,7.,60.,-,-,Microsoft,2019.,,N,Y,0.,1.,1.,0.,0.,0.,0.,0.,0.,0.,1.,1.,1.,1.,0.
60.,Search engine,Search engine,Microsoft Azure Search,https://db-engines.com/en/system/Microsoft+Azure+Search,N,,-,7.,61.,-,-,Microsoft,2015.,,N,Y,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.
61.,Document,Document store,Google Cloud Datastore,https://db-engines.com/en/system/Google+Cloud+Datastore,N,,,7.,62.,-,-,Google,2008.,,N,Y,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
62.,Document,"Document store,Key-value store,Spatial DBMS",Aerospike,https://db-engines.com/en/system/Aerospike,Y,,aerospike/aerospike-server,7.,63.,aerospike,aerospike-server,Aerospike,2012.,2022.,Y,N,0.,1.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.
63.,Search engine,Search engine,Sphinx,https://db-engines.com/en/system/Sphinx,Y,Y,sphinxsearch/sphinx,7.,64.,sphinxsearch,sphinx,Sphinx Technologies Inc.,2001.,2021.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.
64.,Time Series,Time Series DBMS,Graphite,https://db-engines.com/en/system/Graphite,Y,,graphite-project/graphite-web,7.,65.,graphite-project,graphite-web,Chris Davis,2006.,,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.
65.,Key-value,Key-value store,Ehcache,https://db-engines.com/en/system/Ehcache,Y,Y,ehcache/ehcache3,7.,66.,ehcache,ehcache3,"Terracotta Inc, owned by Software AG",2009.,2022.,Y,N,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
66.,Time Series,Time Series DBMS,Prometheus,https://db-engines.com/en/system/Prometheus,Y,N,prometheus/prometheus,6.,67.,prometheus,prometheus,,2015.,,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.
67.,Key-value,"Key-value store,Relational DBMS",Ignite,https://db-engines.com/en/system/Ignite,Y,N,apache/ignite,6.,68.,apache,ignite,Apache Software Foundation,2015.,,Y,N,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
68.,Key-value,Key-value store,Riak KV,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,6.,69.,basho,riak_kv,Basho Technologies,2009.,2015.,Y,N,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
69.,Relational,Relational DBMS,Interbase,https://db-engines.com/en/system/Interbase,N,,,6.,70.,-,-,Embarcadero,1984.,2019.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
70.,Wide column,Wide column store,Microsoft Azure Table Storage,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,N,,-,6.,71.,-,-,Microsoft,2012.,,N,Y,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.
71.,Relational,Relational DBMS,Ingres,https://db-engines.com/en/system/Ingres,N,,,6.,72.,-,-,Actian Corporation,1974.,2017.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
72.,Relational,Relational DBMS,HyperSQL,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,6.,73.,ryenus,hsqldb,,2001.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
73.,Relational,Relational DBMS,SAP SQL Anywhere,https://db-engines.com/en/system/SAP+SQL+Anywhere,N,,,6.,74.,-,-,SAP,1992.,2015.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
74.,Document,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",Virtuoso,https://db-engines.com/en/system/Virtuoso,Y,,openlink/virtuoso-opensource,6.,75.,openlink,virtuoso-opensource,OpenLink Software,1998.,2022.,Y,N,0.,1.,0.,1.,0.,0.,1.,0.,0.,1.,1.,1.,1.,0.,0.
75.,Document,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB,https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,6.,76.,arangodb,arangodb,ArangoDB Inc.,2012.,2022.,Y,N,0.,1.,0.,1.,1.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.
76.,Content,Content stores,Jackrabbit,https://db-engines.com/en/system/Jackrabbit,Y,N,apache/jackrabbit,6.,77.,apache,jackrabbit,Apache Software Foundation,2006.,,Y,N,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
77.,Relational,Relational DBMS,Derby,https://db-engines.com/en/system/Derby,Y,N,apache/derby,6.,78.,apache,derby,Apache Software Foundation,1997.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
78.,Time Series,"Time Series DBMS,Relational DBMS",TimescaleDB,https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,5.,79.,timescale,timescaledb,Timescale,2017.,2022.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,0.
79.,Key-value,"Key-value store,Wide column store",Google Cloud Bigtable,https://db-engines.com/en/system/Google+Cloud+Bigtable,N,,-,5.,80.,-,-,Google,2015.,,N,Y,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.
80.,Document,"Document store,Graph DBMS,Key-value store",OrientDB,https://db-engines.com/en/system/OrientDB,Y,,orientechnologies/orientdb,5.,81.,orientechnologies,orientdb,OrientDB LTD; CallidusCloud; SAP,2010.,2021.,Y,N,0.,1.,0.,1.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
81.,Wide column,Wide column store,Accumulo,https://db-engines.com/en/system/Accumulo,Y,,apache/accumulo,5.,82.,apache,accumulo,,2008.,2020.,Y,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.
82.,Wide column,"Wide column store,Key-value store",ScyllaDB,https://db-engines.com/en/system/ScyllaDB,Y,,scylladb/scylla,5.,83.,scylladb,scylla,ScyllaDB,2015.,2022.,Y,N,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.
83.,Relational,Relational DBMS,SAP IQ,https://db-engines.com/en/system/SAP+IQ,N,,,5.,84.,-,-,"SAP, formerly Sybase",1994.,2019.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
84.,Multivalue,Multivalue DBMS,Adabas,https://db-engines.com/en/system/Adabas,N,,-,5.,85.,-,-,Software AG,1971.,,N,N,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.
85.,Key-value,Key-value store,RocksDB,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,5.,86.,facebook,rocksdb,"Facebook, Inc.",2013.,2022.,Y,N,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
86.,Document,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",RavenDB,https://db-engines.com/en/system/RavenDB,Y,,ravendb/ravendb,5.,87.,ravendb,ravendb,Hibernating Rhinos,2010.,2022.,Y,N,0.,1.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.
87.,Relational,Relational DBMS,OpenEdge,https://db-engines.com/en/system/OpenEdge,N,,,5.,88.,-,-,Progress Software Corporation,1984.,2020.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
88.,Document,"Document store,Key-value store,Relational DBMS",Oracle NoSQL,https://db-engines.com/en/system/Oracle+NoSQL,Y,N,oracle/nosql-go-sdk,4.,89.,oracle,nosql-go-sdk,Oracle,2011.,2022.,Y,N,0.,1.,0.,0.,1.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
89.,Multivalue,Multivalue DBMS,"UniData,UniVerse",https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,4.,90.,-,-,Rocket Software,1985.,,N,N,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.
90.,Relational,Relational DBMS,Google Cloud Spanner,https://db-engines.com/en/system/Google+Cloud+Spanner,N,,,4.,91.,-,-,Google,2017.,,N,Y,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
91.,Document,Document store,IBM Cloudant,https://db-engines.com/en/system/IBM+Cloudant,N,,,4.,92.,-,-,"IBM, Apache Software Foundation",2010.,,N,Y,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
92.,Relational,"Relational DBMS,Document store,Wide column store",YugabyteDB,https://db-engines.com/en/system/YugabyteDB,Y,Y,yugabyte/yugabyte-db,4.,93.,yugabyte,yugabyte-db,Yugabyte Inc.,2017.,2022.,Y,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,1.
93.,Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino,https://db-engines.com/en/system/Trino,Y,,trinodb/trino,4.,94.,trinodb,trino,Trino Software Foundation,2012.,,Y,N,0.,1.,0.,0.,1.,0.,0.,0.,0.,0.,1.,1.,1.,1.,1.
94.,Relational,"Relational DBMS,Document store",TiDB,https://db-engines.com/en/system/TiDB,Y,Y,pingcap/tidb,4.,95.,pingcap,tidb,"PingCAP, Inc.",2016.,2022.,Y,N,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
95.,Relational,Relational DBMS,MaxDB,https://db-engines.com/en/system/MaxDB,N,,,4.,96.,-,-,"SAP, acquired from Software AG (Adabas-D) in 1997",1984.,2020.,N,N,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.
