id,category,system,is_open_source,has_company,github_repo_link,score,overall_rank,Relational DBMS,Key-value,Document,Time Series,Graph,Object oriented,Search engine,RDF,Wide column,Multivalue,Native XML,Spatial DBMS,Event,Content,Navigational,org_name,repo_name
53,"Document, Multi-model ",MongoDB ,Y,,mongodb/mongo,496.50,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,mongodb,mongo
54,"Document, Multi-model ",Couchbase ,Y,,couchbase/couchbase-lite-ios,27.68,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,couchbase,couchbase-lite-ios
55,Document,Firebase Realtime Database,N,,-,18.02,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-
56,"Document, Multi-model ",CouchDB,Y,,apache/couchdb,15.47,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,apache,couchdb
57,"Document,Search engine, RDF,Native XML,Multi-model ",MarkLogic ,Y,,marklogic/marklogic-data-hub,9.60,49,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,marklogic,marklogic-data-hub
58,Document,Realm ,Y,,realm/realm-cocoa,9.51,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,realm,realm-cocoa
59,Document,Google Cloud Firestore,Y,,googleapis/python-firestore,8.10,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,googleapis,python-firestore
60,"Document,Graph, Key-value,Search engine,Multi-model ",ArangoDB ,Y,,arangodb/arangodb,4.79,75,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,arangodb,arangodb
61,"Document,Multi-model ",RavenDB,Y,,ravendb/ravendb,3.46,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ravendb,ravendb
62,"Document,Multi-model ",RethinkDB,Y,,rethinkdb/rethinkdb,3.15,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,rethinkdb,rethinkdb
63,Document,PouchDB,Y,,pouchdb/pouchdb,2.86,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,pouchdb,pouchdb
64,Document,Mnesia,Y,,beardedeagle/mnesiac,1.32,149,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,beardedeagle,mnesiac
